Species,timeFromHuman_MY,cluster,present
Latimeria chalumnae,411.9,4221,False
Latimeria chalumnae,411.9,8903,False
Latimeria chalumnae,411.9,3638,False
Latimeria chalumnae,411.9,926,False
Latimeria chalumnae,411.9,3627,False
Latimeria chalumnae,411.9,3602,False
Latimeria chalumnae,411.9,5705,False
Latimeria chalumnae,411.9,396,False
Latimeria chalumnae,411.9,2208,False
Latimeria chalumnae,411.9,15065,False
Latimeria chalumnae,411.9,12857,False
Latimeria chalumnae,411.9,14376,False
Latimeria chalumnae,411.9,12866,False
Latimeria chalumnae,411.9,15019,False
Latimeria chalumnae,411.9,15068,False
Latimeria chalumnae,411.9,454,False
Latimeria chalumnae,411.9,12407,False
Latimeria chalumnae,411.9,12851,False
Latimeria chalumnae,411.9,12906,False
Latimeria chalumnae,411.9,12159,False
Latimeria chalumnae,411.9,12957,False
Latimeria chalumnae,411.9,14311,False
Latimeria chalumnae,411.9,480,False
Latimeria chalumnae,411.9,10862,False
Latimeria chalumnae,411.9,12181,False
Latimeria chalumnae,411.9,12190,False
Latimeria chalumnae,411.9,12960,False
Latimeria chalumnae,411.9,14322,False
Latimeria chalumnae,411.9,433,False
Latimeria chalumnae,411.9,437,False
Latimeria chalumnae,411.9,439,False
Latimeria chalumnae,411.9,473,False
Latimeria chalumnae,411.9,536,False
Latimeria chalumnae,411.9,621,False
Latimeria chalumnae,411.9,622,False
Latimeria chalumnae,411.9,691,False
Latimeria chalumnae,411.9,2763,False
Latimeria chalumnae,411.9,12148,False
Latimeria chalumnae,411.9,431,False
Latimeria chalumnae,411.9,432,False
Latimeria chalumnae,411.9,434,False
Latimeria chalumnae,411.9,435,False
Latimeria chalumnae,411.9,436,False
Latimeria chalumnae,411.9,438,False
Latimeria chalumnae,411.9,440,False
Latimeria chalumnae,411.9,441,False
Latimeria chalumnae,411.9,442,False
Latimeria chalumnae,411.9,443,False
Latimeria chalumnae,411.9,444,False
Latimeria chalumnae,411.9,445,False
Latimeria chalumnae,411.9,446,False
Latimeria chalumnae,411.9,447,False
Latimeria chalumnae,411.9,448,False
Latimeria chalumnae,411.9,449,False
Latimeria chalumnae,411.9,450,False
Latimeria chalumnae,411.9,451,False
Latimeria chalumnae,411.9,452,False
Latimeria chalumnae,411.9,453,False
Latimeria chalumnae,411.9,455,False
Latimeria chalumnae,411.9,456,False
Latimeria chalumnae,411.9,457,False
Latimeria chalumnae,411.9,458,False
Latimeria chalumnae,411.9,459,False
Latimeria chalumnae,411.9,460,False
Latimeria chalumnae,411.9,461,False
Latimeria chalumnae,411.9,462,False
Latimeria chalumnae,411.9,463,False
Latimeria chalumnae,411.9,464,False
Latimeria chalumnae,411.9,465,False
Latimeria chalumnae,411.9,466,False
Latimeria chalumnae,411.9,467,False
Latimeria chalumnae,411.9,468,False
Latimeria chalumnae,411.9,469,False
Latimeria chalumnae,411.9,470,False
Latimeria chalumnae,411.9,471,False
Latimeria chalumnae,411.9,472,False
Latimeria chalumnae,411.9,474,False
Latimeria chalumnae,411.9,475,False
Latimeria chalumnae,411.9,476,False
Latimeria chalumnae,411.9,477,False
Latimeria chalumnae,411.9,478,False
Latimeria chalumnae,411.9,479,False
Latimeria chalumnae,411.9,481,False
Latimeria chalumnae,411.9,482,False
Latimeria chalumnae,411.9,483,False
Latimeria chalumnae,411.9,484,False
Latimeria chalumnae,411.9,485,False
Latimeria chalumnae,411.9,486,False
Latimeria chalumnae,411.9,487,False
Latimeria chalumnae,411.9,488,False
Latimeria chalumnae,411.9,489,False
Latimeria chalumnae,411.9,490,False
Latimeria chalumnae,411.9,491,False
Latimeria chalumnae,411.9,492,False
Latimeria chalumnae,411.9,493,False
Latimeria chalumnae,411.9,494,False
Latimeria chalumnae,411.9,495,False
Latimeria chalumnae,411.9,496,False
Latimeria chalumnae,411.9,497,False
Latimeria chalumnae,411.9,498,False
Latimeria chalumnae,411.9,499,False
Latimeria chalumnae,411.9,500,False
Latimeria chalumnae,411.9,501,False
Latimeria chalumnae,411.9,502,False
Latimeria chalumnae,411.9,503,False
Latimeria chalumnae,411.9,504,False
Latimeria chalumnae,411.9,505,False
Latimeria chalumnae,411.9,506,False
Latimeria chalumnae,411.9,507,False
Latimeria chalumnae,411.9,508,False
Latimeria chalumnae,411.9,509,False
Latimeria chalumnae,411.9,510,False
Latimeria chalumnae,411.9,511,False
Latimeria chalumnae,411.9,512,False
Latimeria chalumnae,411.9,513,False
Latimeria chalumnae,411.9,514,False
Latimeria chalumnae,411.9,515,False
Latimeria chalumnae,411.9,516,False
Latimeria chalumnae,411.9,517,False
Latimeria chalumnae,411.9,518,False
Latimeria chalumnae,411.9,519,False
Latimeria chalumnae,411.9,520,False
Latimeria chalumnae,411.9,521,False
Latimeria chalumnae,411.9,522,False
Latimeria chalumnae,411.9,523,False
Latimeria chalumnae,411.9,524,False
Latimeria chalumnae,411.9,525,False
Latimeria chalumnae,411.9,526,False
Latimeria chalumnae,411.9,527,False
Latimeria chalumnae,411.9,528,False
Latimeria chalumnae,411.9,529,False
Latimeria chalumnae,411.9,530,False
Latimeria chalumnae,411.9,531,False
Latimeria chalumnae,411.9,532,False
Latimeria chalumnae,411.9,533,False
Latimeria chalumnae,411.9,534,False
Latimeria chalumnae,411.9,535,False
Latimeria chalumnae,411.9,537,False
Latimeria chalumnae,411.9,538,False
Latimeria chalumnae,411.9,539,False
Latimeria chalumnae,411.9,540,False
Latimeria chalumnae,411.9,541,False
Latimeria chalumnae,411.9,542,False
Latimeria chalumnae,411.9,543,False
Latimeria chalumnae,411.9,544,False
Latimeria chalumnae,411.9,545,False
Latimeria chalumnae,411.9,546,False
Latimeria chalumnae,411.9,547,False
Latimeria chalumnae,411.9,548,False
Latimeria chalumnae,411.9,549,False
Latimeria chalumnae,411.9,550,False
Latimeria chalumnae,411.9,551,False
Latimeria chalumnae,411.9,552,False
Latimeria chalumnae,411.9,553,False
Latimeria chalumnae,411.9,554,False
Latimeria chalumnae,411.9,555,False
Latimeria chalumnae,411.9,556,False
Latimeria chalumnae,411.9,557,False
Latimeria chalumnae,411.9,558,False
Latimeria chalumnae,411.9,559,False
Latimeria chalumnae,411.9,560,False
Latimeria chalumnae,411.9,561,False
Latimeria chalumnae,411.9,562,False
Latimeria chalumnae,411.9,563,False
Latimeria chalumnae,411.9,564,False
Latimeria chalumnae,411.9,565,False
Latimeria chalumnae,411.9,566,False
Latimeria chalumnae,411.9,567,False
Latimeria chalumnae,411.9,568,False
Latimeria chalumnae,411.9,569,False
Latimeria chalumnae,411.9,570,False
Latimeria chalumnae,411.9,571,False
Latimeria chalumnae,411.9,572,False
Latimeria chalumnae,411.9,573,False
Latimeria chalumnae,411.9,574,False
Latimeria chalumnae,411.9,575,False
Latimeria chalumnae,411.9,576,False
Latimeria chalumnae,411.9,577,False
Latimeria chalumnae,411.9,578,False
Latimeria chalumnae,411.9,579,False
Latimeria chalumnae,411.9,580,False
Latimeria chalumnae,411.9,581,False
Latimeria chalumnae,411.9,582,False
Latimeria chalumnae,411.9,583,False
Latimeria chalumnae,411.9,584,False
Latimeria chalumnae,411.9,585,False
Latimeria chalumnae,411.9,586,False
Latimeria chalumnae,411.9,587,False
Latimeria chalumnae,411.9,588,False
Latimeria chalumnae,411.9,589,False
Latimeria chalumnae,411.9,590,False
Latimeria chalumnae,411.9,591,False
Latimeria chalumnae,411.9,592,False
Latimeria chalumnae,411.9,593,False
Latimeria chalumnae,411.9,594,False
Latimeria chalumnae,411.9,595,False
Latimeria chalumnae,411.9,596,False
Latimeria chalumnae,411.9,597,False
Latimeria chalumnae,411.9,598,False
Latimeria chalumnae,411.9,599,False
Latimeria chalumnae,411.9,600,False
Latimeria chalumnae,411.9,601,False
Latimeria chalumnae,411.9,602,False
Latimeria chalumnae,411.9,603,False
Latimeria chalumnae,411.9,604,False
Latimeria chalumnae,411.9,605,False
Latimeria chalumnae,411.9,606,False
Latimeria chalumnae,411.9,607,False
Latimeria chalumnae,411.9,608,False
Latimeria chalumnae,411.9,609,False
Latimeria chalumnae,411.9,610,False
Latimeria chalumnae,411.9,611,False
Latimeria chalumnae,411.9,612,False
Latimeria chalumnae,411.9,613,False
Latimeria chalumnae,411.9,614,False
Latimeria chalumnae,411.9,615,False
Latimeria chalumnae,411.9,616,False
Latimeria chalumnae,411.9,617,False
Latimeria chalumnae,411.9,618,False
Latimeria chalumnae,411.9,619,False
Latimeria chalumnae,411.9,620,False
Latimeria chalumnae,411.9,623,False
Latimeria chalumnae,411.9,624,False
Latimeria chalumnae,411.9,625,False
Latimeria chalumnae,411.9,626,False
Latimeria chalumnae,411.9,627,False
Latimeria chalumnae,411.9,628,False
Latimeria chalumnae,411.9,629,False
Latimeria chalumnae,411.9,630,False
Latimeria chalumnae,411.9,631,False
Latimeria chalumnae,411.9,632,False
Latimeria chalumnae,411.9,633,False
Latimeria chalumnae,411.9,634,False
Latimeria chalumnae,411.9,635,False
Latimeria chalumnae,411.9,636,False
Latimeria chalumnae,411.9,637,False
Latimeria chalumnae,411.9,638,False
Latimeria chalumnae,411.9,639,False
Latimeria chalumnae,411.9,640,False
Latimeria chalumnae,411.9,641,False
Latimeria chalumnae,411.9,642,False
Latimeria chalumnae,411.9,643,False
Latimeria chalumnae,411.9,644,False
Latimeria chalumnae,411.9,645,False
Latimeria chalumnae,411.9,646,False
Latimeria chalumnae,411.9,647,False
Latimeria chalumnae,411.9,648,False
Latimeria chalumnae,411.9,649,False
Latimeria chalumnae,411.9,650,False
Latimeria chalumnae,411.9,651,False
Latimeria chalumnae,411.9,652,False
Latimeria chalumnae,411.9,653,False
Latimeria chalumnae,411.9,654,False
Latimeria chalumnae,411.9,655,False
Latimeria chalumnae,411.9,656,False
Latimeria chalumnae,411.9,657,False
Latimeria chalumnae,411.9,658,False
Latimeria chalumnae,411.9,659,False
Latimeria chalumnae,411.9,660,False
Latimeria chalumnae,411.9,661,False
Latimeria chalumnae,411.9,662,False
Latimeria chalumnae,411.9,663,False
Latimeria chalumnae,411.9,664,False
Latimeria chalumnae,411.9,665,False
Latimeria chalumnae,411.9,666,False
Latimeria chalumnae,411.9,667,False
Latimeria chalumnae,411.9,668,False
Latimeria chalumnae,411.9,669,False
Latimeria chalumnae,411.9,670,False
Latimeria chalumnae,411.9,671,False
Latimeria chalumnae,411.9,672,False
Latimeria chalumnae,411.9,673,False
Latimeria chalumnae,411.9,674,False
Latimeria chalumnae,411.9,675,False
Latimeria chalumnae,411.9,676,False
Latimeria chalumnae,411.9,677,False
Latimeria chalumnae,411.9,678,False
Latimeria chalumnae,411.9,679,False
Latimeria chalumnae,411.9,680,False
Latimeria chalumnae,411.9,681,False
Latimeria chalumnae,411.9,682,False
Latimeria chalumnae,411.9,683,False
Latimeria chalumnae,411.9,684,False
Latimeria chalumnae,411.9,685,False
Latimeria chalumnae,411.9,686,False
Latimeria chalumnae,411.9,687,False
Latimeria chalumnae,411.9,688,False
Latimeria chalumnae,411.9,689,False
Latimeria chalumnae,411.9,690,False
Latimeria chalumnae,411.9,692,False
Latimeria chalumnae,411.9,693,False
Latimeria chalumnae,411.9,694,False
Latimeria chalumnae,411.9,695,False
Latimeria chalumnae,411.9,696,False
Latimeria chalumnae,411.9,697,False
Latimeria chalumnae,411.9,698,False
Latimeria chalumnae,411.9,699,False
Latimeria chalumnae,411.9,700,False
Latimeria chalumnae,411.9,701,False
Latimeria chalumnae,411.9,702,False
Latimeria chalumnae,411.9,703,False
Latimeria chalumnae,411.9,704,False
Nanorana parkeri,355.7,4221,False
Nanorana parkeri,355.7,8903,False
Nanorana parkeri,355.7,3638,False
Nanorana parkeri,355.7,926,False
Nanorana parkeri,355.7,3627,False
Nanorana parkeri,355.7,3602,False
Nanorana parkeri,355.7,5705,False
Nanorana parkeri,355.7,396,False
Nanorana parkeri,355.7,2208,False
Nanorana parkeri,355.7,15065,False
Nanorana parkeri,355.7,12857,False
Nanorana parkeri,355.7,14376,False
Nanorana parkeri,355.7,12866,False
Nanorana parkeri,355.7,15019,False
Nanorana parkeri,355.7,15068,False
Nanorana parkeri,355.7,454,False
Nanorana parkeri,355.7,12407,False
Nanorana parkeri,355.7,12851,False
Nanorana parkeri,355.7,12906,False
Nanorana parkeri,355.7,12159,False
Nanorana parkeri,355.7,12957,False
Nanorana parkeri,355.7,14311,False
Nanorana parkeri,355.7,480,False
Nanorana parkeri,355.7,10862,False
Nanorana parkeri,355.7,12181,False
Nanorana parkeri,355.7,12190,False
Nanorana parkeri,355.7,12960,False
Nanorana parkeri,355.7,14322,False
Nanorana parkeri,355.7,433,False
Nanorana parkeri,355.7,437,False
Nanorana parkeri,355.7,439,False
Nanorana parkeri,355.7,473,False
Nanorana parkeri,355.7,536,False
Nanorana parkeri,355.7,621,False
Nanorana parkeri,355.7,622,False
Nanorana parkeri,355.7,691,False
Nanorana parkeri,355.7,2763,False
Nanorana parkeri,355.7,12148,False
Nanorana parkeri,355.7,431,False
Nanorana parkeri,355.7,432,False
Nanorana parkeri,355.7,434,False
Nanorana parkeri,355.7,435,False
Nanorana parkeri,355.7,436,False
Nanorana parkeri,355.7,438,False
Nanorana parkeri,355.7,440,False
Nanorana parkeri,355.7,441,False
Nanorana parkeri,355.7,442,False
Nanorana parkeri,355.7,443,False
Nanorana parkeri,355.7,444,False
Nanorana parkeri,355.7,445,False
Nanorana parkeri,355.7,446,False
Nanorana parkeri,355.7,447,False
Nanorana parkeri,355.7,448,False
Nanorana parkeri,355.7,449,False
Nanorana parkeri,355.7,450,False
Nanorana parkeri,355.7,451,False
Nanorana parkeri,355.7,452,False
Nanorana parkeri,355.7,453,False
Nanorana parkeri,355.7,455,False
Nanorana parkeri,355.7,456,False
Nanorana parkeri,355.7,457,False
Nanorana parkeri,355.7,458,False
Nanorana parkeri,355.7,459,False
Nanorana parkeri,355.7,460,False
Nanorana parkeri,355.7,461,False
Nanorana parkeri,355.7,462,False
Nanorana parkeri,355.7,463,False
Nanorana parkeri,355.7,464,False
Nanorana parkeri,355.7,465,False
Nanorana parkeri,355.7,466,False
Nanorana parkeri,355.7,467,False
Nanorana parkeri,355.7,468,False
Nanorana parkeri,355.7,469,False
Nanorana parkeri,355.7,470,False
Nanorana parkeri,355.7,471,False
Nanorana parkeri,355.7,472,False
Nanorana parkeri,355.7,474,False
Nanorana parkeri,355.7,475,False
Nanorana parkeri,355.7,476,False
Nanorana parkeri,355.7,477,False
Nanorana parkeri,355.7,478,False
Nanorana parkeri,355.7,479,False
Nanorana parkeri,355.7,481,False
Nanorana parkeri,355.7,482,False
Nanorana parkeri,355.7,483,False
Nanorana parkeri,355.7,484,False
Nanorana parkeri,355.7,485,False
Nanorana parkeri,355.7,486,False
Nanorana parkeri,355.7,487,False
Nanorana parkeri,355.7,488,False
Nanorana parkeri,355.7,489,False
Nanorana parkeri,355.7,490,False
Nanorana parkeri,355.7,491,False
