Species,timeFromHuman_MY,cluster,present
Latimeria chalumnae,411.9,706,False
Latimeria chalumnae,411.9,1007,False
Latimeria chalumnae,411.9,5129,False
Latimeria chalumnae,411.9,926,False
Latimeria chalumnae,411.9,12092,False
Latimeria chalumnae,411.9,705,False
Latimeria chalumnae,411.9,922,False
Nanorana parkeri,355.7,706,False
Nanorana parkeri,355.7,1007,False
Nanorana parkeri,355.7,5129,False
Nanorana parkeri,355.7,926,False
Nanorana parkeri,355.7,12092,False
Nanorana parkeri,355.7,705,False
Nanorana parkeri,355.7,922,False
Xenopus laevi,355.7,706,False
Xenopus laevi,355.7,1007,False
Xenopus laevi,355.7,5129,False
Xenopus laevi,355.7,926,False
Xenopus laevi,355.7,12092,False
Xenopus laevi,355.7,705,False
Xenopus laevi,355.7,922,False
Xenopus tropicalis,355.7,706,False
Xenopus tropicalis,355.7,1007,False
Xenopus tropicalis,355.7,5129,False
Xenopus tropicalis,355.7,926,False
Xenopus tropicalis,355.7,12092,False
Xenopus tropicalis,355.7,705,False
Xenopus tropicalis,355.7,922,False
Acanthisitta chloris,320.5,706,True
Acanthisitta chloris,320.5,1007,False
Acanthisitta chloris,320.5,5129,False
Acanthisitta chloris,320.5,926,False
Acanthisitta chloris,320.5,12092,False
Acanthisitta chloris,320.5,705,False
Acanthisitta chloris,320.5,922,False
Alligator mississippiensis,320.5,706,False
Alligator mississippiensis,320.5,1007,False
Alligator mississippiensis,320.5,5129,True
Alligator mississippiensis,320.5,926,True
Alligator mississippiensis,320.5,12092,False
Alligator mississippiensis,320.5,705,False
Alligator mississippiensis,320.5,922,False
Alligator sinensis,320.5,706,False
Alligator sinensis,320.5,1007,False
Alligator sinensis,320.5,5129,True
Alligator sinensis,320.5,926,True
Alligator sinensis,320.5,12092,False
Alligator sinensis,320.5,705,False
Alligator sinensis,320.5,922,False
Amazona vittata,320.5,706,True
Amazona vittata,320.5,1007,False
Amazona vittata,320.5,5129,False
Amazona vittata,320.5,926,True
Amazona vittata,320.5,12092,False
Amazona vittata,320.5,705,False
Amazona vittata,320.5,922,False
Anas platyrhynchos,320.5,706,True
Anas platyrhynchos,320.5,1007,True
Anas platyrhynchos,320.5,5129,True
