Species,timeFromHuman_MY,cluster,present
Latimeria chalumnae,411.9,2706,False
Latimeria chalumnae,411.9,3638,False
Latimeria chalumnae,411.9,706,False
Latimeria chalumnae,411.9,250,False
Latimeria chalumnae,411.9,814,False
Latimeria chalumnae,411.9,853,False
Latimeria chalumnae,411.9,869,False
Latimeria chalumnae,411.9,900,False
Latimeria chalumnae,411.9,919,False
Latimeria chalumnae,411.9,2228,False
Latimeria chalumnae,411.9,2766,False
Latimeria chalumnae,411.9,812,False
Latimeria chalumnae,411.9,2244,False
Latimeria chalumnae,411.9,2716,False
Latimeria chalumnae,411.9,2782,False
Latimeria chalumnae,411.9,807,False
Latimeria chalumnae,411.9,808,False
Latimeria chalumnae,411.9,809,False
Latimeria chalumnae,411.9,810,False
Latimeria chalumnae,411.9,811,False
Latimeria chalumnae,411.9,815,False
Latimeria chalumnae,411.9,822,False
Latimeria chalumnae,411.9,824,False
Latimeria chalumnae,411.9,825,False
Latimeria chalumnae,411.9,826,False
Latimeria chalumnae,411.9,827,False
Latimeria chalumnae,411.9,828,False
Latimeria chalumnae,411.9,829,False
Latimeria chalumnae,411.9,830,False
Latimeria chalumnae,411.9,831,False
Latimeria chalumnae,411.9,835,False
Latimeria chalumnae,411.9,841,False
Latimeria chalumnae,411.9,842,False
Latimeria chalumnae,411.9,845,False
Latimeria chalumnae,411.9,846,False
Latimeria chalumnae,411.9,847,False
Latimeria chalumnae,411.9,849,False
Latimeria chalumnae,411.9,850,False
Latimeria chalumnae,411.9,852,False
Latimeria chalumnae,411.9,854,False
Latimeria chalumnae,411.9,855,False
Latimeria chalumnae,411.9,859,False
Latimeria chalumnae,411.9,860,False
Latimeria chalumnae,411.9,861,False
Latimeria chalumnae,411.9,862,False
Latimeria chalumnae,411.9,865,False
Latimeria chalumnae,411.9,866,False
Latimeria chalumnae,411.9,867,False
Latimeria chalumnae,411.9,870,False
Latimeria chalumnae,411.9,875,False
Latimeria chalumnae,411.9,876,False
Latimeria chalumnae,411.9,878,False
Latimeria chalumnae,411.9,880,False
Latimeria chalumnae,411.9,881,False
Latimeria chalumnae,411.9,882,False
Latimeria chalumnae,411.9,883,False
Latimeria chalumnae,411.9,884,False
Latimeria chalumnae,411.9,887,False
Latimeria chalumnae,411.9,888,False
Latimeria chalumnae,411.9,889,False
Latimeria chalumnae,411.9,891,False
Latimeria chalumnae,411.9,892,False
Latimeria chalumnae,411.9,893,False
Latimeria chalumnae,411.9,894,False
Latimeria chalumnae,411.9,897,False
Latimeria chalumnae,411.9,898,False
Latimeria chalumnae,411.9,899,False
Latimeria chalumnae,411.9,901,False
Latimeria chalumnae,411.9,902,False
Latimeria chalumnae,411.9,903,False
Latimeria chalumnae,411.9,904,False
Latimeria chalumnae,411.9,905,False
Latimeria chalumnae,411.9,907,False
Latimeria chalumnae,411.9,908,False
Latimeria chalumnae,411.9,909,False
Latimeria chalumnae,411.9,911,False
Latimeria chalumnae,411.9,913,False
Latimeria chalumnae,411.9,917,False
Latimeria chalumnae,411.9,918,False
Latimeria chalumnae,411.9,920,False
Latimeria chalumnae,411.9,2662,False
Latimeria chalumnae,411.9,813,False
Latimeria chalumnae,411.9,816,False
Latimeria chalumnae,411.9,817,False
Latimeria chalumnae,411.9,818,False
Latimeria chalumnae,411.9,819,False
Latimeria chalumnae,411.9,820,False
Latimeria chalumnae,411.9,821,False
Latimeria chalumnae,411.9,823,False
Latimeria chalumnae,411.9,832,False
Latimeria chalumnae,411.9,833,False
Latimeria chalumnae,411.9,834,False
Latimeria chalumnae,411.9,836,False
Latimeria chalumnae,411.9,837,False
Latimeria chalumnae,411.9,838,False
Latimeria chalumnae,411.9,839,False
Latimeria chalumnae,411.9,840,False
Latimeria chalumnae,411.9,843,False
Latimeria chalumnae,411.9,844,False
Latimeria chalumnae,411.9,848,False
Latimeria chalumnae,411.9,851,False
Latimeria chalumnae,411.9,856,False
Latimeria chalumnae,411.9,857,False
Latimeria chalumnae,411.9,858,False
Latimeria chalumnae,411.9,863,False
Latimeria chalumnae,411.9,864,False
Latimeria chalumnae,411.9,868,False
Latimeria chalumnae,411.9,871,False
Latimeria chalumnae,411.9,872,False
Latimeria chalumnae,411.9,873,False
Latimeria chalumnae,411.9,874,False
Latimeria chalumnae,411.9,877,False
Latimeria chalumnae,411.9,879,False
Latimeria chalumnae,411.9,885,False
Latimeria chalumnae,411.9,886,False
Latimeria chalumnae,411.9,890,False
Latimeria chalumnae,411.9,895,False
Latimeria chalumnae,411.9,896,False
Latimeria chalumnae,411.9,906,False
Latimeria chalumnae,411.9,910,False
Latimeria chalumnae,411.9,912,False
Latimeria chalumnae,411.9,914,False
Latimeria chalumnae,411.9,915,False
Latimeria chalumnae,411.9,916,False
Nanorana parkeri,355.7,2706,False
Nanorana parkeri,355.7,3638,False
Nanorana parkeri,355.7,706,False
Nanorana parkeri,355.7,250,False
Nanorana parkeri,355.7,814,False
Nanorana parkeri,355.7,853,False
Nanorana parkeri,355.7,869,False
Nanorana parkeri,355.7,900,False
Nanorana parkeri,355.7,919,False
Nanorana parkeri,355.7,2228,False
Nanorana parkeri,355.7,2766,False
Nanorana parkeri,355.7,812,False
Nanorana parkeri,355.7,2244,False
Nanorana parkeri,355.7,2716,False
Nanorana parkeri,355.7,2782,False
Nanorana parkeri,355.7,807,False
Nanorana parkeri,355.7,808,False
Nanorana parkeri,355.7,809,False
Nanorana parkeri,355.7,810,False
Nanorana parkeri,355.7,811,False
Nanorana parkeri,355.7,815,False
Nanorana parkeri,355.7,822,False
Nanorana parkeri,355.7,824,False
Nanorana parkeri,355.7,825,False
Nanorana parkeri,355.7,826,False
Nanorana parkeri,355.7,827,False
Nanorana parkeri,355.7,828,False
Nanorana parkeri,355.7,829,False
Nanorana parkeri,355.7,830,False
Nanorana parkeri,355.7,831,False
Nanorana parkeri,355.7,835,False
Nanorana parkeri,355.7,841,False
Nanorana parkeri,355.7,842,False
Nanorana parkeri,355.7,845,False
Nanorana parkeri,355.7,846,False
Nanorana parkeri,355.7,847,False
Nanorana parkeri,355.7,849,False
Nanorana parkeri,355.7,850,False
Nanorana parkeri,355.7,852,False
Nanorana parkeri,355.7,854,False
Nanorana parkeri,355.7,855,False
Nanorana parkeri,355.7,859,False
Nanorana parkeri,355.7,860,False
Nanorana parkeri,355.7,861,False
Nanorana parkeri,355.7,862,False
Nanorana parkeri,355.7,865,False
Nanorana parkeri,355.7,866,False
Nanorana parkeri,355.7,867,False
Nanorana parkeri,355.7,870,False
Nanorana parkeri,355.7,875,False
Nanorana parkeri,355.7,876,False
Nanorana parkeri,355.7,878,False
Nanorana parkeri,355.7,880,False
Nanorana parkeri,355.7,881,False
Nanorana parkeri,355.7,882,False
Nanorana parkeri,355.7,883,False
Nanorana parkeri,355.7,884,False
Nanorana parkeri,355.7,887,False
Nanorana parkeri,355.7,888,False
Nanorana parkeri,355.7,889,False
Nanorana parkeri,355.7,891,False
Nanorana parkeri,355.7,892,False
Nanorana parkeri,355.7,893,False
Nanorana parkeri,355.7,894,False
Nanorana parkeri,355.7,897,False
Nanorana parkeri,355.7,898,False
Nanorana parkeri,355.7,899,False
Nanorana parkeri,355.7,901,False
Nanorana parkeri,355.7,902,False
Nanorana parkeri,355.7,903,False
Nanorana parkeri,355.7,904,False
Nanorana parkeri,355.7,905,False
Nanorana parkeri,355.7,907,False
Nanorana parkeri,355.7,908,False
Nanorana parkeri,355.7,909,False
Nanorana parkeri,355.7,911,False
Nanorana parkeri,355.7,913,False
Nanorana parkeri,355.7,917,False
Nanorana parkeri,355.7,918,False
Nanorana parkeri,355.7,920,False
Nanorana parkeri,355.7,2662,False
Nanorana parkeri,355.7,813,False
Nanorana parkeri,355.7,816,False
Nanorana parkeri,355.7,817,False
Nanorana parkeri,355.7,818,False
Nanorana parkeri,355.7,819,False
Nanorana parkeri,355.7,820,False
Nanorana parkeri,355.7,821,False
Nanorana parkeri,355.7,823,False
Nanorana parkeri,355.7,832,False
Nanorana parkeri,355.7,833,False
Nanorana parkeri,355.7,834,False
Nanorana parkeri,355.7,836,False
Nanorana parkeri,355.7,837,False
Nanorana parkeri,355.7,838,False
Nanorana parkeri,355.7,839,False
Nanorana parkeri,355.7,840,False
Nanorana parkeri,355.7,843,False
Nanorana parkeri,355.7,844,False
Nanorana parkeri,355.7,848,False
Nanorana parkeri,355.7,851,False
Nanorana parkeri,355.7,856,False
Nanorana parkeri,355.7,857,False
Nanorana parkeri,355.7,858,False
Nanorana parkeri,355.7,863,False
Nanorana parkeri,355.7,864,False
Nanorana parkeri,355.7,868,False
Nanorana parkeri,355.7,871,False
Nanorana parkeri,355.7,872,False
Nanorana parkeri,355.7,873,False
Nanorana parkeri,355.7,874,False
Nanorana parkeri,355.7,877,False
Nanorana parkeri,355.7,879,False
Nanorana parkeri,355.7,885,False
Nanorana parkeri,355.7,886,False
Nanorana parkeri,355.7,890,False
Nanorana parkeri,355.7,895,False
Nanorana parkeri,355.7,896,False
Nanorana parkeri,355.7,906,False
Nanorana parkeri,355.7,910,False
Nanorana parkeri,355.7,912,False
Nanorana parkeri,355.7,914,False
Nanorana parkeri,355.7,915,False
Nanorana parkeri,355.7,916,False
Xenopus laevi,355.7,2706,False
Xenopus laevi,355.7,3638,False
Xenopus laevi,355.7,706,False
Xenopus laevi,355.7,250,False
Xenopus laevi,355.7,814,False
Xenopus laevi,355.7,853,False
Xenopus laevi,355.7,869,False
Xenopus laevi,355.7,900,False
Xenopus laevi,355.7,919,False
Xenopus laevi,355.7,2228,False
Xenopus laevi,355.7,2766,False
Xenopus laevi,355.7,812,False
Xenopus laevi,355.7,2244,False
Xenopus laevi,355.7,2716,False
Xenopus laevi,355.7,2782,False
Xenopus laevi,355.7,807,False
Xenopus laevi,355.7,808,False
Xenopus laevi,355.7,809,False
Xenopus laevi,355.7,810,False
Xenopus laevi,355.7,811,False
Xenopus laevi,355.7,815,False
Xenopus laevi,355.7,822,False
Xenopus laevi,355.7,824,False
Xenopus laevi,355.7,825,False
Xenopus laevi,355.7,826,False
Xenopus laevi,355.7,827,False
Xenopus laevi,355.7,828,False
Xenopus laevi,355.7,829,False
Xenopus laevi,355.7,830,False
Xenopus laevi,355.7,831,False
Xenopus laevi,355.7,835,False
Xenopus laevi,355.7,841,False
Xenopus laevi,355.7,842,False
Xenopus laevi,355.7,845,False
Xenopus laevi,355.7,846,False
Xenopus laevi,355.7,847,False
Xenopus laevi,355.7,849,False
Xenopus laevi,355.7,850,False
Xenopus laevi,355.7,852,False
Xenopus laevi,355.7,854,False
Xenopus laevi,355.7,855,False
Xenopus laevi,355.7,859,False
Xenopus laevi,355.7,860,False
Xenopus laevi,355.7,861,False
Xenopus laevi,355.7,862,False
Xenopus laevi,355.7,865,False
Xenopus laevi,355.7,866,False
Xenopus laevi,355.7,867,False
Xenopus laevi,355.7,870,False
Xenopus laevi,355.7,875,False
Xenopus laevi,355.7,876,False
Xenopus laevi,355.7,878,False
Xenopus laevi,355.7,880,False
Xenopus laevi,355.7,881,False
Xenopus laevi,355.7,882,False
Xenopus laevi,355.7,883,False
Xenopus laevi,355.7,884,False
Xenopus laevi,355.7,887,False
Xenopus laevi,355.7,888,False
Xenopus laevi,355.7,889,False
Xenopus laevi,355.7,891,False
Xenopus laevi,355.7,892,False
Xenopus laevi,355.7,893,False
Xenopus laevi,355.7,894,False
Xenopus laevi,355.7,897,False
Xenopus laevi,355.7,898,False
Xenopus laevi,355.7,899,False
Xenopus laevi,355.7,901,False
Xenopus laevi,355.7,902,False
Xenopus laevi,355.7,903,False
Xenopus laevi,355.7,904,False
Xenopus laevi,355.7,905,False
Xenopus laevi,355.7,907,False
Xenopus laevi,355.7,908,False
Xenopus laevi,355.7,909,False
Xenopus laevi,355.7,911,False
Xenopus laevi,355.7,913,False
Xenopus laevi,355.7,917,False
Xenopus laevi,355.7,918,False
Xenopus laevi,355.7,920,False
Xenopus laevi,355.7,2662,False
Xenopus laevi,355.7,813,False
Xenopus laevi,355.7,816,False
Xenopus laevi,355.7,817,False
Xenopus laevi,355.7,818,False
Xenopus laevi,355.7,819,False
Xenopus laevi,355.7,820,False
Xenopus laevi,355.7,821,False
Xenopus laevi,355.7,823,False
Xenopus laevi,355.7,832,False
Xenopus laevi,355.7,833,False
Xenopus laevi,355.7,834,False
Xenopus laevi,355.7,836,False
Xenopus laevi,355.7,837,False
Xenopus laevi,355.7,838,False
Xenopus laevi,355.7,839,False
Xenopus laevi,355.7,840,False
Xenopus laevi,355.7,843,False
Xenopus laevi,355.7,844,False
Xenopus laevi,355.7,848,False
Xenopus laevi,355.7,851,False
Xenopus laevi,355.7,856,False
Xenopus laevi,355.7,857,False
Xenopus laevi,355.7,858,False
Xenopus laevi,355.7,863,False
Xenopus laevi,355.7,864,False
Xenopus laevi,355.7,868,False
Xenopus laevi,355.7,871,False
Xenopus laevi,355.7,872,False
Xenopus laevi,355.7,873,False
Xenopus laevi,355.7,874,False
Xenopus laevi,355.7,877,False
Xenopus laevi,355.7,879,False
Xenopus laevi,355.7,885,False
Xenopus laevi,355.7,886,False
Xenopus laevi,355.7,890,False
Xenopus laevi,355.7,895,False
Xenopus laevi,355.7,896,False
Xenopus laevi,355.7,906,False
Xenopus laevi,355.7,910,False
Xenopus laevi,355.7,912,False
Xenopus laevi,355.7,914,False
Xenopus laevi,355.7,915,False
Xenopus laevi,355.7,916,False
Xenopus tropicalis,355.7,2706,False
Xenopus tropicalis,355.7,3638,False
Xenopus tropicalis,355.7,706,False
Xenopus tropicalis,355.7,250,False
Xenopus tropicalis,355.7,814,False
Xenopus tropicalis,355.7,853,False
Xenopus tropicalis,355.7,869,False
Xenopus tropicalis,355.7,900,False
Xenopus tropicalis,355.7,919,False
Xenopus tropicalis,355.7,2228,False
Xenopus tropicalis,355.7,2766,False
Xenopus tropicalis,355.7,812,False
Xenopus tropicalis,355.7,2244,False
Xenopus tropicalis,355.7,2716,False
Xenopus tropicalis,355.7,2782,False
Xenopus tropicalis,355.7,807,False
Xenopus tropicalis,355.7,808,False
