Species,timeFromHuman_MY,cluster,present
Latimeria chalumnae,411.9,4221,False
Latimeria chalumnae,411.9,8903,False
Latimeria chalumnae,411.9,3638,False
Latimeria chalumnae,411.9,706,False
Latimeria chalumnae,411.9,1007,False
Latimeria chalumnae,411.9,926,False
Latimeria chalumnae,411.9,6061,False
Latimeria chalumnae,411.9,250,False
Latimeria chalumnae,411.9,3627,False
Latimeria chalumnae,411.9,924,False
Latimeria chalumnae,411.9,5632,False
Latimeria chalumnae,411.9,5562,False
Latimeria chalumnae,411.9,9977,False
Latimeria chalumnae,411.9,3637,False
Latimeria chalumnae,411.9,1519,False
Latimeria chalumnae,411.9,923,False
Latimeria chalumnae,411.9,925,False
Nanorana parkeri,355.7,4221,False
Nanorana parkeri,355.7,8903,False
Nanorana parkeri,355.7,3638,False
Nanorana parkeri,355.7,706,False
Nanorana parkeri,355.7,1007,False
Nanorana parkeri,355.7,926,False
Nanorana parkeri,355.7,6061,False
Nanorana parkeri,355.7,250,False
Nanorana parkeri,355.7,3627,False
Nanorana parkeri,355.7,924,False
Nanorana parkeri,355.7,5632,False
Nanorana parkeri,355.7,5562,False
Nanorana parkeri,355.7,9977,False
Nanorana parkeri,355.7,3637,False
Nanorana parkeri,355.7,1519,False
Nanorana parkeri,355.7,923,False
Nanorana parkeri,355.7,925,False
Xenopus laevi,355.7,4221,False
Xenopus laevi,355.7,8903,False
Xenopus laevi,355.7,3638,False
Xenopus laevi,355.7,706,False
Xenopus laevi,355.7,1007,False
Xenopus laevi,355.7,926,False
Xenopus laevi,355.7,6061,False
Xenopus laevi,355.7,250,False
Xenopus laevi,355.7,3627,False
Xenopus laevi,355.7,924,False
Xenopus laevi,355.7,5632,False
Xenopus laevi,355.7,5562,False
Xenopus laevi,355.7,9977,False
Xenopus laevi,355.7,3637,False
Xenopus laevi,355.7,1519,False
Xenopus laevi,355.7,923,False
Xenopus laevi,355.7,925,False
Xenopus tropicalis,355.7,4221,False
Xenopus tropicalis,355.7,8903,False
Xenopus tropicalis,355.7,3638,False
Xenopus tropicalis,355.7,706,False
Xenopus tropicalis,355.7,1007,False
Xenopus tropicalis,355.7,926,False
Xenopus tropicalis,355.7,6061,False
Xenopus tropicalis,355.7,250,False
Xenopus tropicalis,355.7,3627,False
Xenopus tropicalis,355.7,924,False
Xenopus tropicalis,355.7,5632,False
Xenopus tropicalis,355.7,5562,False
Xenopus tropicalis,355.7,9977,False
Xenopus tropicalis,355.7,3637,False
Xenopus tropicalis,355.7,1519,False
Xenopus tropicalis,355.7,923,False
Xenopus tropicalis,355.7,925,False
Acanthisitta chloris,320.5,4221,False
Acanthisitta chloris,320.5,8903,False
Acanthisitta chloris,320.5,3638,True
Acanthisitta chloris,320.5,706,True
Acanthisitta chloris,320.5,1007,False
Acanthisitta chloris,320.5,926,False
Acanthisitta chloris,320.5,6061,False
Acanthisitta chloris,320.5,250,False
Acanthisitta chloris,320.5,3627,False
Acanthisitta chloris,320.5,924,False
Acanthisitta chloris,320.5,5632,False
Acanthisitta chloris,320.5,5562,False
Acanthisitta chloris,320.5,9977,False
Acanthisitta chloris,320.5,3637,False
Acanthisitta chloris,320.5,1519,False
Acanthisitta chloris,320.5,923,False
Acanthisitta chloris,320.5,925,False
Alligator mississippiensis,320.5,4221,True
Alligator mississippiensis,320.5,8903,True
Alligator mississippiensis,320.5,3638,True
Alligator mississippiensis,320.5,706,False
Alligator mississippiensis,320.5,1007,False
Alligator mississippiensis,320.5,926,True
Alligator mississippiensis,320.5,6061,False
Alligator mississippiensis,320.5,250,True
Alligator mississippiensis,320.5,3627,True
Alligator mississippiensis,320.5,924,True
Alligator mississippiensis,320.5,5632,True
Alligator mississippiensis,320.5,5562,False
Alligator mississippiensis,320.5,9977,False
Alligator mississippiensis,320.5,3637,True
Alligator mississippiensis,320.5,1519,False
Alligator mississippiensis,320.5,923,False
Alligator mississippiensis,320.5,925,False
Alligator sinensis,320.5,4221,True
Alligator sinensis,320.5,8903,True
Alligator sinensis,320.5,3638,True
Alligator sinensis,320.5,706,False
Alligator sinensis,320.5,1007,False
Alligator sinensis,320.5,926,True
Alligator sinensis,320.5,6061,True
Alligator sinensis,320.5,250,True
Alligator sinensis,320.5,3627,True
Alligator sinensis,320.5,924,True
Alligator sinensis,320.5,5632,True
Alligator sinensis,320.5,5562,False
Alligator sinensis,320.5,9977,False
Alligator sinensis,320.5,3637,True
Alligator sinensis,320.5,1519,False
Alligator sinensis,320.5,923,False
Alligator sinensis,320.5,925,False
Amazona vittata,320.5,4221,True
Amazona vittata,320.5,8903,True
Amazona vittata,320.5,3638,True
Amazona vittata,320.5,706,True
Amazona vittata,320.5,1007,False
Amazona vittata,320.5,926,True
Amazona vittata,320.5,6061,False
Amazona vittata,320.5,250,False
Amazona vittata,320.5,3627,False
Amazona vittata,320.5,924,False
Amazona vittata,320.5,5632,False
Amazona vittata,320.5,5562,False
Amazona vittata,320.5,9977,False
Amazona vittata,320.5,3637,False
Amazona vittata,320.5,1519,False
Amazona vittata,320.5,923,False
Amazona vittata,320.5,925,False
Anas platyrhynchos,320.5,4221,True
Anas platyrhynchos,320.5,8903,False
Anas platyrhynchos,320.5,3638,True
Anas platyrhynchos,320.5,706,True
Anas platyrhynchos,320.5,1007,True
Anas platyrhynchos,320.5,926,True
Anas platyrhynchos,320.5,6061,False
Anas platyrhynchos,320.5,250,False
Anas platyrhynchos,320.5,3627,False
Anas platyrhynchos,320.5,924,False
Anas platyrhynchos,320.5,5632,False
Anas platyrhynchos,320.5,5562,False
Anas platyrhynchos,320.5,9977,False
Anas platyrhynchos,320.5,3637,False
Anas platyrhynchos,320.5,1519,False
Anas platyrhynchos,320.5,923,False
Anas platyrhynchos,320.5,925,False
Anolis carolinensis,320.5,4221,True
Anolis carolinensis,320.5,8903,True
Anolis carolinensis,320.5,3638,True
Anolis carolinensis,320.5,706,False
Anolis carolinensis,320.5,1007,False
Anolis carolinensis,320.5,926,True
Anolis carolinensis,320.5,6061,False
Anolis carolinensis,320.5,250,False
Anolis carolinensis,320.5,3627,True
Anolis carolinensis,320.5,924,False
Anolis carolinensis,320.5,5632,False
Anolis carolinensis,320.5,5562,False
Anolis carolinensis,320.5,9977,False
Anolis carolinensis,320.5,3637,False
Anolis carolinensis,320.5,1519,False
Anolis carolinensis,320.5,923,False
Anolis carolinensis,320.5,925,False
Anser cygnoides domesticus,320.5,4221,False
Anser cygnoides domesticus,320.5,8903,False
Anser cygnoides domesticus,320.5,3638,False
Anser cygnoides domesticus,320.5,706,True
Anser cygnoides domesticus,320.5,1007,True
Anser cygnoides domesticus,320.5,926,True
Anser cygnoides domesticus,320.5,6061,False
Anser cygnoides domesticus,320.5,250,False
Anser cygnoides domesticus,320.5,3627,False
Anser cygnoides domesticus,320.5,924,False
Anser cygnoides domesticus,320.5,5632,False
Anser cygnoides domesticus,320.5,5562,False
Anser cygnoides domesticus,320.5,9977,False
Anser cygnoides domesticus,320.5,3637,False
Anser cygnoides domesticus,320.5,1519,False
Anser cygnoides domesticus,320.5,923,False
Anser cygnoides domesticus,320.5,925,False
Antrostomus carolinensis,320.5,4221,True
Antrostomus carolinensis,320.5,8903,True
Antrostomus carolinensis,320.5,3638,False
Antrostomus carolinensis,320.5,706,True
Antrostomus carolinensis,320.5,1007,True
Antrostomus carolinensis,320.5,926,False
Antrostomus carolinensis,320.5,6061,False
Antrostomus carolinensis,320.5,250,False
Antrostomus carolinensis,320.5,3627,False
Antrostomus carolinensis,320.5,924,False
Antrostomus carolinensis,320.5,5632,False
Antrostomus carolinensis,320.5,5562,False
Antrostomus carolinensis,320.5,9977,False
Antrostomus carolinensis,320.5,3637,False
Antrostomus carolinensis,320.5,1519,False
Antrostomus carolinensis,320.5,923,False
Antrostomus carolinensis,320.5,925,False
Apalone spinifera,320.5,4221,False
Apalone spinifera,320.5,8903,False
Apalone spinifera,320.5,3638,True
Apalone spinifera,320.5,706,True
Apalone spinifera,320.5,1007,False
Apalone spinifera,320.5,926,False
Apalone spinifera,320.5,6061,False
Apalone spinifera,320.5,250,True
Apalone spinifera,320.5,3627,False
Apalone spinifera,320.5,924,False
Apalone spinifera,320.5,5632,False
Apalone spinifera,320.5,5562,False
Apalone spinifera,320.5,9977,False
Apalone spinifera,320.5,3637,False
Apalone spinifera,320.5,1519,False
Apalone spinifera,320.5,923,False
Apalone spinifera,320.5,925,False
Aptenodytes forsteri,320.5,4221,True
Aptenodytes forsteri,320.5,8903,False
Aptenodytes forsteri,320.5,3638,True
Aptenodytes forsteri,320.5,706,True
Aptenodytes forsteri,320.5,1007,True
Aptenodytes forsteri,320.5,926,True
Aptenodytes forsteri,320.5,6061,False
Aptenodytes forsteri,320.5,250,True
Aptenodytes forsteri,320.5,3627,False
Aptenodytes forsteri,320.5,924,True
Aptenodytes forsteri,320.5,5632,True
Aptenodytes forsteri,320.5,5562,False
Aptenodytes forsteri,320.5,9977,True
Aptenodytes forsteri,320.5,3637,False
Aptenodytes forsteri,320.5,1519,False
Aptenodytes forsteri,320.5,923,False
Aptenodytes forsteri,320.5,925,False
Apteryx australis mantelli,320.5,4221,True
Apteryx australis mantelli,320.5,8903,True
Apteryx australis mantelli,320.5,3638,True
Apteryx australis mantelli,320.5,706,True
Apteryx australis mantelli,320.5,1007,True
Apteryx australis mantelli,320.5,926,True
Apteryx australis mantelli,320.5,6061,True
Apteryx australis mantelli,320.5,250,True
Apteryx australis mantelli,320.5,3627,True
Apteryx australis mantelli,320.5,924,True
Apteryx australis mantelli,320.5,5632,True
Apteryx australis mantelli,320.5,5562,True
Apteryx australis mantelli,320.5,9977,True
Apteryx australis mantelli,320.5,3637,True
Apteryx australis mantelli,320.5,1519,True
Apteryx australis mantelli,320.5,923,True
Apteryx australis mantelli,320.5,925,True
Aquila chrysaetos,320.5,4221,True
Aquila chrysaetos,320.5,8903,False
Aquila chrysaetos,320.5,3638,True
Aquila chrysaetos,320.5,706,True
Aquila chrysaetos,320.5,1007,True
Aquila chrysaetos,320.5,926,True
Aquila chrysaetos,320.5,6061,False
Aquila chrysaetos,320.5,250,True
Aquila chrysaetos,320.5,3627,True
Aquila chrysaetos,320.5,924,True
Aquila chrysaetos,320.5,5632,True
Aquila chrysaetos,320.5,5562,True
Aquila chrysaetos,320.5,9977,False
Aquila chrysaetos,320.5,3637,False
Aquila chrysaetos,320.5,1519,False
Aquila chrysaetos,320.5,923,False
Aquila chrysaetos,320.5,925,False
Ara macao,320.5,4221,True
Ara macao,320.5,8903,False
Ara macao,320.5,3638,True
Ara macao,320.5,706,True
Ara macao,320.5,1007,False
Ara macao,320.5,926,True
Ara macao,320.5,6061,False
Ara macao,320.5,250,False
Ara macao,320.5,3627,False
Ara macao,320.5,924,False
Ara macao,320.5,5632,False
Ara macao,320.5,5562,False
Ara macao,320.5,9977,False
Ara macao,320.5,3637,False
Ara macao,320.5,1519,False
Ara macao,320.5,923,False
Ara macao,320.5,925,False
Balearica regulorum gibbericeps,320.5,4221,False
Balearica regulorum gibbericeps,320.5,8903,False
Balearica regulorum gibbericeps,320.5,3638,True
Balearica regulorum gibbericeps,320.5,706,True
Balearica regulorum gibbericeps,320.5,1007,True
Balearica regulorum gibbericeps,320.5,926,True
Balearica regulorum gibbericeps,320.5,6061,False
Balearica regulorum gibbericeps,320.5,250,False
Balearica regulorum gibbericeps,320.5,3627,False
Balearica regulorum gibbericeps,320.5,924,False
Balearica regulorum gibbericeps,320.5,5632,False
Balearica regulorum gibbericeps,320.5,5562,False
Balearica regulorum gibbericeps,320.5,9977,True
Balearica regulorum gibbericeps,320.5,3637,False
Balearica regulorum gibbericeps,320.5,1519,False
Balearica regulorum gibbericeps,320.5,923,False
Balearica regulorum gibbericeps,320.5,925,False
Calypte anna,320.5,4221,True
Calypte anna,320.5,8903,False
Calypte anna,320.5,3638,True
Calypte anna,320.5,706,False
Calypte anna,320.5,1007,False
Calypte anna,320.5,926,False
Calypte anna,320.5,6061,False
Calypte anna,320.5,250,False
Calypte anna,320.5,3627,False
Calypte anna,320.5,924,False
Calypte anna,320.5,5632,False
Calypte anna,320.5,5562,True
Calypte anna,320.5,9977,False
Calypte anna,320.5,3637,False
Calypte anna,320.5,1519,False
Calypte anna,320.5,923,False
Calypte anna,320.5,925,False
Caprimulgus carolinensis,320.5,4221,True
Caprimulgus carolinensis,320.5,8903,True
Caprimulgus carolinensis,320.5,3638,True
Caprimulgus carolinensis,320.5,706,True
Caprimulgus carolinensis,320.5,1007,True
Caprimulgus carolinensis,320.5,926,False
Caprimulgus carolinensis,320.5,6061,False
Caprimulgus carolinensis,320.5,250,False
Caprimulgus carolinensis,320.5,3627,False
Caprimulgus carolinensis,320.5,924,False
Caprimulgus carolinensis,320.5,5632,False
Caprimulgus carolinensis,320.5,5562,False
Caprimulgus carolinensis,320.5,9977,False
Caprimulgus carolinensis,320.5,3637,False
Caprimulgus carolinensis,320.5,1519,False
Caprimulgus carolinensis,320.5,923,True
Caprimulgus carolinensis,320.5,925,False
Cariama cristata,320.5,4221,False
Cariama cristata,320.5,8903,False
Cariama cristata,320.5,3638,True
Cariama cristata,320.5,706,True
Cariama cristata,320.5,1007,True
Cariama cristata,320.5,926,False
Cariama cristata,320.5,6061,False
Cariama cristata,320.5,250,True
Cariama cristata,320.5,3627,False
Cariama cristata,320.5,924,True
Cariama cristata,320.5,5632,False
Cariama cristata,320.5,5562,False
Cariama cristata,320.5,9977,False
Cariama cristata,320.5,3637,False
Cariama cristata,320.5,1519,False
Cariama cristata,320.5,923,False
Cariama cristata,320.5,925,False
Cathartes aura,320.5,4221,True
Cathartes aura,320.5,8903,False
Cathartes aura,320.5,3638,True
Cathartes aura,320.5,706,True
Cathartes aura,320.5,1007,True
Cathartes aura,320.5,926,False
Cathartes aura,320.5,6061,False
Cathartes aura,320.5,250,True
Cathartes aura,320.5,3627,False
Cathartes aura,320.5,924,False
Cathartes aura,320.5,5632,False
Cathartes aura,320.5,5562,False
Cathartes aura,320.5,9977,False
Cathartes aura,320.5,3637,False
Cathartes aura,320.5,1519,True
Cathartes aura,320.5,923,True
Cathartes aura,320.5,925,False
Chaetura pelagica,320.5,4221,True
Chaetura pelagica,320.5,8903,False
Chaetura pelagica,320.5,3638,True
Chaetura pelagica,320.5,706,True
Chaetura pelagica,320.5,1007,True
Chaetura pelagica,320.5,926,False
Chaetura pelagica,320.5,6061,False
Chaetura pelagica,320.5,250,False
Chaetura pelagica,320.5,3627,False
Chaetura pelagica,320.5,924,False
Chaetura pelagica,320.5,5632,False
Chaetura pelagica,320.5,5562,False
Chaetura pelagica,320.5,9977,False
Chaetura pelagica,320.5,3637,False
Chaetura pelagica,320.5,1519,False
Chaetura pelagica,320.5,923,False
Chaetura pelagica,320.5,925,False
Charadrius vociferus,320.5,4221,False
Charadrius vociferus,320.5,8903,False
Charadrius vociferus,320.5,3638,True
