Species,timeFromHuman_MY,cluster,present
Latimeria chalumnae,411.9,4221,False
Latimeria chalumnae,411.9,3638,False
Latimeria chalumnae,411.9,706,False
Latimeria chalumnae,411.9,926,False
Latimeria chalumnae,411.9,928,False
Nanorana parkeri,355.7,4221,False
Nanorana parkeri,355.7,3638,False
Nanorana parkeri,355.7,706,False
Nanorana parkeri,355.7,926,False
Nanorana parkeri,355.7,928,False
Xenopus laevi,355.7,4221,False
Xenopus laevi,355.7,3638,False
Xenopus laevi,355.7,706,False
Xenopus laevi,355.7,926,False
Xenopus laevi,355.7,928,False
Xenopus tropicalis,355.7,4221,False
Xenopus tropicalis,355.7,3638,False
Xenopus tropicalis,355.7,706,False
Xenopus tropicalis,355.7,926,False
Xenopus tropicalis,355.7,928,False
Acanthisitta chloris,320.5,4221,False
Acanthisitta chloris,320.5,3638,True
Acanthisitta chloris,320.5,706,True
Acanthisitta chloris,320.5,926,False
Acanthisitta chloris,320.5,928,False
Alligator mississippiensis,320.5,4221,True
Alligator mississippiensis,320.5,3638,True
Alligator mississippiensis,320.5,706,False
Alligator mississippiensis,320.5,926,True
Alligator mississippiensis,320.5,928,False
Alligator sinensis,320.5,4221,True
Alligator sinensis,320.5,3638,True
Alligator sinensis,320.5,706,False
Alligator sinensis,320.5,926,True
Alligator sinensis,320.5,928,False
Amazona vittata,320.5,4221,True
Amazona vittata,320.5,3638,True
Amazona vittata,320.5,706,True
Amazona vittata,320.5,926,True
Amazona vittata,320.5,928,False
Anas platyrhynchos,320.5,4221,True
Anas platyrhynchos,320.5,3638,True
Anas platyrhynchos,320.5,706,True
Anas platyrhynchos,320.5,926,True
Anas platyrhynchos,320.5,928,False
Anolis carolinensis,320.5,4221,True
Anolis carolinensis,320.5,3638,True
Anolis carolinensis,320.5,706,False
Anolis carolinensis,320.5,926,True
Anolis carolinensis,320.5,928,False
Anser cygnoides domesticus,320.5,4221,False
Anser cygnoides domesticus,320.5,3638,False
Anser cygnoides domesticus,320.5,706,True
Anser cygnoides domesticus,320.5,926,True
Anser cygnoides domesticus,320.5,928,False
Antrostomus carolinensis,320.5,4221,True
Antrostomus carolinensis,320.5,3638,False
Antrostomus carolinensis,320.5,706,True
Antrostomus carolinensis,320.5,926,False
Antrostomus carolinensis,320.5,928,False
Apalone spinifera,320.5,4221,False
Apalone spinifera,320.5,3638,True
Apalone spinifera,320.5,706,True
Apalone spinifera,320.5,926,False
Apalone spinifera,320.5,928,False
Aptenodytes forsteri,320.5,4221,True
Aptenodytes forsteri,320.5,3638,True
Aptenodytes forsteri,320.5,706,True
Aptenodytes forsteri,320.5,926,True
Aptenodytes forsteri,320.5,928,False
Apteryx australis mantelli,320.5,4221,True
Apteryx australis mantelli,320.5,3638,True
Apteryx australis mantelli,320.5,706,True
Apteryx australis mantelli,320.5,926,True
