Species,timeFromHuman_MY,cluster,present
Latimeria chalumnae,411.9,3638,False
Latimeria chalumnae,411.9,706,False
Latimeria chalumnae,411.9,1007,False
Latimeria chalumnae,411.9,926,False
Latimeria chalumnae,411.9,12092,False
Latimeria chalumnae,411.9,9977,False
Latimeria chalumnae,411.9,3368,False
Latimeria chalumnae,411.9,1006,False
Latimeria chalumnae,411.9,1008,False
Nanorana parkeri,355.7,3638,False
Nanorana parkeri,355.7,706,False
Nanorana parkeri,355.7,1007,False
Nanorana parkeri,355.7,926,False
Nanorana parkeri,355.7,12092,False
Nanorana parkeri,355.7,9977,False
Nanorana parkeri,355.7,3368,False
Nanorana parkeri,355.7,1006,False
Nanorana parkeri,355.7,1008,False
Xenopus laevi,355.7,3638,False
Xenopus laevi,355.7,706,False
Xenopus laevi,355.7,1007,False
Xenopus laevi,355.7,926,False
Xenopus laevi,355.7,12092,False
Xenopus laevi,355.7,9977,False
Xenopus laevi,355.7,3368,False
Xenopus laevi,355.7,1006,False
Xenopus laevi,355.7,1008,False
Xenopus tropicalis,355.7,3638,False
Xenopus tropicalis,355.7,706,False
Xenopus tropicalis,355.7,1007,False
Xenopus tropicalis,355.7,926,False
Xenopus tropicalis,355.7,12092,False
Xenopus tropicalis,355.7,9977,False
Xenopus tropicalis,355.7,3368,False
Xenopus tropicalis,355.7,1006,False
Xenopus tropicalis,355.7,1008,False
Acanthisitta chloris,320.5,3638,True
Acanthisitta chloris,320.5,706,True
Acanthisitta chloris,320.5,1007,False
Acanthisitta chloris,320.5,926,False
Acanthisitta chloris,320.5,12092,False
Acanthisitta chloris,320.5,9977,False
Acanthisitta chloris,320.5,3368,False
Acanthisitta chloris,320.5,1006,False
Acanthisitta chloris,320.5,1008,False
Alligator mississippiensis,320.5,3638,True
Alligator mississippiensis,320.5,706,False
Alligator mississippiensis,320.5,1007,False
Alligator mississippiensis,320.5,926,True
Alligator mississippiensis,320.5,12092,False
Alligator mississippiensis,320.5,9977,False
Alligator mississippiensis,320.5,3368,False
Alligator mississippiensis,320.5,1006,False
Alligator mississippiensis,320.5,1008,False
Alligator sinensis,320.5,3638,True
Alligator sinensis,320.5,706,False
Alligator sinensis,320.5,1007,False
Alligator sinensis,320.5,926,True
Alligator sinensis,320.5,12092,False
Alligator sinensis,320.5,9977,False
Alligator sinensis,320.5,3368,False
Alligator sinensis,320.5,1006,False
Alligator sinensis,320.5,1008,False
Amazona vittata,320.5,3638,True
Amazona vittata,320.5,706,True
Amazona vittata,320.5,1007,False
Amazona vittata,320.5,926,True
Amazona vittata,320.5,12092,False
Amazona vittata,320.5,9977,False
Amazona vittata,320.5,3368,False
Amazona vittata,320.5,1006,False
Amazona vittata,320.5,1008,False
Anas platyrhynchos,320.5,3638,True
Anas platyrhynchos,320.5,706,True
Anas platyrhynchos,320.5,1007,True
Anas platyrhynchos,320.5,926,True
Anas platyrhynchos,320.5,12092,True
Anas platyrhynchos,320.5,9977,False
Anas platyrhynchos,320.5,3368,False
Anas platyrhynchos,320.5,1006,False
Anas platyrhynchos,320.5,1008,False
Anolis carolinensis,320.5,3638,True
Anolis carolinensis,320.5,706,False
Anolis carolinensis,320.5,1007,False
Anolis carolinensis,320.5,926,True
Anolis carolinensis,320.5,12092,False
Anolis carolinensis,320.5,9977,False
Anolis carolinensis,320.5,3368,False
Anolis carolinensis,320.5,1006,False
Anolis carolinensis,320.5,1008,False
Anser cygnoides domesticus,320.5,3638,False
Anser cygnoides domesticus,320.5,706,True
Anser cygnoides domesticus,320.5,1007,True
Anser cygnoides domesticus,320.5,926,True
Anser cygnoides domesticus,320.5,12092,True
Anser cygnoides domesticus,320.5,9977,False
Anser cygnoides domesticus,320.5,3368,False
Anser cygnoides domesticus,320.5,1006,False
Anser cygnoides domesticus,320.5,1008,False
Antrostomus carolinensis,320.5,3638,False
Antrostomus carolinensis,320.5,706,True
Antrostomus carolinensis,320.5,1007,True
Antrostomus carolinensis,320.5,926,False
Antrostomus carolinensis,320.5,12092,False
Antrostomus carolinensis,320.5,9977,False
Antrostomus carolinensis,320.5,3368,False
Antrostomus carolinensis,320.5,1006,False
Antrostomus carolinensis,320.5,1008,False
Apalone spinifera,320.5,3638,True
Apalone spinifera,320.5,706,True
Apalone spinifera,320.5,1007,False
Apalone spinifera,320.5,926,False
Apalone spinifera,320.5,12092,False
Apalone spinifera,320.5,9977,False
Apalone spinifera,320.5,3368,False
Apalone spinifera,320.5,1006,False
Apalone spinifera,320.5,1008,False
Aptenodytes forsteri,320.5,3638,True
Aptenodytes forsteri,320.5,706,True
Aptenodytes forsteri,320.5,1007,True
Aptenodytes forsteri,320.5,926,True
Aptenodytes forsteri,320.5,12092,False
Aptenodytes forsteri,320.5,9977,True
Aptenodytes forsteri,320.5,3368,False
Aptenodytes forsteri,320.5,1006,False
Aptenodytes forsteri,320.5,1008,False
Apteryx australis mantelli,320.5,3638,True
Apteryx australis mantelli,320.5,706,True
Apteryx australis mantelli,320.5,1007,True
Apteryx australis mantelli,320.5,926,True
Apteryx australis mantelli,320.5,12092,False
Apteryx australis mantelli,320.5,9977,True
Apteryx australis mantelli,320.5,3368,False
Apteryx australis mantelli,320.5,1006,False
Apteryx australis mantelli,320.5,1008,False
Aquila chrysaetos,320.5,3638,True
Aquila chrysaetos,320.5,706,True
Aquila chrysaetos,320.5,1007,True
Aquila chrysaetos,320.5,926,True
Aquila chrysaetos,320.5,12092,True
Aquila chrysaetos,320.5,9977,False
Aquila chrysaetos,320.5,3368,False
Aquila chrysaetos,320.5,1006,False
Aquila chrysaetos,320.5,1008,False
Ara macao,320.5,3638,True
Ara macao,320.5,706,True
Ara macao,320.5,1007,False
Ara macao,320.5,926,True
Ara macao,320.5,12092,False
Ara macao,320.5,9977,False
Ara macao,320.5,3368,False
Ara macao,320.5,1006,False
Ara macao,320.5,1008,False
Balearica regulorum gibbericeps,320.5,3638,True
Balearica regulorum gibbericeps,320.5,706,True
Balearica regulorum gibbericeps,320.5,1007,True
Balearica regulorum gibbericeps,320.5,926,True
Balearica regulorum gibbericeps,320.5,12092,True
Balearica regulorum gibbericeps,320.5,9977,True
Balearica regulorum gibbericeps,320.5,3368,True
Balearica regulorum gibbericeps,320.5,1006,True
Balearica regulorum gibbericeps,320.5,1008,True
Calypte anna,320.5,3638,True
Calypte anna,320.5,706,False
Calypte anna,320.5,1007,False
