Species,timeFromHuman_MY,cluster,present
Latimeria chalumnae,411.9,4221,False
Latimeria chalumnae,411.9,8903,False
Latimeria chalumnae,411.9,1046,False
Latimeria chalumnae,411.9,11467,False
Latimeria chalumnae,411.9,1454,False
Latimeria chalumnae,411.9,14844,False
Latimeria chalumnae,411.9,4796,False
Latimeria chalumnae,411.9,2342,False
Latimeria chalumnae,411.9,2706,False
Latimeria chalumnae,411.9,11627,False
Latimeria chalumnae,411.9,13149,False
Latimeria chalumnae,411.9,1045,False
Latimeria chalumnae,411.9,1231,False
Latimeria chalumnae,411.9,1960,False
Latimeria chalumnae,411.9,5476,False
Latimeria chalumnae,411.9,14847,False
Latimeria chalumnae,411.9,14929,False
Latimeria chalumnae,411.9,2093,False
Latimeria chalumnae,411.9,5264,False
Latimeria chalumnae,411.9,6052,False
Latimeria chalumnae,411.9,13075,False
Latimeria chalumnae,411.9,14861,False
Latimeria chalumnae,411.9,1270,False
Latimeria chalumnae,411.9,3321,False
Latimeria chalumnae,411.9,5215,False
Latimeria chalumnae,411.9,10007,False
Latimeria chalumnae,411.9,10013,False
Latimeria chalumnae,411.9,12502,False
Latimeria chalumnae,411.9,13094,False
Latimeria chalumnae,411.9,1156,False
Latimeria chalumnae,411.9,3268,False
Latimeria chalumnae,411.9,1026,False
Latimeria chalumnae,411.9,3254,False
Latimeria chalumnae,411.9,3956,False
Latimeria chalumnae,411.9,5798,False
Latimeria chalumnae,411.9,6931,False
Latimeria chalumnae,411.9,7569,False
Latimeria chalumnae,411.9,14667,False
Latimeria chalumnae,411.9,5263,False
Latimeria chalumnae,411.9,5406,False
Latimeria chalumnae,411.9,967,False
Latimeria chalumnae,411.9,14920,False
Latimeria chalumnae,411.9,5070,False
Latimeria chalumnae,411.9,10886,False
Latimeria chalumnae,411.9,13297,False
Latimeria chalumnae,411.9,14891,False
Latimeria chalumnae,411.9,14926,False
Latimeria chalumnae,411.9,6294,False
Latimeria chalumnae,411.9,10131,False
Latimeria chalumnae,411.9,2137,False
Latimeria chalumnae,411.9,3239,False
Latimeria chalumnae,411.9,6969,False
Latimeria chalumnae,411.9,11639,False
Latimeria chalumnae,411.9,11661,False
Latimeria chalumnae,411.9,1216,False
Latimeria chalumnae,411.9,1458,False
Latimeria chalumnae,411.9,3238,False
Latimeria chalumnae,411.9,1004,False
Latimeria chalumnae,411.9,1036,False
Latimeria chalumnae,411.9,6307,False
Latimeria chalumnae,411.9,12528,False
Latimeria chalumnae,411.9,1080,False
Latimeria chalumnae,411.9,1572,False
Latimeria chalumnae,411.9,6059,False
Latimeria chalumnae,411.9,7049,False
Latimeria chalumnae,411.9,7332,False
Latimeria chalumnae,411.9,14896,False
Latimeria chalumnae,411.9,954,False
Latimeria chalumnae,411.9,6774,False
Latimeria chalumnae,411.9,11225,False
Latimeria chalumnae,411.9,12672,False
Latimeria chalumnae,411.9,754,False
Latimeria chalumnae,411.9,6694,False
Latimeria chalumnae,411.9,13331,False
Latimeria chalumnae,411.9,2095,False
Latimeria chalumnae,411.9,3010,False
Latimeria chalumnae,411.9,3803,False
Latimeria chalumnae,411.9,12512,False
Latimeria chalumnae,411.9,12106,False
Latimeria chalumnae,411.9,13786,False
Latimeria chalumnae,411.9,1943,False
Latimeria chalumnae,411.9,5151,False
Latimeria chalumnae,411.9,3265,False
Latimeria chalumnae,411.9,12505,False
Latimeria chalumnae,411.9,11442,False
Latimeria chalumnae,411.9,12469,False
Latimeria chalumnae,411.9,6016,False
Latimeria chalumnae,411.9,1373,False
Latimeria chalumnae,411.9,4609,False
Latimeria chalumnae,411.9,1286,False
Latimeria chalumnae,411.9,6649,False
Latimeria chalumnae,411.9,1239,False
Latimeria chalumnae,411.9,11649,False
Latimeria chalumnae,411.9,13275,False
Latimeria chalumnae,411.9,721,False
Latimeria chalumnae,411.9,8380,False
Latimeria chalumnae,411.9,12520,False
Latimeria chalumnae,411.9,3313,False
Latimeria chalumnae,411.9,4747,False
Latimeria chalumnae,411.9,2127,False
Latimeria chalumnae,411.9,8808,False
Latimeria chalumnae,411.9,750,False
Latimeria chalumnae,411.9,6938,False
Latimeria chalumnae,411.9,14041,False
Latimeria chalumnae,411.9,215,False
Latimeria chalumnae,411.9,13933,False
Latimeria chalumnae,411.9,6036,False
Latimeria chalumnae,411.9,5460,False
Latimeria chalumnae,411.9,1226,False
Latimeria chalumnae,411.9,6047,False
Latimeria chalumnae,411.9,2136,False
Latimeria chalumnae,411.9,13260,False
Latimeria chalumnae,411.9,1331,False
Latimeria chalumnae,411.9,3256,False
Latimeria chalumnae,411.9,7053,False
Latimeria chalumnae,411.9,11468,False
Latimeria chalumnae,411.9,7025,False
Latimeria chalumnae,411.9,11486,False
Latimeria chalumnae,411.9,5731,False
Latimeria chalumnae,411.9,6933,False
Latimeria chalumnae,411.9,11625,False
Latimeria chalumnae,411.9,10030,False
Latimeria chalumnae,411.9,2120,False
Latimeria chalumnae,411.9,4766,False
Latimeria chalumnae,411.9,6967,False
Latimeria chalumnae,411.9,2114,False
Latimeria chalumnae,411.9,3264,False
Latimeria chalumnae,411.9,5992,False
Latimeria chalumnae,411.9,6041,False
Latimeria chalumnae,411.9,7052,False
Latimeria chalumnae,411.9,11640,False
Latimeria chalumnae,411.9,11657,False
Latimeria chalumnae,411.9,13261,False
Latimeria chalumnae,411.9,13327,False
Latimeria chalumnae,411.9,3255,False
Latimeria chalumnae,411.9,3283,False
Latimeria chalumnae,411.9,6994,False
Latimeria chalumnae,411.9,7034,False
Latimeria chalumnae,411.9,7069,False
Latimeria chalumnae,411.9,6014,False
Latimeria chalumnae,411.9,11465,False
Latimeria chalumnae,411.9,11495,False
Latimeria chalumnae,411.9,6027,False
Latimeria chalumnae,411.9,7058,False
Latimeria chalumnae,411.9,12509,False
Latimeria chalumnae,411.9,13371,False
Latimeria chalumnae,411.9,10257,False
Latimeria chalumnae,411.9,10006,False
Latimeria chalumnae,411.9,4280,False
Latimeria chalumnae,411.9,3228,False
Latimeria chalumnae,411.9,709,False
Latimeria chalumnae,411.9,779,False
Latimeria chalumnae,411.9,1219,False
Latimeria chalumnae,411.9,1220,False
Latimeria chalumnae,411.9,1221,False
Latimeria chalumnae,411.9,1222,False
Latimeria chalumnae,411.9,1223,False
Latimeria chalumnae,411.9,1224,False
Latimeria chalumnae,411.9,1225,False
Latimeria chalumnae,411.9,1227,False
Latimeria chalumnae,411.9,1228,False
Latimeria chalumnae,411.9,1229,False
Latimeria chalumnae,411.9,1230,False
Latimeria chalumnae,411.9,1232,False
Latimeria chalumnae,411.9,1233,False
Latimeria chalumnae,411.9,1234,False
Latimeria chalumnae,411.9,1235,False
Latimeria chalumnae,411.9,1236,False
Latimeria chalumnae,411.9,1237,False
Latimeria chalumnae,411.9,1238,False
Latimeria chalumnae,411.9,1240,False
Latimeria chalumnae,411.9,1241,False
Latimeria chalumnae,411.9,1242,False
Latimeria chalumnae,411.9,1243,False
Latimeria chalumnae,411.9,1244,False
Latimeria chalumnae,411.9,1245,False
Latimeria chalumnae,411.9,1246,False
Latimeria chalumnae,411.9,1247,False
Latimeria chalumnae,411.9,1248,False
Latimeria chalumnae,411.9,1249,False
Latimeria chalumnae,411.9,1250,False
Latimeria chalumnae,411.9,1251,False
Latimeria chalumnae,411.9,1252,False
Latimeria chalumnae,411.9,1253,False
Latimeria chalumnae,411.9,1254,False
Latimeria chalumnae,411.9,1255,False
Latimeria chalumnae,411.9,1256,False
Latimeria chalumnae,411.9,1257,False
Latimeria chalumnae,411.9,1258,False
Latimeria chalumnae,411.9,1259,False
Latimeria chalumnae,411.9,1260,False
Latimeria chalumnae,411.9,1261,False
Latimeria chalumnae,411.9,1262,False
Latimeria chalumnae,411.9,1263,False
Latimeria chalumnae,411.9,1264,False
Latimeria chalumnae,411.9,1265,False
Latimeria chalumnae,411.9,1266,False
Latimeria chalumnae,411.9,1267,False
Nanorana parkeri,355.7,4221,False
Nanorana parkeri,355.7,8903,False
Nanorana parkeri,355.7,1046,False
Nanorana parkeri,355.7,11467,False
Nanorana parkeri,355.7,1454,False
Nanorana parkeri,355.7,14844,False
Nanorana parkeri,355.7,4796,False
Nanorana parkeri,355.7,2342,False
Nanorana parkeri,355.7,2706,False
Nanorana parkeri,355.7,11627,False
Nanorana parkeri,355.7,13149,False
Nanorana parkeri,355.7,1045,False
Nanorana parkeri,355.7,1231,False
Nanorana parkeri,355.7,1960,False
Nanorana parkeri,355.7,5476,False
Nanorana parkeri,355.7,14847,False
Nanorana parkeri,355.7,14929,False
Nanorana parkeri,355.7,2093,False
Nanorana parkeri,355.7,5264,False
Nanorana parkeri,355.7,6052,False
Nanorana parkeri,355.7,13075,False
Nanorana parkeri,355.7,14861,False
Nanorana parkeri,355.7,1270,False
Nanorana parkeri,355.7,3321,False
Nanorana parkeri,355.7,5215,False
Nanorana parkeri,355.7,10007,False
Nanorana parkeri,355.7,10013,False
Nanorana parkeri,355.7,12502,False
Nanorana parkeri,355.7,13094,False
Nanorana parkeri,355.7,1156,False
Nanorana parkeri,355.7,3268,False
Nanorana parkeri,355.7,1026,False
Nanorana parkeri,355.7,3254,False
Nanorana parkeri,355.7,3956,False
Nanorana parkeri,355.7,5798,False
Nanorana parkeri,355.7,6931,False
Nanorana parkeri,355.7,7569,False
Nanorana parkeri,355.7,14667,False
Nanorana parkeri,355.7,5263,False
Nanorana parkeri,355.7,5406,False
Nanorana parkeri,355.7,967,False
Nanorana parkeri,355.7,14920,False
Nanorana parkeri,355.7,5070,False
Nanorana parkeri,355.7,10886,False
Nanorana parkeri,355.7,13297,False
Nanorana parkeri,355.7,14891,False
Nanorana parkeri,355.7,14926,False
Nanorana parkeri,355.7,6294,False
Nanorana parkeri,355.7,10131,False
Nanorana parkeri,355.7,2137,False
Nanorana parkeri,355.7,3239,False
Nanorana parkeri,355.7,6969,False
Nanorana parkeri,355.7,11639,False
Nanorana parkeri,355.7,11661,False
Nanorana parkeri,355.7,1216,False
Nanorana parkeri,355.7,1458,False
Nanorana parkeri,355.7,3238,False
Nanorana parkeri,355.7,1004,False
Nanorana parkeri,355.7,1036,False
Nanorana parkeri,355.7,6307,False
Nanorana parkeri,355.7,12528,False
Nanorana parkeri,355.7,1080,False
Nanorana parkeri,355.7,1572,False
Nanorana parkeri,355.7,6059,False
Nanorana parkeri,355.7,7049,False
Nanorana parkeri,355.7,7332,False
Nanorana parkeri,355.7,14896,False
Nanorana parkeri,355.7,954,False
Nanorana parkeri,355.7,6774,False
Nanorana parkeri,355.7,11225,False
Nanorana parkeri,355.7,12672,False
Nanorana parkeri,355.7,754,False
Nanorana parkeri,355.7,6694,False
Nanorana parkeri,355.7,13331,False
Nanorana parkeri,355.7,2095,False
Nanorana parkeri,355.7,3010,False
Nanorana parkeri,355.7,3803,False
Nanorana parkeri,355.7,12512,False
Nanorana parkeri,355.7,12106,False
Nanorana parkeri,355.7,13786,False
Nanorana parkeri,355.7,1943,False
Nanorana parkeri,355.7,5151,False
Nanorana parkeri,355.7,3265,False
Nanorana parkeri,355.7,12505,False
Nanorana parkeri,355.7,11442,False
Nanorana parkeri,355.7,12469,False
Nanorana parkeri,355.7,6016,False
Nanorana parkeri,355.7,1373,False
Nanorana parkeri,355.7,4609,False
Nanorana parkeri,355.7,1286,False
Nanorana parkeri,355.7,6649,False
Nanorana parkeri,355.7,1239,False
Nanorana parkeri,355.7,11649,False
Nanorana parkeri,355.7,13275,False
Nanorana parkeri,355.7,721,False
Nanorana parkeri,355.7,8380,False
Nanorana parkeri,355.7,12520,False
Nanorana parkeri,355.7,3313,False
Nanorana parkeri,355.7,4747,False
Nanorana parkeri,355.7,2127,False
Nanorana parkeri,355.7,8808,False
Nanorana parkeri,355.7,750,False
Nanorana parkeri,355.7,6938,False
Nanorana parkeri,355.7,14041,False
Nanorana parkeri,355.7,215,False
Nanorana parkeri,355.7,13933,False
Nanorana parkeri,355.7,6036,False
Nanorana parkeri,355.7,5460,False
Nanorana parkeri,355.7,1226,False
Nanorana parkeri,355.7,6047,False
Nanorana parkeri,355.7,2136,False
Nanorana parkeri,355.7,13260,False
Nanorana parkeri,355.7,1331,False
Nanorana parkeri,355.7,3256,False
Nanorana parkeri,355.7,7053,False
Nanorana parkeri,355.7,11468,False
Nanorana parkeri,355.7,7025,False
Nanorana parkeri,355.7,11486,False
Nanorana parkeri,355.7,5731,False
Nanorana parkeri,355.7,6933,False
Nanorana parkeri,355.7,11625,False
Nanorana parkeri,355.7,10030,False
Nanorana parkeri,355.7,2120,False
Nanorana parkeri,355.7,4766,False
Nanorana parkeri,355.7,6967,False
Nanorana parkeri,355.7,2114,False
Nanorana parkeri,355.7,3264,False
Nanorana parkeri,355.7,5992,False
Nanorana parkeri,355.7,6041,False
Nanorana parkeri,355.7,7052,False
Nanorana parkeri,355.7,11640,False
Nanorana parkeri,355.7,11657,False
Nanorana parkeri,355.7,13261,False
Nanorana parkeri,355.7,13327,False
Nanorana parkeri,355.7,3255,False
Nanorana parkeri,355.7,3283,False
Nanorana parkeri,355.7,6994,False
Nanorana parkeri,355.7,7034,False
Nanorana parkeri,355.7,7069,False
Nanorana parkeri,355.7,6014,False
Nanorana parkeri,355.7,11465,False
Nanorana parkeri,355.7,11495,False
Nanorana parkeri,355.7,6027,False
Nanorana parkeri,355.7,7058,False
Nanorana parkeri,355.7,12509,False
Nanorana parkeri,355.7,13371,False
Nanorana parkeri,355.7,10257,False
Nanorana parkeri,355.7,10006,False
Nanorana parkeri,355.7,4280,False
Nanorana parkeri,355.7,3228,False
Nanorana parkeri,355.7,709,False
Nanorana parkeri,355.7,779,False
Nanorana parkeri,355.7,1219,False
Nanorana parkeri,355.7,1220,False
Nanorana parkeri,355.7,1221,False
Nanorana parkeri,355.7,1222,False
Nanorana parkeri,355.7,1223,False
Nanorana parkeri,355.7,1224,False
Nanorana parkeri,355.7,1225,False
Nanorana parkeri,355.7,1227,False
Nanorana parkeri,355.7,1228,False
Nanorana parkeri,355.7,1229,False
Nanorana parkeri,355.7,1230,False
Nanorana parkeri,355.7,1232,False
Nanorana parkeri,355.7,1233,False
Nanorana parkeri,355.7,1234,False
Nanorana parkeri,355.7,1235,False
Nanorana parkeri,355.7,1236,False
Nanorana parkeri,355.7,1237,False
Nanorana parkeri,355.7,1238,False
Nanorana parkeri,355.7,1240,False
Nanorana parkeri,355.7,1241,False
Nanorana parkeri,355.7,1242,False
Nanorana parkeri,355.7,1243,False
Nanorana parkeri,355.7,1244,False
Nanorana parkeri,355.7,1245,False
Nanorana parkeri,355.7,1246,False
Nanorana parkeri,355.7,1247,False
Nanorana parkeri,355.7,1248,False
Nanorana parkeri,355.7,1249,False
Nanorana parkeri,355.7,1250,False
Nanorana parkeri,355.7,1251,False
Nanorana parkeri,355.7,1252,False
Nanorana parkeri,355.7,1253,False
Nanorana parkeri,355.7,1254,False
