Species,timeFromHuman_MY,cluster,present
Latimeria chalumnae,411.9,4221,False
Latimeria chalumnae,411.9,3638,False
Latimeria chalumnae,411.9,706,False
Latimeria chalumnae,411.9,1007,False
Latimeria chalumnae,411.9,250,False
Latimeria chalumnae,411.9,12092,False
Latimeria chalumnae,411.9,4631,False
Latimeria chalumnae,411.9,705,False
Latimeria chalumnae,411.9,1519,False
Latimeria chalumnae,411.9,923,False
Nanorana parkeri,355.7,4221,False
Nanorana parkeri,355.7,3638,False
Nanorana parkeri,355.7,706,False
Nanorana parkeri,355.7,1007,False
Nanorana parkeri,355.7,250,False
Nanorana parkeri,355.7,12092,False
Nanorana parkeri,355.7,4631,False
Nanorana parkeri,355.7,705,False
Nanorana parkeri,355.7,1519,False
Nanorana parkeri,355.7,923,False
Xenopus laevi,355.7,4221,False
Xenopus laevi,355.7,3638,False
Xenopus laevi,355.7,706,False
Xenopus laevi,355.7,1007,False
Xenopus laevi,355.7,250,False
Xenopus laevi,355.7,12092,False
Xenopus laevi,355.7,4631,False
Xenopus laevi,355.7,705,False
Xenopus laevi,355.7,1519,False
Xenopus laevi,355.7,923,False
Xenopus tropicalis,355.7,4221,False
Xenopus tropicalis,355.7,3638,False
Xenopus tropicalis,355.7,706,False
Xenopus tropicalis,355.7,1007,False
Xenopus tropicalis,355.7,250,False
Xenopus tropicalis,355.7,12092,False
Xenopus tropicalis,355.7,4631,False
Xenopus tropicalis,355.7,705,False
Xenopus tropicalis,355.7,1519,False
Xenopus tropicalis,355.7,923,False
Acanthisitta chloris,320.5,4221,False
Acanthisitta chloris,320.5,3638,True
Acanthisitta chloris,320.5,706,True
Acanthisitta chloris,320.5,1007,False
Acanthisitta chloris,320.5,250,False
Acanthisitta chloris,320.5,12092,False
Acanthisitta chloris,320.5,4631,False
Acanthisitta chloris,320.5,705,False
Acanthisitta chloris,320.5,1519,False
Acanthisitta chloris,320.5,923,False
Alligator mississippiensis,320.5,4221,True
Alligator mississippiensis,320.5,3638,True
Alligator mississippiensis,320.5,706,False
Alligator mississippiensis,320.5,1007,False
Alligator mississippiensis,320.5,250,True
Alligator mississippiensis,320.5,12092,False
Alligator mississippiensis,320.5,4631,False
Alligator mississippiensis,320.5,705,False
Alligator mississippiensis,320.5,1519,False
Alligator mississippiensis,320.5,923,False
Alligator sinensis,320.5,4221,True
Alligator sinensis,320.5,3638,True
Alligator sinensis,320.5,706,False
Alligator sinensis,320.5,1007,False
Alligator sinensis,320.5,250,True
Alligator sinensis,320.5,12092,False
Alligator sinensis,320.5,4631,True
Alligator sinensis,320.5,705,False
Alligator sinensis,320.5,1519,False
Alligator sinensis,320.5,923,False
Amazona vittata,320.5,4221,True
Amazona vittata,320.5,3638,True
Amazona vittata,320.5,706,True
Amazona vittata,320.5,1007,False
Amazona vittata,320.5,250,False
