Species,timeFromHuman_MY,cluster,present
Latimeria chalumnae,411.9,3638,False
Latimeria chalumnae,411.9,706,False
Latimeria chalumnae,411.9,1007,False
Latimeria chalumnae,411.9,250,False
Latimeria chalumnae,411.9,9977,False
Latimeria chalumnae,411.9,1519,False
Latimeria chalumnae,411.9,2143,False
Latimeria chalumnae,411.9,2144,False
Nanorana parkeri,355.7,3638,False
Nanorana parkeri,355.7,706,False
Nanorana parkeri,355.7,1007,False
Nanorana parkeri,355.7,250,False
Nanorana parkeri,355.7,9977,False
Nanorana parkeri,355.7,1519,False
Nanorana parkeri,355.7,2143,False
Nanorana parkeri,355.7,2144,False
Xenopus laevi,355.7,3638,False
Xenopus laevi,355.7,706,False
Xenopus laevi,355.7,1007,False
Xenopus laevi,355.7,250,False
Xenopus laevi,355.7,9977,False
Xenopus laevi,355.7,1519,False
Xenopus laevi,355.7,2143,False
Xenopus laevi,355.7,2144,False
Xenopus tropicalis,355.7,3638,False
Xenopus tropicalis,355.7,706,False
Xenopus tropicalis,355.7,1007,False
Xenopus tropicalis,355.7,250,False
Xenopus tropicalis,355.7,9977,False
Xenopus tropicalis,355.7,1519,False
Xenopus tropicalis,355.7,2143,False
Xenopus tropicalis,355.7,2144,False
Acanthisitta chloris,320.5,3638,True
Acanthisitta chloris,320.5,706,True
Acanthisitta chloris,320.5,1007,False
Acanthisitta chloris,320.5,250,False
Acanthisitta chloris,320.5,9977,False
Acanthisitta chloris,320.5,1519,False
Acanthisitta chloris,320.5,2143,False
Acanthisitta chloris,320.5,2144,False
Alligator mississippiensis,320.5,3638,True
Alligator mississippiensis,320.5,706,False
Alligator mississippiensis,320.5,1007,False
Alligator mississippiensis,320.5,250,True
Alligator mississippiensis,320.5,9977,False
Alligator mississippiensis,320.5,1519,False
Alligator mississippiensis,320.5,2143,False
Alligator mississippiensis,320.5,2144,False
Alligator sinensis,320.5,3638,True
Alligator sinensis,320.5,706,False
Alligator sinensis,320.5,1007,False
Alligator sinensis,320.5,250,True
Alligator sinensis,320.5,9977,False
Alligator sinensis,320.5,1519,False
Alligator sinensis,320.5,2143,False
Alligator sinensis,320.5,2144,False
Amazona vittata,320.5,3638,True
Amazona vittata,320.5,706,True
Amazona vittata,320.5,1007,False
Amazona vittata,320.5,250,False
Amazona vittata,320.5,9977,False
Amazona vittata,320.5,1519,False
Amazona vittata,320.5,2143,False
Amazona vittata,320.5,2144,False
Anas platyrhynchos,320.5,3638,True
Anas platyrhynchos,320.5,706,True
Anas platyrhynchos,320.5,1007,True
Anas platyrhynchos,320.5,250,False
Anas platyrhynchos,320.5,9977,False
Anas platyrhynchos,320.5,1519,False
Anas platyrhynchos,320.5,2143,False
Anas platyrhynchos,320.5,2144,False
Anolis carolinensis,320.5,3638,True
Anolis carolinensis,320.5,706,False
Anolis carolinensis,320.5,1007,False
Anolis carolinensis,320.5,250,False
Anolis carolinensis,320.5,9977,False
Anolis carolinensis,320.5,1519,False
Anolis carolinensis,320.5,2143,False
Anolis carolinensis,320.5,2144,False
Anser cygnoides domesticus,320.5,3638,False
Anser cygnoides domesticus,320.5,706,True
Anser cygnoides domesticus,320.5,1007,True
Anser cygnoides domesticus,320.5,250,False
Anser cygnoides domesticus,320.5,9977,False
Anser cygnoides domesticus,320.5,1519,False
Anser cygnoides domesticus,320.5,2143,False
Anser cygnoides domesticus,320.5,2144,False
Antrostomus carolinensis,320.5,3638,False
Antrostomus carolinensis,320.5,706,True
Antrostomus carolinensis,320.5,1007,True
Antrostomus carolinensis,320.5,250,False
Antrostomus carolinensis,320.5,9977,False
Antrostomus carolinensis,320.5,1519,False
Antrostomus carolinensis,320.5,2143,False
Antrostomus carolinensis,320.5,2144,False
Apalone spinifera,320.5,3638,True
Apalone spinifera,320.5,706,True
Apalone spinifera,320.5,1007,False
Apalone spinifera,320.5,250,True
Apalone spinifera,320.5,9977,False
Apalone spinifera,320.5,1519,False
Apalone spinifera,320.5,2143,False
Apalone spinifera,320.5,2144,False
Aptenodytes forsteri,320.5,3638,True
Aptenodytes forsteri,320.5,706,True
Aptenodytes forsteri,320.5,1007,True
Aptenodytes forsteri,320.5,250,True
Aptenodytes forsteri,320.5,9977,True
Aptenodytes forsteri,320.5,1519,False
Aptenodytes forsteri,320.5,2143,False
Aptenodytes forsteri,320.5,2144,False
Apteryx australis mantelli,320.5,3638,True
Apteryx australis mantelli,320.5,706,True
Apteryx australis mantelli,320.5,1007,True
Apteryx australis mantelli,320.5,250,True
Apteryx australis mantelli,320.5,9977,True
Apteryx australis mantelli,320.5,1519,True
Apteryx australis mantelli,320.5,2143,False
Apteryx australis mantelli,320.5,2144,False
Aquila chrysaetos,320.5,3638,True
Aquila chrysaetos,320.5,706,True
Aquila chrysaetos,320.5,1007,True
Aquila chrysaetos,320.5,250,True
Aquila chrysaetos,320.5,9977,False
Aquila chrysaetos,320.5,1519,False
Aquila chrysaetos,320.5,2143,False
Aquila chrysaetos,320.5,2144,False
Ara macao,320.5,3638,True
Ara macao,320.5,706,True
Ara macao,320.5,1007,False
Ara macao,320.5,250,False
Ara macao,320.5,9977,False
Ara macao,320.5,1519,False
Ara macao,320.5,2143,False
Ara macao,320.5,2144,False
Balearica regulorum gibbericeps,320.5,3638,True
Balearica regulorum gibbericeps,320.5,706,True
Balearica regulorum gibbericeps,320.5,1007,True
Balearica regulorum gibbericeps,320.5,250,False
Balearica regulorum gibbericeps,320.5,9977,True
Balearica regulorum gibbericeps,320.5,1519,False
Balearica regulorum gibbericeps,320.5,2143,False
Balearica regulorum gibbericeps,320.5,2144,False
Calypte anna,320.5,3638,True
Calypte anna,320.5,706,False
Calypte anna,320.5,1007,False
Calypte anna,320.5,250,False
Calypte anna,320.5,9977,False
Calypte anna,320.5,1519,False
Calypte anna,320.5,2143,False
Calypte anna,320.5,2144,False
Caprimulgus carolinensis,320.5,3638,True
Caprimulgus carolinensis,320.5,706,True
Caprimulgus carolinensis,320.5,1007,True
Caprimulgus carolinensis,320.5,250,False
Caprimulgus carolinensis,320.5,9977,False
Caprimulgus carolinensis,320.5,1519,False
Caprimulgus carolinensis,320.5,2143,False
Caprimulgus carolinensis,320.5,2144,False
Cariama cristata,320.5,3638,True
Cariama cristata,320.5,706,True
Cariama cristata,320.5,1007,True
Cariama cristata,320.5,250,True
Cariama cristata,320.5,9977,False
Cariama cristata,320.5,1519,False
