Species,timeFromHuman_MY,cluster,present
Latimeria chalumnae,411.9,4221,False
Nanorana parkeri,355.7,4221,False
Xenopus laevi,355.7,4221,False
Xenopus tropicalis,355.7,4221,False
Acanthisitta chloris,320.5,4221,False
Alligator mississippiensis,320.5,4221,True
Alligator sinensis,320.5,4221,True
Amazona vittata,320.5,4221,True
Anas platyrhynchos,320.5,4221,True
Anolis carolinensis,320.5,4221,True
Anser cygnoides domesticus,320.5,4221,False
Antrostomus carolinensis,320.5,4221,True
Apalone spinifera,320.5,4221,False
Aptenodytes forsteri,320.5,4221,True
Apteryx australis mantelli,320.5,4221,True
Aquila chrysaetos,320.5,4221,True
Ara macao,320.5,4221,True
Balearica regulorum gibbericeps,320.5,4221,False
Calypte anna,320.5,4221,True
Caprimulgus carolinensis,320.5,4221,True
Cariama cristata,320.5,4221,False
Cathartes aura,320.5,4221,True
Chaetura pelagica,320.5,4221,True
Charadrius vociferus,320.5,4221,False
Chelonia mydas,320.5,4221,True
Chlamydotis macqueenii,320.5,4221,True
Chrysemys picta bellii,320.5,4221,True
Colinus virginianus,320.5,4221,True
Colius striatus,320.5,4221,False
Columba livia,320.5,4221,True
Corvus brachyrhynchos,320.5,4221,True
Corvus cornix cornix,320.5,4221,False
Crocodylus porosus,320.5,4221,True
Crotalus mitchellii,320.5,4221,True
Cuculus canorus,320.5,4221,True
Egretta garzetta,320.5,4221,True
Eurypyga helias,320.5,4221,False
Falco cherrug,320.5,4221,True
Falco peregrinus,320.5,4221,False
Ficedula albicollis,320.5,4221,True
Fulmarus glacialis,320.5,4221,False
Gallus gallus,320.5,4221,True
Gavia stellata,320.5,4221,False
Gavialis gangeticus,320.5,4221,True
Geospiza fortis,320.5,4221,True
Haliaeetus albicilla,320.5,4221,False
Haliaeetus leucocephalus,320.5,4221,False
Leptosomus discolor,320.5,4221,True
Manacus vitellinus,320.5,4221,True
Meleagris gallopavo,320.5,4221,True
Melopsittacus undulatus,320.5,4221,True
Mesitornis unicolor,320.5,4221,True
Nestor notabilis,320.5,4221,True
Nipponia nippon,320.5,4221,True
Ophiophagus hannah,320.5,4221,True
Ophisaurus gracilis,320.5,4221,True
Opisthocomus hoazin,320.5,4221,True
Pelecanus crispus,320.5,4221,True
Pelodiscus sinensis,320.5,4221,True
Phaethon lepturus,320.5,4221,False
Phalacrocorax carbo,320.5,4221,False
Phoenicopterus ruber ruber,320.5,4221,False
Picoides pubescens,320.5,4221,True
Podiceps cristatus,320.5,4221,False
Pogona vitticeps,320.5,4221,True
Pseudopoces humilis,320.5,4221,True
Pseudopodoces humilis,320.5,4221,True
