Species,timeFromHuman_MY,cluster,present
Latimeria chalumnae,411.9,4221,False
Latimeria chalumnae,411.9,8903,False
Latimeria chalumnae,411.9,2706,False
Latimeria chalumnae,411.9,706,False
Latimeria chalumnae,411.9,1007,False
Latimeria chalumnae,411.9,5129,False
Latimeria chalumnae,411.9,13913,False
Latimeria chalumnae,411.9,6061,False
Latimeria chalumnae,411.9,250,False
Latimeria chalumnae,411.9,3627,False
Latimeria chalumnae,411.9,5558,False
Latimeria chalumnae,411.9,924,False
Latimeria chalumnae,411.9,5632,False
Latimeria chalumnae,411.9,3602,False
Latimeria chalumnae,411.9,5705,False
Latimeria chalumnae,411.9,396,False
Latimeria chalumnae,411.9,2208,False
Latimeria chalumnae,411.9,15065,False
Latimeria chalumnae,411.9,392,False
Latimeria chalumnae,411.9,3591,False
Latimeria chalumnae,411.9,254,False
Latimeria chalumnae,411.9,2210,False
Latimeria chalumnae,411.9,2218,False
Latimeria chalumnae,411.9,2696,False
Latimeria chalumnae,411.9,2846,False
Latimeria chalumnae,411.9,3630,False
Latimeria chalumnae,411.9,3637,False
Latimeria chalumnae,411.9,3770,False
Latimeria chalumnae,411.9,307,False
Latimeria chalumnae,411.9,320,False
Latimeria chalumnae,411.9,2703,False
Latimeria chalumnae,411.9,5592,False
Latimeria chalumnae,411.9,5678,False
Latimeria chalumnae,411.9,5593,False
Latimeria chalumnae,411.9,814,False
Latimeria chalumnae,411.9,853,False
Latimeria chalumnae,411.9,869,False
Latimeria chalumnae,411.9,900,False
Latimeria chalumnae,411.9,919,False
Latimeria chalumnae,411.9,2228,False
Latimeria chalumnae,411.9,2683,False
Latimeria chalumnae,411.9,2766,False
Latimeria chalumnae,411.9,11169,False
Latimeria chalumnae,411.9,2162,False
Latimeria chalumnae,411.9,2207,False
Latimeria chalumnae,411.9,2219,False
Latimeria chalumnae,411.9,2224,False
Latimeria chalumnae,411.9,2236,False
Latimeria chalumnae,411.9,2244,False
Latimeria chalumnae,411.9,2659,False
Latimeria chalumnae,411.9,2682,False
Latimeria chalumnae,411.9,2695,False
Latimeria chalumnae,411.9,2698,False
Latimeria chalumnae,411.9,2699,False
Latimeria chalumnae,411.9,2716,False
Latimeria chalumnae,411.9,2742,False
Latimeria chalumnae,411.9,2745,False
Latimeria chalumnae,411.9,2767,False
Latimeria chalumnae,411.9,2782,False
Latimeria chalumnae,411.9,2799,False
Latimeria chalumnae,411.9,2804,False
Latimeria chalumnae,411.9,2877,False
Latimeria chalumnae,411.9,2957,False
Latimeria chalumnae,411.9,2178,False
Latimeria chalumnae,411.9,2662,False
Latimeria chalumnae,411.9,2663,False
Latimeria chalumnae,411.9,2667,False
Latimeria chalumnae,411.9,2668,False
Latimeria chalumnae,411.9,2671,False
Latimeria chalumnae,411.9,2672,False
Latimeria chalumnae,411.9,2674,False
Latimeria chalumnae,411.9,2675,False
Latimeria chalumnae,411.9,2676,False
Latimeria chalumnae,411.9,2677,False
Latimeria chalumnae,411.9,2678,False
Latimeria chalumnae,411.9,2680,False
Latimeria chalumnae,411.9,2681,False
Latimeria chalumnae,411.9,2684,False
Latimeria chalumnae,411.9,2686,False
Latimeria chalumnae,411.9,2691,False
Latimeria chalumnae,411.9,2702,False
Latimeria chalumnae,411.9,2707,False
Latimeria chalumnae,411.9,2727,False
Latimeria chalumnae,411.9,2731,False
Latimeria chalumnae,411.9,2732,False
Latimeria chalumnae,411.9,2746,False
Latimeria chalumnae,411.9,2762,False
Latimeria chalumnae,411.9,2763,False
Latimeria chalumnae,411.9,2764,False
Latimeria chalumnae,411.9,2765,False
Latimeria chalumnae,411.9,2774,False
Latimeria chalumnae,411.9,2777,False
Latimeria chalumnae,411.9,2778,False
Latimeria chalumnae,411.9,2779,False
Latimeria chalumnae,411.9,2781,False
Latimeria chalumnae,411.9,2786,False
Latimeria chalumnae,411.9,2787,False
Latimeria chalumnae,411.9,2788,False
Latimeria chalumnae,411.9,2789,False
Latimeria chalumnae,411.9,2791,False
Latimeria chalumnae,411.9,2792,False
Latimeria chalumnae,411.9,2793,False
Latimeria chalumnae,411.9,2795,False
Latimeria chalumnae,411.9,2802,False
Latimeria chalumnae,411.9,2805,False
Latimeria chalumnae,411.9,2816,False
Latimeria chalumnae,411.9,2820,False
Latimeria chalumnae,411.9,2835,False
Latimeria chalumnae,411.9,2840,False
Latimeria chalumnae,411.9,2841,False
Latimeria chalumnae,411.9,2842,False
Latimeria chalumnae,411.9,2843,False
Latimeria chalumnae,411.9,2854,False
Latimeria chalumnae,411.9,2855,False
Latimeria chalumnae,411.9,2856,False
Latimeria chalumnae,411.9,2859,False
Latimeria chalumnae,411.9,2863,False
Latimeria chalumnae,411.9,2864,False
Latimeria chalumnae,411.9,2866,False
Latimeria chalumnae,411.9,2867,False
Latimeria chalumnae,411.9,2882,False
Latimeria chalumnae,411.9,2883,False
Latimeria chalumnae,411.9,2884,False
Latimeria chalumnae,411.9,2885,False
Latimeria chalumnae,411.9,2886,False
Latimeria chalumnae,411.9,2888,False
Latimeria chalumnae,411.9,2889,False
Latimeria chalumnae,411.9,2892,False
Latimeria chalumnae,411.9,2894,False
Latimeria chalumnae,411.9,2899,False
Latimeria chalumnae,411.9,2901,False
Latimeria chalumnae,411.9,2902,False
Latimeria chalumnae,411.9,2903,False
Latimeria chalumnae,411.9,2904,False
Latimeria chalumnae,411.9,2909,False
Latimeria chalumnae,411.9,2916,False
Latimeria chalumnae,411.9,2920,False
Latimeria chalumnae,411.9,2941,False
Latimeria chalumnae,411.9,2950,False
Latimeria chalumnae,411.9,2951,False
Latimeria chalumnae,411.9,2953,False
Latimeria chalumnae,411.9,2959,False
Latimeria chalumnae,411.9,2971,False
Latimeria chalumnae,411.9,2985,False
Latimeria chalumnae,411.9,2660,False
Latimeria chalumnae,411.9,2661,False
Latimeria chalumnae,411.9,2664,False
Latimeria chalumnae,411.9,2665,False
Latimeria chalumnae,411.9,2666,False
Latimeria chalumnae,411.9,2669,False
Latimeria chalumnae,411.9,2670,False
Latimeria chalumnae,411.9,2673,False
Latimeria chalumnae,411.9,2679,False
Latimeria chalumnae,411.9,2685,False
Latimeria chalumnae,411.9,2687,False
Latimeria chalumnae,411.9,2688,False
Latimeria chalumnae,411.9,2689,False
Latimeria chalumnae,411.9,2690,False
Latimeria chalumnae,411.9,2692,False
Latimeria chalumnae,411.9,2693,False
Latimeria chalumnae,411.9,2694,False
Latimeria chalumnae,411.9,2697,False
Latimeria chalumnae,411.9,2700,False
Latimeria chalumnae,411.9,2701,False
Latimeria chalumnae,411.9,2704,False
Latimeria chalumnae,411.9,2705,False
Latimeria chalumnae,411.9,2708,False
Latimeria chalumnae,411.9,2709,False
Latimeria chalumnae,411.9,2710,False
Latimeria chalumnae,411.9,2711,False
Latimeria chalumnae,411.9,2712,False
Latimeria chalumnae,411.9,2713,False
Latimeria chalumnae,411.9,2714,False
Latimeria chalumnae,411.9,2715,False
Latimeria chalumnae,411.9,2717,False
Latimeria chalumnae,411.9,2718,False
Latimeria chalumnae,411.9,2719,False
Latimeria chalumnae,411.9,2720,False
Latimeria chalumnae,411.9,2721,False
Latimeria chalumnae,411.9,2722,False
Latimeria chalumnae,411.9,2723,False
Latimeria chalumnae,411.9,2724,False
Latimeria chalumnae,411.9,2725,False
Latimeria chalumnae,411.9,2726,False
Latimeria chalumnae,411.9,2728,False
Latimeria chalumnae,411.9,2729,False
Latimeria chalumnae,411.9,2730,False
Latimeria chalumnae,411.9,2733,False
Latimeria chalumnae,411.9,2734,False
Latimeria chalumnae,411.9,2735,False
Latimeria chalumnae,411.9,2736,False
Latimeria chalumnae,411.9,2737,False
Latimeria chalumnae,411.9,2738,False
Latimeria chalumnae,411.9,2739,False
Latimeria chalumnae,411.9,2740,False
Latimeria chalumnae,411.9,2741,False
Latimeria chalumnae,411.9,2743,False
Latimeria chalumnae,411.9,2744,False
Latimeria chalumnae,411.9,2747,False
Latimeria chalumnae,411.9,2748,False
Latimeria chalumnae,411.9,2749,False
Latimeria chalumnae,411.9,2750,False
Latimeria chalumnae,411.9,2751,False
Latimeria chalumnae,411.9,2752,False
Latimeria chalumnae,411.9,2753,False
Latimeria chalumnae,411.9,2754,False
Latimeria chalumnae,411.9,2755,False
Latimeria chalumnae,411.9,2756,False
Latimeria chalumnae,411.9,2757,False
Latimeria chalumnae,411.9,2758,False
Latimeria chalumnae,411.9,2759,False
Latimeria chalumnae,411.9,2760,False
Latimeria chalumnae,411.9,2761,False
Latimeria chalumnae,411.9,2768,False
Latimeria chalumnae,411.9,2769,False
Latimeria chalumnae,411.9,2770,False
Latimeria chalumnae,411.9,2771,False
Latimeria chalumnae,411.9,2772,False
Latimeria chalumnae,411.9,2773,False
Latimeria chalumnae,411.9,2775,False
Latimeria chalumnae,411.9,2776,False
Latimeria chalumnae,411.9,2780,False
Latimeria chalumnae,411.9,2783,False
Latimeria chalumnae,411.9,2784,False
Latimeria chalumnae,411.9,2785,False
Latimeria chalumnae,411.9,2790,False
Latimeria chalumnae,411.9,2794,False
Latimeria chalumnae,411.9,2796,False
Latimeria chalumnae,411.9,2797,False
Latimeria chalumnae,411.9,2798,False
Latimeria chalumnae,411.9,2800,False
Latimeria chalumnae,411.9,2801,False
Latimeria chalumnae,411.9,2803,False
Latimeria chalumnae,411.9,2806,False
Latimeria chalumnae,411.9,2807,False
Latimeria chalumnae,411.9,2808,False
Latimeria chalumnae,411.9,2809,False
Latimeria chalumnae,411.9,2810,False
Latimeria chalumnae,411.9,2811,False
Latimeria chalumnae,411.9,2812,False
Latimeria chalumnae,411.9,2813,False
Latimeria chalumnae,411.9,2814,False
Latimeria chalumnae,411.9,2815,False
Latimeria chalumnae,411.9,2817,False
Latimeria chalumnae,411.9,2818,False
Latimeria chalumnae,411.9,2819,False
Latimeria chalumnae,411.9,2821,False
Latimeria chalumnae,411.9,2822,False
Latimeria chalumnae,411.9,2823,False
Latimeria chalumnae,411.9,2824,False
Latimeria chalumnae,411.9,2825,False
Latimeria chalumnae,411.9,2826,False
Latimeria chalumnae,411.9,2827,False
Latimeria chalumnae,411.9,2828,False
Latimeria chalumnae,411.9,2829,False
Latimeria chalumnae,411.9,2830,False
Latimeria chalumnae,411.9,2831,False
Latimeria chalumnae,411.9,2832,False
Latimeria chalumnae,411.9,2833,False
Latimeria chalumnae,411.9,2834,False
Latimeria chalumnae,411.9,2836,False
Latimeria chalumnae,411.9,2837,False
Latimeria chalumnae,411.9,2838,False
Latimeria chalumnae,411.9,2839,False
Latimeria chalumnae,411.9,2844,False
Latimeria chalumnae,411.9,2845,False
Latimeria chalumnae,411.9,2847,False
Latimeria chalumnae,411.9,2848,False
Latimeria chalumnae,411.9,2849,False
Latimeria chalumnae,411.9,2850,False
Latimeria chalumnae,411.9,2851,False
Latimeria chalumnae,411.9,2852,False
Latimeria chalumnae,411.9,2853,False
Latimeria chalumnae,411.9,2857,False
Latimeria chalumnae,411.9,2858,False
Latimeria chalumnae,411.9,2860,False
Latimeria chalumnae,411.9,2861,False
Latimeria chalumnae,411.9,2862,False
Latimeria chalumnae,411.9,2865,False
Latimeria chalumnae,411.9,2868,False
Latimeria chalumnae,411.9,2869,False
Latimeria chalumnae,411.9,2870,False
Latimeria chalumnae,411.9,2871,False
Latimeria chalumnae,411.9,2872,False
Latimeria chalumnae,411.9,2873,False
Latimeria chalumnae,411.9,2874,False
Latimeria chalumnae,411.9,2875,False
Latimeria chalumnae,411.9,2876,False
Latimeria chalumnae,411.9,2878,False
Latimeria chalumnae,411.9,2879,False
Latimeria chalumnae,411.9,2880,False
Latimeria chalumnae,411.9,2881,False
Latimeria chalumnae,411.9,2887,False
Latimeria chalumnae,411.9,2890,False
Latimeria chalumnae,411.9,2891,False
Latimeria chalumnae,411.9,2893,False
Latimeria chalumnae,411.9,2895,False
Latimeria chalumnae,411.9,2896,False
Latimeria chalumnae,411.9,2897,False
Latimeria chalumnae,411.9,2898,False
Latimeria chalumnae,411.9,2900,False
Latimeria chalumnae,411.9,2905,False
Latimeria chalumnae,411.9,2906,False
Latimeria chalumnae,411.9,2907,False
Latimeria chalumnae,411.9,2908,False
Latimeria chalumnae,411.9,2910,False
Latimeria chalumnae,411.9,2911,False
Latimeria chalumnae,411.9,2912,False
Latimeria chalumnae,411.9,2913,False
Latimeria chalumnae,411.9,2914,False
Latimeria chalumnae,411.9,2915,False
Latimeria chalumnae,411.9,2917,False
Latimeria chalumnae,411.9,2918,False
Latimeria chalumnae,411.9,2919,False
Latimeria chalumnae,411.9,2921,False
Latimeria chalumnae,411.9,2922,False
Latimeria chalumnae,411.9,2923,False
Latimeria chalumnae,411.9,2924,False
Latimeria chalumnae,411.9,2925,False
Latimeria chalumnae,411.9,2926,False
Latimeria chalumnae,411.9,2927,False
Latimeria chalumnae,411.9,2928,False
Latimeria chalumnae,411.9,2929,False
Latimeria chalumnae,411.9,2930,False
Latimeria chalumnae,411.9,2931,False
Latimeria chalumnae,411.9,2932,False
Latimeria chalumnae,411.9,2933,False
Latimeria chalumnae,411.9,2934,False
Latimeria chalumnae,411.9,2935,False
Latimeria chalumnae,411.9,2936,False
Latimeria chalumnae,411.9,2937,False
Latimeria chalumnae,411.9,2938,False
Latimeria chalumnae,411.9,2939,False
Latimeria chalumnae,411.9,2940,False
Latimeria chalumnae,411.9,2942,False
Latimeria chalumnae,411.9,2943,False
Latimeria chalumnae,411.9,2944,False
Latimeria chalumnae,411.9,2945,False
Latimeria chalumnae,411.9,2946,False
Latimeria chalumnae,411.9,2947,False
Latimeria chalumnae,411.9,2948,False
Latimeria chalumnae,411.9,2949,False
Latimeria chalumnae,411.9,2952,False
Latimeria chalumnae,411.9,2954,False
Latimeria chalumnae,411.9,2955,False
Latimeria chalumnae,411.9,2956,False
Latimeria chalumnae,411.9,2958,False
Latimeria chalumnae,411.9,2960,False
Latimeria chalumnae,411.9,2961,False
Latimeria chalumnae,411.9,2962,False
Latimeria chalumnae,411.9,2963,False
Latimeria chalumnae,411.9,2964,False
Latimeria chalumnae,411.9,2965,False
Latimeria chalumnae,411.9,2966,False
Latimeria chalumnae,411.9,2967,False
Latimeria chalumnae,411.9,2968,False
Latimeria chalumnae,411.9,2969,False
Latimeria chalumnae,411.9,2970,False
Latimeria chalumnae,411.9,2972,False
Latimeria chalumnae,411.9,2973,False
Latimeria chalumnae,411.9,2974,False
Latimeria chalumnae,411.9,2975,False
Latimeria chalumnae,411.9,2976,False
Latimeria chalumnae,411.9,2977,False
Latimeria chalumnae,411.9,2978,False
Latimeria chalumnae,411.9,2979,False
Latimeria chalumnae,411.9,2980,False
Latimeria chalumnae,411.9,2981,False
Latimeria chalumnae,411.9,2982,False
Latimeria chalumnae,411.9,2983,False
Latimeria chalumnae,411.9,2984,False
Latimeria chalumnae,411.9,2986,False
Latimeria chalumnae,411.9,2987,False
Latimeria chalumnae,411.9,2988,False
