Species,timeFromHuman_MY,cluster,present
Latimeria chalumnae,411.9,4221,False
Latimeria chalumnae,411.9,8903,False
Latimeria chalumnae,411.9,3638,False
Latimeria chalumnae,411.9,706,False
Latimeria chalumnae,411.9,1007,False
Latimeria chalumnae,411.9,5129,False
Latimeria chalumnae,411.9,5558,False
Latimeria chalumnae,411.9,5562,False
Latimeria chalumnae,411.9,705,False
Latimeria chalumnae,411.9,7504,False
Nanorana parkeri,355.7,4221,False
Nanorana parkeri,355.7,8903,False
Nanorana parkeri,355.7,3638,False
Nanorana parkeri,355.7,706,False
Nanorana parkeri,355.7,1007,False
Nanorana parkeri,355.7,5129,False
Nanorana parkeri,355.7,5558,False
Nanorana parkeri,355.7,5562,False
Nanorana parkeri,355.7,705,False
Nanorana parkeri,355.7,7504,False
Xenopus laevi,355.7,4221,False
Xenopus laevi,355.7,8903,False
Xenopus laevi,355.7,3638,False
Xenopus laevi,355.7,706,False
Xenopus laevi,355.7,1007,False
Xenopus laevi,355.7,5129,False
Xenopus laevi,355.7,5558,False
Xenopus laevi,355.7,5562,False
Xenopus laevi,355.7,705,False
Xenopus laevi,355.7,7504,False
Xenopus tropicalis,355.7,4221,False
Xenopus tropicalis,355.7,8903,False
Xenopus tropicalis,355.7,3638,False
Xenopus tropicalis,355.7,706,False
Xenopus tropicalis,355.7,1007,False
Xenopus tropicalis,355.7,5129,False
Xenopus tropicalis,355.7,5558,False
Xenopus tropicalis,355.7,5562,False
Xenopus tropicalis,355.7,705,False
Xenopus tropicalis,355.7,7504,False
Acanthisitta chloris,320.5,4221,False
Acanthisitta chloris,320.5,8903,False
Acanthisitta chloris,320.5,3638,True
Acanthisitta chloris,320.5,706,True
Acanthisitta chloris,320.5,1007,False
Acanthisitta chloris,320.5,5129,False
Acanthisitta chloris,320.5,5558,False
Acanthisitta chloris,320.5,5562,False
Acanthisitta chloris,320.5,705,False
Acanthisitta chloris,320.5,7504,False
Alligator mississippiensis,320.5,4221,True
Alligator mississippiensis,320.5,8903,True
Alligator mississippiensis,320.5,3638,True
Alligator mississippiensis,320.5,706,False
Alligator mississippiensis,320.5,1007,False
Alligator mississippiensis,320.5,5129,True
Alligator mississippiensis,320.5,5558,True
Alligator mississippiensis,320.5,5562,False
Alligator mississippiensis,320.5,705,False
Alligator mississippiensis,320.5,7504,False
Alligator sinensis,320.5,4221,True
Alligator sinensis,320.5,8903,True
Alligator sinensis,320.5,3638,True
Alligator sinensis,320.5,706,False
Alligator sinensis,320.5,1007,False
Alligator sinensis,320.5,5129,True
Alligator sinensis,320.5,5558,True
Alligator sinensis,320.5,5562,False
Alligator sinensis,320.5,705,False
Alligator sinensis,320.5,7504,False
Amazona vittata,320.5,4221,True
Amazona vittata,320.5,8903,True
Amazona vittata,320.5,3638,True
Amazona vittata,320.5,706,True
Amazona vittata,320.5,1007,False
Amazona vittata,320.5,5129,False
Amazona vittata,320.5,5558,False
Amazona vittata,320.5,5562,False
Amazona vittata,320.5,705,False
Amazona vittata,320.5,7504,False
Anas platyrhynchos,320.5,4221,True
Anas platyrhynchos,320.5,8903,False
Anas platyrhynchos,320.5,3638,True
Anas platyrhynchos,320.5,706,True
Anas platyrhynchos,320.5,1007,True
Anas platyrhynchos,320.5,5129,True
Anas platyrhynchos,320.5,5558,False
Anas platyrhynchos,320.5,5562,False
Anas platyrhynchos,320.5,705,True
Anas platyrhynchos,320.5,7504,False
Anolis carolinensis,320.5,4221,True
Anolis carolinensis,320.5,8903,True
Anolis carolinensis,320.5,3638,True
Anolis carolinensis,320.5,706,False
Anolis carolinensis,320.5,1007,False
Anolis carolinensis,320.5,5129,False
Anolis carolinensis,320.5,5558,False
Anolis carolinensis,320.5,5562,False
Anolis carolinensis,320.5,705,False
Anolis carolinensis,320.5,7504,False
Anser cygnoides domesticus,320.5,4221,False
Anser cygnoides domesticus,320.5,8903,False
Anser cygnoides domesticus,320.5,3638,False
Anser cygnoides domesticus,320.5,706,True
Anser cygnoides domesticus,320.5,1007,True
Anser cygnoides domesticus,320.5,5129,True
Anser cygnoides domesticus,320.5,5558,False
Anser cygnoides domesticus,320.5,5562,False
Anser cygnoides domesticus,320.5,705,True
Anser cygnoides domesticus,320.5,7504,False
Antrostomus carolinensis,320.5,4221,True
Antrostomus carolinensis,320.5,8903,True
Antrostomus carolinensis,320.5,3638,False
Antrostomus carolinensis,320.5,706,True
Antrostomus carolinensis,320.5,1007,True
Antrostomus carolinensis,320.5,5129,True
Antrostomus carolinensis,320.5,5558,False
Antrostomus carolinensis,320.5,5562,False
Antrostomus carolinensis,320.5,705,False
Antrostomus carolinensis,320.5,7504,False
Apalone spinifera,320.5,4221,False
Apalone spinifera,320.5,8903,False
Apalone spinifera,320.5,3638,True
Apalone spinifera,320.5,706,True
Apalone spinifera,320.5,1007,False
Apalone spinifera,320.5,5129,False
Apalone spinifera,320.5,5558,False
Apalone spinifera,320.5,5562,False
Apalone spinifera,320.5,705,False
Apalone spinifera,320.5,7504,False
Aptenodytes forsteri,320.5,4221,True
Aptenodytes forsteri,320.5,8903,False
Aptenodytes forsteri,320.5,3638,True
Aptenodytes forsteri,320.5,706,True
Aptenodytes forsteri,320.5,1007,True
Aptenodytes forsteri,320.5,5129,True
Aptenodytes forsteri,320.5,5558,True
Aptenodytes forsteri,320.5,5562,False
Aptenodytes forsteri,320.5,705,False
Aptenodytes forsteri,320.5,7504,False
Apteryx australis mantelli,320.5,4221,True
Apteryx australis mantelli,320.5,8903,True
Apteryx australis mantelli,320.5,3638,True
Apteryx australis mantelli,320.5,706,True
Apteryx australis mantelli,320.5,1007,True
Apteryx australis mantelli,320.5,5129,False
Apteryx australis mantelli,320.5,5558,False
Apteryx australis mantelli,320.5,5562,True
Apteryx australis mantelli,320.5,705,False
Apteryx australis mantelli,320.5,7504,False
Aquila chrysaetos,320.5,4221,True
Aquila chrysaetos,320.5,8903,False
Aquila chrysaetos,320.5,3638,True
Aquila chrysaetos,320.5,706,True
Aquila chrysaetos,320.5,1007,True
Aquila chrysaetos,320.5,5129,True
Aquila chrysaetos,320.5,5558,True
Aquila chrysaetos,320.5,5562,True
Aquila chrysaetos,320.5,705,False
Aquila chrysaetos,320.5,7504,False
Ara macao,320.5,4221,True
Ara macao,320.5,8903,False
Ara macao,320.5,3638,True
Ara macao,320.5,706,True
Ara macao,320.5,1007,False
Ara macao,320.5,5129,False
Ara macao,320.5,5558,False
Ara macao,320.5,5562,False
Ara macao,320.5,705,False
Ara macao,320.5,7504,False
Balearica regulorum gibbericeps,320.5,4221,False
Balearica regulorum gibbericeps,320.5,8903,False
Balearica regulorum gibbericeps,320.5,3638,True
Balearica regulorum gibbericeps,320.5,706,True
Balearica regulorum gibbericeps,320.5,1007,True
Balearica regulorum gibbericeps,320.5,5129,False
Balearica regulorum gibbericeps,320.5,5558,False
Balearica regulorum gibbericeps,320.5,5562,False
Balearica regulorum gibbericeps,320.5,705,False
Balearica regulorum gibbericeps,320.5,7504,False
Calypte anna,320.5,4221,True
Calypte anna,320.5,8903,False
Calypte anna,320.5,3638,True
Calypte anna,320.5,706,False
Calypte anna,320.5,1007,False
Calypte anna,320.5,5129,True
Calypte anna,320.5,5558,False
Calypte anna,320.5,5562,True
Calypte anna,320.5,705,False
Calypte anna,320.5,7504,False
Caprimulgus carolinensis,320.5,4221,True
Caprimulgus carolinensis,320.5,8903,True
Caprimulgus carolinensis,320.5,3638,True
Caprimulgus carolinensis,320.5,706,True
Caprimulgus carolinensis,320.5,1007,True
Caprimulgus carolinensis,320.5,5129,True
Caprimulgus carolinensis,320.5,5558,True
Caprimulgus carolinensis,320.5,5562,False
Caprimulgus carolinensis,320.5,705,False
Caprimulgus carolinensis,320.5,7504,False
Cariama cristata,320.5,4221,False
Cariama cristata,320.5,8903,False
Cariama cristata,320.5,3638,True
Cariama cristata,320.5,706,True
Cariama cristata,320.5,1007,True
Cariama cristata,320.5,5129,True
Cariama cristata,320.5,5558,False
Cariama cristata,320.5,5562,False
Cariama cristata,320.5,705,True
Cariama cristata,320.5,7504,False
Cathartes aura,320.5,4221,True
Cathartes aura,320.5,8903,False
Cathartes aura,320.5,3638,True
Cathartes aura,320.5,706,True
Cathartes aura,320.5,1007,True
Cathartes aura,320.5,5129,False
Cathartes aura,320.5,5558,False
Cathartes aura,320.5,5562,False
Cathartes aura,320.5,705,True
Cathartes aura,320.5,7504,False
Chaetura pelagica,320.5,4221,True
Chaetura pelagica,320.5,8903,False
Chaetura pelagica,320.5,3638,True
Chaetura pelagica,320.5,706,True
Chaetura pelagica,320.5,1007,True
Chaetura pelagica,320.5,5129,True
Chaetura pelagica,320.5,5558,True
Chaetura pelagica,320.5,5562,False
Chaetura pelagica,320.5,705,False
Chaetura pelagica,320.5,7504,False
Charadrius vociferus,320.5,4221,False
Charadrius vociferus,320.5,8903,False
Charadrius vociferus,320.5,3638,True
Charadrius vociferus,320.5,706,True
Charadrius vociferus,320.5,1007,True
Charadrius vociferus,320.5,5129,False
Charadrius vociferus,320.5,5558,False
Charadrius vociferus,320.5,5562,False
Charadrius vociferus,320.5,705,False
Charadrius vociferus,320.5,7504,False
Chelonia mydas,320.5,4221,True
Chelonia mydas,320.5,8903,True
Chelonia mydas,320.5,3638,True
Chelonia mydas,320.5,706,True
Chelonia mydas,320.5,1007,True
Chelonia mydas,320.5,5129,True
Chelonia mydas,320.5,5558,True
Chelonia mydas,320.5,5562,False
Chelonia mydas,320.5,705,False
Chelonia mydas,320.5,7504,False
Chlamydotis macqueenii,320.5,4221,True
Chlamydotis macqueenii,320.5,8903,False
Chlamydotis macqueenii,320.5,3638,False
Chlamydotis macqueenii,320.5,706,False
Chlamydotis macqueenii,320.5,1007,False
Chlamydotis macqueenii,320.5,5129,False
Chlamydotis macqueenii,320.5,5558,False
Chlamydotis macqueenii,320.5,5562,False
Chlamydotis macqueenii,320.5,705,False
Chlamydotis macqueenii,320.5,7504,False
Chrysemys picta bellii,320.5,4221,True
Chrysemys picta bellii,320.5,8903,True
Chrysemys picta bellii,320.5,3638,False
Chrysemys picta bellii,320.5,706,True
Chrysemys picta bellii,320.5,1007,True
Chrysemys picta bellii,320.5,5129,True
Chrysemys picta bellii,320.5,5558,True
Chrysemys picta bellii,320.5,5562,False
Chrysemys picta bellii,320.5,705,False
Chrysemys picta bellii,320.5,7504,False
Colinus virginianus,320.5,4221,True
Colinus virginianus,320.5,8903,True
Colinus virginianus,320.5,3638,True
Colinus virginianus,320.5,706,True
Colinus virginianus,320.5,1007,True
Colinus virginianus,320.5,5129,True
Colinus virginianus,320.5,5558,True
Colinus virginianus,320.5,5562,True
Colinus virginianus,320.5,705,True
Colinus virginianus,320.5,7504,True
Colius striatus,320.5,4221,False
Colius striatus,320.5,8903,False
Colius striatus,320.5,3638,False
Colius striatus,320.5,706,True
Colius striatus,320.5,1007,False
Colius striatus,320.5,5129,True
Colius striatus,320.5,5558,False
Colius striatus,320.5,5562,False
Colius striatus,320.5,705,False
Colius striatus,320.5,7504,False
Columba livia,320.5,4221,True
Columba livia,320.5,8903,False
Columba livia,320.5,3638,True
Columba livia,320.5,706,False
Columba livia,320.5,1007,True
Columba livia,320.5,5129,False
Columba livia,320.5,5558,False
Columba livia,320.5,5562,False
Columba livia,320.5,705,False
Columba livia,320.5,7504,False
Corvus brachyrhynchos,320.5,4221,True
Corvus brachyrhynchos,320.5,8903,False
Corvus brachyrhynchos,320.5,3638,True
Corvus brachyrhynchos,320.5,706,True
Corvus brachyrhynchos,320.5,1007,True
Corvus brachyrhynchos,320.5,5129,True
Corvus brachyrhynchos,320.5,5558,False
Corvus brachyrhynchos,320.5,5562,False
Corvus brachyrhynchos,320.5,705,False
Corvus brachyrhynchos,320.5,7504,False
Corvus cornix cornix,320.5,4221,False
Corvus cornix cornix,320.5,8903,False
Corvus cornix cornix,320.5,3638,True
Corvus cornix cornix,320.5,706,True
Corvus cornix cornix,320.5,1007,False
Corvus cornix cornix,320.5,5129,False
Corvus cornix cornix,320.5,5558,False
Corvus cornix cornix,320.5,5562,False
Corvus cornix cornix,320.5,705,False
Corvus cornix cornix,320.5,7504,False
Crocodylus porosus,320.5,4221,True
Crocodylus porosus,320.5,8903,True
Crocodylus porosus,320.5,3638,True
Crocodylus porosus,320.5,706,False
Crocodylus porosus,320.5,1007,False
Crocodylus porosus,320.5,5129,True
Crocodylus porosus,320.5,5558,True
Crocodylus porosus,320.5,5562,False
Crocodylus porosus,320.5,705,False
Crocodylus porosus,320.5,7504,False
Crotalus mitchellii,320.5,4221,True
Crotalus mitchellii,320.5,8903,True
Crotalus mitchellii,320.5,3638,True
Crotalus mitchellii,320.5,706,False
Crotalus mitchellii,320.5,1007,False
Crotalus mitchellii,320.5,5129,False
Crotalus mitchellii,320.5,5558,False
Crotalus mitchellii,320.5,5562,False
Crotalus mitchellii,320.5,705,False
Crotalus mitchellii,320.5,7504,False
Cuculus canorus,320.5,4221,True
Cuculus canorus,320.5,8903,True
Cuculus canorus,320.5,3638,True
Cuculus canorus,320.5,706,True
Cuculus canorus,320.5,1007,True
Cuculus canorus,320.5,5129,False
Cuculus canorus,320.5,5558,True
Cuculus canorus,320.5,5562,False
Cuculus canorus,320.5,705,False
Cuculus canorus,320.5,7504,False
Egretta garzetta,320.5,4221,True
Egretta garzetta,320.5,8903,False
Egretta garzetta,320.5,3638,True
Egretta garzetta,320.5,706,False
Egretta garzetta,320.5,1007,True
Egretta garzetta,320.5,5129,False
Egretta garzetta,320.5,5558,False
Egretta garzetta,320.5,5562,False
Egretta garzetta,320.5,705,True
Egretta garzetta,320.5,7504,False
Eurypyga helias,320.5,4221,False
Eurypyga helias,320.5,8903,False
Eurypyga helias,320.5,3638,True
Eurypyga helias,320.5,706,True
Eurypyga helias,320.5,1007,False
Eurypyga helias,320.5,5129,False
Eurypyga helias,320.5,5558,False
Eurypyga helias,320.5,5562,False
Eurypyga helias,320.5,705,False
Eurypyga helias,320.5,7504,False
Falco cherrug,320.5,4221,True
Falco cherrug,320.5,8903,True
Falco cherrug,320.5,3638,True
Falco cherrug,320.5,706,True
Falco cherrug,320.5,1007,True
Falco cherrug,320.5,5129,True
Falco cherrug,320.5,5558,True
Falco cherrug,320.5,5562,True
Falco cherrug,320.5,705,False
Falco cherrug,320.5,7504,False
Falco peregrinus,320.5,4221,False
Falco peregrinus,320.5,8903,True
Falco peregrinus,320.5,3638,False
Falco peregrinus,320.5,706,False
Falco peregrinus,320.5,1007,False
Falco peregrinus,320.5,5129,True
Falco peregrinus,320.5,5558,False
Falco peregrinus,320.5,5562,False
Falco peregrinus,320.5,705,False
Falco peregrinus,320.5,7504,False
Ficedula albicollis,320.5,4221,True
Ficedula albicollis,320.5,8903,True
Ficedula albicollis,320.5,3638,True
Ficedula albicollis,320.5,706,True
Ficedula albicollis,320.5,1007,True
Ficedula albicollis,320.5,5129,True
