Species,timeFromHuman_MY,cluster,present
Latimeria chalumnae,411.9,706,False
Latimeria chalumnae,411.9,5129,False
Nanorana parkeri,355.7,706,False
Nanorana parkeri,355.7,5129,False
Xenopus laevi,355.7,706,False
Xenopus laevi,355.7,5129,False
Xenopus tropicalis,355.7,706,False
Xenopus tropicalis,355.7,5129,False
Acanthisitta chloris,320.5,706,True
Acanthisitta chloris,320.5,5129,False
Alligator mississippiensis,320.5,706,False
Alligator mississippiensis,320.5,5129,True
Alligator sinensis,320.5,706,False
Alligator sinensis,320.5,5129,True
Amazona vittata,320.5,706,True
Amazona vittata,320.5,5129,False
Anas platyrhynchos,320.5,706,True
Anas platyrhynchos,320.5,5129,True
Anolis carolinensis,320.5,706,False
Anolis carolinensis,320.5,5129,False
Anser cygnoides domesticus,320.5,706,True
Anser cygnoides domesticus,320.5,5129,True
Antrostomus carolinensis,320.5,706,True
Antrostomus carolinensis,320.5,5129,True
Apalone spinifera,320.5,706,True
Apalone spinifera,320.5,5129,False
Aptenodytes forsteri,320.5,706,True
Aptenodytes forsteri,320.5,5129,True
Apteryx australis mantelli,320.5,706,True
Apteryx australis mantelli,320.5,5129,False
Aquila chrysaetos,320.5,706,True
Aquila chrysaetos,320.5,5129,True
Ara macao,320.5,706,True
Ara macao,320.5,5129,False
Balearica regulorum gibbericeps,320.5,706,True
Balearica regulorum gibbericeps,320.5,5129,False
Calypte anna,320.5,706,False
Calypte anna,320.5,5129,True
Caprimulgus carolinensis,320.5,706,True
Caprimulgus carolinensis,320.5,5129,True
Cariama cristata,320.5,706,True
Cariama cristata,320.5,5129,True
Cathartes aura,320.5,706,True
Cathartes aura,320.5,5129,False
Chaetura pelagica,320.5,706,True
Chaetura pelagica,320.5,5129,True
Charadrius vociferus,320.5,706,True
Charadrius vociferus,320.5,5129,False
Chelonia mydas,320.5,706,True
Chelonia mydas,320.5,5129,True
Chlamydotis macqueenii,320.5,706,False
Chlamydotis macqueenii,320.5,5129,False
Chrysemys picta bellii,320.5,706,True
Chrysemys picta bellii,320.5,5129,True
Colinus virginianus,320.5,706,True
Colinus virginianus,320.5,5129,True
Colius striatus,320.5,706,True
Colius striatus,320.5,5129,True
Columba livia,320.5,706,False
Columba livia,320.5,5129,False
Corvus brachyrhynchos,320.5,706,True
Corvus brachyrhynchos,320.5,5129,True
Corvus cornix cornix,320.5,706,True
Corvus cornix cornix,320.5,5129,False
Crocodylus porosus,320.5,706,False
