Species,timeFromHuman_MY,cluster,present
Latimeria chalumnae,411.9,4221,False
Latimeria chalumnae,411.9,3638,False
Latimeria chalumnae,411.9,1007,False
Latimeria chalumnae,411.9,926,False
Latimeria chalumnae,411.9,13913,False
Latimeria chalumnae,411.9,923,False
Latimeria chalumnae,411.9,3291,False
Latimeria chalumnae,411.9,3292,False
Latimeria chalumnae,411.9,3293,False
Latimeria chalumnae,411.9,3294,False
Latimeria chalumnae,411.9,3295,False
Latimeria chalumnae,411.9,3296,False
Latimeria chalumnae,411.9,3297,False
Latimeria chalumnae,411.9,3298,False
Latimeria chalumnae,411.9,3299,False
Latimeria chalumnae,411.9,3300,False
Latimeria chalumnae,411.9,3301,False
Latimeria chalumnae,411.9,3302,False
Latimeria chalumnae,411.9,3303,False
Latimeria chalumnae,411.9,3304,False
Latimeria chalumnae,411.9,3305,False
Latimeria chalumnae,411.9,3306,False
Latimeria chalumnae,411.9,3307,False
Latimeria chalumnae,411.9,3308,False
Latimeria chalumnae,411.9,3309,False
Latimeria chalumnae,411.9,3310,False
Latimeria chalumnae,411.9,3311,False
Nanorana parkeri,355.7,4221,False
Nanorana parkeri,355.7,3638,False
Nanorana parkeri,355.7,1007,False
Nanorana parkeri,355.7,926,False
Nanorana parkeri,355.7,13913,False
Nanorana parkeri,355.7,923,False
Nanorana parkeri,355.7,3291,False
Nanorana parkeri,355.7,3292,False
Nanorana parkeri,355.7,3293,False
Nanorana parkeri,355.7,3294,False
Nanorana parkeri,355.7,3295,False
Nanorana parkeri,355.7,3296,False
Nanorana parkeri,355.7,3297,False
Nanorana parkeri,355.7,3298,False
Nanorana parkeri,355.7,3299,False
Nanorana parkeri,355.7,3300,False
Nanorana parkeri,355.7,3301,False
Nanorana parkeri,355.7,3302,False
Nanorana parkeri,355.7,3303,False
Nanorana parkeri,355.7,3304,False
Nanorana parkeri,355.7,3305,False
Nanorana parkeri,355.7,3306,False
Nanorana parkeri,355.7,3307,False
Nanorana parkeri,355.7,3308,False
Nanorana parkeri,355.7,3309,False
Nanorana parkeri,355.7,3310,False
Nanorana parkeri,355.7,3311,False
Xenopus laevi,355.7,4221,False
Xenopus laevi,355.7,3638,False
Xenopus laevi,355.7,1007,False
Xenopus laevi,355.7,926,False
Xenopus laevi,355.7,13913,False
Xenopus laevi,355.7,923,False
Xenopus laevi,355.7,3291,False
Xenopus laevi,355.7,3292,False
Xenopus laevi,355.7,3293,False
Xenopus laevi,355.7,3294,False
Xenopus laevi,355.7,3295,False
Xenopus laevi,355.7,3296,False
Xenopus laevi,355.7,3297,False
Xenopus laevi,355.7,3298,False
Xenopus laevi,355.7,3299,False
Xenopus laevi,355.7,3300,False
Xenopus laevi,355.7,3301,False
Xenopus laevi,355.7,3302,False
Xenopus laevi,355.7,3303,False
Xenopus laevi,355.7,3304,False
