Species,timeFromHuman_MY,cluster,present
Latimeria chalumnae,411.9,4221,False
Latimeria chalumnae,411.9,1046,False
Latimeria chalumnae,411.9,11467,False
Latimeria chalumnae,411.9,1454,False
Latimeria chalumnae,411.9,14844,False
Latimeria chalumnae,411.9,4796,False
Latimeria chalumnae,411.9,2342,False
Latimeria chalumnae,411.9,2706,False
Latimeria chalumnae,411.9,11627,False
Latimeria chalumnae,411.9,13149,False
Latimeria chalumnae,411.9,1045,False
Latimeria chalumnae,411.9,1231,False
Latimeria chalumnae,411.9,1960,False
Latimeria chalumnae,411.9,5476,False
Latimeria chalumnae,411.9,9981,False
Latimeria chalumnae,411.9,14847,False
Latimeria chalumnae,411.9,14929,False
Latimeria chalumnae,411.9,2093,False
Latimeria chalumnae,411.9,5264,False
Latimeria chalumnae,411.9,6052,False
Latimeria chalumnae,411.9,13075,False
Latimeria chalumnae,411.9,14861,False
Latimeria chalumnae,411.9,1034,False
Latimeria chalumnae,411.9,1270,False
Latimeria chalumnae,411.9,3321,False
Latimeria chalumnae,411.9,5215,False
Latimeria chalumnae,411.9,10007,False
Latimeria chalumnae,411.9,10013,False
Latimeria chalumnae,411.9,11439,False
Latimeria chalumnae,411.9,12502,False
Latimeria chalumnae,411.9,13094,False
Latimeria chalumnae,411.9,1156,False
Latimeria chalumnae,411.9,3268,False
Latimeria chalumnae,411.9,13307,False
Latimeria chalumnae,411.9,1026,False
Latimeria chalumnae,411.9,3254,False
Latimeria chalumnae,411.9,3956,False
Latimeria chalumnae,411.9,5798,False
Latimeria chalumnae,411.9,6931,False
Latimeria chalumnae,411.9,6963,False
Latimeria chalumnae,411.9,7404,False
Latimeria chalumnae,411.9,7569,False
Latimeria chalumnae,411.9,13937,False
Latimeria chalumnae,411.9,14667,False
Latimeria chalumnae,411.9,1401,False
Latimeria chalumnae,411.9,5263,False
Latimeria chalumnae,411.9,5406,False
Latimeria chalumnae,411.9,8774,False
Latimeria chalumnae,411.9,236,False
Latimeria chalumnae,411.9,967,False
Latimeria chalumnae,411.9,14935,False
Latimeria chalumnae,411.9,1271,False
Latimeria chalumnae,411.9,4358,False
Latimeria chalumnae,411.9,5070,False
Latimeria chalumnae,411.9,7045,False
Latimeria chalumnae,411.9,10886,False
Latimeria chalumnae,411.9,11907,False
Latimeria chalumnae,411.9,13297,False
Latimeria chalumnae,411.9,13967,False
Latimeria chalumnae,411.9,14891,False
Latimeria chalumnae,411.9,14926,False
Latimeria chalumnae,411.9,6701,False
Latimeria chalumnae,411.9,10131,False
Latimeria chalumnae,411.9,2137,False
Latimeria chalumnae,411.9,3239,False
Latimeria chalumnae,411.9,4455,False
Latimeria chalumnae,411.9,11202,False
Latimeria chalumnae,411.9,6926,False
Latimeria chalumnae,411.9,6969,False
Latimeria chalumnae,411.9,11639,False
Latimeria chalumnae,411.9,11661,False
Latimeria chalumnae,411.9,1458,False
Latimeria chalumnae,411.9,931,False
Latimeria chalumnae,411.9,3238,False
Latimeria chalumnae,411.9,1004,False
Latimeria chalumnae,411.9,1036,False
Latimeria chalumnae,411.9,2492,False
Latimeria chalumnae,411.9,1080,False
Latimeria chalumnae,411.9,1572,False
Latimeria chalumnae,411.9,3288,False
Latimeria chalumnae,411.9,6059,False
Latimeria chalumnae,411.9,7049,False
Latimeria chalumnae,411.9,7332,False
Latimeria chalumnae,411.9,6017,False
Latimeria chalumnae,411.9,13337,False
Latimeria chalumnae,411.9,11201,False
Latimeria chalumnae,411.9,954,False
Latimeria chalumnae,411.9,6774,False
Latimeria chalumnae,411.9,11225,False
Latimeria chalumnae,411.9,12672,False
Latimeria chalumnae,411.9,754,False
Latimeria chalumnae,411.9,6694,False
Latimeria chalumnae,411.9,6978,False
Latimeria chalumnae,411.9,11616,False
Latimeria chalumnae,411.9,13331,False
Latimeria chalumnae,411.9,1303,False
Latimeria chalumnae,411.9,2095,False
Latimeria chalumnae,411.9,3010,False
Latimeria chalumnae,411.9,3803,False
Latimeria chalumnae,411.9,12512,False
Latimeria chalumnae,411.9,12106,False
Latimeria chalumnae,411.9,13786,False
Latimeria chalumnae,411.9,1943,False
Latimeria chalumnae,411.9,7051,False
Latimeria chalumnae,411.9,1517,False
Latimeria chalumnae,411.9,5151,False
Latimeria chalumnae,411.9,11445,False
Latimeria chalumnae,411.9,1843,False
Latimeria chalumnae,411.9,12469,False
Latimeria chalumnae,411.9,14840,False
Latimeria chalumnae,411.9,1373,False
Latimeria chalumnae,411.9,4609,False
Latimeria chalumnae,411.9,1286,False
Latimeria chalumnae,411.9,2477,False
Latimeria chalumnae,411.9,1239,False
Latimeria chalumnae,411.9,12520,False
Latimeria chalumnae,411.9,3313,False
Latimeria chalumnae,411.9,6913,False
Latimeria chalumnae,411.9,3279,False
Latimeria chalumnae,411.9,5076,False
Latimeria chalumnae,411.9,13267,False
Latimeria chalumnae,411.9,2127,False
Latimeria chalumnae,411.9,750,False
Latimeria chalumnae,411.9,2090,False
Latimeria chalumnae,411.9,12723,False
Latimeria chalumnae,411.9,5894,False
Latimeria chalumnae,411.9,6036,False
Latimeria chalumnae,411.9,1346,False
Latimeria chalumnae,411.9,4853,False
Latimeria chalumnae,411.9,11531,False
Latimeria chalumnae,411.9,14889,False
Latimeria chalumnae,411.9,13336,False
Latimeria chalumnae,411.9,11468,False
Latimeria chalumnae,411.9,13250,False
Latimeria chalumnae,411.9,1430,False
Latimeria chalumnae,411.9,223,False
Latimeria chalumnae,411.9,14886,False
Latimeria chalumnae,411.9,6147,False
Latimeria chalumnae,411.9,10030,False
Latimeria chalumnae,411.9,13287,False
Latimeria chalumnae,411.9,6184,False
Latimeria chalumnae,411.9,11333,False
Latimeria chalumnae,411.9,1464,False
Latimeria chalumnae,411.9,12818,False
Latimeria chalumnae,411.9,2019,False
Latimeria chalumnae,411.9,3312,False
Latimeria chalumnae,411.9,3314,False
Latimeria chalumnae,411.9,3315,False
Latimeria chalumnae,411.9,3316,False
Latimeria chalumnae,411.9,3317,False
Latimeria chalumnae,411.9,3318,False
Latimeria chalumnae,411.9,3319,False
Latimeria chalumnae,411.9,3320,False
Latimeria chalumnae,411.9,3322,False
Latimeria chalumnae,411.9,3323,False
Latimeria chalumnae,411.9,3324,False
Latimeria chalumnae,411.9,3325,False
Latimeria chalumnae,411.9,3326,False
Latimeria chalumnae,411.9,3327,False
Latimeria chalumnae,411.9,3328,False
Latimeria chalumnae,411.9,3329,False
Latimeria chalumnae,411.9,3330,False
Latimeria chalumnae,411.9,3331,False
Latimeria chalumnae,411.9,3332,False
Latimeria chalumnae,411.9,3333,False
Latimeria chalumnae,411.9,3334,False
Latimeria chalumnae,411.9,3335,False
Latimeria chalumnae,411.9,3336,False
Latimeria chalumnae,411.9,3337,False
Latimeria chalumnae,411.9,3338,False
Latimeria chalumnae,411.9,3339,False
Latimeria chalumnae,411.9,3340,False
Latimeria chalumnae,411.9,3341,False
Latimeria chalumnae,411.9,3342,False
Latimeria chalumnae,411.9,3343,False
Latimeria chalumnae,411.9,3344,False
