Species,timeFromHuman_MY,cluster,present
Latimeria chalumnae,411.9,4221,False
Latimeria chalumnae,411.9,8903,False
Latimeria chalumnae,411.9,1046,False
Latimeria chalumnae,411.9,11467,False
Latimeria chalumnae,411.9,1454,False
Latimeria chalumnae,411.9,14844,False
Latimeria chalumnae,411.9,4796,False
Latimeria chalumnae,411.9,2342,False
Latimeria chalumnae,411.9,2706,False
Latimeria chalumnae,411.9,11627,False
Latimeria chalumnae,411.9,13149,False
Latimeria chalumnae,411.9,1045,False
Latimeria chalumnae,411.9,1231,False
Latimeria chalumnae,411.9,1960,False
Latimeria chalumnae,411.9,5476,False
Latimeria chalumnae,411.9,9981,False
Latimeria chalumnae,411.9,14847,False
Latimeria chalumnae,411.9,14929,False
Latimeria chalumnae,411.9,2093,False
Latimeria chalumnae,411.9,5264,False
Latimeria chalumnae,411.9,6052,False
Latimeria chalumnae,411.9,13075,False
Latimeria chalumnae,411.9,14861,False
Latimeria chalumnae,411.9,1034,False
Latimeria chalumnae,411.9,1270,False
Latimeria chalumnae,411.9,3321,False
Latimeria chalumnae,411.9,5215,False
Latimeria chalumnae,411.9,10007,False
Latimeria chalumnae,411.9,10013,False
Latimeria chalumnae,411.9,11439,False
Latimeria chalumnae,411.9,12502,False
Latimeria chalumnae,411.9,13094,False
Latimeria chalumnae,411.9,1156,False
Latimeria chalumnae,411.9,3268,False
Latimeria chalumnae,411.9,6024,False
Latimeria chalumnae,411.9,13307,False
Latimeria chalumnae,411.9,1026,False
Latimeria chalumnae,411.9,3254,False
Latimeria chalumnae,411.9,3956,False
Latimeria chalumnae,411.9,5798,False
Latimeria chalumnae,411.9,6931,False
Latimeria chalumnae,411.9,6963,False
Latimeria chalumnae,411.9,7404,False
Latimeria chalumnae,411.9,7569,False
Latimeria chalumnae,411.9,13937,False
Latimeria chalumnae,411.9,14667,False
Latimeria chalumnae,411.9,1401,False
Latimeria chalumnae,411.9,2021,False
Latimeria chalumnae,411.9,5263,False
Latimeria chalumnae,411.9,5406,False
Latimeria chalumnae,411.9,8774,False
Latimeria chalumnae,411.9,967,False
Latimeria chalumnae,411.9,14920,False
Latimeria chalumnae,411.9,14935,False
Latimeria chalumnae,411.9,5070,False
Latimeria chalumnae,411.9,7045,False
Latimeria chalumnae,411.9,13297,False
Latimeria chalumnae,411.9,14891,False
Latimeria chalumnae,411.9,14926,False
Latimeria chalumnae,411.9,6294,False
Latimeria chalumnae,411.9,6701,False
Latimeria chalumnae,411.9,2137,False
Latimeria chalumnae,411.9,3239,False
Latimeria chalumnae,411.9,4455,False
Latimeria chalumnae,411.9,11202,False
Latimeria chalumnae,411.9,6969,False
Latimeria chalumnae,411.9,11661,False
Latimeria chalumnae,411.9,1216,False
Latimeria chalumnae,411.9,1458,False
Latimeria chalumnae,411.9,3238,False
Latimeria chalumnae,411.9,5762,False
Latimeria chalumnae,411.9,2492,False
Latimeria chalumnae,411.9,12528,False
Latimeria chalumnae,411.9,1080,False
Latimeria chalumnae,411.9,1572,False
Latimeria chalumnae,411.9,3288,False
Latimeria chalumnae,411.9,6017,False
Latimeria chalumnae,411.9,13337,False
Latimeria chalumnae,411.9,11201,False
Latimeria chalumnae,411.9,14896,False
Latimeria chalumnae,411.9,954,False
Latimeria chalumnae,411.9,12672,False
Latimeria chalumnae,411.9,6694,False
Latimeria chalumnae,411.9,6978,False
Latimeria chalumnae,411.9,11616,False
Latimeria chalumnae,411.9,13331,False
Latimeria chalumnae,411.9,2095,False
Latimeria chalumnae,411.9,1056,False
Latimeria chalumnae,411.9,12106,False
Latimeria chalumnae,411.9,1517,False
Latimeria chalumnae,411.9,1843,False
Latimeria chalumnae,411.9,3265,False
Latimeria chalumnae,411.9,3529,False
Latimeria chalumnae,411.9,12469,False
Latimeria chalumnae,411.9,6016,False
Latimeria chalumnae,411.9,1239,False
Latimeria chalumnae,411.9,10890,False
Latimeria chalumnae,411.9,8380,False
Latimeria chalumnae,411.9,8808,False
Latimeria chalumnae,411.9,6938,False
Latimeria chalumnae,411.9,215,False
Latimeria chalumnae,411.9,13933,False
Latimeria chalumnae,411.9,5894,False
Latimeria chalumnae,411.9,10003,False
Latimeria chalumnae,411.9,6036,False
Latimeria chalumnae,411.9,2513,False
Latimeria chalumnae,411.9,11970,False
Latimeria chalumnae,411.9,3287,False
Latimeria chalumnae,411.9,4661,False
Latimeria chalumnae,411.9,7053,False
Latimeria chalumnae,411.9,7457,False
Latimeria chalumnae,411.9,1367,False
Latimeria chalumnae,411.9,6061,False
Latimeria chalumnae,411.9,6170,False
Latimeria chalumnae,411.9,5945,False
Latimeria chalumnae,411.9,1707,False
Latimeria chalumnae,411.9,6119,False
Latimeria chalumnae,411.9,6121,False
Latimeria chalumnae,411.9,10123,False
Latimeria chalumnae,411.9,1897,False
Latimeria chalumnae,411.9,6123,False
Latimeria chalumnae,411.9,5262,False
Latimeria chalumnae,411.9,6124,False
Latimeria chalumnae,411.9,13062,False
Latimeria chalumnae,411.9,13053,False
Latimeria chalumnae,411.9,997,False
Latimeria chalumnae,411.9,3991,False
Latimeria chalumnae,411.9,3992,False
Latimeria chalumnae,411.9,3993,False
Latimeria chalumnae,411.9,3994,False
Latimeria chalumnae,411.9,3995,False
Latimeria chalumnae,411.9,3996,False
Latimeria chalumnae,411.9,3997,False
Latimeria chalumnae,411.9,3998,False
Latimeria chalumnae,411.9,3999,False
Latimeria chalumnae,411.9,4000,False
Latimeria chalumnae,411.9,4001,False
Latimeria chalumnae,411.9,4002,False
Latimeria chalumnae,411.9,4003,False
Latimeria chalumnae,411.9,4004,False
Latimeria chalumnae,411.9,4005,False
Latimeria chalumnae,411.9,4006,False
Latimeria chalumnae,411.9,4007,False
Latimeria chalumnae,411.9,4008,False
Latimeria chalumnae,411.9,4009,False
Latimeria chalumnae,411.9,4010,False
Latimeria chalumnae,411.9,4011,False
Latimeria chalumnae,411.9,4012,False
Latimeria chalumnae,411.9,4013,False
Latimeria chalumnae,411.9,4014,False
Latimeria chalumnae,411.9,4015,False
Latimeria chalumnae,411.9,4016,False
Latimeria chalumnae,411.9,4017,False
Latimeria chalumnae,411.9,4018,False
Latimeria chalumnae,411.9,4019,False
Latimeria chalumnae,411.9,4020,False
Latimeria chalumnae,411.9,4021,False
Latimeria chalumnae,411.9,4022,False
Latimeria chalumnae,411.9,4023,False
Latimeria chalumnae,411.9,4024,False
Latimeria chalumnae,411.9,4025,False
Latimeria chalumnae,411.9,4026,False
Latimeria chalumnae,411.9,4027,False
Latimeria chalumnae,411.9,4028,False
Latimeria chalumnae,411.9,4029,False
Latimeria chalumnae,411.9,4030,False
Latimeria chalumnae,411.9,4031,False
Latimeria chalumnae,411.9,4032,False
Latimeria chalumnae,411.9,4033,False
Latimeria chalumnae,411.9,4034,False
Latimeria chalumnae,411.9,4035,False
Latimeria chalumnae,411.9,4036,False
Latimeria chalumnae,411.9,4037,False
Latimeria chalumnae,411.9,4038,False
Latimeria chalumnae,411.9,4039,False
Latimeria chalumnae,411.9,4040,False
Latimeria chalumnae,411.9,4041,False
Latimeria chalumnae,411.9,4042,False
Latimeria chalumnae,411.9,4043,False
Latimeria chalumnae,411.9,4044,False
Latimeria chalumnae,411.9,4045,False
Latimeria chalumnae,411.9,4046,False
Latimeria chalumnae,411.9,4047,False
Latimeria chalumnae,411.9,4048,False
Latimeria chalumnae,411.9,4049,False
Latimeria chalumnae,411.9,4050,False
Latimeria chalumnae,411.9,4051,False
Latimeria chalumnae,411.9,4052,False
Latimeria chalumnae,411.9,4053,False
Latimeria chalumnae,411.9,4054,False
Latimeria chalumnae,411.9,4055,False
Latimeria chalumnae,411.9,4056,False
Latimeria chalumnae,411.9,4057,False
Latimeria chalumnae,411.9,4058,False
Latimeria chalumnae,411.9,4059,False
Latimeria chalumnae,411.9,4060,False
Latimeria chalumnae,411.9,4061,False
Latimeria chalumnae,411.9,4062,False
Latimeria chalumnae,411.9,4063,False
Latimeria chalumnae,411.9,4064,False
Latimeria chalumnae,411.9,4065,False
Latimeria chalumnae,411.9,4066,False
Latimeria chalumnae,411.9,4067,False
Latimeria chalumnae,411.9,4068,False
Latimeria chalumnae,411.9,4069,False
Latimeria chalumnae,411.9,4070,False
Latimeria chalumnae,411.9,4071,False
Latimeria chalumnae,411.9,4072,False
Latimeria chalumnae,411.9,4073,False
Latimeria chalumnae,411.9,4074,False
Latimeria chalumnae,411.9,4075,False
Latimeria chalumnae,411.9,4076,False
Latimeria chalumnae,411.9,4077,False
Latimeria chalumnae,411.9,4078,False
Latimeria chalumnae,411.9,4079,False
Latimeria chalumnae,411.9,4080,False
Latimeria chalumnae,411.9,4081,False
Latimeria chalumnae,411.9,4082,False
Latimeria chalumnae,411.9,4083,False
Latimeria chalumnae,411.9,4084,False
Latimeria chalumnae,411.9,4085,False
Latimeria chalumnae,411.9,4086,False
Latimeria chalumnae,411.9,4087,False
Latimeria chalumnae,411.9,4088,False
Latimeria chalumnae,411.9,4089,False
Latimeria chalumnae,411.9,4090,False
Latimeria chalumnae,411.9,4091,False
Latimeria chalumnae,411.9,4092,False
Latimeria chalumnae,411.9,4093,False
Latimeria chalumnae,411.9,4094,False
Latimeria chalumnae,411.9,4095,False
Latimeria chalumnae,411.9,4096,False
Latimeria chalumnae,411.9,4097,False
Latimeria chalumnae,411.9,4098,False
Latimeria chalumnae,411.9,4099,False
Latimeria chalumnae,411.9,4100,False
Latimeria chalumnae,411.9,4101,False
Latimeria chalumnae,411.9,4102,False
Latimeria chalumnae,411.9,4103,False
Latimeria chalumnae,411.9,4104,False
Latimeria chalumnae,411.9,4105,False
Latimeria chalumnae,411.9,4106,False
Latimeria chalumnae,411.9,4107,False
Latimeria chalumnae,411.9,4108,False
Latimeria chalumnae,411.9,4109,False
Nanorana parkeri,355.7,4221,False
Nanorana parkeri,355.7,8903,False
Nanorana parkeri,355.7,1046,False
Nanorana parkeri,355.7,11467,False
Nanorana parkeri,355.7,1454,False
Nanorana parkeri,355.7,14844,False
Nanorana parkeri,355.7,4796,False
Nanorana parkeri,355.7,2342,False
Nanorana parkeri,355.7,2706,False
Nanorana parkeri,355.7,11627,False
Nanorana parkeri,355.7,13149,False
Nanorana parkeri,355.7,1045,False
Nanorana parkeri,355.7,1231,False
Nanorana parkeri,355.7,1960,False
Nanorana parkeri,355.7,5476,False
Nanorana parkeri,355.7,9981,False
Nanorana parkeri,355.7,14847,False
Nanorana parkeri,355.7,14929,False
Nanorana parkeri,355.7,2093,False
Nanorana parkeri,355.7,5264,False
Nanorana parkeri,355.7,6052,False
Nanorana parkeri,355.7,13075,False
Nanorana parkeri,355.7,14861,False
Nanorana parkeri,355.7,1034,False
Nanorana parkeri,355.7,1270,False
Nanorana parkeri,355.7,3321,False
Nanorana parkeri,355.7,5215,False
Nanorana parkeri,355.7,10007,False
Nanorana parkeri,355.7,10013,False
Nanorana parkeri,355.7,11439,False
Nanorana parkeri,355.7,12502,False
Nanorana parkeri,355.7,13094,False
Nanorana parkeri,355.7,1156,False
Nanorana parkeri,355.7,3268,False
Nanorana parkeri,355.7,6024,False
Nanorana parkeri,355.7,13307,False
Nanorana parkeri,355.7,1026,False
Nanorana parkeri,355.7,3254,False
Nanorana parkeri,355.7,3956,False
Nanorana parkeri,355.7,5798,False
Nanorana parkeri,355.7,6931,False
Nanorana parkeri,355.7,6963,False
Nanorana parkeri,355.7,7404,False
Nanorana parkeri,355.7,7569,False
Nanorana parkeri,355.7,13937,False
Nanorana parkeri,355.7,14667,False
Nanorana parkeri,355.7,1401,False
Nanorana parkeri,355.7,2021,False
Nanorana parkeri,355.7,5263,False
Nanorana parkeri,355.7,5406,False
Nanorana parkeri,355.7,8774,False
Nanorana parkeri,355.7,967,False
Nanorana parkeri,355.7,14920,False
Nanorana parkeri,355.7,14935,False
Nanorana parkeri,355.7,5070,False
Nanorana parkeri,355.7,7045,False
Nanorana parkeri,355.7,13297,False
Nanorana parkeri,355.7,14891,False
Nanorana parkeri,355.7,14926,False
Nanorana parkeri,355.7,6294,False
Nanorana parkeri,355.7,6701,False
Nanorana parkeri,355.7,2137,False
Nanorana parkeri,355.7,3239,False
Nanorana parkeri,355.7,4455,False
Nanorana parkeri,355.7,11202,False
Nanorana parkeri,355.7,6969,False
Nanorana parkeri,355.7,11661,False
Nanorana parkeri,355.7,1216,False
Nanorana parkeri,355.7,1458,False
Nanorana parkeri,355.7,3238,False
Nanorana parkeri,355.7,5762,False
Nanorana parkeri,355.7,2492,False
Nanorana parkeri,355.7,12528,False
Nanorana parkeri,355.7,1080,False
Nanorana parkeri,355.7,1572,False
Nanorana parkeri,355.7,3288,False
Nanorana parkeri,355.7,6017,False
Nanorana parkeri,355.7,13337,False
Nanorana parkeri,355.7,11201,False
Nanorana parkeri,355.7,14896,False
Nanorana parkeri,355.7,954,False
Nanorana parkeri,355.7,12672,False
Nanorana parkeri,355.7,6694,False
Nanorana parkeri,355.7,6978,False
Nanorana parkeri,355.7,11616,False
Nanorana parkeri,355.7,13331,False
Nanorana parkeri,355.7,2095,False
Nanorana parkeri,355.7,1056,False
Nanorana parkeri,355.7,12106,False
Nanorana parkeri,355.7,1517,False
Nanorana parkeri,355.7,1843,False
Nanorana parkeri,355.7,3265,False
Nanorana parkeri,355.7,3529,False
Nanorana parkeri,355.7,12469,False
Nanorana parkeri,355.7,6016,False
Nanorana parkeri,355.7,1239,False
Nanorana parkeri,355.7,10890,False
Nanorana parkeri,355.7,8380,False
Nanorana parkeri,355.7,8808,False
Nanorana parkeri,355.7,6938,False
Nanorana parkeri,355.7,215,False
Nanorana parkeri,355.7,13933,False
Nanorana parkeri,355.7,5894,False
Nanorana parkeri,355.7,10003,False
Nanorana parkeri,355.7,6036,False
Nanorana parkeri,355.7,2513,False
Nanorana parkeri,355.7,11970,False
Nanorana parkeri,355.7,3287,False
Nanorana parkeri,355.7,4661,False
Nanorana parkeri,355.7,7053,False
Nanorana parkeri,355.7,7457,False
Nanorana parkeri,355.7,1367,False
Nanorana parkeri,355.7,6061,False
Nanorana parkeri,355.7,6170,False
Nanorana parkeri,355.7,5945,False
Nanorana parkeri,355.7,1707,False
Nanorana parkeri,355.7,6119,False
Nanorana parkeri,355.7,6121,False
Nanorana parkeri,355.7,10123,False
Nanorana parkeri,355.7,1897,False
Nanorana parkeri,355.7,6123,False
Nanorana parkeri,355.7,5262,False
Nanorana parkeri,355.7,6124,False
Nanorana parkeri,355.7,13062,False
Nanorana parkeri,355.7,13053,False
Nanorana parkeri,355.7,997,False
Nanorana parkeri,355.7,3991,False
Nanorana parkeri,355.7,3992,False
Nanorana parkeri,355.7,3993,False
Nanorana parkeri,355.7,3994,False
Nanorana parkeri,355.7,3995,False
Nanorana parkeri,355.7,3996,False
Nanorana parkeri,355.7,3997,False
Nanorana parkeri,355.7,3998,False
Nanorana parkeri,355.7,3999,False
