Species,timeFromHuman_MY,cluster,present
Latimeria chalumnae,411.9,4221,False
Latimeria chalumnae,411.9,8903,False
Latimeria chalumnae,411.9,1046,False
Latimeria chalumnae,411.9,11467,False
Latimeria chalumnae,411.9,1454,False
Latimeria chalumnae,411.9,14844,False
Latimeria chalumnae,411.9,4796,False
Latimeria chalumnae,411.9,2342,False
Latimeria chalumnae,411.9,2706,False
Latimeria chalumnae,411.9,11627,False
Latimeria chalumnae,411.9,13149,False
Latimeria chalumnae,411.9,1045,False
Latimeria chalumnae,411.9,1231,False
Latimeria chalumnae,411.9,1960,False
Latimeria chalumnae,411.9,5476,False
Latimeria chalumnae,411.9,9981,False
Latimeria chalumnae,411.9,14847,False
Latimeria chalumnae,411.9,14929,False
Latimeria chalumnae,411.9,2093,False
Latimeria chalumnae,411.9,5264,False
Latimeria chalumnae,411.9,6052,False
Latimeria chalumnae,411.9,13075,False
Latimeria chalumnae,411.9,14861,False
Latimeria chalumnae,411.9,1034,False
Latimeria chalumnae,411.9,1270,False
Latimeria chalumnae,411.9,3321,False
Latimeria chalumnae,411.9,5215,False
Latimeria chalumnae,411.9,10007,False
Latimeria chalumnae,411.9,10013,False
Latimeria chalumnae,411.9,11439,False
Latimeria chalumnae,411.9,12502,False
Latimeria chalumnae,411.9,13094,False
Latimeria chalumnae,411.9,1156,False
Latimeria chalumnae,411.9,3268,False
Latimeria chalumnae,411.9,6024,False
Latimeria chalumnae,411.9,13307,False
Latimeria chalumnae,411.9,1026,False
Latimeria chalumnae,411.9,3254,False
Latimeria chalumnae,411.9,3956,False
Latimeria chalumnae,411.9,5798,False
Latimeria chalumnae,411.9,6931,False
Latimeria chalumnae,411.9,6963,False
Latimeria chalumnae,411.9,7404,False
Latimeria chalumnae,411.9,7569,False
Latimeria chalumnae,411.9,13937,False
Latimeria chalumnae,411.9,14667,False
Latimeria chalumnae,411.9,1401,False
Latimeria chalumnae,411.9,2021,False
Latimeria chalumnae,411.9,5263,False
Latimeria chalumnae,411.9,5406,False
Latimeria chalumnae,411.9,8774,False
Latimeria chalumnae,411.9,236,False
Latimeria chalumnae,411.9,967,False
Latimeria chalumnae,411.9,3511,False
Latimeria chalumnae,411.9,12788,False
Latimeria chalumnae,411.9,14920,False
Latimeria chalumnae,411.9,14935,False
Latimeria chalumnae,411.9,1271,False
Latimeria chalumnae,411.9,4358,False
Latimeria chalumnae,411.9,5070,False
Latimeria chalumnae,411.9,7045,False
Latimeria chalumnae,411.9,10886,False
Latimeria chalumnae,411.9,11907,False
Latimeria chalumnae,411.9,13297,False
Latimeria chalumnae,411.9,13967,False
Latimeria chalumnae,411.9,14891,False
Latimeria chalumnae,411.9,14926,False
Latimeria chalumnae,411.9,6294,False
Latimeria chalumnae,411.9,6701,False
Latimeria chalumnae,411.9,10131,False
Latimeria chalumnae,411.9,2137,False
Latimeria chalumnae,411.9,3239,False
Latimeria chalumnae,411.9,4455,False
Latimeria chalumnae,411.9,11202,False
Latimeria chalumnae,411.9,6926,False
Latimeria chalumnae,411.9,6969,False
Latimeria chalumnae,411.9,11639,False
Latimeria chalumnae,411.9,11661,False
Latimeria chalumnae,411.9,1216,False
Latimeria chalumnae,411.9,1458,False
Latimeria chalumnae,411.9,931,False
Latimeria chalumnae,411.9,3238,False
Latimeria chalumnae,411.9,5762,False
Latimeria chalumnae,411.9,1004,False
Latimeria chalumnae,411.9,1036,False
Latimeria chalumnae,411.9,2492,False
Latimeria chalumnae,411.9,6307,False
Latimeria chalumnae,411.9,6916,False
Latimeria chalumnae,411.9,12528,False
Latimeria chalumnae,411.9,1080,False
Latimeria chalumnae,411.9,1572,False
Latimeria chalumnae,411.9,3288,False
Latimeria chalumnae,411.9,6059,False
Latimeria chalumnae,411.9,7049,False
Latimeria chalumnae,411.9,7332,False
Latimeria chalumnae,411.9,6017,False
Latimeria chalumnae,411.9,13337,False
Latimeria chalumnae,411.9,11201,False
Latimeria chalumnae,411.9,14068,False
Latimeria chalumnae,411.9,14896,False
Latimeria chalumnae,411.9,954,False
Latimeria chalumnae,411.9,6774,False
Latimeria chalumnae,411.9,11225,False
Latimeria chalumnae,411.9,12672,False
Latimeria chalumnae,411.9,754,False
Latimeria chalumnae,411.9,6694,False
Latimeria chalumnae,411.9,6978,False
Latimeria chalumnae,411.9,11616,False
Latimeria chalumnae,411.9,13331,False
Latimeria chalumnae,411.9,235,False
Latimeria chalumnae,411.9,1303,False
Latimeria chalumnae,411.9,2095,False
Latimeria chalumnae,411.9,3010,False
Latimeria chalumnae,411.9,3803,False
Latimeria chalumnae,411.9,12512,False
Latimeria chalumnae,411.9,1056,False
Latimeria chalumnae,411.9,11446,False
Latimeria chalumnae,411.9,11610,False
Latimeria chalumnae,411.9,13786,False
Latimeria chalumnae,411.9,1943,False
Latimeria chalumnae,411.9,7051,False
Latimeria chalumnae,411.9,1517,False
Latimeria chalumnae,411.9,5151,False
Latimeria chalumnae,411.9,11445,False
Latimeria chalumnae,411.9,1843,False
Latimeria chalumnae,411.9,3265,False
Latimeria chalumnae,411.9,3529,False
Latimeria chalumnae,411.9,6918,False
Latimeria chalumnae,411.9,12505,False
Latimeria chalumnae,411.9,11442,False
Latimeria chalumnae,411.9,12469,False
Latimeria chalumnae,411.9,6016,False
Latimeria chalumnae,411.9,14840,False
Latimeria chalumnae,411.9,1111,False
Latimeria chalumnae,411.9,5212,False
Latimeria chalumnae,411.9,211,False
Latimeria chalumnae,411.9,1373,False
Latimeria chalumnae,411.9,1286,False
Latimeria chalumnae,411.9,2100,False
Latimeria chalumnae,411.9,6677,False
Latimeria chalumnae,411.9,2477,False
Latimeria chalumnae,411.9,6649,False
Latimeria chalumnae,411.9,1239,False
Latimeria chalumnae,411.9,11649,False
Latimeria chalumnae,411.9,6641,False
Latimeria chalumnae,411.9,721,False
Latimeria chalumnae,411.9,12520,False
Latimeria chalumnae,411.9,11662,False
Latimeria chalumnae,411.9,3313,False
Latimeria chalumnae,411.9,4747,False
Latimeria chalumnae,411.9,6913,False
Latimeria chalumnae,411.9,3279,False
Latimeria chalumnae,411.9,5076,False
Latimeria chalumnae,411.9,11498,False
Latimeria chalumnae,411.9,13267,False
Latimeria chalumnae,411.9,2127,False
Latimeria chalumnae,411.9,10231,False
Latimeria chalumnae,411.9,750,False
Latimeria chalumnae,411.9,6938,False
Latimeria chalumnae,411.9,12789,False
Latimeria chalumnae,411.9,14041,False
Latimeria chalumnae,411.9,215,False
Latimeria chalumnae,411.9,2090,False
Latimeria chalumnae,411.9,5069,False
Latimeria chalumnae,411.9,12723,False
Latimeria chalumnae,411.9,1306,False
Latimeria chalumnae,411.9,2089,False
Latimeria chalumnae,411.9,4715,False
Latimeria chalumnae,411.9,13933,False
Latimeria chalumnae,411.9,5894,False
Latimeria chalumnae,411.9,5378,False
Latimeria chalumnae,411.9,6927,False
Latimeria chalumnae,411.9,2478,False
Latimeria chalumnae,411.9,10003,False
Latimeria chalumnae,411.9,1102,False
Latimeria chalumnae,411.9,2513,False
Latimeria chalumnae,411.9,4628,False
Latimeria chalumnae,411.9,936,False
Latimeria chalumnae,411.9,7009,False
Latimeria chalumnae,411.9,2102,False
Latimeria chalumnae,411.9,7061,False
Latimeria chalumnae,411.9,1226,False
Latimeria chalumnae,411.9,6047,False
Latimeria chalumnae,411.9,7008,False
Latimeria chalumnae,411.9,1346,False
Latimeria chalumnae,411.9,2136,False
Latimeria chalumnae,411.9,4853,False
Latimeria chalumnae,411.9,5851,False
Latimeria chalumnae,411.9,11531,False
Latimeria chalumnae,411.9,14889,False
Latimeria chalumnae,411.9,1005,False
Latimeria chalumnae,411.9,14856,False
Latimeria chalumnae,411.9,2118,False
Latimeria chalumnae,411.9,1331,False
Latimeria chalumnae,411.9,3245,False
Latimeria chalumnae,411.9,4357,False
Latimeria chalumnae,411.9,10021,False
Latimeria chalumnae,411.9,1513,False
Latimeria chalumnae,411.9,7050,False
Latimeria chalumnae,411.9,4798,False
Latimeria chalumnae,411.9,5484,False
Latimeria chalumnae,411.9,5871,False
Latimeria chalumnae,411.9,7053,False
Latimeria chalumnae,411.9,7457,False
Latimeria chalumnae,411.9,5075,False
Latimeria chalumnae,411.9,13250,False
Latimeria chalumnae,411.9,959,False
Latimeria chalumnae,411.9,7025,False
Latimeria chalumnae,411.9,14873,False
Latimeria chalumnae,411.9,1061,False
Latimeria chalumnae,411.9,2113,False
Latimeria chalumnae,411.9,1425,False
Latimeria chalumnae,411.9,1472,False
Latimeria chalumnae,411.9,5189,False
Latimeria chalumnae,411.9,6651,False
Latimeria chalumnae,411.9,11606,False
Latimeria chalumnae,411.9,223,False
Latimeria chalumnae,411.9,1427,False
Latimeria chalumnae,411.9,5113,False
Latimeria chalumnae,411.9,9978,False
Latimeria chalumnae,411.9,14886,False
Latimeria chalumnae,411.9,6933,False
Latimeria chalumnae,411.9,4780,False
Latimeria chalumnae,411.9,4766,False
Latimeria chalumnae,411.9,6170,False
Latimeria chalumnae,411.9,6645,False
Latimeria chalumnae,411.9,1290,False
Latimeria chalumnae,411.9,13223,False
Latimeria chalumnae,411.9,5085,False
Latimeria chalumnae,411.9,6627,False
Latimeria chalumnae,411.9,11366,False
Latimeria chalumnae,411.9,6658,False
Latimeria chalumnae,411.9,10257,False
Latimeria chalumnae,411.9,12832,False
Latimeria chalumnae,411.9,14883,False
Latimeria chalumnae,411.9,224,False
Latimeria chalumnae,411.9,225,False
Latimeria chalumnae,411.9,940,False
Latimeria chalumnae,411.9,3714,False
Latimeria chalumnae,411.9,206,False
Latimeria chalumnae,411.9,14881,False
Latimeria chalumnae,411.9,14887,False
Latimeria chalumnae,411.9,2015,False
Latimeria chalumnae,411.9,6841,False
Latimeria chalumnae,411.9,994,False
Latimeria chalumnae,411.9,6634,False
Latimeria chalumnae,411.9,2019,False
Latimeria chalumnae,411.9,4719,False
Latimeria chalumnae,411.9,4730,False
Latimeria chalumnae,411.9,4731,False
Latimeria chalumnae,411.9,4733,False
Latimeria chalumnae,411.9,4734,False
Latimeria chalumnae,411.9,4756,False
Latimeria chalumnae,411.9,4762,False
Latimeria chalumnae,411.9,4772,False
Latimeria chalumnae,411.9,4778,False
Latimeria chalumnae,411.9,4785,False
Latimeria chalumnae,411.9,4791,False
Latimeria chalumnae,411.9,4793,False
Latimeria chalumnae,411.9,4797,False
Latimeria chalumnae,411.9,4802,False
Latimeria chalumnae,411.9,4806,False
Latimeria chalumnae,411.9,4814,False
Latimeria chalumnae,411.9,4820,False
Latimeria chalumnae,411.9,4821,False
Latimeria chalumnae,411.9,4825,False
Latimeria chalumnae,411.9,4830,False
Latimeria chalumnae,411.9,4834,False
Latimeria chalumnae,411.9,4851,False
Latimeria chalumnae,411.9,4754,False
Latimeria chalumnae,411.9,4757,False
Latimeria chalumnae,411.9,4758,False
Latimeria chalumnae,411.9,4759,False
Latimeria chalumnae,411.9,4761,False
Latimeria chalumnae,411.9,4764,False
Latimeria chalumnae,411.9,4767,False
Latimeria chalumnae,411.9,4769,False
Latimeria chalumnae,411.9,4770,False
Latimeria chalumnae,411.9,4771,False
Latimeria chalumnae,411.9,4774,False
Latimeria chalumnae,411.9,4775,False
Latimeria chalumnae,411.9,4776,False
Latimeria chalumnae,411.9,4779,False
Latimeria chalumnae,411.9,4783,False
Latimeria chalumnae,411.9,4784,False
Latimeria chalumnae,411.9,4786,False
Latimeria chalumnae,411.9,4789,False
Latimeria chalumnae,411.9,4790,False
Latimeria chalumnae,411.9,4792,False
Latimeria chalumnae,411.9,4795,False
Latimeria chalumnae,411.9,4799,False
Latimeria chalumnae,411.9,4800,False
Latimeria chalumnae,411.9,4801,False
Latimeria chalumnae,411.9,4803,False
Latimeria chalumnae,411.9,4804,False
Latimeria chalumnae,411.9,4805,False
Latimeria chalumnae,411.9,4808,False
Latimeria chalumnae,411.9,4809,False
Latimeria chalumnae,411.9,4810,False
Latimeria chalumnae,411.9,4812,False
Latimeria chalumnae,411.9,4815,False
Latimeria chalumnae,411.9,4816,False
Latimeria chalumnae,411.9,4817,False
Latimeria chalumnae,411.9,4818,False
Latimeria chalumnae,411.9,4819,False
Latimeria chalumnae,411.9,4822,False
Latimeria chalumnae,411.9,4823,False
Latimeria chalumnae,411.9,4824,False
Latimeria chalumnae,411.9,4826,False
Latimeria chalumnae,411.9,4827,False
Latimeria chalumnae,411.9,4828,False
Latimeria chalumnae,411.9,4829,False
Latimeria chalumnae,411.9,4831,False
Latimeria chalumnae,411.9,4833,False
Latimeria chalumnae,411.9,4835,False
Latimeria chalumnae,411.9,4836,False
Latimeria chalumnae,411.9,4839,False
Latimeria chalumnae,411.9,4840,False
Latimeria chalumnae,411.9,4841,False
Latimeria chalumnae,411.9,4842,False
Latimeria chalumnae,411.9,4844,False
Latimeria chalumnae,411.9,4845,False
Latimeria chalumnae,411.9,4847,False
Latimeria chalumnae,411.9,4849,False
Latimeria chalumnae,411.9,4850,False
Latimeria chalumnae,411.9,4852,False
Latimeria chalumnae,411.9,4854,False
Latimeria chalumnae,411.9,4855,False
Latimeria chalumnae,411.9,4857,False
Latimeria chalumnae,411.9,4859,False
Latimeria chalumnae,411.9,4861,False
Latimeria chalumnae,411.9,4863,False
Latimeria chalumnae,411.9,4755,False
Latimeria chalumnae,411.9,4760,False
Latimeria chalumnae,411.9,4763,False
Latimeria chalumnae,411.9,4765,False
Latimeria chalumnae,411.9,4768,False
Latimeria chalumnae,411.9,4773,False
Latimeria chalumnae,411.9,4777,False
Latimeria chalumnae,411.9,4781,False
Latimeria chalumnae,411.9,4782,False
Latimeria chalumnae,411.9,4787,False
Latimeria chalumnae,411.9,4788,False
Latimeria chalumnae,411.9,4794,False
Latimeria chalumnae,411.9,4807,False
Latimeria chalumnae,411.9,4811,False
Latimeria chalumnae,411.9,4813,False
Latimeria chalumnae,411.9,4832,False
Latimeria chalumnae,411.9,4837,False
Latimeria chalumnae,411.9,4838,False
Latimeria chalumnae,411.9,4843,False
Latimeria chalumnae,411.9,4846,False
Latimeria chalumnae,411.9,4848,False
Latimeria chalumnae,411.9,4856,False
Latimeria chalumnae,411.9,4858,False
Latimeria chalumnae,411.9,4860,False
Latimeria chalumnae,411.9,4862,False
Nanorana parkeri,355.7,4221,False
Nanorana parkeri,355.7,8903,False
Nanorana parkeri,355.7,1046,False
Nanorana parkeri,355.7,11467,False
Nanorana parkeri,355.7,1454,False
Nanorana parkeri,355.7,14844,False
Nanorana parkeri,355.7,4796,False
Nanorana parkeri,355.7,2342,False
Nanorana parkeri,355.7,2706,False
Nanorana parkeri,355.7,11627,False
Nanorana parkeri,355.7,13149,False
Nanorana parkeri,355.7,1045,False
Nanorana parkeri,355.7,1231,False
Nanorana parkeri,355.7,1960,False
Nanorana parkeri,355.7,5476,False
Nanorana parkeri,355.7,9981,False
Nanorana parkeri,355.7,14847,False
Nanorana parkeri,355.7,14929,False
