Species,timeFromHuman_MY,cluster,present
Latimeria chalumnae,411.9,4221,False
Latimeria chalumnae,411.9,1046,False
Latimeria chalumnae,411.9,11467,False
Latimeria chalumnae,411.9,1454,False
Latimeria chalumnae,411.9,14844,False
Latimeria chalumnae,411.9,4796,False
Latimeria chalumnae,411.9,2342,False
Latimeria chalumnae,411.9,11627,False
Latimeria chalumnae,411.9,13149,False
Latimeria chalumnae,411.9,1045,False
Latimeria chalumnae,411.9,1231,False
Latimeria chalumnae,411.9,1960,False
Latimeria chalumnae,411.9,5476,False
Latimeria chalumnae,411.9,9981,False
Latimeria chalumnae,411.9,14847,False
Latimeria chalumnae,411.9,14929,False
Latimeria chalumnae,411.9,2093,False
Latimeria chalumnae,411.9,5264,False
Latimeria chalumnae,411.9,6052,False
Latimeria chalumnae,411.9,13075,False
Latimeria chalumnae,411.9,14861,False
Latimeria chalumnae,411.9,1034,False
Latimeria chalumnae,411.9,1270,False
Latimeria chalumnae,411.9,3321,False
Latimeria chalumnae,411.9,5215,False
Latimeria chalumnae,411.9,10007,False
Latimeria chalumnae,411.9,10013,False
Latimeria chalumnae,411.9,11439,False
Latimeria chalumnae,411.9,12502,False
Latimeria chalumnae,411.9,13094,False
Latimeria chalumnae,411.9,1156,False
Latimeria chalumnae,411.9,3268,False
Latimeria chalumnae,411.9,6024,False
Latimeria chalumnae,411.9,1026,False
Latimeria chalumnae,411.9,3956,False
Latimeria chalumnae,411.9,5798,False
Latimeria chalumnae,411.9,6931,False
Latimeria chalumnae,411.9,6963,False
Latimeria chalumnae,411.9,7404,False
Latimeria chalumnae,411.9,7569,False
Latimeria chalumnae,411.9,13937,False
Latimeria chalumnae,411.9,14667,False
Latimeria chalumnae,411.9,1401,False
Latimeria chalumnae,411.9,2021,False
Latimeria chalumnae,411.9,5263,False
Latimeria chalumnae,411.9,5406,False
Latimeria chalumnae,411.9,8774,False
Latimeria chalumnae,411.9,236,False
Latimeria chalumnae,411.9,967,False
Latimeria chalumnae,411.9,3511,False
Latimeria chalumnae,411.9,12788,False
Latimeria chalumnae,411.9,14920,False
Latimeria chalumnae,411.9,1271,False
Latimeria chalumnae,411.9,4358,False
Latimeria chalumnae,411.9,5070,False
Latimeria chalumnae,411.9,7045,False
Latimeria chalumnae,411.9,11907,False
Latimeria chalumnae,411.9,13967,False
Latimeria chalumnae,411.9,14891,False
Latimeria chalumnae,411.9,10131,False
Latimeria chalumnae,411.9,2137,False
Latimeria chalumnae,411.9,3239,False
Latimeria chalumnae,411.9,4455,False
Latimeria chalumnae,411.9,11202,False
Latimeria chalumnae,411.9,6926,False
Latimeria chalumnae,411.9,6969,False
Latimeria chalumnae,411.9,11661,False
Latimeria chalumnae,411.9,931,False
Latimeria chalumnae,411.9,3238,False
Latimeria chalumnae,411.9,5762,False
Latimeria chalumnae,411.9,12528,False
Latimeria chalumnae,411.9,1572,False
Latimeria chalumnae,411.9,6017,False
Latimeria chalumnae,411.9,14896,False
Latimeria chalumnae,411.9,954,False
Latimeria chalumnae,411.9,12672,False
Latimeria chalumnae,411.9,13331,False
Latimeria chalumnae,411.9,1303,False
Latimeria chalumnae,411.9,12512,False
Latimeria chalumnae,411.9,12106,False
Latimeria chalumnae,411.9,7051,False
Latimeria chalumnae,411.9,1843,False
Latimeria chalumnae,411.9,11442,False
Latimeria chalumnae,411.9,14840,False
Latimeria chalumnae,411.9,4609,False
Latimeria chalumnae,411.9,10890,False
Latimeria chalumnae,411.9,6913,False
Latimeria chalumnae,411.9,8808,False
Latimeria chalumnae,411.9,13933,False
Latimeria chalumnae,411.9,6630,False
Latimeria chalumnae,411.9,6036,False
Latimeria chalumnae,411.9,1346,False
Latimeria chalumnae,411.9,4853,False
Latimeria chalumnae,411.9,11531,False
Latimeria chalumnae,411.9,14889,False
Latimeria chalumnae,411.9,13336,False
Latimeria chalumnae,411.9,7457,False
Latimeria chalumnae,411.9,5075,False
Latimeria chalumnae,411.9,14886,False
Latimeria chalumnae,411.9,10030,False
Latimeria chalumnae,411.9,6184,False
Latimeria chalumnae,411.9,5945,False
Latimeria chalumnae,411.9,4631,False
Latimeria chalumnae,411.9,2019,False
Latimeria chalumnae,411.9,7902,False
Latimeria chalumnae,411.9,4864,False
Latimeria chalumnae,411.9,5499,False
Latimeria chalumnae,411.9,4865,False
Latimeria chalumnae,411.9,4866,False
Latimeria chalumnae,411.9,4867,False
Latimeria chalumnae,411.9,4868,False
Latimeria chalumnae,411.9,4869,False
Latimeria chalumnae,411.9,4870,False
Latimeria chalumnae,411.9,4871,False
Latimeria chalumnae,411.9,4872,False
Latimeria chalumnae,411.9,4873,False
Latimeria chalumnae,411.9,4874,False
Latimeria chalumnae,411.9,4875,False
Latimeria chalumnae,411.9,4876,False
Latimeria chalumnae,411.9,4877,False
Latimeria chalumnae,411.9,4878,False
Latimeria chalumnae,411.9,4879,False
Latimeria chalumnae,411.9,4880,False
Latimeria chalumnae,411.9,4881,False
Latimeria chalumnae,411.9,4882,False
Latimeria chalumnae,411.9,4883,False
Latimeria chalumnae,411.9,4884,False
Latimeria chalumnae,411.9,4885,False
Latimeria chalumnae,411.9,4886,False
Latimeria chalumnae,411.9,4887,False
Latimeria chalumnae,411.9,4888,False
Latimeria chalumnae,411.9,4889,False
Latimeria chalumnae,411.9,4890,False
Latimeria chalumnae,411.9,4891,False
Latimeria chalumnae,411.9,4892,False
Latimeria chalumnae,411.9,4893,False
Latimeria chalumnae,411.9,4894,False
Latimeria chalumnae,411.9,4895,False
Latimeria chalumnae,411.9,4896,False
Latimeria chalumnae,411.9,4897,False
Latimeria chalumnae,411.9,4898,False
Latimeria chalumnae,411.9,4899,False
Latimeria chalumnae,411.9,4900,False
Latimeria chalumnae,411.9,4901,False
Latimeria chalumnae,411.9,4902,False
Latimeria chalumnae,411.9,4903,False
Latimeria chalumnae,411.9,4904,False
Latimeria chalumnae,411.9,4905,False
Latimeria chalumnae,411.9,4906,False
Latimeria chalumnae,411.9,4907,False
Latimeria chalumnae,411.9,4908,False
Latimeria chalumnae,411.9,4909,False
Latimeria chalumnae,411.9,4910,False
Latimeria chalumnae,411.9,4911,False
Latimeria chalumnae,411.9,4912,False
Latimeria chalumnae,411.9,4913,False
Latimeria chalumnae,411.9,4914,False
Latimeria chalumnae,411.9,4915,False
Latimeria chalumnae,411.9,4916,False
Latimeria chalumnae,411.9,4917,False
Latimeria chalumnae,411.9,4918,False
Latimeria chalumnae,411.9,4919,False
Latimeria chalumnae,411.9,4920,False
Latimeria chalumnae,411.9,4921,False
Latimeria chalumnae,411.9,4922,False
Latimeria chalumnae,411.9,4923,False
Latimeria chalumnae,411.9,4924,False
Latimeria chalumnae,411.9,4925,False
Latimeria chalumnae,411.9,4926,False
Latimeria chalumnae,411.9,4927,False
Latimeria chalumnae,411.9,4928,False
Latimeria chalumnae,411.9,4929,False
Latimeria chalumnae,411.9,4930,False
Latimeria chalumnae,411.9,4931,False
Latimeria chalumnae,411.9,4932,False
Latimeria chalumnae,411.9,4933,False
