Species,timeFromHuman_MY,cluster,present
Latimeria chalumnae,411.9,4221,False
Latimeria chalumnae,411.9,8903,False
Latimeria chalumnae,411.9,3638,False
Latimeria chalumnae,411.9,706,False
Latimeria chalumnae,411.9,1007,False
Latimeria chalumnae,411.9,5129,False
Latimeria chalumnae,411.9,926,False
Latimeria chalumnae,411.9,5558,False
Latimeria chalumnae,411.9,5632,False
Latimeria chalumnae,411.9,5562,False
Latimeria chalumnae,411.9,922,False
Latimeria chalumnae,411.9,5133,False
Latimeria chalumnae,411.9,5130,False
Latimeria chalumnae,411.9,5131,False
Nanorana parkeri,355.7,4221,False
Nanorana parkeri,355.7,8903,False
Nanorana parkeri,355.7,3638,False
Nanorana parkeri,355.7,706,False
Nanorana parkeri,355.7,1007,False
Nanorana parkeri,355.7,5129,False
Nanorana parkeri,355.7,926,False
Nanorana parkeri,355.7,5558,False
Nanorana parkeri,355.7,5632,False
Nanorana parkeri,355.7,5562,False
Nanorana parkeri,355.7,922,False
Nanorana parkeri,355.7,5133,False
Nanorana parkeri,355.7,5130,False
Nanorana parkeri,355.7,5131,False
Xenopus laevi,355.7,4221,False
Xenopus laevi,355.7,8903,False
Xenopus laevi,355.7,3638,False
Xenopus laevi,355.7,706,False
Xenopus laevi,355.7,1007,False
Xenopus laevi,355.7,5129,False
Xenopus laevi,355.7,926,False
Xenopus laevi,355.7,5558,False
Xenopus laevi,355.7,5632,False
Xenopus laevi,355.7,5562,False
Xenopus laevi,355.7,922,False
Xenopus laevi,355.7,5133,False
Xenopus laevi,355.7,5130,False
Xenopus laevi,355.7,5131,False
Xenopus tropicalis,355.7,4221,False
Xenopus tropicalis,355.7,8903,False
Xenopus tropicalis,355.7,3638,False
Xenopus tropicalis,355.7,706,False
Xenopus tropicalis,355.7,1007,False
Xenopus tropicalis,355.7,5129,False
Xenopus tropicalis,355.7,926,False
Xenopus tropicalis,355.7,5558,False
Xenopus tropicalis,355.7,5632,False
Xenopus tropicalis,355.7,5562,False
Xenopus tropicalis,355.7,922,False
Xenopus tropicalis,355.7,5133,False
Xenopus tropicalis,355.7,5130,False
Xenopus tropicalis,355.7,5131,False
Acanthisitta chloris,320.5,4221,False
Acanthisitta chloris,320.5,8903,False
Acanthisitta chloris,320.5,3638,True
Acanthisitta chloris,320.5,706,True
Acanthisitta chloris,320.5,1007,False
Acanthisitta chloris,320.5,5129,False
Acanthisitta chloris,320.5,926,False
Acanthisitta chloris,320.5,5558,False
Acanthisitta chloris,320.5,5632,False
Acanthisitta chloris,320.5,5562,False
Acanthisitta chloris,320.5,922,False
Acanthisitta chloris,320.5,5133,False
Acanthisitta chloris,320.5,5130,False
Acanthisitta chloris,320.5,5131,False
Alligator mississippiensis,320.5,4221,True
Alligator mississippiensis,320.5,8903,True
Alligator mississippiensis,320.5,3638,True
Alligator mississippiensis,320.5,706,False
Alligator mississippiensis,320.5,1007,False
Alligator mississippiensis,320.5,5129,True
Alligator mississippiensis,320.5,926,True
Alligator mississippiensis,320.5,5558,True
Alligator mississippiensis,320.5,5632,True
Alligator mississippiensis,320.5,5562,False
Alligator mississippiensis,320.5,922,False
Alligator mississippiensis,320.5,5133,False
Alligator mississippiensis,320.5,5130,False
Alligator mississippiensis,320.5,5131,False
Alligator sinensis,320.5,4221,True
Alligator sinensis,320.5,8903,True
Alligator sinensis,320.5,3638,True
Alligator sinensis,320.5,706,False
Alligator sinensis,320.5,1007,False
Alligator sinensis,320.5,5129,True
Alligator sinensis,320.5,926,True
Alligator sinensis,320.5,5558,True
Alligator sinensis,320.5,5632,True
Alligator sinensis,320.5,5562,False
Alligator sinensis,320.5,922,False
Alligator sinensis,320.5,5133,False
Alligator sinensis,320.5,5130,False
Alligator sinensis,320.5,5131,False
Amazona vittata,320.5,4221,True
Amazona vittata,320.5,8903,True
Amazona vittata,320.5,3638,True
Amazona vittata,320.5,706,True
Amazona vittata,320.5,1007,False
Amazona vittata,320.5,5129,False
Amazona vittata,320.5,926,True
Amazona vittata,320.5,5558,False
Amazona vittata,320.5,5632,False
Amazona vittata,320.5,5562,False
Amazona vittata,320.5,922,False
Amazona vittata,320.5,5133,False
Amazona vittata,320.5,5130,False
Amazona vittata,320.5,5131,False
Anas platyrhynchos,320.5,4221,True
Anas platyrhynchos,320.5,8903,False
Anas platyrhynchos,320.5,3638,True
Anas platyrhynchos,320.5,706,True
Anas platyrhynchos,320.5,1007,True
Anas platyrhynchos,320.5,5129,True
Anas platyrhynchos,320.5,926,True
Anas platyrhynchos,320.5,5558,False
Anas platyrhynchos,320.5,5632,False
Anas platyrhynchos,320.5,5562,False
Anas platyrhynchos,320.5,922,False
Anas platyrhynchos,320.5,5133,False
Anas platyrhynchos,320.5,5130,False
Anas platyrhynchos,320.5,5131,False
Anolis carolinensis,320.5,4221,True
Anolis carolinensis,320.5,8903,True
Anolis carolinensis,320.5,3638,True
Anolis carolinensis,320.5,706,False
Anolis carolinensis,320.5,1007,False
Anolis carolinensis,320.5,5129,False
Anolis carolinensis,320.5,926,True
Anolis carolinensis,320.5,5558,False
Anolis carolinensis,320.5,5632,False
Anolis carolinensis,320.5,5562,False
Anolis carolinensis,320.5,922,False
Anolis carolinensis,320.5,5133,False
Anolis carolinensis,320.5,5130,False
Anolis carolinensis,320.5,5131,False
Anser cygnoides domesticus,320.5,4221,False
Anser cygnoides domesticus,320.5,8903,False
Anser cygnoides domesticus,320.5,3638,False
Anser cygnoides domesticus,320.5,706,True
Anser cygnoides domesticus,320.5,1007,True
Anser cygnoides domesticus,320.5,5129,True
Anser cygnoides domesticus,320.5,926,True
Anser cygnoides domesticus,320.5,5558,False
Anser cygnoides domesticus,320.5,5632,False
Anser cygnoides domesticus,320.5,5562,False
Anser cygnoides domesticus,320.5,922,True
Anser cygnoides domesticus,320.5,5133,False
Anser cygnoides domesticus,320.5,5130,False
Anser cygnoides domesticus,320.5,5131,False
Antrostomus carolinensis,320.5,4221,True
Antrostomus carolinensis,320.5,8903,True
Antrostomus carolinensis,320.5,3638,False
Antrostomus carolinensis,320.5,706,True
Antrostomus carolinensis,320.5,1007,True
Antrostomus carolinensis,320.5,5129,True
Antrostomus carolinensis,320.5,926,False
Antrostomus carolinensis,320.5,5558,False
Antrostomus carolinensis,320.5,5632,False
Antrostomus carolinensis,320.5,5562,False
Antrostomus carolinensis,320.5,922,False
Antrostomus carolinensis,320.5,5133,False
Antrostomus carolinensis,320.5,5130,False
Antrostomus carolinensis,320.5,5131,False
Apalone spinifera,320.5,4221,False
Apalone spinifera,320.5,8903,False
Apalone spinifera,320.5,3638,True
Apalone spinifera,320.5,706,True
Apalone spinifera,320.5,1007,False
Apalone spinifera,320.5,5129,False
Apalone spinifera,320.5,926,False
Apalone spinifera,320.5,5558,False
Apalone spinifera,320.5,5632,False
Apalone spinifera,320.5,5562,False
Apalone spinifera,320.5,922,False
Apalone spinifera,320.5,5133,False
Apalone spinifera,320.5,5130,False
Apalone spinifera,320.5,5131,False
Aptenodytes forsteri,320.5,4221,True
Aptenodytes forsteri,320.5,8903,False
Aptenodytes forsteri,320.5,3638,True
Aptenodytes forsteri,320.5,706,True
Aptenodytes forsteri,320.5,1007,True
Aptenodytes forsteri,320.5,5129,True
Aptenodytes forsteri,320.5,926,True
Aptenodytes forsteri,320.5,5558,True
Aptenodytes forsteri,320.5,5632,True
Aptenodytes forsteri,320.5,5562,False
Aptenodytes forsteri,320.5,922,True
Aptenodytes forsteri,320.5,5133,False
Aptenodytes forsteri,320.5,5130,False
Aptenodytes forsteri,320.5,5131,False
Apteryx australis mantelli,320.5,4221,True
Apteryx australis mantelli,320.5,8903,True
Apteryx australis mantelli,320.5,3638,True
Apteryx australis mantelli,320.5,706,True
Apteryx australis mantelli,320.5,1007,True
Apteryx australis mantelli,320.5,5129,False
Apteryx australis mantelli,320.5,926,True
Apteryx australis mantelli,320.5,5558,False
Apteryx australis mantelli,320.5,5632,True
Apteryx australis mantelli,320.5,5562,True
Apteryx australis mantelli,320.5,922,False
Apteryx australis mantelli,320.5,5133,False
Apteryx australis mantelli,320.5,5130,False
Apteryx australis mantelli,320.5,5131,False
Aquila chrysaetos,320.5,4221,True
Aquila chrysaetos,320.5,8903,False
Aquila chrysaetos,320.5,3638,True
Aquila chrysaetos,320.5,706,True
Aquila chrysaetos,320.5,1007,True
Aquila chrysaetos,320.5,5129,True
Aquila chrysaetos,320.5,926,True
Aquila chrysaetos,320.5,5558,True
Aquila chrysaetos,320.5,5632,True
Aquila chrysaetos,320.5,5562,True
Aquila chrysaetos,320.5,922,True
Aquila chrysaetos,320.5,5133,True
Aquila chrysaetos,320.5,5130,False
Aquila chrysaetos,320.5,5131,False
Ara macao,320.5,4221,True
Ara macao,320.5,8903,False
Ara macao,320.5,3638,True
Ara macao,320.5,706,True
Ara macao,320.5,1007,False
Ara macao,320.5,5129,False
Ara macao,320.5,926,True
Ara macao,320.5,5558,False
Ara macao,320.5,5632,False
Ara macao,320.5,5562,False
Ara macao,320.5,922,False
Ara macao,320.5,5133,False
Ara macao,320.5,5130,False
Ara macao,320.5,5131,False
Balearica regulorum gibbericeps,320.5,4221,False
Balearica regulorum gibbericeps,320.5,8903,False
Balearica regulorum gibbericeps,320.5,3638,True
Balearica regulorum gibbericeps,320.5,706,True
Balearica regulorum gibbericeps,320.5,1007,True
Balearica regulorum gibbericeps,320.5,5129,False
Balearica regulorum gibbericeps,320.5,926,True
Balearica regulorum gibbericeps,320.5,5558,False
Balearica regulorum gibbericeps,320.5,5632,False
Balearica regulorum gibbericeps,320.5,5562,False
Balearica regulorum gibbericeps,320.5,922,False
Balearica regulorum gibbericeps,320.5,5133,False
Balearica regulorum gibbericeps,320.5,5130,False
Balearica regulorum gibbericeps,320.5,5131,False
Calypte anna,320.5,4221,True
Calypte anna,320.5,8903,False
Calypte anna,320.5,3638,True
Calypte anna,320.5,706,False
Calypte anna,320.5,1007,False
Calypte anna,320.5,5129,True
Calypte anna,320.5,926,False
Calypte anna,320.5,5558,False
Calypte anna,320.5,5632,False
Calypte anna,320.5,5562,True
Calypte anna,320.5,922,False
Calypte anna,320.5,5133,False
Calypte anna,320.5,5130,False
Calypte anna,320.5,5131,False
Caprimulgus carolinensis,320.5,4221,True
Caprimulgus carolinensis,320.5,8903,True
Caprimulgus carolinensis,320.5,3638,True
Caprimulgus carolinensis,320.5,706,True
Caprimulgus carolinensis,320.5,1007,True
Caprimulgus carolinensis,320.5,5129,True
Caprimulgus carolinensis,320.5,926,False
Caprimulgus carolinensis,320.5,5558,True
Caprimulgus carolinensis,320.5,5632,False
Caprimulgus carolinensis,320.5,5562,False
Caprimulgus carolinensis,320.5,922,False
Caprimulgus carolinensis,320.5,5133,False
Caprimulgus carolinensis,320.5,5130,False
Caprimulgus carolinensis,320.5,5131,False
Cariama cristata,320.5,4221,False
Cariama cristata,320.5,8903,False
Cariama cristata,320.5,3638,True
Cariama cristata,320.5,706,True
Cariama cristata,320.5,1007,True
Cariama cristata,320.5,5129,True
Cariama cristata,320.5,926,False
Cariama cristata,320.5,5558,False
Cariama cristata,320.5,5632,False
Cariama cristata,320.5,5562,False
Cariama cristata,320.5,922,False
Cariama cristata,320.5,5133,False
Cariama cristata,320.5,5130,False
Cariama cristata,320.5,5131,False
Cathartes aura,320.5,4221,True
Cathartes aura,320.5,8903,False
Cathartes aura,320.5,3638,True
Cathartes aura,320.5,706,True
Cathartes aura,320.5,1007,True
Cathartes aura,320.5,5129,False
Cathartes aura,320.5,926,False
Cathartes aura,320.5,5558,False
Cathartes aura,320.5,5632,False
Cathartes aura,320.5,5562,False
Cathartes aura,320.5,922,False
Cathartes aura,320.5,5133,False
Cathartes aura,320.5,5130,False
Cathartes aura,320.5,5131,False
Chaetura pelagica,320.5,4221,True
Chaetura pelagica,320.5,8903,False
Chaetura pelagica,320.5,3638,True
Chaetura pelagica,320.5,706,True
Chaetura pelagica,320.5,1007,True
Chaetura pelagica,320.5,5129,True
Chaetura pelagica,320.5,926,False
Chaetura pelagica,320.5,5558,True
Chaetura pelagica,320.5,5632,False
Chaetura pelagica,320.5,5562,False
Chaetura pelagica,320.5,922,False
Chaetura pelagica,320.5,5133,False
Chaetura pelagica,320.5,5130,False
Chaetura pelagica,320.5,5131,False
Charadrius vociferus,320.5,4221,False
Charadrius vociferus,320.5,8903,False
Charadrius vociferus,320.5,3638,True
Charadrius vociferus,320.5,706,True
Charadrius vociferus,320.5,1007,True
Charadrius vociferus,320.5,5129,False
Charadrius vociferus,320.5,926,False
Charadrius vociferus,320.5,5558,False
Charadrius vociferus,320.5,5632,False
Charadrius vociferus,320.5,5562,False
Charadrius vociferus,320.5,922,False
Charadrius vociferus,320.5,5133,False
Charadrius vociferus,320.5,5130,False
Charadrius vociferus,320.5,5131,False
Chelonia mydas,320.5,4221,True
Chelonia mydas,320.5,8903,True
Chelonia mydas,320.5,3638,True
Chelonia mydas,320.5,706,True
Chelonia mydas,320.5,1007,True
Chelonia mydas,320.5,5129,True
Chelonia mydas,320.5,926,False
Chelonia mydas,320.5,5558,True
Chelonia mydas,320.5,5632,True
Chelonia mydas,320.5,5562,False
Chelonia mydas,320.5,922,False
Chelonia mydas,320.5,5133,True
Chelonia mydas,320.5,5130,False
Chelonia mydas,320.5,5131,False
Chlamydotis macqueenii,320.5,4221,True
Chlamydotis macqueenii,320.5,8903,False
Chlamydotis macqueenii,320.5,3638,False
Chlamydotis macqueenii,320.5,706,False
Chlamydotis macqueenii,320.5,1007,False
Chlamydotis macqueenii,320.5,5129,False
Chlamydotis macqueenii,320.5,926,False
Chlamydotis macqueenii,320.5,5558,False
Chlamydotis macqueenii,320.5,5632,False
Chlamydotis macqueenii,320.5,5562,False
Chlamydotis macqueenii,320.5,922,False
Chlamydotis macqueenii,320.5,5133,False
Chlamydotis macqueenii,320.5,5130,False
Chlamydotis macqueenii,320.5,5131,False
Chrysemys picta bellii,320.5,4221,True
Chrysemys picta bellii,320.5,8903,True
Chrysemys picta bellii,320.5,3638,False
Chrysemys picta bellii,320.5,706,True
Chrysemys picta bellii,320.5,1007,True
Chrysemys picta bellii,320.5,5129,True
Chrysemys picta bellii,320.5,926,False
Chrysemys picta bellii,320.5,5558,True
Chrysemys picta bellii,320.5,5632,True
Chrysemys picta bellii,320.5,5562,False
Chrysemys picta bellii,320.5,922,False
Chrysemys picta bellii,320.5,5133,False
Chrysemys picta bellii,320.5,5130,False
Chrysemys picta bellii,320.5,5131,False
Colinus virginianus,320.5,4221,True
Colinus virginianus,320.5,8903,True
Colinus virginianus,320.5,3638,True
Colinus virginianus,320.5,706,True
Colinus virginianus,320.5,1007,True
Colinus virginianus,320.5,5129,True
Colinus virginianus,320.5,926,False
Colinus virginianus,320.5,5558,True
Colinus virginianus,320.5,5632,False
Colinus virginianus,320.5,5562,True
Colinus virginianus,320.5,922,False
Colinus virginianus,320.5,5133,False
