Species,timeFromHuman_MY,cluster,present
Latimeria chalumnae,411.9,4221,False
Latimeria chalumnae,411.9,8903,False
Latimeria chalumnae,411.9,1046,False
Latimeria chalumnae,411.9,11467,False
Latimeria chalumnae,411.9,1454,False
Latimeria chalumnae,411.9,14844,False
Latimeria chalumnae,411.9,4796,False
Latimeria chalumnae,411.9,2342,False
Latimeria chalumnae,411.9,2706,False
Latimeria chalumnae,411.9,11627,False
Latimeria chalumnae,411.9,13149,False
Latimeria chalumnae,411.9,1045,False
Latimeria chalumnae,411.9,1231,False
Latimeria chalumnae,411.9,1960,False
Latimeria chalumnae,411.9,5476,False
Latimeria chalumnae,411.9,9981,False
Latimeria chalumnae,411.9,14847,False
Latimeria chalumnae,411.9,14929,False
Latimeria chalumnae,411.9,2093,False
Latimeria chalumnae,411.9,5264,False
Latimeria chalumnae,411.9,6052,False
Latimeria chalumnae,411.9,13075,False
Latimeria chalumnae,411.9,14861,False
Latimeria chalumnae,411.9,1034,False
Latimeria chalumnae,411.9,1270,False
Latimeria chalumnae,411.9,3321,False
Latimeria chalumnae,411.9,5215,False
Latimeria chalumnae,411.9,10007,False
Latimeria chalumnae,411.9,10013,False
Latimeria chalumnae,411.9,11439,False
Latimeria chalumnae,411.9,12502,False
Latimeria chalumnae,411.9,13094,False
Latimeria chalumnae,411.9,1156,False
Latimeria chalumnae,411.9,3268,False
Latimeria chalumnae,411.9,6024,False
Latimeria chalumnae,411.9,13307,False
Latimeria chalumnae,411.9,1026,False
Latimeria chalumnae,411.9,3254,False
Latimeria chalumnae,411.9,3956,False
Latimeria chalumnae,411.9,5798,False
Latimeria chalumnae,411.9,6931,False
Latimeria chalumnae,411.9,6963,False
Latimeria chalumnae,411.9,7404,False
Latimeria chalumnae,411.9,7569,False
Latimeria chalumnae,411.9,13937,False
Latimeria chalumnae,411.9,14667,False
Latimeria chalumnae,411.9,1401,False
Latimeria chalumnae,411.9,2021,False
Latimeria chalumnae,411.9,5263,False
Latimeria chalumnae,411.9,5406,False
Latimeria chalumnae,411.9,8774,False
Latimeria chalumnae,411.9,236,False
Latimeria chalumnae,411.9,967,False
Latimeria chalumnae,411.9,3511,False
Latimeria chalumnae,411.9,12788,False
Latimeria chalumnae,411.9,14920,False
Latimeria chalumnae,411.9,14935,False
Latimeria chalumnae,411.9,1271,False
Latimeria chalumnae,411.9,4358,False
Latimeria chalumnae,411.9,5070,False
Latimeria chalumnae,411.9,7045,False
Latimeria chalumnae,411.9,10886,False
Latimeria chalumnae,411.9,11907,False
Latimeria chalumnae,411.9,13297,False
Latimeria chalumnae,411.9,13967,False
Latimeria chalumnae,411.9,14891,False
Latimeria chalumnae,411.9,14926,False
Latimeria chalumnae,411.9,6294,False
Latimeria chalumnae,411.9,6701,False
Latimeria chalumnae,411.9,10131,False
Latimeria chalumnae,411.9,2137,False
Latimeria chalumnae,411.9,3239,False
Latimeria chalumnae,411.9,4455,False
Latimeria chalumnae,411.9,11202,False
Latimeria chalumnae,411.9,6926,False
Latimeria chalumnae,411.9,6969,False
Latimeria chalumnae,411.9,11639,False
Latimeria chalumnae,411.9,11661,False
Latimeria chalumnae,411.9,1216,False
Latimeria chalumnae,411.9,1458,False
Latimeria chalumnae,411.9,931,False
Latimeria chalumnae,411.9,3238,False
Latimeria chalumnae,411.9,5762,False
Latimeria chalumnae,411.9,1004,False
Latimeria chalumnae,411.9,1036,False
Latimeria chalumnae,411.9,2492,False
Latimeria chalumnae,411.9,6307,False
Latimeria chalumnae,411.9,6916,False
Latimeria chalumnae,411.9,1080,False
Latimeria chalumnae,411.9,1572,False
Latimeria chalumnae,411.9,3288,False
Latimeria chalumnae,411.9,6059,False
Latimeria chalumnae,411.9,7049,False
Latimeria chalumnae,411.9,7332,False
Latimeria chalumnae,411.9,6017,False
Latimeria chalumnae,411.9,13337,False
Latimeria chalumnae,411.9,11201,False
Latimeria chalumnae,411.9,14068,False
Latimeria chalumnae,411.9,14896,False
Latimeria chalumnae,411.9,954,False
Latimeria chalumnae,411.9,6774,False
Latimeria chalumnae,411.9,11225,False
Latimeria chalumnae,411.9,12672,False
Latimeria chalumnae,411.9,754,False
Latimeria chalumnae,411.9,6694,False
Latimeria chalumnae,411.9,6978,False
Latimeria chalumnae,411.9,11616,False
Latimeria chalumnae,411.9,13331,False
Latimeria chalumnae,411.9,235,False
Latimeria chalumnae,411.9,1303,False
Latimeria chalumnae,411.9,2095,False
Latimeria chalumnae,411.9,3010,False
Latimeria chalumnae,411.9,3803,False
Latimeria chalumnae,411.9,12512,False
Latimeria chalumnae,411.9,1056,False
Latimeria chalumnae,411.9,11446,False
Latimeria chalumnae,411.9,11610,False
Latimeria chalumnae,411.9,12106,False
Latimeria chalumnae,411.9,13786,False
Latimeria chalumnae,411.9,1943,False
Latimeria chalumnae,411.9,7051,False
Latimeria chalumnae,411.9,1517,False
Latimeria chalumnae,411.9,5151,False
Latimeria chalumnae,411.9,11445,False
Latimeria chalumnae,411.9,1843,False
Latimeria chalumnae,411.9,3529,False
Latimeria chalumnae,411.9,6918,False
Latimeria chalumnae,411.9,12505,False
Latimeria chalumnae,411.9,11442,False
Latimeria chalumnae,411.9,12469,False
Latimeria chalumnae,411.9,6016,False
Latimeria chalumnae,411.9,14840,False
Latimeria chalumnae,411.9,1111,False
Latimeria chalumnae,411.9,5212,False
Latimeria chalumnae,411.9,211,False
Latimeria chalumnae,411.9,1373,False
Latimeria chalumnae,411.9,4609,False
Latimeria chalumnae,411.9,1286,False
Latimeria chalumnae,411.9,2100,False
Latimeria chalumnae,411.9,6677,False
Latimeria chalumnae,411.9,2477,False
Latimeria chalumnae,411.9,6649,False
Latimeria chalumnae,411.9,1239,False
Latimeria chalumnae,411.9,11649,False
Latimeria chalumnae,411.9,6641,False
Latimeria chalumnae,411.9,13275,False
Latimeria chalumnae,411.9,721,False
Latimeria chalumnae,411.9,10890,False
Latimeria chalumnae,411.9,12520,False
Latimeria chalumnae,411.9,11662,False
Latimeria chalumnae,411.9,3313,False
Latimeria chalumnae,411.9,5076,False
Latimeria chalumnae,411.9,11498,False
Latimeria chalumnae,411.9,13267,False
Latimeria chalumnae,411.9,2127,False
Latimeria chalumnae,411.9,8808,False
Latimeria chalumnae,411.9,10231,False
Latimeria chalumnae,411.9,750,False
Latimeria chalumnae,411.9,12789,False
Latimeria chalumnae,411.9,14041,False
Latimeria chalumnae,411.9,2090,False
Latimeria chalumnae,411.9,5069,False
Latimeria chalumnae,411.9,12723,False
Latimeria chalumnae,411.9,1306,False
Latimeria chalumnae,411.9,2089,False
Latimeria chalumnae,411.9,4715,False
Latimeria chalumnae,411.9,5894,False
Latimeria chalumnae,411.9,5378,False
Latimeria chalumnae,411.9,6927,False
Latimeria chalumnae,411.9,2478,False
Latimeria chalumnae,411.9,6630,False
Latimeria chalumnae,411.9,10003,False
Latimeria chalumnae,411.9,1102,False
Latimeria chalumnae,411.9,2513,False
Latimeria chalumnae,411.9,936,False
Latimeria chalumnae,411.9,7009,False
Latimeria chalumnae,411.9,2102,False
Latimeria chalumnae,411.9,7061,False
Latimeria chalumnae,411.9,5460,False
Latimeria chalumnae,411.9,1226,False
Latimeria chalumnae,411.9,7008,False
Latimeria chalumnae,411.9,1346,False
Latimeria chalumnae,411.9,2136,False
Latimeria chalumnae,411.9,4853,False
Latimeria chalumnae,411.9,5851,False
Latimeria chalumnae,411.9,11531,False
Latimeria chalumnae,411.9,14889,False
Latimeria chalumnae,411.9,1005,False
Latimeria chalumnae,411.9,14856,False
Latimeria chalumnae,411.9,1331,False
Latimeria chalumnae,411.9,3245,False
Latimeria chalumnae,411.9,4357,False
Latimeria chalumnae,411.9,10892,False
Latimeria chalumnae,411.9,4661,False
Latimeria chalumnae,411.9,10021,False
Latimeria chalumnae,411.9,7050,False
Latimeria chalumnae,411.9,4798,False
Latimeria chalumnae,411.9,5484,False
Latimeria chalumnae,411.9,7457,False
Latimeria chalumnae,411.9,5075,False
Latimeria chalumnae,411.9,13250,False
Latimeria chalumnae,411.9,959,False
Latimeria chalumnae,411.9,1367,False
Latimeria chalumnae,411.9,7025,False
Latimeria chalumnae,411.9,14873,False
Latimeria chalumnae,411.9,1061,False
Latimeria chalumnae,411.9,2113,False
Latimeria chalumnae,411.9,1425,False
Latimeria chalumnae,411.9,1472,False
Latimeria chalumnae,411.9,5189,False
Latimeria chalumnae,411.9,6651,False
Latimeria chalumnae,411.9,11606,False
Latimeria chalumnae,411.9,1203,False
Latimeria chalumnae,411.9,226,False
Latimeria chalumnae,411.9,1427,False
Latimeria chalumnae,411.9,14886,False
Latimeria chalumnae,411.9,6147,False
Latimeria chalumnae,411.9,4780,False
Latimeria chalumnae,411.9,11618,False
Latimeria chalumnae,411.9,6170,False
Latimeria chalumnae,411.9,6645,False
Latimeria chalumnae,411.9,1290,False
Latimeria chalumnae,411.9,13223,False
Latimeria chalumnae,411.9,5085,False
Latimeria chalumnae,411.9,6627,False
Latimeria chalumnae,411.9,6658,False
Latimeria chalumnae,411.9,13948,False
Latimeria chalumnae,411.9,6656,False
Latimeria chalumnae,411.9,10257,False
Latimeria chalumnae,411.9,14883,False
Latimeria chalumnae,411.9,14858,False
Latimeria chalumnae,411.9,206,False
Latimeria chalumnae,411.9,14881,False
Latimeria chalumnae,411.9,14887,False
Latimeria chalumnae,411.9,1369,False
Latimeria chalumnae,411.9,209,False
Latimeria chalumnae,411.9,1376,False
Latimeria chalumnae,411.9,5144,False
Latimeria chalumnae,411.9,6642,False
Latimeria chalumnae,411.9,5154,False
Latimeria chalumnae,411.9,11503,False
Latimeria chalumnae,411.9,5139,False
Latimeria chalumnae,411.9,5140,False
Latimeria chalumnae,411.9,5141,False
Latimeria chalumnae,411.9,5146,False
Latimeria chalumnae,411.9,5147,False
Latimeria chalumnae,411.9,5148,False
Latimeria chalumnae,411.9,5149,False
Latimeria chalumnae,411.9,5152,False
Latimeria chalumnae,411.9,5153,False
Latimeria chalumnae,411.9,5158,False
Latimeria chalumnae,411.9,5159,False
Latimeria chalumnae,411.9,5160,False
Latimeria chalumnae,411.9,5161,False
Latimeria chalumnae,411.9,5162,False
Latimeria chalumnae,411.9,5165,False
Latimeria chalumnae,411.9,5166,False
Latimeria chalumnae,411.9,5168,False
Latimeria chalumnae,411.9,5169,False
Latimeria chalumnae,411.9,5175,False
Latimeria chalumnae,411.9,5180,False
Latimeria chalumnae,411.9,5181,False
Latimeria chalumnae,411.9,5182,False
Latimeria chalumnae,411.9,5183,False
Latimeria chalumnae,411.9,5185,False
Latimeria chalumnae,411.9,5186,False
Latimeria chalumnae,411.9,5192,False
Latimeria chalumnae,411.9,5142,False
Latimeria chalumnae,411.9,5143,False
Latimeria chalumnae,411.9,5145,False
Latimeria chalumnae,411.9,5150,False
Latimeria chalumnae,411.9,5155,False
Latimeria chalumnae,411.9,5156,False
Latimeria chalumnae,411.9,5157,False
Latimeria chalumnae,411.9,5163,False
Latimeria chalumnae,411.9,5164,False
Latimeria chalumnae,411.9,5167,False
Latimeria chalumnae,411.9,5170,False
Latimeria chalumnae,411.9,5171,False
Latimeria chalumnae,411.9,5172,False
Latimeria chalumnae,411.9,5173,False
Latimeria chalumnae,411.9,5174,False
Latimeria chalumnae,411.9,5176,False
Latimeria chalumnae,411.9,5177,False
Latimeria chalumnae,411.9,5178,False
Latimeria chalumnae,411.9,5179,False
Latimeria chalumnae,411.9,5184,False
Latimeria chalumnae,411.9,5187,False
Latimeria chalumnae,411.9,5188,False
Latimeria chalumnae,411.9,5190,False
Latimeria chalumnae,411.9,5191,False
Latimeria chalumnae,411.9,5193,False
Latimeria chalumnae,411.9,5194,False
Latimeria chalumnae,411.9,5195,False
Nanorana parkeri,355.7,4221,False
Nanorana parkeri,355.7,8903,False
Nanorana parkeri,355.7,1046,False
Nanorana parkeri,355.7,11467,False
Nanorana parkeri,355.7,1454,False
Nanorana parkeri,355.7,14844,False
Nanorana parkeri,355.7,4796,False
Nanorana parkeri,355.7,2342,False
Nanorana parkeri,355.7,2706,False
Nanorana parkeri,355.7,11627,False
Nanorana parkeri,355.7,13149,False
Nanorana parkeri,355.7,1045,False
Nanorana parkeri,355.7,1231,False
Nanorana parkeri,355.7,1960,False
Nanorana parkeri,355.7,5476,False
Nanorana parkeri,355.7,9981,False
Nanorana parkeri,355.7,14847,False
Nanorana parkeri,355.7,14929,False
Nanorana parkeri,355.7,2093,False
Nanorana parkeri,355.7,5264,False
Nanorana parkeri,355.7,6052,False
Nanorana parkeri,355.7,13075,False
Nanorana parkeri,355.7,14861,False
Nanorana parkeri,355.7,1034,False
Nanorana parkeri,355.7,1270,False
Nanorana parkeri,355.7,3321,False
Nanorana parkeri,355.7,5215,False
Nanorana parkeri,355.7,10007,False
Nanorana parkeri,355.7,10013,False
Nanorana parkeri,355.7,11439,False
Nanorana parkeri,355.7,12502,False
Nanorana parkeri,355.7,13094,False
Nanorana parkeri,355.7,1156,False
Nanorana parkeri,355.7,3268,False
Nanorana parkeri,355.7,6024,False
Nanorana parkeri,355.7,13307,False
Nanorana parkeri,355.7,1026,False
Nanorana parkeri,355.7,3254,False
Nanorana parkeri,355.7,3956,False
Nanorana parkeri,355.7,5798,False
Nanorana parkeri,355.7,6931,False
Nanorana parkeri,355.7,6963,False
Nanorana parkeri,355.7,7404,False
Nanorana parkeri,355.7,7569,False
Nanorana parkeri,355.7,13937,False
Nanorana parkeri,355.7,14667,False
Nanorana parkeri,355.7,1401,False
Nanorana parkeri,355.7,2021,False
Nanorana parkeri,355.7,5263,False
Nanorana parkeri,355.7,5406,False
Nanorana parkeri,355.7,8774,False
Nanorana parkeri,355.7,236,False
Nanorana parkeri,355.7,967,False
Nanorana parkeri,355.7,3511,False
Nanorana parkeri,355.7,12788,False
Nanorana parkeri,355.7,14920,False
Nanorana parkeri,355.7,14935,False
Nanorana parkeri,355.7,1271,False
Nanorana parkeri,355.7,4358,False
Nanorana parkeri,355.7,5070,False
Nanorana parkeri,355.7,7045,False
Nanorana parkeri,355.7,10886,False
Nanorana parkeri,355.7,11907,False
Nanorana parkeri,355.7,13297,False
Nanorana parkeri,355.7,13967,False
Nanorana parkeri,355.7,14891,False
Nanorana parkeri,355.7,14926,False
Nanorana parkeri,355.7,6294,False
Nanorana parkeri,355.7,6701,False
Nanorana parkeri,355.7,10131,False
Nanorana parkeri,355.7,2137,False
Nanorana parkeri,355.7,3239,False
Nanorana parkeri,355.7,4455,False
Nanorana parkeri,355.7,11202,False
Nanorana parkeri,355.7,6926,False
Nanorana parkeri,355.7,6969,False
Nanorana parkeri,355.7,11639,False
Nanorana parkeri,355.7,11661,False
Nanorana parkeri,355.7,1216,False
Nanorana parkeri,355.7,1458,False
Nanorana parkeri,355.7,931,False
Nanorana parkeri,355.7,3238,False
Nanorana parkeri,355.7,5762,False
Nanorana parkeri,355.7,1004,False
