Species,timeFromHuman_MY,cluster,present
Latimeria chalumnae,411.9,706,False
Latimeria chalumnae,411.9,250,False
Latimeria chalumnae,411.9,12092,False
Latimeria chalumnae,411.9,9977,False
Latimeria chalumnae,411.9,5300,False
Latimeria chalumnae,411.9,5301,False
Nanorana parkeri,355.7,706,False
Nanorana parkeri,355.7,250,False
Nanorana parkeri,355.7,12092,False
Nanorana parkeri,355.7,9977,False
Nanorana parkeri,355.7,5300,False
Nanorana parkeri,355.7,5301,False
Xenopus laevi,355.7,706,False
Xenopus laevi,355.7,250,False
Xenopus laevi,355.7,12092,False
Xenopus laevi,355.7,9977,False
Xenopus laevi,355.7,5300,False
Xenopus laevi,355.7,5301,False
Xenopus tropicalis,355.7,706,False
Xenopus tropicalis,355.7,250,False
Xenopus tropicalis,355.7,12092,False
Xenopus tropicalis,355.7,9977,False
Xenopus tropicalis,355.7,5300,False
Xenopus tropicalis,355.7,5301,False
Acanthisitta chloris,320.5,706,True
Acanthisitta chloris,320.5,250,False
Acanthisitta chloris,320.5,12092,False
Acanthisitta chloris,320.5,9977,False
Acanthisitta chloris,320.5,5300,False
Acanthisitta chloris,320.5,5301,False
Alligator mississippiensis,320.5,706,False
Alligator mississippiensis,320.5,250,True
Alligator mississippiensis,320.5,12092,False
Alligator mississippiensis,320.5,9977,False
Alligator mississippiensis,320.5,5300,False
Alligator mississippiensis,320.5,5301,False
Alligator sinensis,320.5,706,False
Alligator sinensis,320.5,250,True
Alligator sinensis,320.5,12092,False
Alligator sinensis,320.5,9977,False
Alligator sinensis,320.5,5300,False
Alligator sinensis,320.5,5301,False
Amazona vittata,320.5,706,True
Amazona vittata,320.5,250,False
Amazona vittata,320.5,12092,False
Amazona vittata,320.5,9977,False
Amazona vittata,320.5,5300,False
Amazona vittata,320.5,5301,False
Anas platyrhynchos,320.5,706,True
Anas platyrhynchos,320.5,250,False
Anas platyrhynchos,320.5,12092,True
Anas platyrhynchos,320.5,9977,False
Anas platyrhynchos,320.5,5300,False
Anas platyrhynchos,320.5,5301,False
Anolis carolinensis,320.5,706,False
Anolis carolinensis,320.5,250,False
Anolis carolinensis,320.5,12092,False
Anolis carolinensis,320.5,9977,False
Anolis carolinensis,320.5,5300,False
Anolis carolinensis,320.5,5301,False
Anser cygnoides domesticus,320.5,706,True
Anser cygnoides domesticus,320.5,250,False
Anser cygnoides domesticus,320.5,12092,True
Anser cygnoides domesticus,320.5,9977,False
Anser cygnoides domesticus,320.5,5300,False
Anser cygnoides domesticus,320.5,5301,False
Antrostomus carolinensis,320.5,706,True
Antrostomus carolinensis,320.5,250,False
Antrostomus carolinensis,320.5,12092,False
Antrostomus carolinensis,320.5,9977,False
Antrostomus carolinensis,320.5,5300,False
Antrostomus carolinensis,320.5,5301,False
Apalone spinifera,320.5,706,True
Apalone spinifera,320.5,250,True
Apalone spinifera,320.5,12092,False
Apalone spinifera,320.5,9977,False
Apalone spinifera,320.5,5300,False
Apalone spinifera,320.5,5301,False
Aptenodytes forsteri,320.5,706,True
Aptenodytes forsteri,320.5,250,True
Aptenodytes forsteri,320.5,12092,False
Aptenodytes forsteri,320.5,9977,True
Aptenodytes forsteri,320.5,5300,False
Aptenodytes forsteri,320.5,5301,False
Apteryx australis mantelli,320.5,706,True
Apteryx australis mantelli,320.5,250,True
Apteryx australis mantelli,320.5,12092,False
Apteryx australis mantelli,320.5,9977,True
Apteryx australis mantelli,320.5,5300,False
Apteryx australis mantelli,320.5,5301,False
Aquila chrysaetos,320.5,706,True
Aquila chrysaetos,320.5,250,True
Aquila chrysaetos,320.5,12092,True
Aquila chrysaetos,320.5,9977,False
Aquila chrysaetos,320.5,5300,False
Aquila chrysaetos,320.5,5301,False
Ara macao,320.5,706,True
Ara macao,320.5,250,False
Ara macao,320.5,12092,False
Ara macao,320.5,9977,False
Ara macao,320.5,5300,False
Ara macao,320.5,5301,False
Balearica regulorum gibbericeps,320.5,706,True
Balearica regulorum gibbericeps,320.5,250,False
Balearica regulorum gibbericeps,320.5,12092,True
Balearica regulorum gibbericeps,320.5,9977,True
Balearica regulorum gibbericeps,320.5,5300,False
Balearica regulorum gibbericeps,320.5,5301,False
Calypte anna,320.5,706,False
Calypte anna,320.5,250,False
Calypte anna,320.5,12092,False
Calypte anna,320.5,9977,False
Calypte anna,320.5,5300,False
Calypte anna,320.5,5301,False
Caprimulgus carolinensis,320.5,706,True
Caprimulgus carolinensis,320.5,250,False
Caprimulgus carolinensis,320.5,12092,False
