Species,timeFromHuman_MY,cluster,present
Latimeria chalumnae,411.9,4221,False
Latimeria chalumnae,411.9,3638,False
Latimeria chalumnae,411.9,706,False
Latimeria chalumnae,411.9,1007,False
Latimeria chalumnae,411.9,5129,False
Latimeria chalumnae,411.9,926,False
Latimeria chalumnae,411.9,5558,False
Latimeria chalumnae,411.9,5562,False
Latimeria chalumnae,411.9,705,False
Latimeria chalumnae,411.9,5565,False
Latimeria chalumnae,411.9,7504,False
Latimeria chalumnae,411.9,5559,False
Latimeria chalumnae,411.9,5567,False
Latimeria chalumnae,411.9,5574,False
Latimeria chalumnae,411.9,5580,False
Latimeria chalumnae,411.9,5557,False
Latimeria chalumnae,411.9,5560,False
Latimeria chalumnae,411.9,5561,False
Latimeria chalumnae,411.9,5563,False
Latimeria chalumnae,411.9,5564,False
Latimeria chalumnae,411.9,5566,False
Latimeria chalumnae,411.9,5568,False
Latimeria chalumnae,411.9,5569,False
Latimeria chalumnae,411.9,5570,False
Latimeria chalumnae,411.9,5571,False
Latimeria chalumnae,411.9,5572,False
Latimeria chalumnae,411.9,5573,False
Latimeria chalumnae,411.9,5575,False
Latimeria chalumnae,411.9,5576,False
Latimeria chalumnae,411.9,5577,False
Latimeria chalumnae,411.9,5578,False
Latimeria chalumnae,411.9,5579,False
Latimeria chalumnae,411.9,5581,False
Latimeria chalumnae,411.9,5582,False
Nanorana parkeri,355.7,4221,False
Nanorana parkeri,355.7,3638,False
Nanorana parkeri,355.7,706,False
Nanorana parkeri,355.7,1007,False
Nanorana parkeri,355.7,5129,False
Nanorana parkeri,355.7,926,False
Nanorana parkeri,355.7,5558,False
Nanorana parkeri,355.7,5562,False
Nanorana parkeri,355.7,705,False
Nanorana parkeri,355.7,5565,False
Nanorana parkeri,355.7,7504,False
Nanorana parkeri,355.7,5559,False
Nanorana parkeri,355.7,5567,False
Nanorana parkeri,355.7,5574,False
Nanorana parkeri,355.7,5580,False
Nanorana parkeri,355.7,5557,False
Nanorana parkeri,355.7,5560,False
Nanorana parkeri,355.7,5561,False
Nanorana parkeri,355.7,5563,False
Nanorana parkeri,355.7,5564,False
Nanorana parkeri,355.7,5566,False
Nanorana parkeri,355.7,5568,False
Nanorana parkeri,355.7,5569,False
Nanorana parkeri,355.7,5570,False
Nanorana parkeri,355.7,5571,False
Nanorana parkeri,355.7,5572,False
Nanorana parkeri,355.7,5573,False
Nanorana parkeri,355.7,5575,False
Nanorana parkeri,355.7,5576,False
Nanorana parkeri,355.7,5577,False
Nanorana parkeri,355.7,5578,False
Nanorana parkeri,355.7,5579,False
Nanorana parkeri,355.7,5581,False
Nanorana parkeri,355.7,5582,False
Xenopus laevi,355.7,4221,False
Xenopus laevi,355.7,3638,False
Xenopus laevi,355.7,706,False
Xenopus laevi,355.7,1007,False
Xenopus laevi,355.7,5129,False
