Species,timeFromHuman_MY,cluster,present
Latimeria chalumnae,411.9,3638,False
Latimeria chalumnae,411.9,706,False
Latimeria chalumnae,411.9,250,False
Latimeria chalumnae,411.9,924,False
Latimeria chalumnae,411.9,9977,False
Nanorana parkeri,355.7,3638,False
Nanorana parkeri,355.7,706,False
Nanorana parkeri,355.7,250,False
Nanorana parkeri,355.7,924,False
Nanorana parkeri,355.7,9977,False
Xenopus laevi,355.7,3638,False
Xenopus laevi,355.7,706,False
Xenopus laevi,355.7,250,False
Xenopus laevi,355.7,924,False
Xenopus laevi,355.7,9977,False
Xenopus tropicalis,355.7,3638,False
Xenopus tropicalis,355.7,706,False
Xenopus tropicalis,355.7,250,False
Xenopus tropicalis,355.7,924,False
Xenopus tropicalis,355.7,9977,False
Acanthisitta chloris,320.5,3638,True
Acanthisitta chloris,320.5,706,True
Acanthisitta chloris,320.5,250,False
Acanthisitta chloris,320.5,924,False
Acanthisitta chloris,320.5,9977,False
Alligator mississippiensis,320.5,3638,True
Alligator mississippiensis,320.5,706,False
Alligator mississippiensis,320.5,250,True
Alligator mississippiensis,320.5,924,True
Alligator mississippiensis,320.5,9977,False
Alligator sinensis,320.5,3638,True
Alligator sinensis,320.5,706,False
Alligator sinensis,320.5,250,True
Alligator sinensis,320.5,924,True
Alligator sinensis,320.5,9977,False
Amazona vittata,320.5,3638,True
Amazona vittata,320.5,706,True
Amazona vittata,320.5,250,False
Amazona vittata,320.5,924,False
Amazona vittata,320.5,9977,False
Anas platyrhynchos,320.5,3638,True
Anas platyrhynchos,320.5,706,True
Anas platyrhynchos,320.5,250,False
Anas platyrhynchos,320.5,924,False
Anas platyrhynchos,320.5,9977,False
Anolis carolinensis,320.5,3638,True
Anolis carolinensis,320.5,706,False
Anolis carolinensis,320.5,250,False
Anolis carolinensis,320.5,924,False
Anolis carolinensis,320.5,9977,False
Anser cygnoides domesticus,320.5,3638,False
Anser cygnoides domesticus,320.5,706,True
Anser cygnoides domesticus,320.5,250,False
Anser cygnoides domesticus,320.5,924,False
Anser cygnoides domesticus,320.5,9977,False
Antrostomus carolinensis,320.5,3638,False
Antrostomus carolinensis,320.5,706,True
Antrostomus carolinensis,320.5,250,False
Antrostomus carolinensis,320.5,924,False
Antrostomus carolinensis,320.5,9977,False
Apalone spinifera,320.5,3638,True
Apalone spinifera,320.5,706,True
Apalone spinifera,320.5,250,True
Apalone spinifera,320.5,924,False
Apalone spinifera,320.5,9977,False
Aptenodytes forsteri,320.5,3638,True
Aptenodytes forsteri,320.5,706,True
Aptenodytes forsteri,320.5,250,True
Aptenodytes forsteri,320.5,924,True
Aptenodytes forsteri,320.5,9977,True
Apteryx australis mantelli,320.5,3638,True
Apteryx australis mantelli,320.5,706,True
Apteryx australis mantelli,320.5,250,True
Apteryx australis mantelli,320.5,924,True
Apteryx australis mantelli,320.5,9977,True
Aquila chrysaetos,320.5,3638,True
Aquila chrysaetos,320.5,706,True
Aquila chrysaetos,320.5,250,True
Aquila chrysaetos,320.5,924,True
Aquila chrysaetos,320.5,9977,False
Ara macao,320.5,3638,True
Ara macao,320.5,706,True
Ara macao,320.5,250,False
Ara macao,320.5,924,False
Ara macao,320.5,9977,False
Balearica regulorum gibbericeps,320.5,3638,True
Balearica regulorum gibbericeps,320.5,706,True
Balearica regulorum gibbericeps,320.5,250,False
Balearica regulorum gibbericeps,320.5,924,False
Balearica regulorum gibbericeps,320.5,9977,True
Calypte anna,320.5,3638,True
Calypte anna,320.5,706,False
Calypte anna,320.5,250,False
Calypte anna,320.5,924,False
Calypte anna,320.5,9977,False
Caprimulgus carolinensis,320.5,3638,True
Caprimulgus carolinensis,320.5,706,True
Caprimulgus carolinensis,320.5,250,False
Caprimulgus carolinensis,320.5,924,False
Caprimulgus carolinensis,320.5,9977,False
Cariama cristata,320.5,3638,True
Cariama cristata,320.5,706,True
Cariama cristata,320.5,250,True
Cariama cristata,320.5,924,True
Cariama cristata,320.5,9977,False
Cathartes aura,320.5,3638,True
Cathartes aura,320.5,706,True
Cathartes aura,320.5,250,True
Cathartes aura,320.5,924,False
Cathartes aura,320.5,9977,False
Chaetura pelagica,320.5,3638,True
Chaetura pelagica,320.5,706,True
Chaetura pelagica,320.5,250,False
Chaetura pelagica,320.5,924,False
Chaetura pelagica,320.5,9977,False
Charadrius vociferus,320.5,3638,True
Charadrius vociferus,320.5,706,True
Charadrius vociferus,320.5,250,True
Charadrius vociferus,320.5,924,False
Charadrius vociferus,320.5,9977,True
Chelonia mydas,320.5,3638,True
Chelonia mydas,320.5,706,True
Chelonia mydas,320.5,250,True
Chelonia mydas,320.5,924,True
Chelonia mydas,320.5,9977,False
Chlamydotis macqueenii,320.5,3638,False
Chlamydotis macqueenii,320.5,706,False
Chlamydotis macqueenii,320.5,250,False
Chlamydotis macqueenii,320.5,924,False
Chlamydotis macqueenii,320.5,9977,False
Chrysemys picta bellii,320.5,3638,False
Chrysemys picta bellii,320.5,706,True
Chrysemys picta bellii,320.5,250,True
Chrysemys picta bellii,320.5,924,True
Chrysemys picta bellii,320.5,9977,False
Colinus virginianus,320.5,3638,True
Colinus virginianus,320.5,706,True
Colinus virginianus,320.5,250,False
Colinus virginianus,320.5,924,False
Colinus virginianus,320.5,9977,False
Colius striatus,320.5,3638,False
Colius striatus,320.5,706,True
Colius striatus,320.5,250,False
Colius striatus,320.5,924,False
Colius striatus,320.5,9977,False
Columba livia,320.5,3638,True
Columba livia,320.5,706,False
Columba livia,320.5,250,False
Columba livia,320.5,924,False
Columba livia,320.5,9977,False
Corvus brachyrhynchos,320.5,3638,True
Corvus brachyrhynchos,320.5,706,True
Corvus brachyrhynchos,320.5,250,False
Corvus brachyrhynchos,320.5,924,False
Corvus brachyrhynchos,320.5,9977,False
Corvus cornix cornix,320.5,3638,True
Corvus cornix cornix,320.5,706,True
Corvus cornix cornix,320.5,250,False
Corvus cornix cornix,320.5,924,False
Corvus cornix cornix,320.5,9977,False
Crocodylus porosus,320.5,3638,True
Crocodylus porosus,320.5,706,False
Crocodylus porosus,320.5,250,True
Crocodylus porosus,320.5,924,True
Crocodylus porosus,320.5,9977,False
Crotalus mitchellii,320.5,3638,True
Crotalus mitchellii,320.5,706,False
Crotalus mitchellii,320.5,250,False
Crotalus mitchellii,320.5,924,False
Crotalus mitchellii,320.5,9977,False
Cuculus canorus,320.5,3638,True
