Species,timeFromHuman_MY,cluster,present
Latimeria chalumnae,411.9,3638,False
Latimeria chalumnae,411.9,706,False
Latimeria chalumnae,411.9,1007,False
Latimeria chalumnae,411.9,250,False
Latimeria chalumnae,411.9,12092,False
Latimeria chalumnae,411.9,5784,False
Latimeria chalumnae,411.9,5783,False
Nanorana parkeri,355.7,3638,False
Nanorana parkeri,355.7,706,False
Nanorana parkeri,355.7,1007,False
Nanorana parkeri,355.7,250,False
Nanorana parkeri,355.7,12092,False
Nanorana parkeri,355.7,5784,False
Nanorana parkeri,355.7,5783,False
Xenopus laevi,355.7,3638,False
Xenopus laevi,355.7,706,False
Xenopus laevi,355.7,1007,False
Xenopus laevi,355.7,250,False
Xenopus laevi,355.7,12092,False
Xenopus laevi,355.7,5784,False
Xenopus laevi,355.7,5783,False
Xenopus tropicalis,355.7,3638,False
Xenopus tropicalis,355.7,706,False
Xenopus tropicalis,355.7,1007,False
Xenopus tropicalis,355.7,250,False
Xenopus tropicalis,355.7,12092,False
Xenopus tropicalis,355.7,5784,False
Xenopus tropicalis,355.7,5783,False
Acanthisitta chloris,320.5,3638,True
Acanthisitta chloris,320.5,706,True
Acanthisitta chloris,320.5,1007,False
Acanthisitta chloris,320.5,250,False
Acanthisitta chloris,320.5,12092,False
Acanthisitta chloris,320.5,5784,False
Acanthisitta chloris,320.5,5783,False
Alligator mississippiensis,320.5,3638,True
Alligator mississippiensis,320.5,706,False
Alligator mississippiensis,320.5,1007,False
Alligator mississippiensis,320.5,250,True
Alligator mississippiensis,320.5,12092,False
Alligator mississippiensis,320.5,5784,False
Alligator mississippiensis,320.5,5783,False
Alligator sinensis,320.5,3638,True
Alligator sinensis,320.5,706,False
Alligator sinensis,320.5,1007,False
Alligator sinensis,320.5,250,True
Alligator sinensis,320.5,12092,False
Alligator sinensis,320.5,5784,False
Alligator sinensis,320.5,5783,False
Amazona vittata,320.5,3638,True
Amazona vittata,320.5,706,True
Amazona vittata,320.5,1007,False
Amazona vittata,320.5,250,False
Amazona vittata,320.5,12092,False
Amazona vittata,320.5,5784,False
Amazona vittata,320.5,5783,False
Anas platyrhynchos,320.5,3638,True
Anas platyrhynchos,320.5,706,True
Anas platyrhynchos,320.5,1007,True
Anas platyrhynchos,320.5,250,False
Anas platyrhynchos,320.5,12092,True
Anas platyrhynchos,320.5,5784,False
Anas platyrhynchos,320.5,5783,False
Anolis carolinensis,320.5,3638,True
Anolis carolinensis,320.5,706,False
Anolis carolinensis,320.5,1007,False
Anolis carolinensis,320.5,250,False
Anolis carolinensis,320.5,12092,False
Anolis carolinensis,320.5,5784,False
Anolis carolinensis,320.5,5783,False
Anser cygnoides domesticus,320.5,3638,False
Anser cygnoides domesticus,320.5,706,True
Anser cygnoides domesticus,320.5,1007,True
Anser cygnoides domesticus,320.5,250,False
Anser cygnoides domesticus,320.5,12092,True
Anser cygnoides domesticus,320.5,5784,False
Anser cygnoides domesticus,320.5,5783,False
Antrostomus carolinensis,320.5,3638,False
Antrostomus carolinensis,320.5,706,True
Antrostomus carolinensis,320.5,1007,True
Antrostomus carolinensis,320.5,250,False
Antrostomus carolinensis,320.5,12092,False
Antrostomus carolinensis,320.5,5784,False
Antrostomus carolinensis,320.5,5783,False
Apalone spinifera,320.5,3638,True
Apalone spinifera,320.5,706,True
Apalone spinifera,320.5,1007,False
Apalone spinifera,320.5,250,True
Apalone spinifera,320.5,12092,False
Apalone spinifera,320.5,5784,False
Apalone spinifera,320.5,5783,False
Aptenodytes forsteri,320.5,3638,True
Aptenodytes forsteri,320.5,706,True
Aptenodytes forsteri,320.5,1007,True
Aptenodytes forsteri,320.5,250,True
Aptenodytes forsteri,320.5,12092,False
Aptenodytes forsteri,320.5,5784,False
Aptenodytes forsteri,320.5,5783,False
Apteryx australis mantelli,320.5,3638,True
Apteryx australis mantelli,320.5,706,True
Apteryx australis mantelli,320.5,1007,True
Apteryx australis mantelli,320.5,250,True
Apteryx australis mantelli,320.5,12092,False
Apteryx australis mantelli,320.5,5784,False
Apteryx australis mantelli,320.5,5783,False
Aquila chrysaetos,320.5,3638,True
Aquila chrysaetos,320.5,706,True
Aquila chrysaetos,320.5,1007,True
Aquila chrysaetos,320.5,250,True
Aquila chrysaetos,320.5,12092,True
Aquila chrysaetos,320.5,5784,True
Aquila chrysaetos,320.5,5783,False
Ara macao,320.5,3638,True
Ara macao,320.5,706,True
Ara macao,320.5,1007,False
Ara macao,320.5,250,False
Ara macao,320.5,12092,False
Ara macao,320.5,5784,False
Ara macao,320.5,5783,False
Balearica regulorum gibbericeps,320.5,3638,True
Balearica regulorum gibbericeps,320.5,706,True
Balearica regulorum gibbericeps,320.5,1007,True
Balearica regulorum gibbericeps,320.5,250,False
Balearica regulorum gibbericeps,320.5,12092,True
Balearica regulorum gibbericeps,320.5,5784,False
Balearica regulorum gibbericeps,320.5,5783,False
Calypte anna,320.5,3638,True
Calypte anna,320.5,706,False
Calypte anna,320.5,1007,False
Calypte anna,320.5,250,False
Calypte anna,320.5,12092,False
Calypte anna,320.5,5784,False
Calypte anna,320.5,5783,False
Caprimulgus carolinensis,320.5,3638,True
Caprimulgus carolinensis,320.5,706,True
Caprimulgus carolinensis,320.5,1007,True
Caprimulgus carolinensis,320.5,250,False
Caprimulgus carolinensis,320.5,12092,False
Caprimulgus carolinensis,320.5,5784,False
Caprimulgus carolinensis,320.5,5783,False
Cariama cristata,320.5,3638,True
Cariama cristata,320.5,706,True
Cariama cristata,320.5,1007,True
Cariama cristata,320.5,250,True
Cariama cristata,320.5,12092,True
Cariama cristata,320.5,5784,False
Cariama cristata,320.5,5783,False
Cathartes aura,320.5,3638,True
Cathartes aura,320.5,706,True
Cathartes aura,320.5,1007,True
Cathartes aura,320.5,250,True
Cathartes aura,320.5,12092,True
Cathartes aura,320.5,5784,False
Cathartes aura,320.5,5783,False
Chaetura pelagica,320.5,3638,True
Chaetura pelagica,320.5,706,True
Chaetura pelagica,320.5,1007,True
Chaetura pelagica,320.5,250,False
Chaetura pelagica,320.5,12092,False
Chaetura pelagica,320.5,5784,False
Chaetura pelagica,320.5,5783,False
Charadrius vociferus,320.5,3638,True
Charadrius vociferus,320.5,706,True
Charadrius vociferus,320.5,1007,True
Charadrius vociferus,320.5,250,True
Charadrius vociferus,320.5,12092,False
Charadrius vociferus,320.5,5784,False
