Species,timeFromHuman_MY,cluster,present
Latimeria chalumnae,411.9,1007,False
Latimeria chalumnae,411.9,5129,False
Latimeria chalumnae,411.9,926,False
Latimeria chalumnae,411.9,13913,False
Latimeria chalumnae,411.9,3627,False
Latimeria chalumnae,411.9,5558,False
Latimeria chalumnae,411.9,924,False
Latimeria chalumnae,411.9,5632,False
Latimeria chalumnae,411.9,15053,False
Latimeria chalumnae,411.9,5562,False
Latimeria chalumnae,411.9,922,False
Latimeria chalumnae,411.9,5133,False
Latimeria chalumnae,411.9,5784,False
Latimeria chalumnae,411.9,5785,False
Nanorana parkeri,355.7,1007,False
Nanorana parkeri,355.7,5129,False
Nanorana parkeri,355.7,926,False
Nanorana parkeri,355.7,13913,False
Nanorana parkeri,355.7,3627,False
Nanorana parkeri,355.7,5558,False
Nanorana parkeri,355.7,924,False
Nanorana parkeri,355.7,5632,False
Nanorana parkeri,355.7,15053,False
Nanorana parkeri,355.7,5562,False
Nanorana parkeri,355.7,922,False
Nanorana parkeri,355.7,5133,False
Nanorana parkeri,355.7,5784,False
Nanorana parkeri,355.7,5785,False
Xenopus laevi,355.7,1007,False
Xenopus laevi,355.7,5129,False
Xenopus laevi,355.7,926,False
Xenopus laevi,355.7,13913,False
Xenopus laevi,355.7,3627,False
Xenopus laevi,355.7,5558,False
Xenopus laevi,355.7,924,False
Xenopus laevi,355.7,5632,False
Xenopus laevi,355.7,15053,False
Xenopus laevi,355.7,5562,False
Xenopus laevi,355.7,922,False
Xenopus laevi,355.7,5133,False
Xenopus laevi,355.7,5784,False
Xenopus laevi,355.7,5785,False
Xenopus tropicalis,355.7,1007,False
Xenopus tropicalis,355.7,5129,False
Xenopus tropicalis,355.7,926,False
Xenopus tropicalis,355.7,13913,False
Xenopus tropicalis,355.7,3627,False
Xenopus tropicalis,355.7,5558,False
Xenopus tropicalis,355.7,924,False
Xenopus tropicalis,355.7,5632,False
Xenopus tropicalis,355.7,15053,False
Xenopus tropicalis,355.7,5562,False
Xenopus tropicalis,355.7,922,False
Xenopus tropicalis,355.7,5133,False
Xenopus tropicalis,355.7,5784,False
Xenopus tropicalis,355.7,5785,False
Acanthisitta chloris,320.5,1007,False
Acanthisitta chloris,320.5,5129,False
Acanthisitta chloris,320.5,926,False
Acanthisitta chloris,320.5,13913,False
Acanthisitta chloris,320.5,3627,False
Acanthisitta chloris,320.5,5558,False
Acanthisitta chloris,320.5,924,False
Acanthisitta chloris,320.5,5632,False
Acanthisitta chloris,320.5,15053,False
Acanthisitta chloris,320.5,5562,False
Acanthisitta chloris,320.5,922,False
Acanthisitta chloris,320.5,5133,False
Acanthisitta chloris,320.5,5784,False
Acanthisitta chloris,320.5,5785,False
Alligator mississippiensis,320.5,1007,False
Alligator mississippiensis,320.5,5129,True
Alligator mississippiensis,320.5,926,True
Alligator mississippiensis,320.5,13913,True
Alligator mississippiensis,320.5,3627,True
Alligator mississippiensis,320.5,5558,True
Alligator mississippiensis,320.5,924,True
Alligator mississippiensis,320.5,5632,True
Alligator mississippiensis,320.5,15053,True
Alligator mississippiensis,320.5,5562,False
Alligator mississippiensis,320.5,922,False
Alligator mississippiensis,320.5,5133,False
Alligator mississippiensis,320.5,5784,False
Alligator mississippiensis,320.5,5785,False
Alligator sinensis,320.5,1007,False
Alligator sinensis,320.5,5129,True
Alligator sinensis,320.5,926,True
Alligator sinensis,320.5,13913,True
Alligator sinensis,320.5,3627,True
Alligator sinensis,320.5,5558,True
Alligator sinensis,320.5,924,True
Alligator sinensis,320.5,5632,True
Alligator sinensis,320.5,15053,True
Alligator sinensis,320.5,5562,False
Alligator sinensis,320.5,922,False
Alligator sinensis,320.5,5133,False
Alligator sinensis,320.5,5784,False
Alligator sinensis,320.5,5785,False
Amazona vittata,320.5,1007,False
Amazona vittata,320.5,5129,False
Amazona vittata,320.5,926,True
Amazona vittata,320.5,13913,False
Amazona vittata,320.5,3627,False
Amazona vittata,320.5,5558,False
Amazona vittata,320.5,924,False
Amazona vittata,320.5,5632,False
Amazona vittata,320.5,15053,False
Amazona vittata,320.5,5562,False
Amazona vittata,320.5,922,False
Amazona vittata,320.5,5133,False
Amazona vittata,320.5,5784,False
Amazona vittata,320.5,5785,False
Anas platyrhynchos,320.5,1007,True
Anas platyrhynchos,320.5,5129,True
Anas platyrhynchos,320.5,926,True
Anas platyrhynchos,320.5,13913,False
Anas platyrhynchos,320.5,3627,False
Anas platyrhynchos,320.5,5558,False
Anas platyrhynchos,320.5,924,False
Anas platyrhynchos,320.5,5632,False
Anas platyrhynchos,320.5,15053,False
Anas platyrhynchos,320.5,5562,False
Anas platyrhynchos,320.5,922,False
Anas platyrhynchos,320.5,5133,False
Anas platyrhynchos,320.5,5784,False
Anas platyrhynchos,320.5,5785,False
Anolis carolinensis,320.5,1007,False
Anolis carolinensis,320.5,5129,False
Anolis carolinensis,320.5,926,True
Anolis carolinensis,320.5,13913,False
Anolis carolinensis,320.5,3627,True
Anolis carolinensis,320.5,5558,False
Anolis carolinensis,320.5,924,False
Anolis carolinensis,320.5,5632,False
Anolis carolinensis,320.5,15053,False
Anolis carolinensis,320.5,5562,False
Anolis carolinensis,320.5,922,False
Anolis carolinensis,320.5,5133,False
Anolis carolinensis,320.5,5784,False
Anolis carolinensis,320.5,5785,False
Anser cygnoides domesticus,320.5,1007,True
Anser cygnoides domesticus,320.5,5129,True
Anser cygnoides domesticus,320.5,926,True
Anser cygnoides domesticus,320.5,13913,False
Anser cygnoides domesticus,320.5,3627,False
Anser cygnoides domesticus,320.5,5558,False
Anser cygnoides domesticus,320.5,924,False
Anser cygnoides domesticus,320.5,5632,False
Anser cygnoides domesticus,320.5,15053,False
Anser cygnoides domesticus,320.5,5562,False
Anser cygnoides domesticus,320.5,922,True
Anser cygnoides domesticus,320.5,5133,False
Anser cygnoides domesticus,320.5,5784,False
Anser cygnoides domesticus,320.5,5785,False
Antrostomus carolinensis,320.5,1007,True
Antrostomus carolinensis,320.5,5129,True
Antrostomus carolinensis,320.5,926,False
Antrostomus carolinensis,320.5,13913,False
Antrostomus carolinensis,320.5,3627,False
Antrostomus carolinensis,320.5,5558,False
Antrostomus carolinensis,320.5,924,False
Antrostomus carolinensis,320.5,5632,False
Antrostomus carolinensis,320.5,15053,False
Antrostomus carolinensis,320.5,5562,False
Antrostomus carolinensis,320.5,922,False
Antrostomus carolinensis,320.5,5133,False
Antrostomus carolinensis,320.5,5784,False
Antrostomus carolinensis,320.5,5785,False
Apalone spinifera,320.5,1007,False
Apalone spinifera,320.5,5129,False
Apalone spinifera,320.5,926,False
Apalone spinifera,320.5,13913,False
Apalone spinifera,320.5,3627,False
Apalone spinifera,320.5,5558,False
Apalone spinifera,320.5,924,False
Apalone spinifera,320.5,5632,False
Apalone spinifera,320.5,15053,False
Apalone spinifera,320.5,5562,False
Apalone spinifera,320.5,922,False
Apalone spinifera,320.5,5133,False
Apalone spinifera,320.5,5784,False
Apalone spinifera,320.5,5785,False
Aptenodytes forsteri,320.5,1007,True
Aptenodytes forsteri,320.5,5129,True
Aptenodytes forsteri,320.5,926,True
Aptenodytes forsteri,320.5,13913,True
Aptenodytes forsteri,320.5,3627,False
Aptenodytes forsteri,320.5,5558,True
Aptenodytes forsteri,320.5,924,True
Aptenodytes forsteri,320.5,5632,True
Aptenodytes forsteri,320.5,15053,False
Aptenodytes forsteri,320.5,5562,False
Aptenodytes forsteri,320.5,922,True
Aptenodytes forsteri,320.5,5133,False
Aptenodytes forsteri,320.5,5784,False
Aptenodytes forsteri,320.5,5785,False
Apteryx australis mantelli,320.5,1007,True
Apteryx australis mantelli,320.5,5129,False
Apteryx australis mantelli,320.5,926,True
Apteryx australis mantelli,320.5,13913,False
Apteryx australis mantelli,320.5,3627,True
Apteryx australis mantelli,320.5,5558,False
Apteryx australis mantelli,320.5,924,True
Apteryx australis mantelli,320.5,5632,True
Apteryx australis mantelli,320.5,15053,False
Apteryx australis mantelli,320.5,5562,True
Apteryx australis mantelli,320.5,922,False
Apteryx australis mantelli,320.5,5133,False
Apteryx australis mantelli,320.5,5784,False
Apteryx australis mantelli,320.5,5785,False
Aquila chrysaetos,320.5,1007,True
Aquila chrysaetos,320.5,5129,True
Aquila chrysaetos,320.5,926,True
Aquila chrysaetos,320.5,13913,False
Aquila chrysaetos,320.5,3627,True
