Species,timeFromHuman_MY,cluster,present
Latimeria chalumnae,411.9,6363,True
Latimeria chalumnae,411.9,6364,True
Latimeria chalumnae,411.9,6365,True
Latimeria chalumnae,411.9,6366,True
Latimeria chalumnae,411.9,6367,True
Latimeria chalumnae,411.9,6368,True
Latimeria chalumnae,411.9,6369,True
Latimeria chalumnae,411.9,6370,True
Latimeria chalumnae,411.9,6371,True
Latimeria chalumnae,411.9,6372,True
Latimeria chalumnae,411.9,6373,True
Latimeria chalumnae,411.9,6374,True
Latimeria chalumnae,411.9,6375,True
Latimeria chalumnae,411.9,6376,True
Latimeria chalumnae,411.9,6377,True
Latimeria chalumnae,411.9,6378,True
Latimeria chalumnae,411.9,6379,True
Latimeria chalumnae,411.9,6380,True
Latimeria chalumnae,411.9,6381,True
Latimeria chalumnae,411.9,6382,True
Latimeria chalumnae,411.9,6383,True
Latimeria chalumnae,411.9,6384,True
Latimeria chalumnae,411.9,6385,True
Latimeria chalumnae,411.9,6386,True
Latimeria chalumnae,411.9,6387,True
Latimeria chalumnae,411.9,6388,True
Latimeria chalumnae,411.9,6389,True
Latimeria chalumnae,411.9,6390,True
Latimeria chalumnae,411.9,6391,True
Latimeria chalumnae,411.9,6392,True
Latimeria chalumnae,411.9,6393,True
Latimeria chalumnae,411.9,6394,True
Latimeria chalumnae,411.9,6395,True
Latimeria chalumnae,411.9,6396,True
Latimeria chalumnae,411.9,6397,True
Latimeria chalumnae,411.9,6398,True
Latimeria chalumnae,411.9,6399,True
Latimeria chalumnae,411.9,6400,True
Latimeria chalumnae,411.9,6401,True
Latimeria chalumnae,411.9,6402,True
Latimeria chalumnae,411.9,6403,True
Latimeria chalumnae,411.9,6404,True
Latimeria chalumnae,411.9,6405,True
Latimeria chalumnae,411.9,6406,True
Latimeria chalumnae,411.9,6407,True
Latimeria chalumnae,411.9,6408,True
Latimeria chalumnae,411.9,6409,True
Latimeria chalumnae,411.9,6410,True
Latimeria chalumnae,411.9,6411,True
Latimeria chalumnae,411.9,6412,True
Latimeria chalumnae,411.9,6413,True
Latimeria chalumnae,411.9,6414,True
Latimeria chalumnae,411.9,6415,True
Latimeria chalumnae,411.9,6416,True
Latimeria chalumnae,411.9,6417,True
Latimeria chalumnae,411.9,6418,True
Latimeria chalumnae,411.9,6419,True
Latimeria chalumnae,411.9,6420,True
Latimeria chalumnae,411.9,6421,True
Latimeria chalumnae,411.9,6422,True
Latimeria chalumnae,411.9,6423,True
Latimeria chalumnae,411.9,6424,True
Latimeria chalumnae,411.9,6425,True
Latimeria chalumnae,411.9,6426,True
Latimeria chalumnae,411.9,6427,True
Latimeria chalumnae,411.9,6428,True
Latimeria chalumnae,411.9,6429,True
Latimeria chalumnae,411.9,6430,True
Latimeria chalumnae,411.9,6431,True
Latimeria chalumnae,411.9,6432,True
Latimeria chalumnae,411.9,6433,True
Latimeria chalumnae,411.9,6434,True
Latimeria chalumnae,411.9,6435,True
Latimeria chalumnae,411.9,6436,True
Latimeria chalumnae,411.9,6437,True
Latimeria chalumnae,411.9,6438,True
Latimeria chalumnae,411.9,6439,True
Latimeria chalumnae,411.9,6440,True
Latimeria chalumnae,411.9,6441,True
Latimeria chalumnae,411.9,6442,True
Latimeria chalumnae,411.9,6443,True
Latimeria chalumnae,411.9,6444,True
Latimeria chalumnae,411.9,6445,True
Latimeria chalumnae,411.9,6446,True
Latimeria chalumnae,411.9,6447,True
Latimeria chalumnae,411.9,6448,True
Latimeria chalumnae,411.9,6449,True
Latimeria chalumnae,411.9,6450,True
Latimeria chalumnae,411.9,6451,True
Latimeria chalumnae,411.9,6452,True
Latimeria chalumnae,411.9,6453,True
Latimeria chalumnae,411.9,6454,True
Latimeria chalumnae,411.9,6455,True
Latimeria chalumnae,411.9,6456,True
Latimeria chalumnae,411.9,6457,True
Latimeria chalumnae,411.9,6458,True
Latimeria chalumnae,411.9,6459,True
Latimeria chalumnae,411.9,6460,True
Latimeria chalumnae,411.9,6461,True
Latimeria chalumnae,411.9,6462,True
Latimeria chalumnae,411.9,6463,True
Latimeria chalumnae,411.9,6464,True
Latimeria chalumnae,411.9,6465,True
Latimeria chalumnae,411.9,6466,True
Latimeria chalumnae,411.9,6467,True
Latimeria chalumnae,411.9,6468,True
Latimeria chalumnae,411.9,6469,True
Latimeria chalumnae,411.9,6470,True
Latimeria chalumnae,411.9,6471,True
Latimeria chalumnae,411.9,6472,True
Latimeria chalumnae,411.9,6473,True
Latimeria chalumnae,411.9,6474,True
Latimeria chalumnae,411.9,6475,True
Latimeria chalumnae,411.9,6476,True
Latimeria chalumnae,411.9,6477,True
Latimeria chalumnae,411.9,6478,True
Latimeria chalumnae,411.9,6479,True
Latimeria chalumnae,411.9,6480,True
Latimeria chalumnae,411.9,6481,True
Latimeria chalumnae,411.9,6482,True
Latimeria chalumnae,411.9,6483,True
Latimeria chalumnae,411.9,6484,True
Latimeria chalumnae,411.9,6485,True
Latimeria chalumnae,411.9,6486,True
Latimeria chalumnae,411.9,6487,True
Latimeria chalumnae,411.9,6488,True
Latimeria chalumnae,411.9,6489,True
Latimeria chalumnae,411.9,6490,True
Latimeria chalumnae,411.9,6491,True
Latimeria chalumnae,411.9,6492,True
Latimeria chalumnae,411.9,6493,True
Latimeria chalumnae,411.9,6494,True
Latimeria chalumnae,411.9,6495,True
Latimeria chalumnae,411.9,6496,True
Latimeria chalumnae,411.9,6497,True
Latimeria chalumnae,411.9,6498,True
Latimeria chalumnae,411.9,6499,True
Latimeria chalumnae,411.9,6500,True
Latimeria chalumnae,411.9,6501,True
Latimeria chalumnae,411.9,6502,True
Latimeria chalumnae,411.9,6503,True
Latimeria chalumnae,411.9,6504,True
Latimeria chalumnae,411.9,6505,True
Latimeria chalumnae,411.9,6506,True
Latimeria chalumnae,411.9,6507,True
Latimeria chalumnae,411.9,6508,True
Latimeria chalumnae,411.9,6509,True
Latimeria chalumnae,411.9,6510,True
Latimeria chalumnae,411.9,6511,True
Latimeria chalumnae,411.9,6512,True
Latimeria chalumnae,411.9,6513,True
Latimeria chalumnae,411.9,6514,True
Latimeria chalumnae,411.9,6515,True
Latimeria chalumnae,411.9,6516,True
Latimeria chalumnae,411.9,6517,True
Latimeria chalumnae,411.9,6518,True
Latimeria chalumnae,411.9,6519,True
Latimeria chalumnae,411.9,6520,True
Latimeria chalumnae,411.9,6521,True
Latimeria chalumnae,411.9,6522,True
Latimeria chalumnae,411.9,6523,True
Latimeria chalumnae,411.9,6524,True
Latimeria chalumnae,411.9,6525,True
Latimeria chalumnae,411.9,6526,True
Latimeria chalumnae,411.9,6527,True
Latimeria chalumnae,411.9,6528,True
Latimeria chalumnae,411.9,6529,True
Latimeria chalumnae,411.9,6530,True
Latimeria chalumnae,411.9,6531,True
Latimeria chalumnae,411.9,6532,True
Latimeria chalumnae,411.9,6533,True
Latimeria chalumnae,411.9,6534,True
Latimeria chalumnae,411.9,6535,True
Latimeria chalumnae,411.9,6536,True
Latimeria chalumnae,411.9,6537,True
Latimeria chalumnae,411.9,6538,True
Latimeria chalumnae,411.9,6539,True
Latimeria chalumnae,411.9,6540,True
Latimeria chalumnae,411.9,6541,True
Latimeria chalumnae,411.9,6542,True
Latimeria chalumnae,411.9,6543,True
Latimeria chalumnae,411.9,6544,True
Latimeria chalumnae,411.9,6545,True
Latimeria chalumnae,411.9,6546,True
Latimeria chalumnae,411.9,6547,True
Latimeria chalumnae,411.9,6548,True
Latimeria chalumnae,411.9,6549,True
Latimeria chalumnae,411.9,6550,True
Latimeria chalumnae,411.9,6551,True
Latimeria chalumnae,411.9,6552,True
Latimeria chalumnae,411.9,6553,True
Latimeria chalumnae,411.9,6554,True
Latimeria chalumnae,411.9,6555,True
Latimeria chalumnae,411.9,6556,True
Latimeria chalumnae,411.9,6557,True
Latimeria chalumnae,411.9,6558,True
Latimeria chalumnae,411.9,6559,True
Latimeria chalumnae,411.9,6560,True
Latimeria chalumnae,411.9,6561,True
Latimeria chalumnae,411.9,6562,True
Latimeria chalumnae,411.9,6563,True
Latimeria chalumnae,411.9,6564,True
Latimeria chalumnae,411.9,6565,True
Latimeria chalumnae,411.9,6566,True
Latimeria chalumnae,411.9,6567,True
Latimeria chalumnae,411.9,6568,True
Latimeria chalumnae,411.9,6569,True
Latimeria chalumnae,411.9,6570,True
Latimeria chalumnae,411.9,6571,True
Latimeria chalumnae,411.9,6572,True
Latimeria chalumnae,411.9,6573,True
Latimeria chalumnae,411.9,6574,True
Latimeria chalumnae,411.9,6575,True
Latimeria chalumnae,411.9,6576,True
Latimeria chalumnae,411.9,6577,True
Latimeria chalumnae,411.9,6578,True
Latimeria chalumnae,411.9,6579,True
Latimeria chalumnae,411.9,6580,True
Latimeria chalumnae,411.9,6581,True
Latimeria chalumnae,411.9,6582,True
Latimeria chalumnae,411.9,6583,True
Latimeria chalumnae,411.9,6584,True
Latimeria chalumnae,411.9,6585,True
Latimeria chalumnae,411.9,6586,True
Latimeria chalumnae,411.9,6587,True
Latimeria chalumnae,411.9,6588,True
Latimeria chalumnae,411.9,6589,True
Latimeria chalumnae,411.9,6590,True
Latimeria chalumnae,411.9,6591,True
Latimeria chalumnae,411.9,6592,True
Latimeria chalumnae,411.9,6593,True
Latimeria chalumnae,411.9,6594,True
