Species,timeFromHuman_MY,cluster,present
Latimeria chalumnae,411.9,4221,False
Latimeria chalumnae,411.9,1046,False
Latimeria chalumnae,411.9,11467,False
Latimeria chalumnae,411.9,1454,False
Latimeria chalumnae,411.9,14844,False
Latimeria chalumnae,411.9,4796,False
Latimeria chalumnae,411.9,2342,False
Latimeria chalumnae,411.9,2706,False
Latimeria chalumnae,411.9,11627,False
Latimeria chalumnae,411.9,13149,False
Latimeria chalumnae,411.9,1960,False
Latimeria chalumnae,411.9,9981,False
Latimeria chalumnae,411.9,5264,False
Latimeria chalumnae,411.9,13075,False
Latimeria chalumnae,411.9,13094,False
Latimeria chalumnae,411.9,1156,False
Latimeria chalumnae,411.9,967,False
Latimeria chalumnae,411.9,14920,False
Latimeria chalumnae,411.9,10886,False
Latimeria chalumnae,411.9,3239,False
Latimeria chalumnae,411.9,1216,False
Latimeria chalumnae,411.9,12512,False
Latimeria chalumnae,411.9,4609,False
Latimeria chalumnae,411.9,1286,False
Latimeria chalumnae,411.9,13275,False
Latimeria chalumnae,411.9,8380,False
Latimeria chalumnae,411.9,6036,False
Latimeria chalumnae,411.9,7061,False
Latimeria chalumnae,411.9,706,False
Latimeria chalumnae,411.9,11468,False
Latimeria chalumnae,411.9,9978,False
Latimeria chalumnae,411.9,10030,False
Latimeria chalumnae,411.9,1290,False
Latimeria chalumnae,411.9,3627,False
Latimeria chalumnae,411.9,14858,False
Latimeria chalumnae,411.9,4280,False
Latimeria chalumnae,411.9,6634,False
Latimeria chalumnae,411.9,4316,False
Latimeria chalumnae,411.9,7075,False
Latimeria chalumnae,411.9,13760,False
Latimeria chalumnae,411.9,7074,False
Latimeria chalumnae,411.9,7078,False
Latimeria chalumnae,411.9,7083,False
Latimeria chalumnae,411.9,7087,False
Latimeria chalumnae,411.9,7100,False
Latimeria chalumnae,411.9,7106,False
Latimeria chalumnae,411.9,7108,False
Latimeria chalumnae,411.9,7114,False
Latimeria chalumnae,411.9,7121,False
Latimeria chalumnae,411.9,7147,False
Latimeria chalumnae,411.9,7877,False
Latimeria chalumnae,411.9,8199,False
Latimeria chalumnae,411.9,8259,False
Latimeria chalumnae,411.9,8280,False
Latimeria chalumnae,411.9,8364,False
Latimeria chalumnae,411.9,8366,False
Latimeria chalumnae,411.9,10917,False
Latimeria chalumnae,411.9,13379,False
Latimeria chalumnae,411.9,13383,False
Latimeria chalumnae,411.9,13387,False
Latimeria chalumnae,411.9,13392,False
Latimeria chalumnae,411.9,13405,False
Latimeria chalumnae,411.9,13406,False
Latimeria chalumnae,411.9,13468,False
Latimeria chalumnae,411.9,13470,False
Latimeria chalumnae,411.9,13473,False
Latimeria chalumnae,411.9,13477,False
Latimeria chalumnae,411.9,13491,False
Latimeria chalumnae,411.9,13496,False
Latimeria chalumnae,411.9,13514,False
Latimeria chalumnae,411.9,13516,False
Latimeria chalumnae,411.9,13517,False
Latimeria chalumnae,411.9,13518,False
Latimeria chalumnae,411.9,13524,False
Latimeria chalumnae,411.9,13584,False
Latimeria chalumnae,411.9,13585,False
Latimeria chalumnae,411.9,13587,False
Latimeria chalumnae,411.9,13592,False
Latimeria chalumnae,411.9,13593,False
Latimeria chalumnae,411.9,13595,False
Latimeria chalumnae,411.9,13596,False
Latimeria chalumnae,411.9,13606,False
Latimeria chalumnae,411.9,13607,False
Latimeria chalumnae,411.9,13611,False
Latimeria chalumnae,411.9,13612,False
Latimeria chalumnae,411.9,13615,False
Latimeria chalumnae,411.9,13623,False
Latimeria chalumnae,411.9,13638,False
Latimeria chalumnae,411.9,13657,False
Latimeria chalumnae,411.9,13659,False
Latimeria chalumnae,411.9,13660,False
Latimeria chalumnae,411.9,13687,False
Latimeria chalumnae,411.9,13720,False
Latimeria chalumnae,411.9,13773,False
Latimeria chalumnae,411.9,7072,False
Latimeria chalumnae,411.9,7073,False
Latimeria chalumnae,411.9,7081,False
Latimeria chalumnae,411.9,7082,False
Latimeria chalumnae,411.9,7091,False
Latimeria chalumnae,411.9,7092,False
Latimeria chalumnae,411.9,7101,False
Latimeria chalumnae,411.9,7107,False
Latimeria chalumnae,411.9,7115,False
Latimeria chalumnae,411.9,7130,False
Latimeria chalumnae,411.9,7144,False
Latimeria chalumnae,411.9,7146,False
Latimeria chalumnae,411.9,7929,False
Latimeria chalumnae,411.9,8018,False
Latimeria chalumnae,411.9,8115,False
Latimeria chalumnae,411.9,8157,False
Latimeria chalumnae,411.9,8260,False
Latimeria chalumnae,411.9,8296,False
Latimeria chalumnae,411.9,13381,False
Latimeria chalumnae,411.9,13419,False
Latimeria chalumnae,411.9,13527,False
Latimeria chalumnae,411.9,13619,False
Latimeria chalumnae,411.9,13649,False
Latimeria chalumnae,411.9,13698,False
Latimeria chalumnae,411.9,13716,False
Latimeria chalumnae,411.9,13776,False
Latimeria chalumnae,411.9,7071,False
Latimeria chalumnae,411.9,7076,False
Latimeria chalumnae,411.9,7077,False
Latimeria chalumnae,411.9,7079,False
Latimeria chalumnae,411.9,7080,False
Latimeria chalumnae,411.9,7084,False
Latimeria chalumnae,411.9,7085,False
Latimeria chalumnae,411.9,7086,False
Latimeria chalumnae,411.9,7088,False
Latimeria chalumnae,411.9,7089,False
Latimeria chalumnae,411.9,7090,False
Latimeria chalumnae,411.9,7093,False
Latimeria chalumnae,411.9,7094,False
Latimeria chalumnae,411.9,7095,False
Latimeria chalumnae,411.9,7096,False
Latimeria chalumnae,411.9,7097,False
Latimeria chalumnae,411.9,7098,False
Latimeria chalumnae,411.9,7099,False
Latimeria chalumnae,411.9,7102,False
Latimeria chalumnae,411.9,7103,False
Latimeria chalumnae,411.9,7104,False
Latimeria chalumnae,411.9,7105,False
Latimeria chalumnae,411.9,7109,False
Latimeria chalumnae,411.9,7110,False
Latimeria chalumnae,411.9,7111,False
Latimeria chalumnae,411.9,7112,False
Latimeria chalumnae,411.9,7113,False
Latimeria chalumnae,411.9,7116,False
Latimeria chalumnae,411.9,7117,False
Latimeria chalumnae,411.9,7118,False
Latimeria chalumnae,411.9,7119,False
Latimeria chalumnae,411.9,7120,False
Latimeria chalumnae,411.9,7122,False
Latimeria chalumnae,411.9,7123,False
Latimeria chalumnae,411.9,7124,False
Latimeria chalumnae,411.9,7125,False
Latimeria chalumnae,411.9,7126,False
Latimeria chalumnae,411.9,7127,False
Latimeria chalumnae,411.9,7128,False
Latimeria chalumnae,411.9,7129,False
Latimeria chalumnae,411.9,7131,False
Latimeria chalumnae,411.9,7132,False
Latimeria chalumnae,411.9,7133,False
Latimeria chalumnae,411.9,7134,False
Latimeria chalumnae,411.9,7135,False
Latimeria chalumnae,411.9,7136,False
Latimeria chalumnae,411.9,7137,False
Latimeria chalumnae,411.9,7138,False
Latimeria chalumnae,411.9,7139,False
Latimeria chalumnae,411.9,7140,False
Latimeria chalumnae,411.9,7141,False
Latimeria chalumnae,411.9,7142,False
Latimeria chalumnae,411.9,7143,False
Latimeria chalumnae,411.9,7145,False
Latimeria chalumnae,411.9,7148,False
Latimeria chalumnae,411.9,7149,False
