Species,timeFromHuman_MY,cluster,present
Latimeria chalumnae,411.9,4221,False
Latimeria chalumnae,411.9,3638,False
Latimeria chalumnae,411.9,706,False
Latimeria chalumnae,411.9,1007,False
Latimeria chalumnae,411.9,5129,False
Latimeria chalumnae,411.9,926,False
Latimeria chalumnae,411.9,5558,False
Latimeria chalumnae,411.9,5562,False
Latimeria chalumnae,411.9,705,False
Latimeria chalumnae,411.9,2188,False
Latimeria chalumnae,411.9,7504,False
Latimeria chalumnae,411.9,5559,False
Latimeria chalumnae,411.9,5567,False
Latimeria chalumnae,411.9,5574,False
Latimeria chalumnae,411.9,5580,False
Latimeria chalumnae,411.9,7499,False
Latimeria chalumnae,411.9,7500,False
Latimeria chalumnae,411.9,7501,False
Latimeria chalumnae,411.9,7502,False
Latimeria chalumnae,411.9,7503,False
Latimeria chalumnae,411.9,7505,False
Latimeria chalumnae,411.9,7506,False
Latimeria chalumnae,411.9,7507,False
Latimeria chalumnae,411.9,7508,False
Nanorana parkeri,355.7,4221,False
Nanorana parkeri,355.7,3638,False
Nanorana parkeri,355.7,706,False
Nanorana parkeri,355.7,1007,False
Nanorana parkeri,355.7,5129,False
Nanorana parkeri,355.7,926,False
Nanorana parkeri,355.7,5558,False
Nanorana parkeri,355.7,5562,False
Nanorana parkeri,355.7,705,False
Nanorana parkeri,355.7,2188,False
Nanorana parkeri,355.7,7504,False
Nanorana parkeri,355.7,5559,False
Nanorana parkeri,355.7,5567,False
Nanorana parkeri,355.7,5574,False
Nanorana parkeri,355.7,5580,False
Nanorana parkeri,355.7,7499,False
Nanorana parkeri,355.7,7500,False
Nanorana parkeri,355.7,7501,False
Nanorana parkeri,355.7,7502,False
Nanorana parkeri,355.7,7503,False
Nanorana parkeri,355.7,7505,False
Nanorana parkeri,355.7,7506,False
Nanorana parkeri,355.7,7507,False
Nanorana parkeri,355.7,7508,False
Xenopus laevi,355.7,4221,False
Xenopus laevi,355.7,3638,False
Xenopus laevi,355.7,706,False
Xenopus laevi,355.7,1007,False
Xenopus laevi,355.7,5129,False
Xenopus laevi,355.7,926,False
Xenopus laevi,355.7,5558,False
Xenopus laevi,355.7,5562,False
Xenopus laevi,355.7,705,False
Xenopus laevi,355.7,2188,False
Xenopus laevi,355.7,7504,False
Xenopus laevi,355.7,5559,False
Xenopus laevi,355.7,5567,False
Xenopus laevi,355.7,5574,False
Xenopus laevi,355.7,5580,False
Xenopus laevi,355.7,7499,False
Xenopus laevi,355.7,7500,False
Xenopus laevi,355.7,7501,False
Xenopus laevi,355.7,7502,False
Xenopus laevi,355.7,7503,False
Xenopus laevi,355.7,7505,False
Xenopus laevi,355.7,7506,False
Xenopus laevi,355.7,7507,False
Xenopus laevi,355.7,7508,False
Xenopus tropicalis,355.7,4221,False
Xenopus tropicalis,355.7,3638,False
