Species,timeFromHuman_MY,cluster,present
Latimeria chalumnae,411.9,4221,False
Latimeria chalumnae,411.9,8903,False
Latimeria chalumnae,411.9,3638,False
Latimeria chalumnae,411.9,706,False
Latimeria chalumnae,411.9,926,False
Latimeria chalumnae,411.9,13913,False
Latimeria chalumnae,411.9,5632,False
Latimeria chalumnae,411.9,5132,False
Latimeria chalumnae,411.9,7509,False
Nanorana parkeri,355.7,4221,False
Nanorana parkeri,355.7,8903,False
Nanorana parkeri,355.7,3638,False
Nanorana parkeri,355.7,706,False
Nanorana parkeri,355.7,926,False
Nanorana parkeri,355.7,13913,False
Nanorana parkeri,355.7,5632,False
Nanorana parkeri,355.7,5132,False
Nanorana parkeri,355.7,7509,False
Xenopus laevi,355.7,4221,False
Xenopus laevi,355.7,8903,False
Xenopus laevi,355.7,3638,False
Xenopus laevi,355.7,706,False
Xenopus laevi,355.7,926,False
Xenopus laevi,355.7,13913,False
Xenopus laevi,355.7,5632,False
Xenopus laevi,355.7,5132,False
Xenopus laevi,355.7,7509,False
Xenopus tropicalis,355.7,4221,False
Xenopus tropicalis,355.7,8903,False
Xenopus tropicalis,355.7,3638,False
Xenopus tropicalis,355.7,706,False
Xenopus tropicalis,355.7,926,False
Xenopus tropicalis,355.7,13913,False
Xenopus tropicalis,355.7,5632,False
Xenopus tropicalis,355.7,5132,False
Xenopus tropicalis,355.7,7509,False
Acanthisitta chloris,320.5,4221,False
Acanthisitta chloris,320.5,8903,False
Acanthisitta chloris,320.5,3638,True
Acanthisitta chloris,320.5,706,True
Acanthisitta chloris,320.5,926,False
Acanthisitta chloris,320.5,13913,False
Acanthisitta chloris,320.5,5632,False
Acanthisitta chloris,320.5,5132,False
Acanthisitta chloris,320.5,7509,False
Alligator mississippiensis,320.5,4221,True
Alligator mississippiensis,320.5,8903,True
Alligator mississippiensis,320.5,3638,True
Alligator mississippiensis,320.5,706,False
Alligator mississippiensis,320.5,926,True
Alligator mississippiensis,320.5,13913,True
Alligator mississippiensis,320.5,5632,True
Alligator mississippiensis,320.5,5132,False
Alligator mississippiensis,320.5,7509,False
Alligator sinensis,320.5,4221,True
Alligator sinensis,320.5,8903,True
Alligator sinensis,320.5,3638,True
Alligator sinensis,320.5,706,False
Alligator sinensis,320.5,926,True
Alligator sinensis,320.5,13913,True
Alligator sinensis,320.5,5632,True
Alligator sinensis,320.5,5132,False
Alligator sinensis,320.5,7509,False
Amazona vittata,320.5,4221,True
Amazona vittata,320.5,8903,True
Amazona vittata,320.5,3638,True
Amazona vittata,320.5,706,True
Amazona vittata,320.5,926,True
Amazona vittata,320.5,13913,False
Amazona vittata,320.5,5632,False
Amazona vittata,320.5,5132,False
Amazona vittata,320.5,7509,False
Anas platyrhynchos,320.5,4221,True
Anas platyrhynchos,320.5,8903,False
Anas platyrhynchos,320.5,3638,True
Anas platyrhynchos,320.5,706,True
Anas platyrhynchos,320.5,926,True
Anas platyrhynchos,320.5,13913,False
Anas platyrhynchos,320.5,5632,False
Anas platyrhynchos,320.5,5132,False
Anas platyrhynchos,320.5,7509,False
Anolis carolinensis,320.5,4221,True
Anolis carolinensis,320.5,8903,True
Anolis carolinensis,320.5,3638,True
Anolis carolinensis,320.5,706,False
Anolis carolinensis,320.5,926,True
Anolis carolinensis,320.5,13913,False
Anolis carolinensis,320.5,5632,False
Anolis carolinensis,320.5,5132,False
Anolis carolinensis,320.5,7509,False
Anser cygnoides domesticus,320.5,4221,False
Anser cygnoides domesticus,320.5,8903,False
Anser cygnoides domesticus,320.5,3638,False
Anser cygnoides domesticus,320.5,706,True
Anser cygnoides domesticus,320.5,926,True
Anser cygnoides domesticus,320.5,13913,False
Anser cygnoides domesticus,320.5,5632,False
Anser cygnoides domesticus,320.5,5132,False
Anser cygnoides domesticus,320.5,7509,False
Antrostomus carolinensis,320.5,4221,True
Antrostomus carolinensis,320.5,8903,True
Antrostomus carolinensis,320.5,3638,False
Antrostomus carolinensis,320.5,706,True
Antrostomus carolinensis,320.5,926,False
Antrostomus carolinensis,320.5,13913,False
Antrostomus carolinensis,320.5,5632,False
Antrostomus carolinensis,320.5,5132,False
Antrostomus carolinensis,320.5,7509,False
Apalone spinifera,320.5,4221,False
Apalone spinifera,320.5,8903,False
Apalone spinifera,320.5,3638,True
Apalone spinifera,320.5,706,True
Apalone spinifera,320.5,926,False
Apalone spinifera,320.5,13913,False
Apalone spinifera,320.5,5632,False
Apalone spinifera,320.5,5132,False
Apalone spinifera,320.5,7509,False
Aptenodytes forsteri,320.5,4221,True
Aptenodytes forsteri,320.5,8903,False
Aptenodytes forsteri,320.5,3638,True
Aptenodytes forsteri,320.5,706,True
Aptenodytes forsteri,320.5,926,True
Aptenodytes forsteri,320.5,13913,True
Aptenodytes forsteri,320.5,5632,True
Aptenodytes forsteri,320.5,5132,False
Aptenodytes forsteri,320.5,7509,False
Apteryx australis mantelli,320.5,4221,True
Apteryx australis mantelli,320.5,8903,True
Apteryx australis mantelli,320.5,3638,True
Apteryx australis mantelli,320.5,706,True
Apteryx australis mantelli,320.5,926,True
Apteryx australis mantelli,320.5,13913,False
Apteryx australis mantelli,320.5,5632,True
Apteryx australis mantelli,320.5,5132,False
Apteryx australis mantelli,320.5,7509,False
Aquila chrysaetos,320.5,4221,True
Aquila chrysaetos,320.5,8903,False
Aquila chrysaetos,320.5,3638,True
Aquila chrysaetos,320.5,706,True
Aquila chrysaetos,320.5,926,True
Aquila chrysaetos,320.5,13913,False
Aquila chrysaetos,320.5,5632,True
Aquila chrysaetos,320.5,5132,False
Aquila chrysaetos,320.5,7509,False
Ara macao,320.5,4221,True
Ara macao,320.5,8903,False
Ara macao,320.5,3638,True
Ara macao,320.5,706,True
Ara macao,320.5,926,True
Ara macao,320.5,13913,False
Ara macao,320.5,5632,False
Ara macao,320.5,5132,False
Ara macao,320.5,7509,False
Balearica regulorum gibbericeps,320.5,4221,False
Balearica regulorum gibbericeps,320.5,8903,False
Balearica regulorum gibbericeps,320.5,3638,True
Balearica regulorum gibbericeps,320.5,706,True
Balearica regulorum gibbericeps,320.5,926,True
Balearica regulorum gibbericeps,320.5,13913,False
Balearica regulorum gibbericeps,320.5,5632,False
Balearica regulorum gibbericeps,320.5,5132,False
Balearica regulorum gibbericeps,320.5,7509,False
Calypte anna,320.5,4221,True
Calypte anna,320.5,8903,False
Calypte anna,320.5,3638,True
Calypte anna,320.5,706,False
Calypte anna,320.5,926,False
Calypte anna,320.5,13913,False
Calypte anna,320.5,5632,False
Calypte anna,320.5,5132,False
Calypte anna,320.5,7509,False
Caprimulgus carolinensis,320.5,4221,True
Caprimulgus carolinensis,320.5,8903,True
Caprimulgus carolinensis,320.5,3638,True
Caprimulgus carolinensis,320.5,706,True
Caprimulgus carolinensis,320.5,926,False
Caprimulgus carolinensis,320.5,13913,False
Caprimulgus carolinensis,320.5,5632,False
Caprimulgus carolinensis,320.5,5132,False
Caprimulgus carolinensis,320.5,7509,False
Cariama cristata,320.5,4221,False
Cariama cristata,320.5,8903,False
Cariama cristata,320.5,3638,True
Cariama cristata,320.5,706,True
Cariama cristata,320.5,926,False
Cariama cristata,320.5,13913,False
Cariama cristata,320.5,5632,False
Cariama cristata,320.5,5132,False
Cariama cristata,320.5,7509,False
Cathartes aura,320.5,4221,True
Cathartes aura,320.5,8903,False
Cathartes aura,320.5,3638,True
Cathartes aura,320.5,706,True
Cathartes aura,320.5,926,False
Cathartes aura,320.5,13913,False
Cathartes aura,320.5,5632,False
Cathartes aura,320.5,5132,False
Cathartes aura,320.5,7509,False
Chaetura pelagica,320.5,4221,True
Chaetura pelagica,320.5,8903,False
Chaetura pelagica,320.5,3638,True
Chaetura pelagica,320.5,706,True
Chaetura pelagica,320.5,926,False
Chaetura pelagica,320.5,13913,False
Chaetura pelagica,320.5,5632,False
Chaetura pelagica,320.5,5132,False
Chaetura pelagica,320.5,7509,False
Charadrius vociferus,320.5,4221,False
Charadrius vociferus,320.5,8903,False
Charadrius vociferus,320.5,3638,True
Charadrius vociferus,320.5,706,True
Charadrius vociferus,320.5,926,False
Charadrius vociferus,320.5,13913,False
Charadrius vociferus,320.5,5632,False
Charadrius vociferus,320.5,5132,False
Charadrius vociferus,320.5,7509,False
Chelonia mydas,320.5,4221,True
Chelonia mydas,320.5,8903,True
Chelonia mydas,320.5,3638,True
Chelonia mydas,320.5,706,True
Chelonia mydas,320.5,926,False
Chelonia mydas,320.5,13913,True
Chelonia mydas,320.5,5632,True
Chelonia mydas,320.5,5132,True
Chelonia mydas,320.5,7509,False
Chlamydotis macqueenii,320.5,4221,True
Chlamydotis macqueenii,320.5,8903,False
Chlamydotis macqueenii,320.5,3638,False
Chlamydotis macqueenii,320.5,706,False
Chlamydotis macqueenii,320.5,926,False
Chlamydotis macqueenii,320.5,13913,False
Chlamydotis macqueenii,320.5,5632,False
Chlamydotis macqueenii,320.5,5132,False
Chlamydotis macqueenii,320.5,7509,False
Chrysemys picta bellii,320.5,4221,True
Chrysemys picta bellii,320.5,8903,True
Chrysemys picta bellii,320.5,3638,False
Chrysemys picta bellii,320.5,706,True
Chrysemys picta bellii,320.5,926,False
Chrysemys picta bellii,320.5,13913,True
Chrysemys picta bellii,320.5,5632,True
Chrysemys picta bellii,320.5,5132,False
Chrysemys picta bellii,320.5,7509,False
Colinus virginianus,320.5,4221,True
Colinus virginianus,320.5,8903,True
Colinus virginianus,320.5,3638,True
Colinus virginianus,320.5,706,True
Colinus virginianus,320.5,926,False
Colinus virginianus,320.5,13913,False
Colinus virginianus,320.5,5632,False
Colinus virginianus,320.5,5132,False
Colinus virginianus,320.5,7509,False
Colius striatus,320.5,4221,False
Colius striatus,320.5,8903,False
Colius striatus,320.5,3638,False
Colius striatus,320.5,706,True
Colius striatus,320.5,926,False
Colius striatus,320.5,13913,False
Colius striatus,320.5,5632,False
Colius striatus,320.5,5132,False
Colius striatus,320.5,7509,False
Columba livia,320.5,4221,True
Columba livia,320.5,8903,False
Columba livia,320.5,3638,True
Columba livia,320.5,706,False
Columba livia,320.5,926,True
Columba livia,320.5,13913,True
Columba livia,320.5,5632,False
Columba livia,320.5,5132,False
Columba livia,320.5,7509,False
Corvus brachyrhynchos,320.5,4221,True
Corvus brachyrhynchos,320.5,8903,False
Corvus brachyrhynchos,320.5,3638,True
Corvus brachyrhynchos,320.5,706,True
Corvus brachyrhynchos,320.5,926,False
Corvus brachyrhynchos,320.5,13913,False
Corvus brachyrhynchos,320.5,5632,False
Corvus brachyrhynchos,320.5,5132,False
Corvus brachyrhynchos,320.5,7509,False
Corvus cornix cornix,320.5,4221,False
Corvus cornix cornix,320.5,8903,False
Corvus cornix cornix,320.5,3638,True
Corvus cornix cornix,320.5,706,True
Corvus cornix cornix,320.5,926,False
Corvus cornix cornix,320.5,13913,False
Corvus cornix cornix,320.5,5632,False
Corvus cornix cornix,320.5,5132,False
Corvus cornix cornix,320.5,7509,False
Crocodylus porosus,320.5,4221,True
Crocodylus porosus,320.5,8903,True
Crocodylus porosus,320.5,3638,True
Crocodylus porosus,320.5,706,False
Crocodylus porosus,320.5,926,True
Crocodylus porosus,320.5,13913,True
Crocodylus porosus,320.5,5632,True
Crocodylus porosus,320.5,5132,False
Crocodylus porosus,320.5,7509,False
Crotalus mitchellii,320.5,4221,True
Crotalus mitchellii,320.5,8903,True
Crotalus mitchellii,320.5,3638,True
Crotalus mitchellii,320.5,706,False
Crotalus mitchellii,320.5,926,True
Crotalus mitchellii,320.5,13913,False
Crotalus mitchellii,320.5,5632,False
Crotalus mitchellii,320.5,5132,False
Crotalus mitchellii,320.5,7509,False
Cuculus canorus,320.5,4221,True
Cuculus canorus,320.5,8903,True
Cuculus canorus,320.5,3638,True
Cuculus canorus,320.5,706,True
Cuculus canorus,320.5,926,True
Cuculus canorus,320.5,13913,False
Cuculus canorus,320.5,5632,True
Cuculus canorus,320.5,5132,False
Cuculus canorus,320.5,7509,False
Egretta garzetta,320.5,4221,True
Egretta garzetta,320.5,8903,False
Egretta garzetta,320.5,3638,True
Egretta garzetta,320.5,706,False
Egretta garzetta,320.5,926,False
Egretta garzetta,320.5,13913,False
Egretta garzetta,320.5,5632,False
Egretta garzetta,320.5,5132,False
Egretta garzetta,320.5,7509,False
Eurypyga helias,320.5,4221,False
Eurypyga helias,320.5,8903,False
Eurypyga helias,320.5,3638,True
Eurypyga helias,320.5,706,True
Eurypyga helias,320.5,926,False
Eurypyga helias,320.5,13913,False
Eurypyga helias,320.5,5632,False
Eurypyga helias,320.5,5132,False
Eurypyga helias,320.5,7509,False
Falco cherrug,320.5,4221,True
Falco cherrug,320.5,8903,True
Falco cherrug,320.5,3638,True
Falco cherrug,320.5,706,True
Falco cherrug,320.5,926,True
Falco cherrug,320.5,13913,False
Falco cherrug,320.5,5632,True
Falco cherrug,320.5,5132,False
Falco cherrug,320.5,7509,False
Falco peregrinus,320.5,4221,False
Falco peregrinus,320.5,8903,True
Falco peregrinus,320.5,3638,False
Falco peregrinus,320.5,706,False
Falco peregrinus,320.5,926,True
Falco peregrinus,320.5,13913,True
Falco peregrinus,320.5,5632,False
Falco peregrinus,320.5,5132,True
Falco peregrinus,320.5,7509,False
Ficedula albicollis,320.5,4221,True
Ficedula albicollis,320.5,8903,True
Ficedula albicollis,320.5,3638,True
Ficedula albicollis,320.5,706,True
Ficedula albicollis,320.5,926,False
Ficedula albicollis,320.5,13913,False
Ficedula albicollis,320.5,5632,False
Ficedula albicollis,320.5,5132,False
Ficedula albicollis,320.5,7509,False
Fulmarus glacialis,320.5,4221,False
Fulmarus glacialis,320.5,8903,False
Fulmarus glacialis,320.5,3638,False
Fulmarus glacialis,320.5,706,True
Fulmarus glacialis,320.5,926,False
Fulmarus glacialis,320.5,13913,False
Fulmarus glacialis,320.5,5632,False
Fulmarus glacialis,320.5,5132,False
Fulmarus glacialis,320.5,7509,False
Gallus gallus,320.5,4221,True
Gallus gallus,320.5,8903,False
Gallus gallus,320.5,3638,True
Gallus gallus,320.5,706,True
Gallus gallus,320.5,926,True
Gallus gallus,320.5,13913,False
Gallus gallus,320.5,5632,False
Gallus gallus,320.5,5132,False
Gallus gallus,320.5,7509,False
Gavia stellata,320.5,4221,False
Gavia stellata,320.5,8903,False
Gavia stellata,320.5,3638,True
Gavia stellata,320.5,706,True
Gavia stellata,320.5,926,False
Gavia stellata,320.5,13913,False
Gavia stellata,320.5,5632,False
Gavia stellata,320.5,5132,False
Gavia stellata,320.5,7509,False
Gavialis gangeticus,320.5,4221,True
Gavialis gangeticus,320.5,8903,True
Gavialis gangeticus,320.5,3638,True
Gavialis gangeticus,320.5,706,False
Gavialis gangeticus,320.5,926,True
Gavialis gangeticus,320.5,13913,True
Gavialis gangeticus,320.5,5632,True
Gavialis gangeticus,320.5,5132,False
Gavialis gangeticus,320.5,7509,False
Geospiza fortis,320.5,4221,True
Geospiza fortis,320.5,8903,False
