Species,timeFromHuman_MY,cluster,present
Latimeria chalumnae,411.9,4221,False
Latimeria chalumnae,411.9,8903,False
Latimeria chalumnae,411.9,1046,False
Latimeria chalumnae,411.9,11467,False
Latimeria chalumnae,411.9,1454,False
Latimeria chalumnae,411.9,14844,False
Latimeria chalumnae,411.9,4796,False
Latimeria chalumnae,411.9,2342,False
Latimeria chalumnae,411.9,2706,False
Latimeria chalumnae,411.9,11627,False
Latimeria chalumnae,411.9,13149,False
Latimeria chalumnae,411.9,1045,False
Latimeria chalumnae,411.9,1231,False
Latimeria chalumnae,411.9,1960,False
Latimeria chalumnae,411.9,5476,False
Latimeria chalumnae,411.9,9981,False
Latimeria chalumnae,411.9,14847,False
Latimeria chalumnae,411.9,14929,False
Latimeria chalumnae,411.9,2093,False
Latimeria chalumnae,411.9,6052,False
Latimeria chalumnae,411.9,13075,False
Latimeria chalumnae,411.9,14861,False
Latimeria chalumnae,411.9,1034,False
Latimeria chalumnae,411.9,1270,False
Latimeria chalumnae,411.9,3321,False
Latimeria chalumnae,411.9,5215,False
Latimeria chalumnae,411.9,10007,False
Latimeria chalumnae,411.9,10013,False
Latimeria chalumnae,411.9,11439,False
Latimeria chalumnae,411.9,12502,False
Latimeria chalumnae,411.9,13094,False
Latimeria chalumnae,411.9,6024,False
Latimeria chalumnae,411.9,13307,False
Latimeria chalumnae,411.9,1026,False
Latimeria chalumnae,411.9,3254,False
Latimeria chalumnae,411.9,3956,False
Latimeria chalumnae,411.9,5798,False
Latimeria chalumnae,411.9,6931,False
Latimeria chalumnae,411.9,6963,False
Latimeria chalumnae,411.9,7404,False
Latimeria chalumnae,411.9,7569,False
Latimeria chalumnae,411.9,13937,False
Latimeria chalumnae,411.9,14667,False
Latimeria chalumnae,411.9,1401,False
Latimeria chalumnae,411.9,2021,False
Latimeria chalumnae,411.9,5263,False
Latimeria chalumnae,411.9,5406,False
Latimeria chalumnae,411.9,8774,False
Latimeria chalumnae,411.9,236,False
Latimeria chalumnae,411.9,967,False
Latimeria chalumnae,411.9,12788,False
Latimeria chalumnae,411.9,14920,False
Latimeria chalumnae,411.9,14935,False
Latimeria chalumnae,411.9,1271,False
Latimeria chalumnae,411.9,5070,False
Latimeria chalumnae,411.9,7045,False
Latimeria chalumnae,411.9,10886,False
Latimeria chalumnae,411.9,11907,False
Latimeria chalumnae,411.9,13967,False
Latimeria chalumnae,411.9,14891,False
Latimeria chalumnae,411.9,6294,False
Latimeria chalumnae,411.9,6701,False
Latimeria chalumnae,411.9,2137,False
Latimeria chalumnae,411.9,3239,False
Latimeria chalumnae,411.9,4455,False
Latimeria chalumnae,411.9,11202,False
Latimeria chalumnae,411.9,6926,False
Latimeria chalumnae,411.9,1216,False
Latimeria chalumnae,411.9,1458,False
Latimeria chalumnae,411.9,931,False
Latimeria chalumnae,411.9,3238,False
Latimeria chalumnae,411.9,5762,False
Latimeria chalumnae,411.9,6916,False
Latimeria chalumnae,411.9,12528,False
Latimeria chalumnae,411.9,1572,False
Latimeria chalumnae,411.9,6017,False
Latimeria chalumnae,411.9,14896,False
Latimeria chalumnae,411.9,12672,False
Latimeria chalumnae,411.9,6978,False
Latimeria chalumnae,411.9,13331,False
Latimeria chalumnae,411.9,3265,False
Latimeria chalumnae,411.9,3529,False
Latimeria chalumnae,411.9,8380,False
Latimeria chalumnae,411.9,215,False
Latimeria chalumnae,411.9,13933,False
Latimeria chalumnae,411.9,5894,False
Latimeria chalumnae,411.9,6927,False
Latimeria chalumnae,411.9,6036,False
Latimeria chalumnae,411.9,6047,False
Latimeria chalumnae,411.9,13030,False
Latimeria chalumnae,411.9,11970,False
Latimeria chalumnae,411.9,3287,False
Latimeria chalumnae,411.9,4661,False
Latimeria chalumnae,411.9,13336,False
Latimeria chalumnae,411.9,7053,False
Latimeria chalumnae,411.9,11600,False
Latimeria chalumnae,411.9,6061,False
Latimeria chalumnae,411.9,6184,False
Latimeria chalumnae,411.9,1707,False
Latimeria chalumnae,411.9,6119,False
Latimeria chalumnae,411.9,6121,False
Latimeria chalumnae,411.9,10123,False
Latimeria chalumnae,411.9,1897,False
Latimeria chalumnae,411.9,4631,False
Latimeria chalumnae,411.9,13062,False
Latimeria chalumnae,411.9,3467,False
Latimeria chalumnae,411.9,3558,False
Latimeria chalumnae,411.9,7770,False
Latimeria chalumnae,411.9,7817,False
Latimeria chalumnae,411.9,8673,False
Latimeria chalumnae,411.9,11811,False
Latimeria chalumnae,411.9,11862,False
Latimeria chalumnae,411.9,11864,False
Latimeria chalumnae,411.9,11969,False
Latimeria chalumnae,411.9,12018,False
Latimeria chalumnae,411.9,13053,False
Latimeria chalumnae,411.9,13093,False
Latimeria chalumnae,411.9,3374,False
Latimeria chalumnae,411.9,3387,False
Latimeria chalumnae,411.9,3400,False
Latimeria chalumnae,411.9,3434,False
Latimeria chalumnae,411.9,3450,False
Latimeria chalumnae,411.9,3525,False
Latimeria chalumnae,411.9,7772,False
Latimeria chalumnae,411.9,7780,False
Latimeria chalumnae,411.9,7782,False
Latimeria chalumnae,411.9,7818,False
Latimeria chalumnae,411.9,7824,False
Latimeria chalumnae,411.9,8587,False
Latimeria chalumnae,411.9,9169,False
Latimeria chalumnae,411.9,11855,False
Latimeria chalumnae,411.9,11932,False
Latimeria chalumnae,411.9,11952,False
Latimeria chalumnae,411.9,13205,False
Latimeria chalumnae,411.9,3416,False
Latimeria chalumnae,411.9,3431,False
Latimeria chalumnae,411.9,3443,False
Latimeria chalumnae,411.9,3453,False
Latimeria chalumnae,411.9,3466,False
Latimeria chalumnae,411.9,3507,False
Latimeria chalumnae,411.9,3509,False
Latimeria chalumnae,411.9,3554,False
Latimeria chalumnae,411.9,6276,False
Latimeria chalumnae,411.9,7749,False
Latimeria chalumnae,411.9,7756,False
Latimeria chalumnae,411.9,7784,False
Latimeria chalumnae,411.9,7856,False
Latimeria chalumnae,411.9,8553,False
Latimeria chalumnae,411.9,8586,False
Latimeria chalumnae,411.9,8672,False
Latimeria chalumnae,411.9,8695,False
Latimeria chalumnae,411.9,8701,False
Latimeria chalumnae,411.9,9200,False
Latimeria chalumnae,411.9,9376,False
Latimeria chalumnae,411.9,11870,False
Latimeria chalumnae,411.9,12019,False
Latimeria chalumnae,411.9,13092,False
Latimeria chalumnae,411.9,13132,False
Latimeria chalumnae,411.9,3544,False
Latimeria chalumnae,411.9,8665,False
Latimeria chalumnae,411.9,8666,False
Latimeria chalumnae,411.9,8667,False
Latimeria chalumnae,411.9,11837,False
Latimeria chalumnae,411.9,13212,False
Latimeria chalumnae,411.9,3377,False
Latimeria chalumnae,411.9,3398,False
Latimeria chalumnae,411.9,3423,False
Latimeria chalumnae,411.9,3425,False
Latimeria chalumnae,411.9,3426,False
Latimeria chalumnae,411.9,3446,False
Latimeria chalumnae,411.9,3447,False
Latimeria chalumnae,411.9,3448,False
Latimeria chalumnae,411.9,3461,False
Latimeria chalumnae,411.9,3469,False
Latimeria chalumnae,411.9,3480,False
Latimeria chalumnae,411.9,3482,False
Latimeria chalumnae,411.9,3494,False
Latimeria chalumnae,411.9,3548,False
Latimeria chalumnae,411.9,7857,False
Latimeria chalumnae,411.9,11812,False
Latimeria chalumnae,411.9,11964,False
Latimeria chalumnae,411.9,11997,False
Latimeria chalumnae,411.9,3418,False
Latimeria chalumnae,411.9,3476,False
Latimeria chalumnae,411.9,3501,False
Latimeria chalumnae,411.9,3515,False
Latimeria chalumnae,411.9,726,False
Latimeria chalumnae,411.9,3382,False
Latimeria chalumnae,411.9,3454,False
Latimeria chalumnae,411.9,12021,False
Latimeria chalumnae,411.9,12048,False
Latimeria chalumnae,411.9,12054,False
Latimeria chalumnae,411.9,7727,False
Latimeria chalumnae,411.9,7728,False
Latimeria chalumnae,411.9,7729,False
Latimeria chalumnae,411.9,7730,False
Latimeria chalumnae,411.9,7731,False
Latimeria chalumnae,411.9,7732,False
Latimeria chalumnae,411.9,7733,False
Latimeria chalumnae,411.9,7734,False
Latimeria chalumnae,411.9,7735,False
Latimeria chalumnae,411.9,7736,False
Latimeria chalumnae,411.9,7737,False
Latimeria chalumnae,411.9,7738,False
Latimeria chalumnae,411.9,7739,False
Latimeria chalumnae,411.9,7740,False
Latimeria chalumnae,411.9,7741,False
Latimeria chalumnae,411.9,7742,False
Latimeria chalumnae,411.9,7743,False
Latimeria chalumnae,411.9,7744,False
Latimeria chalumnae,411.9,7745,False
Latimeria chalumnae,411.9,7746,False
Latimeria chalumnae,411.9,7747,False
Latimeria chalumnae,411.9,7748,False
Latimeria chalumnae,411.9,7750,False
Latimeria chalumnae,411.9,7751,False
Latimeria chalumnae,411.9,7752,False
Latimeria chalumnae,411.9,7753,False
Latimeria chalumnae,411.9,7754,False
Latimeria chalumnae,411.9,7755,False
Latimeria chalumnae,411.9,7757,False
Latimeria chalumnae,411.9,7758,False
Latimeria chalumnae,411.9,7759,False
Latimeria chalumnae,411.9,7760,False
Latimeria chalumnae,411.9,7761,False
Latimeria chalumnae,411.9,7762,False
Latimeria chalumnae,411.9,7763,False
Latimeria chalumnae,411.9,7764,False
Latimeria chalumnae,411.9,7765,False
Latimeria chalumnae,411.9,7766,False
Latimeria chalumnae,411.9,7767,False
Latimeria chalumnae,411.9,7768,False
Latimeria chalumnae,411.9,7769,False
Latimeria chalumnae,411.9,7771,False
Latimeria chalumnae,411.9,7773,False
Latimeria chalumnae,411.9,7774,False
Latimeria chalumnae,411.9,7775,False
Latimeria chalumnae,411.9,7776,False
Latimeria chalumnae,411.9,7777,False
Latimeria chalumnae,411.9,7778,False
Latimeria chalumnae,411.9,7779,False
Latimeria chalumnae,411.9,7781,False
Latimeria chalumnae,411.9,7783,False
Latimeria chalumnae,411.9,7785,False
Latimeria chalumnae,411.9,7786,False
Latimeria chalumnae,411.9,7787,False
Latimeria chalumnae,411.9,7788,False
Latimeria chalumnae,411.9,7789,False
Latimeria chalumnae,411.9,7790,False
Latimeria chalumnae,411.9,7791,False
Latimeria chalumnae,411.9,7792,False
Latimeria chalumnae,411.9,7793,False
Latimeria chalumnae,411.9,7794,False
Latimeria chalumnae,411.9,7795,False
Latimeria chalumnae,411.9,7796,False
Latimeria chalumnae,411.9,7797,False
Latimeria chalumnae,411.9,7798,False
Latimeria chalumnae,411.9,7799,False
Latimeria chalumnae,411.9,7800,False
Latimeria chalumnae,411.9,7801,False
Latimeria chalumnae,411.9,7802,False
Latimeria chalumnae,411.9,7803,False
Latimeria chalumnae,411.9,7804,False
Latimeria chalumnae,411.9,7805,False
Latimeria chalumnae,411.9,7806,False
Latimeria chalumnae,411.9,7807,False
Latimeria chalumnae,411.9,7808,False
Latimeria chalumnae,411.9,7809,False
Latimeria chalumnae,411.9,7810,False
Latimeria chalumnae,411.9,7811,False
Latimeria chalumnae,411.9,7812,False
Latimeria chalumnae,411.9,7813,False
Latimeria chalumnae,411.9,7814,False
Latimeria chalumnae,411.9,7815,False
Latimeria chalumnae,411.9,7816,False
Latimeria chalumnae,411.9,7819,False
Latimeria chalumnae,411.9,7820,False
Latimeria chalumnae,411.9,7821,False
Latimeria chalumnae,411.9,7822,False
Latimeria chalumnae,411.9,7823,False
Latimeria chalumnae,411.9,7825,False
Latimeria chalumnae,411.9,7826,False
Latimeria chalumnae,411.9,7827,False
Latimeria chalumnae,411.9,7828,False
Latimeria chalumnae,411.9,7829,False
Latimeria chalumnae,411.9,7830,False
Latimeria chalumnae,411.9,7831,False
Latimeria chalumnae,411.9,7832,False
Latimeria chalumnae,411.9,7833,False
Latimeria chalumnae,411.9,7834,False
Latimeria chalumnae,411.9,7835,False
Latimeria chalumnae,411.9,7836,False
Latimeria chalumnae,411.9,7837,False
Latimeria chalumnae,411.9,7838,False
Latimeria chalumnae,411.9,7839,False
Latimeria chalumnae,411.9,7840,False
Latimeria chalumnae,411.9,7841,False
Latimeria chalumnae,411.9,7842,False
Latimeria chalumnae,411.9,7843,False
Latimeria chalumnae,411.9,7844,False
Latimeria chalumnae,411.9,7845,False
Latimeria chalumnae,411.9,7846,False
Latimeria chalumnae,411.9,7847,False
Latimeria chalumnae,411.9,7848,False
Latimeria chalumnae,411.9,7849,False
Latimeria chalumnae,411.9,7850,False
Latimeria chalumnae,411.9,7851,False
Latimeria chalumnae,411.9,7852,False
Latimeria chalumnae,411.9,7853,False
Latimeria chalumnae,411.9,7854,False
Latimeria chalumnae,411.9,7855,False
Latimeria chalumnae,411.9,7858,False
Latimeria chalumnae,411.9,7859,False
Latimeria chalumnae,411.9,7860,False
Latimeria chalumnae,411.9,7861,False
Latimeria chalumnae,411.9,7862,False
Latimeria chalumnae,411.9,7863,False
Latimeria chalumnae,411.9,7864,False
Latimeria chalumnae,411.9,7865,False
Latimeria chalumnae,411.9,7866,False
Latimeria chalumnae,411.9,7867,False
Latimeria chalumnae,411.9,7868,False
Latimeria chalumnae,411.9,7869,False
Nanorana parkeri,355.7,4221,False
Nanorana parkeri,355.7,8903,False
Nanorana parkeri,355.7,1046,False
Nanorana parkeri,355.7,11467,False
Nanorana parkeri,355.7,1454,False
Nanorana parkeri,355.7,14844,False
Nanorana parkeri,355.7,4796,False
Nanorana parkeri,355.7,2342,False
Nanorana parkeri,355.7,2706,False
Nanorana parkeri,355.7,11627,False
Nanorana parkeri,355.7,13149,False
Nanorana parkeri,355.7,1045,False
Nanorana parkeri,355.7,1231,False
Nanorana parkeri,355.7,1960,False
Nanorana parkeri,355.7,5476,False
Nanorana parkeri,355.7,9981,False
Nanorana parkeri,355.7,14847,False
Nanorana parkeri,355.7,14929,False
Nanorana parkeri,355.7,2093,False
Nanorana parkeri,355.7,6052,False
Nanorana parkeri,355.7,13075,False
Nanorana parkeri,355.7,14861,False
Nanorana parkeri,355.7,1034,False
Nanorana parkeri,355.7,1270,False
Nanorana parkeri,355.7,3321,False
Nanorana parkeri,355.7,5215,False
Nanorana parkeri,355.7,10007,False
Nanorana parkeri,355.7,10013,False
Nanorana parkeri,355.7,11439,False
Nanorana parkeri,355.7,12502,False
Nanorana parkeri,355.7,13094,False
Nanorana parkeri,355.7,6024,False
Nanorana parkeri,355.7,13307,False
Nanorana parkeri,355.7,1026,False
Nanorana parkeri,355.7,3254,False
Nanorana parkeri,355.7,3956,False
Nanorana parkeri,355.7,5798,False
Nanorana parkeri,355.7,6931,False
Nanorana parkeri,355.7,6963,False
Nanorana parkeri,355.7,7404,False
Nanorana parkeri,355.7,7569,False
Nanorana parkeri,355.7,13937,False
Nanorana parkeri,355.7,14667,False
Nanorana parkeri,355.7,1401,False
Nanorana parkeri,355.7,2021,False
Nanorana parkeri,355.7,5263,False
Nanorana parkeri,355.7,5406,False
Nanorana parkeri,355.7,8774,False
Nanorana parkeri,355.7,236,False
Nanorana parkeri,355.7,967,False
Nanorana parkeri,355.7,12788,False
Nanorana parkeri,355.7,14920,False
Nanorana parkeri,355.7,14935,False
