Species,timeFromHuman_MY,cluster,present
Latimeria chalumnae,411.9,4221,False
Latimeria chalumnae,411.9,8903,False
Latimeria chalumnae,411.9,1046,False
Latimeria chalumnae,411.9,11467,False
Latimeria chalumnae,411.9,1454,False
Latimeria chalumnae,411.9,14844,False
Latimeria chalumnae,411.9,4796,False
Latimeria chalumnae,411.9,2342,False
Latimeria chalumnae,411.9,2706,False
Latimeria chalumnae,411.9,11627,False
Latimeria chalumnae,411.9,13149,False
Latimeria chalumnae,411.9,1045,False
Latimeria chalumnae,411.9,1231,False
Latimeria chalumnae,411.9,1960,False
Latimeria chalumnae,411.9,5476,False
Latimeria chalumnae,411.9,9981,False
Latimeria chalumnae,411.9,14847,False
Latimeria chalumnae,411.9,14929,False
Latimeria chalumnae,411.9,2093,False
Latimeria chalumnae,411.9,6052,False
Latimeria chalumnae,411.9,13075,False
Latimeria chalumnae,411.9,14861,False
Latimeria chalumnae,411.9,1034,False
Latimeria chalumnae,411.9,1270,False
Latimeria chalumnae,411.9,3321,False
Latimeria chalumnae,411.9,5215,False
Latimeria chalumnae,411.9,10007,False
Latimeria chalumnae,411.9,10013,False
Latimeria chalumnae,411.9,11439,False
Latimeria chalumnae,411.9,12502,False
Latimeria chalumnae,411.9,13094,False
Latimeria chalumnae,411.9,3268,False
Latimeria chalumnae,411.9,6024,False
Latimeria chalumnae,411.9,13307,False
Latimeria chalumnae,411.9,1026,False
Latimeria chalumnae,411.9,3254,False
Latimeria chalumnae,411.9,3956,False
Latimeria chalumnae,411.9,5798,False
Latimeria chalumnae,411.9,6931,False
Latimeria chalumnae,411.9,6963,False
Latimeria chalumnae,411.9,7404,False
Latimeria chalumnae,411.9,7569,False
Latimeria chalumnae,411.9,13937,False
Latimeria chalumnae,411.9,14667,False
Latimeria chalumnae,411.9,1401,False
Latimeria chalumnae,411.9,2021,False
Latimeria chalumnae,411.9,5263,False
Latimeria chalumnae,411.9,5406,False
Latimeria chalumnae,411.9,8774,False
Latimeria chalumnae,411.9,236,False
Latimeria chalumnae,411.9,3511,False
Latimeria chalumnae,411.9,12788,False
Latimeria chalumnae,411.9,14920,False
Latimeria chalumnae,411.9,14935,False
Latimeria chalumnae,411.9,1271,False
Latimeria chalumnae,411.9,4358,False
Latimeria chalumnae,411.9,5070,False
Latimeria chalumnae,411.9,10886,False
Latimeria chalumnae,411.9,11907,False
Latimeria chalumnae,411.9,13967,False
Latimeria chalumnae,411.9,14891,False
Latimeria chalumnae,411.9,6294,False
Latimeria chalumnae,411.9,6701,False
Latimeria chalumnae,411.9,10131,False
Latimeria chalumnae,411.9,2137,False
Latimeria chalumnae,411.9,3239,False
Latimeria chalumnae,411.9,4455,False
Latimeria chalumnae,411.9,11202,False
Latimeria chalumnae,411.9,1216,False
Latimeria chalumnae,411.9,1458,False
Latimeria chalumnae,411.9,3238,False
Latimeria chalumnae,411.9,5762,False
Latimeria chalumnae,411.9,6916,False
Latimeria chalumnae,411.9,12528,False
Latimeria chalumnae,411.9,6017,False
Latimeria chalumnae,411.9,14896,False
Latimeria chalumnae,411.9,6978,False
Latimeria chalumnae,411.9,13331,False
Latimeria chalumnae,411.9,3265,False
Latimeria chalumnae,411.9,3529,False
Latimeria chalumnae,411.9,10890,False
Latimeria chalumnae,411.9,8380,False
Latimeria chalumnae,411.9,215,False
Latimeria chalumnae,411.9,13933,False
Latimeria chalumnae,411.9,5894,False
Latimeria chalumnae,411.9,6927,False
Latimeria chalumnae,411.9,6036,False
Latimeria chalumnae,411.9,6047,False
Latimeria chalumnae,411.9,13030,False
Latimeria chalumnae,411.9,13260,False
Latimeria chalumnae,411.9,3256,False
Latimeria chalumnae,411.9,3287,False
Latimeria chalumnae,411.9,4661,False
Latimeria chalumnae,411.9,7053,False
Latimeria chalumnae,411.9,1367,False
Latimeria chalumnae,411.9,11600,False
Latimeria chalumnae,411.9,6061,False
Latimeria chalumnae,411.9,6184,False
Latimeria chalumnae,411.9,5945,False
Latimeria chalumnae,411.9,1707,False
Latimeria chalumnae,411.9,6119,False
Latimeria chalumnae,411.9,6121,False
Latimeria chalumnae,411.9,10123,False
Latimeria chalumnae,411.9,1897,False
Latimeria chalumnae,411.9,6123,False
Latimeria chalumnae,411.9,13062,False
Latimeria chalumnae,411.9,3467,False
Latimeria chalumnae,411.9,3558,False
Latimeria chalumnae,411.9,7770,False
Latimeria chalumnae,411.9,7817,False
Latimeria chalumnae,411.9,8673,False
Latimeria chalumnae,411.9,11811,False
Latimeria chalumnae,411.9,11862,False
Latimeria chalumnae,411.9,11864,False
Latimeria chalumnae,411.9,11969,False
Latimeria chalumnae,411.9,12018,False
Latimeria chalumnae,411.9,13053,False
Latimeria chalumnae,411.9,13093,False
Latimeria chalumnae,411.9,3374,False
Latimeria chalumnae,411.9,3387,False
Latimeria chalumnae,411.9,3400,False
Latimeria chalumnae,411.9,3434,False
Latimeria chalumnae,411.9,3450,False
Latimeria chalumnae,411.9,3525,False
Latimeria chalumnae,411.9,7772,False
Latimeria chalumnae,411.9,7780,False
Latimeria chalumnae,411.9,7782,False
Latimeria chalumnae,411.9,7818,False
Latimeria chalumnae,411.9,7824,False
Latimeria chalumnae,411.9,8587,False
Latimeria chalumnae,411.9,9169,False
Latimeria chalumnae,411.9,11855,False
Latimeria chalumnae,411.9,11932,False
Latimeria chalumnae,411.9,11952,False
Latimeria chalumnae,411.9,13205,False
Latimeria chalumnae,411.9,3416,False
Latimeria chalumnae,411.9,3431,False
Latimeria chalumnae,411.9,3443,False
Latimeria chalumnae,411.9,3453,False
Latimeria chalumnae,411.9,3466,False
Latimeria chalumnae,411.9,3507,False
Latimeria chalumnae,411.9,3509,False
Latimeria chalumnae,411.9,3522,False
Latimeria chalumnae,411.9,3554,False
Latimeria chalumnae,411.9,7749,False
Latimeria chalumnae,411.9,7756,False
Latimeria chalumnae,411.9,7784,False
Latimeria chalumnae,411.9,7856,False
Latimeria chalumnae,411.9,8553,False
Latimeria chalumnae,411.9,8586,False
Latimeria chalumnae,411.9,8672,False
Latimeria chalumnae,411.9,8695,False
Latimeria chalumnae,411.9,8701,False
Latimeria chalumnae,411.9,9200,False
Latimeria chalumnae,411.9,9376,False
Latimeria chalumnae,411.9,11870,False
Latimeria chalumnae,411.9,12019,False
Latimeria chalumnae,411.9,13092,False
Latimeria chalumnae,411.9,13132,False
Latimeria chalumnae,411.9,13213,False
Latimeria chalumnae,411.9,3544,False
Latimeria chalumnae,411.9,8665,False
Latimeria chalumnae,411.9,8666,False
Latimeria chalumnae,411.9,8667,False
Latimeria chalumnae,411.9,11837,False
Latimeria chalumnae,411.9,11841,False
Latimeria chalumnae,411.9,11951,False
Latimeria chalumnae,411.9,13039,False
Latimeria chalumnae,411.9,13212,False
Latimeria chalumnae,411.9,3402,False
Latimeria chalumnae,411.9,3508,False
Latimeria chalumnae,411.9,11964,False
Latimeria chalumnae,411.9,3476,False
Latimeria chalumnae,411.9,13068,False
Latimeria chalumnae,411.9,8465,False
Latimeria chalumnae,411.9,8467,False
Latimeria chalumnae,411.9,8468,False
Latimeria chalumnae,411.9,8554,False
Latimeria chalumnae,411.9,8630,False
Latimeria chalumnae,411.9,8703,False
Latimeria chalumnae,411.9,13026,False
Latimeria chalumnae,411.9,13032,False
Latimeria chalumnae,411.9,13033,False
Latimeria chalumnae,411.9,13034,False
Latimeria chalumnae,411.9,13035,False
Latimeria chalumnae,411.9,13036,False
Latimeria chalumnae,411.9,13043,False
Latimeria chalumnae,411.9,13045,False
Latimeria chalumnae,411.9,13046,False
Latimeria chalumnae,411.9,13055,False
Latimeria chalumnae,411.9,13056,False
Latimeria chalumnae,411.9,13058,False
Latimeria chalumnae,411.9,13059,False
Latimeria chalumnae,411.9,13060,False
Latimeria chalumnae,411.9,13061,False
Latimeria chalumnae,411.9,13063,False
Latimeria chalumnae,411.9,13066,False
Latimeria chalumnae,411.9,13067,False
Latimeria chalumnae,411.9,13071,False
Latimeria chalumnae,411.9,13073,False
Latimeria chalumnae,411.9,13078,False
Latimeria chalumnae,411.9,13086,False
Latimeria chalumnae,411.9,13108,False
Latimeria chalumnae,411.9,13117,False
Latimeria chalumnae,411.9,13127,False
Latimeria chalumnae,411.9,13138,False
Latimeria chalumnae,411.9,13140,False
Latimeria chalumnae,411.9,13144,False
Latimeria chalumnae,411.9,13150,False
Latimeria chalumnae,411.9,13192,False
Latimeria chalumnae,411.9,13195,False
Latimeria chalumnae,411.9,13197,False
Latimeria chalumnae,411.9,13201,False
Latimeria chalumnae,411.9,13203,False
Latimeria chalumnae,411.9,13214,False
Latimeria chalumnae,411.9,8451,False
Latimeria chalumnae,411.9,8452,False
Latimeria chalumnae,411.9,8453,False
Latimeria chalumnae,411.9,8454,False
Latimeria chalumnae,411.9,8455,False
Latimeria chalumnae,411.9,8456,False
Latimeria chalumnae,411.9,8457,False
Latimeria chalumnae,411.9,8458,False
Latimeria chalumnae,411.9,8459,False
Latimeria chalumnae,411.9,8460,False
Latimeria chalumnae,411.9,8461,False
Latimeria chalumnae,411.9,8462,False
Latimeria chalumnae,411.9,8463,False
Latimeria chalumnae,411.9,8464,False
Latimeria chalumnae,411.9,8466,False
Latimeria chalumnae,411.9,8469,False
Latimeria chalumnae,411.9,8470,False
Latimeria chalumnae,411.9,8471,False
Latimeria chalumnae,411.9,8472,False
Latimeria chalumnae,411.9,8473,False
Latimeria chalumnae,411.9,8474,False
Latimeria chalumnae,411.9,8475,False
Latimeria chalumnae,411.9,8476,False
Latimeria chalumnae,411.9,8477,False
Latimeria chalumnae,411.9,8478,False
Latimeria chalumnae,411.9,8479,False
Latimeria chalumnae,411.9,8480,False
Latimeria chalumnae,411.9,8481,False
Latimeria chalumnae,411.9,8482,False
Latimeria chalumnae,411.9,8483,False
Latimeria chalumnae,411.9,8484,False
Latimeria chalumnae,411.9,8485,False
Latimeria chalumnae,411.9,8486,False
Latimeria chalumnae,411.9,8487,False
Latimeria chalumnae,411.9,8488,False
Latimeria chalumnae,411.9,8489,False
Latimeria chalumnae,411.9,8490,False
Latimeria chalumnae,411.9,8491,False
Latimeria chalumnae,411.9,8492,False
Latimeria chalumnae,411.9,8493,False
Latimeria chalumnae,411.9,8494,False
Latimeria chalumnae,411.9,8495,False
Latimeria chalumnae,411.9,8496,False
Latimeria chalumnae,411.9,8497,False
Latimeria chalumnae,411.9,8498,False
Latimeria chalumnae,411.9,8499,False
Latimeria chalumnae,411.9,8500,False
Latimeria chalumnae,411.9,8501,False
Latimeria chalumnae,411.9,8502,False
Latimeria chalumnae,411.9,8503,False
Latimeria chalumnae,411.9,8504,False
Latimeria chalumnae,411.9,8505,False
Latimeria chalumnae,411.9,8506,False
Latimeria chalumnae,411.9,8507,False
Latimeria chalumnae,411.9,8508,False
Latimeria chalumnae,411.9,8509,False
Latimeria chalumnae,411.9,8510,False
Latimeria chalumnae,411.9,8511,False
Latimeria chalumnae,411.9,8512,False
Latimeria chalumnae,411.9,8513,False
Latimeria chalumnae,411.9,8514,False
Latimeria chalumnae,411.9,8515,False
Latimeria chalumnae,411.9,8516,False
Latimeria chalumnae,411.9,8517,False
Latimeria chalumnae,411.9,8518,False
Latimeria chalumnae,411.9,8519,False
Latimeria chalumnae,411.9,8520,False
Latimeria chalumnae,411.9,8521,False
Latimeria chalumnae,411.9,8522,False
Latimeria chalumnae,411.9,8523,False
Latimeria chalumnae,411.9,8524,False
Latimeria chalumnae,411.9,8525,False
Latimeria chalumnae,411.9,8526,False
Latimeria chalumnae,411.9,8527,False
Latimeria chalumnae,411.9,8528,False
Latimeria chalumnae,411.9,8529,False
Latimeria chalumnae,411.9,8530,False
Latimeria chalumnae,411.9,8531,False
Latimeria chalumnae,411.9,8532,False
Latimeria chalumnae,411.9,8533,False
Latimeria chalumnae,411.9,8534,False
Latimeria chalumnae,411.9,8535,False
Latimeria chalumnae,411.9,8536,False
Latimeria chalumnae,411.9,8537,False
Latimeria chalumnae,411.9,8538,False
Latimeria chalumnae,411.9,8539,False
Latimeria chalumnae,411.9,8540,False
Latimeria chalumnae,411.9,8541,False
Latimeria chalumnae,411.9,8542,False
Latimeria chalumnae,411.9,8543,False
Latimeria chalumnae,411.9,8544,False
Latimeria chalumnae,411.9,8545,False
Latimeria chalumnae,411.9,8546,False
Latimeria chalumnae,411.9,8547,False
Latimeria chalumnae,411.9,8548,False
Latimeria chalumnae,411.9,8549,False
Latimeria chalumnae,411.9,8550,False
Latimeria chalumnae,411.9,8551,False
Latimeria chalumnae,411.9,8552,False
Latimeria chalumnae,411.9,8555,False
Latimeria chalumnae,411.9,8556,False
Latimeria chalumnae,411.9,8557,False
Latimeria chalumnae,411.9,8558,False
Latimeria chalumnae,411.9,8559,False
Latimeria chalumnae,411.9,8560,False
Latimeria chalumnae,411.9,8561,False
Latimeria chalumnae,411.9,8562,False
Latimeria chalumnae,411.9,8563,False
Latimeria chalumnae,411.9,8564,False
Latimeria chalumnae,411.9,8565,False
Latimeria chalumnae,411.9,8566,False
Latimeria chalumnae,411.9,8567,False
Latimeria chalumnae,411.9,8568,False
Latimeria chalumnae,411.9,8569,False
Latimeria chalumnae,411.9,8570,False
Latimeria chalumnae,411.9,8571,False
Latimeria chalumnae,411.9,8572,False
Latimeria chalumnae,411.9,8573,False
Latimeria chalumnae,411.9,8574,False
Latimeria chalumnae,411.9,8575,False
Latimeria chalumnae,411.9,8576,False
Latimeria chalumnae,411.9,8577,False
Latimeria chalumnae,411.9,8578,False
Latimeria chalumnae,411.9,8579,False
Latimeria chalumnae,411.9,8580,False
Latimeria chalumnae,411.9,8581,False
Latimeria chalumnae,411.9,8582,False
Latimeria chalumnae,411.9,8583,False
Latimeria chalumnae,411.9,8584,False
Latimeria chalumnae,411.9,8585,False
Latimeria chalumnae,411.9,8588,False
Latimeria chalumnae,411.9,8589,False
Latimeria chalumnae,411.9,8590,False
Latimeria chalumnae,411.9,8591,False
Latimeria chalumnae,411.9,8592,False
Latimeria chalumnae,411.9,8593,False
Latimeria chalumnae,411.9,8594,False
Latimeria chalumnae,411.9,8595,False
Latimeria chalumnae,411.9,8596,False
Latimeria chalumnae,411.9,8597,False
Latimeria chalumnae,411.9,8598,False
Latimeria chalumnae,411.9,8599,False
Latimeria chalumnae,411.9,8600,False
Latimeria chalumnae,411.9,8601,False
Latimeria chalumnae,411.9,8602,False
Latimeria chalumnae,411.9,8603,False
Latimeria chalumnae,411.9,8604,False
Latimeria chalumnae,411.9,8605,False
Latimeria chalumnae,411.9,8606,False
Latimeria chalumnae,411.9,8607,False
Latimeria chalumnae,411.9,8608,False
Latimeria chalumnae,411.9,8609,False
Latimeria chalumnae,411.9,8610,False
Latimeria chalumnae,411.9,8611,False
Latimeria chalumnae,411.9,8612,False
Latimeria chalumnae,411.9,8613,False
Latimeria chalumnae,411.9,8614,False
Latimeria chalumnae,411.9,8615,False
