Species,timeFromHuman_MY,cluster,present
Latimeria chalumnae,411.9,322,False
Latimeria chalumnae,411.9,15137,False
Latimeria chalumnae,411.9,15138,False
Latimeria chalumnae,411.9,15146,False
Latimeria chalumnae,411.9,15151,False
Latimeria chalumnae,411.9,15154,False
Latimeria chalumnae,411.9,15156,False
Latimeria chalumnae,411.9,15287,False
Latimeria chalumnae,411.9,15290,False
Latimeria chalumnae,411.9,15295,False
Latimeria chalumnae,411.9,9546,False
Latimeria chalumnae,411.9,9669,False
Latimeria chalumnae,411.9,15091,False
Latimeria chalumnae,411.9,15098,False
Latimeria chalumnae,411.9,15099,False
Latimeria chalumnae,411.9,15100,False
Latimeria chalumnae,411.9,15101,False
Latimeria chalumnae,411.9,9377,False
Latimeria chalumnae,411.9,9378,False
Latimeria chalumnae,411.9,9379,False
Latimeria chalumnae,411.9,9380,False
Latimeria chalumnae,411.9,9381,False
Latimeria chalumnae,411.9,9382,False
Latimeria chalumnae,411.9,9383,False
Latimeria chalumnae,411.9,9384,False
Latimeria chalumnae,411.9,9385,False
Latimeria chalumnae,411.9,9386,False
Latimeria chalumnae,411.9,9387,False
Latimeria chalumnae,411.9,9388,False
Latimeria chalumnae,411.9,9389,False
Latimeria chalumnae,411.9,9390,False
Latimeria chalumnae,411.9,9391,False
Latimeria chalumnae,411.9,9392,False
Latimeria chalumnae,411.9,9393,False
Latimeria chalumnae,411.9,9394,False
Latimeria chalumnae,411.9,9395,False
Latimeria chalumnae,411.9,9396,False
Latimeria chalumnae,411.9,9397,False
Latimeria chalumnae,411.9,9398,False
Latimeria chalumnae,411.9,9399,False
Latimeria chalumnae,411.9,9400,False
Latimeria chalumnae,411.9,9401,False
Latimeria chalumnae,411.9,9402,False
Latimeria chalumnae,411.9,9403,False
Latimeria chalumnae,411.9,9404,False
Latimeria chalumnae,411.9,9405,False
Latimeria chalumnae,411.9,9406,False
Latimeria chalumnae,411.9,9407,False
Latimeria chalumnae,411.9,9408,False
Latimeria chalumnae,411.9,9409,False
Latimeria chalumnae,411.9,9410,False
Latimeria chalumnae,411.9,9411,False
Latimeria chalumnae,411.9,9412,False
Latimeria chalumnae,411.9,9413,False
Latimeria chalumnae,411.9,9414,False
Latimeria chalumnae,411.9,9415,False
Latimeria chalumnae,411.9,9416,False
Latimeria chalumnae,411.9,9417,False
Latimeria chalumnae,411.9,9418,False
Latimeria chalumnae,411.9,9419,False
Latimeria chalumnae,411.9,9420,False
Latimeria chalumnae,411.9,9421,False
Latimeria chalumnae,411.9,9422,False
Latimeria chalumnae,411.9,9423,False
Latimeria chalumnae,411.9,9424,False
Latimeria chalumnae,411.9,9425,False
Latimeria chalumnae,411.9,9426,False
Latimeria chalumnae,411.9,9427,False
Latimeria chalumnae,411.9,9428,False
Latimeria chalumnae,411.9,9429,False
