Species,timeFromHuman_MY,cluster,present
Latimeria chalumnae,411.9,4221,False
Latimeria chalumnae,411.9,8903,False
Latimeria chalumnae,411.9,3638,False
Latimeria chalumnae,411.9,5129,False
Latimeria chalumnae,411.9,926,False
Latimeria chalumnae,411.9,13913,False
Latimeria chalumnae,411.9,3627,False
Latimeria chalumnae,411.9,5558,False
Latimeria chalumnae,411.9,924,False
Latimeria chalumnae,411.9,5632,False
Latimeria chalumnae,411.9,9977,False
Latimeria chalumnae,411.9,922,False
Latimeria chalumnae,411.9,12124,False
Nanorana parkeri,355.7,4221,False
Nanorana parkeri,355.7,8903,False
Nanorana parkeri,355.7,3638,False
Nanorana parkeri,355.7,5129,False
Nanorana parkeri,355.7,926,False
Nanorana parkeri,355.7,13913,False
Nanorana parkeri,355.7,3627,False
Nanorana parkeri,355.7,5558,False
Nanorana parkeri,355.7,924,False
Nanorana parkeri,355.7,5632,False
Nanorana parkeri,355.7,9977,False
Nanorana parkeri,355.7,922,False
Nanorana parkeri,355.7,12124,False
Xenopus laevi,355.7,4221,False
Xenopus laevi,355.7,8903,False
Xenopus laevi,355.7,3638,False
Xenopus laevi,355.7,5129,False
Xenopus laevi,355.7,926,False
Xenopus laevi,355.7,13913,False
Xenopus laevi,355.7,3627,False
Xenopus laevi,355.7,5558,False
Xenopus laevi,355.7,924,False
Xenopus laevi,355.7,5632,False
Xenopus laevi,355.7,9977,False
Xenopus laevi,355.7,922,False
Xenopus laevi,355.7,12124,False
Xenopus tropicalis,355.7,4221,False
Xenopus tropicalis,355.7,8903,False
Xenopus tropicalis,355.7,3638,False
Xenopus tropicalis,355.7,5129,False
Xenopus tropicalis,355.7,926,False
Xenopus tropicalis,355.7,13913,False
Xenopus tropicalis,355.7,3627,False
Xenopus tropicalis,355.7,5558,False
Xenopus tropicalis,355.7,924,False
Xenopus tropicalis,355.7,5632,False
Xenopus tropicalis,355.7,9977,False
Xenopus tropicalis,355.7,922,False
Xenopus tropicalis,355.7,12124,False
Acanthisitta chloris,320.5,4221,False
Acanthisitta chloris,320.5,8903,False
Acanthisitta chloris,320.5,3638,True
Acanthisitta chloris,320.5,5129,False
Acanthisitta chloris,320.5,926,False
Acanthisitta chloris,320.5,13913,False
Acanthisitta chloris,320.5,3627,False
Acanthisitta chloris,320.5,5558,False
Acanthisitta chloris,320.5,924,False
Acanthisitta chloris,320.5,5632,False
Acanthisitta chloris,320.5,9977,False
Acanthisitta chloris,320.5,922,False
Acanthisitta chloris,320.5,12124,False
Alligator mississippiensis,320.5,4221,True
Alligator mississippiensis,320.5,8903,True
Alligator mississippiensis,320.5,3638,True
Alligator mississippiensis,320.5,5129,True
Alligator mississippiensis,320.5,926,True
Alligator mississippiensis,320.5,13913,True
Alligator mississippiensis,320.5,3627,True
Alligator mississippiensis,320.5,5558,True
Alligator mississippiensis,320.5,924,True
Alligator mississippiensis,320.5,5632,True
Alligator mississippiensis,320.5,9977,False
Alligator mississippiensis,320.5,922,False
Alligator mississippiensis,320.5,12124,False
Alligator sinensis,320.5,4221,True
Alligator sinensis,320.5,8903,True
Alligator sinensis,320.5,3638,True
Alligator sinensis,320.5,5129,True
Alligator sinensis,320.5,926,True
Alligator sinensis,320.5,13913,True
Alligator sinensis,320.5,3627,True
Alligator sinensis,320.5,5558,True
Alligator sinensis,320.5,924,True
Alligator sinensis,320.5,5632,True
Alligator sinensis,320.5,9977,False
Alligator sinensis,320.5,922,False
Alligator sinensis,320.5,12124,False
Amazona vittata,320.5,4221,True
Amazona vittata,320.5,8903,True
Amazona vittata,320.5,3638,True
Amazona vittata,320.5,5129,False
Amazona vittata,320.5,926,True
Amazona vittata,320.5,13913,False
Amazona vittata,320.5,3627,False
Amazona vittata,320.5,5558,False
Amazona vittata,320.5,924,False
Amazona vittata,320.5,5632,False
Amazona vittata,320.5,9977,False
Amazona vittata,320.5,922,False
Amazona vittata,320.5,12124,False
Anas platyrhynchos,320.5,4221,True
Anas platyrhynchos,320.5,8903,False
Anas platyrhynchos,320.5,3638,True
Anas platyrhynchos,320.5,5129,True
Anas platyrhynchos,320.5,926,True
Anas platyrhynchos,320.5,13913,False
Anas platyrhynchos,320.5,3627,False
Anas platyrhynchos,320.5,5558,False
Anas platyrhynchos,320.5,924,False
Anas platyrhynchos,320.5,5632,False
Anas platyrhynchos,320.5,9977,False
Anas platyrhynchos,320.5,922,False
Anas platyrhynchos,320.5,12124,False
Anolis carolinensis,320.5,4221,True
Anolis carolinensis,320.5,8903,True
Anolis carolinensis,320.5,3638,True
Anolis carolinensis,320.5,5129,False
Anolis carolinensis,320.5,926,True
Anolis carolinensis,320.5,13913,False
Anolis carolinensis,320.5,3627,True
Anolis carolinensis,320.5,5558,False
Anolis carolinensis,320.5,924,False
Anolis carolinensis,320.5,5632,False
Anolis carolinensis,320.5,9977,False
Anolis carolinensis,320.5,922,False
Anolis carolinensis,320.5,12124,False
Anser cygnoides domesticus,320.5,4221,False
Anser cygnoides domesticus,320.5,8903,False
Anser cygnoides domesticus,320.5,3638,False
Anser cygnoides domesticus,320.5,5129,True
Anser cygnoides domesticus,320.5,926,True
Anser cygnoides domesticus,320.5,13913,False
Anser cygnoides domesticus,320.5,3627,False
Anser cygnoides domesticus,320.5,5558,False
Anser cygnoides domesticus,320.5,924,False
Anser cygnoides domesticus,320.5,5632,False
Anser cygnoides domesticus,320.5,9977,False
Anser cygnoides domesticus,320.5,922,True
Anser cygnoides domesticus,320.5,12124,False
Antrostomus carolinensis,320.5,4221,True
Antrostomus carolinensis,320.5,8903,True
Antrostomus carolinensis,320.5,3638,False
Antrostomus carolinensis,320.5,5129,True
Antrostomus carolinensis,320.5,926,False
Antrostomus carolinensis,320.5,13913,False
Antrostomus carolinensis,320.5,3627,False
Antrostomus carolinensis,320.5,5558,False
Antrostomus carolinensis,320.5,924,False
Antrostomus carolinensis,320.5,5632,False
Antrostomus carolinensis,320.5,9977,False
Antrostomus carolinensis,320.5,922,False
Antrostomus carolinensis,320.5,12124,False
Apalone spinifera,320.5,4221,False
Apalone spinifera,320.5,8903,False
Apalone spinifera,320.5,3638,True
Apalone spinifera,320.5,5129,False
Apalone spinifera,320.5,926,False
Apalone spinifera,320.5,13913,False
Apalone spinifera,320.5,3627,False
Apalone spinifera,320.5,5558,False
Apalone spinifera,320.5,924,False
Apalone spinifera,320.5,5632,False
Apalone spinifera,320.5,9977,False
Apalone spinifera,320.5,922,False
Apalone spinifera,320.5,12124,False
Aptenodytes forsteri,320.5,4221,True
Aptenodytes forsteri,320.5,8903,False
Aptenodytes forsteri,320.5,3638,True
Aptenodytes forsteri,320.5,5129,True
Aptenodytes forsteri,320.5,926,True
Aptenodytes forsteri,320.5,13913,True
Aptenodytes forsteri,320.5,3627,False
Aptenodytes forsteri,320.5,5558,True
Aptenodytes forsteri,320.5,924,True
Aptenodytes forsteri,320.5,5632,True
Aptenodytes forsteri,320.5,9977,True
Aptenodytes forsteri,320.5,922,True
Aptenodytes forsteri,320.5,12124,False
Apteryx australis mantelli,320.5,4221,True
Apteryx australis mantelli,320.5,8903,True
Apteryx australis mantelli,320.5,3638,True
Apteryx australis mantelli,320.5,5129,False
Apteryx australis mantelli,320.5,926,True
Apteryx australis mantelli,320.5,13913,False
Apteryx australis mantelli,320.5,3627,True
Apteryx australis mantelli,320.5,5558,False
Apteryx australis mantelli,320.5,924,True
Apteryx australis mantelli,320.5,5632,True
Apteryx australis mantelli,320.5,9977,True
Apteryx australis mantelli,320.5,922,False
Apteryx australis mantelli,320.5,12124,False
Aquila chrysaetos,320.5,4221,True
Aquila chrysaetos,320.5,8903,False
Aquila chrysaetos,320.5,3638,True
Aquila chrysaetos,320.5,5129,True
Aquila chrysaetos,320.5,926,True
Aquila chrysaetos,320.5,13913,False
Aquila chrysaetos,320.5,3627,True
Aquila chrysaetos,320.5,5558,True
Aquila chrysaetos,320.5,924,True
Aquila chrysaetos,320.5,5632,True
Aquila chrysaetos,320.5,9977,False
Aquila chrysaetos,320.5,922,True
Aquila chrysaetos,320.5,12124,False
Ara macao,320.5,4221,True
Ara macao,320.5,8903,False
Ara macao,320.5,3638,True
Ara macao,320.5,5129,False
Ara macao,320.5,926,True
Ara macao,320.5,13913,False
Ara macao,320.5,3627,False
Ara macao,320.5,5558,False
Ara macao,320.5,924,False
Ara macao,320.5,5632,False
Ara macao,320.5,9977,False
Ara macao,320.5,922,False
Ara macao,320.5,12124,False
Balearica regulorum gibbericeps,320.5,4221,False
Balearica regulorum gibbericeps,320.5,8903,False
Balearica regulorum gibbericeps,320.5,3638,True
Balearica regulorum gibbericeps,320.5,5129,False
Balearica regulorum gibbericeps,320.5,926,True
Balearica regulorum gibbericeps,320.5,13913,False
Balearica regulorum gibbericeps,320.5,3627,False
Balearica regulorum gibbericeps,320.5,5558,False
Balearica regulorum gibbericeps,320.5,924,False
Balearica regulorum gibbericeps,320.5,5632,False
Balearica regulorum gibbericeps,320.5,9977,True
Balearica regulorum gibbericeps,320.5,922,False
Balearica regulorum gibbericeps,320.5,12124,False
Calypte anna,320.5,4221,True
Calypte anna,320.5,8903,False
Calypte anna,320.5,3638,True
Calypte anna,320.5,5129,True
Calypte anna,320.5,926,False
Calypte anna,320.5,13913,False
Calypte anna,320.5,3627,False
Calypte anna,320.5,5558,False
Calypte anna,320.5,924,False
Calypte anna,320.5,5632,False
Calypte anna,320.5,9977,False
Calypte anna,320.5,922,False
Calypte anna,320.5,12124,False
Caprimulgus carolinensis,320.5,4221,True
Caprimulgus carolinensis,320.5,8903,True
Caprimulgus carolinensis,320.5,3638,True
Caprimulgus carolinensis,320.5,5129,True
Caprimulgus carolinensis,320.5,926,False
Caprimulgus carolinensis,320.5,13913,False
Caprimulgus carolinensis,320.5,3627,False
Caprimulgus carolinensis,320.5,5558,True
Caprimulgus carolinensis,320.5,924,False
Caprimulgus carolinensis,320.5,5632,False
Caprimulgus carolinensis,320.5,9977,False
Caprimulgus carolinensis,320.5,922,False
Caprimulgus carolinensis,320.5,12124,False
Cariama cristata,320.5,4221,False
Cariama cristata,320.5,8903,False
Cariama cristata,320.5,3638,True
Cariama cristata,320.5,5129,True
Cariama cristata,320.5,926,False
Cariama cristata,320.5,13913,False
Cariama cristata,320.5,3627,False
Cariama cristata,320.5,5558,False
Cariama cristata,320.5,924,True
Cariama cristata,320.5,5632,False
Cariama cristata,320.5,9977,False
Cariama cristata,320.5,922,False
Cariama cristata,320.5,12124,False
Cathartes aura,320.5,4221,True
Cathartes aura,320.5,8903,False
Cathartes aura,320.5,3638,True
Cathartes aura,320.5,5129,False
Cathartes aura,320.5,926,False
Cathartes aura,320.5,13913,False
Cathartes aura,320.5,3627,False
Cathartes aura,320.5,5558,False
Cathartes aura,320.5,924,False
Cathartes aura,320.5,5632,False
Cathartes aura,320.5,9977,False
Cathartes aura,320.5,922,False
Cathartes aura,320.5,12124,False
Chaetura pelagica,320.5,4221,True
Chaetura pelagica,320.5,8903,False
Chaetura pelagica,320.5,3638,True
Chaetura pelagica,320.5,5129,True
Chaetura pelagica,320.5,926,False
Chaetura pelagica,320.5,13913,False
Chaetura pelagica,320.5,3627,False
Chaetura pelagica,320.5,5558,True
Chaetura pelagica,320.5,924,False
Chaetura pelagica,320.5,5632,False
Chaetura pelagica,320.5,9977,False
Chaetura pelagica,320.5,922,False
Chaetura pelagica,320.5,12124,False
Charadrius vociferus,320.5,4221,False
Charadrius vociferus,320.5,8903,False
Charadrius vociferus,320.5,3638,True
Charadrius vociferus,320.5,5129,False
Charadrius vociferus,320.5,926,False
Charadrius vociferus,320.5,13913,False
Charadrius vociferus,320.5,3627,False
Charadrius vociferus,320.5,5558,False
Charadrius vociferus,320.5,924,False
Charadrius vociferus,320.5,5632,False
Charadrius vociferus,320.5,9977,True
Charadrius vociferus,320.5,922,False
Charadrius vociferus,320.5,12124,False
Chelonia mydas,320.5,4221,True
Chelonia mydas,320.5,8903,True
Chelonia mydas,320.5,3638,True
Chelonia mydas,320.5,5129,True
Chelonia mydas,320.5,926,False
Chelonia mydas,320.5,13913,True
Chelonia mydas,320.5,3627,True
Chelonia mydas,320.5,5558,True
Chelonia mydas,320.5,924,True
Chelonia mydas,320.5,5632,True
Chelonia mydas,320.5,9977,False
Chelonia mydas,320.5,922,False
Chelonia mydas,320.5,12124,False
Chlamydotis macqueenii,320.5,4221,True
Chlamydotis macqueenii,320.5,8903,False
Chlamydotis macqueenii,320.5,3638,False
Chlamydotis macqueenii,320.5,5129,False
Chlamydotis macqueenii,320.5,926,False
Chlamydotis macqueenii,320.5,13913,False
Chlamydotis macqueenii,320.5,3627,False
Chlamydotis macqueenii,320.5,5558,False
Chlamydotis macqueenii,320.5,924,False
Chlamydotis macqueenii,320.5,5632,False
Chlamydotis macqueenii,320.5,9977,False
Chlamydotis macqueenii,320.5,922,False
Chlamydotis macqueenii,320.5,12124,False
Chrysemys picta bellii,320.5,4221,True
Chrysemys picta bellii,320.5,8903,True
Chrysemys picta bellii,320.5,3638,False
Chrysemys picta bellii,320.5,5129,True
Chrysemys picta bellii,320.5,926,False
Chrysemys picta bellii,320.5,13913,True
Chrysemys picta bellii,320.5,3627,True
Chrysemys picta bellii,320.5,5558,True
Chrysemys picta bellii,320.5,924,True
Chrysemys picta bellii,320.5,5632,True
Chrysemys picta bellii,320.5,9977,False
Chrysemys picta bellii,320.5,922,False
Chrysemys picta bellii,320.5,12124,False
Colinus virginianus,320.5,4221,True
Colinus virginianus,320.5,8903,True
Colinus virginianus,320.5,3638,True
Colinus virginianus,320.5,5129,True
Colinus virginianus,320.5,926,False
Colinus virginianus,320.5,13913,False
Colinus virginianus,320.5,3627,False
Colinus virginianus,320.5,5558,True
Colinus virginianus,320.5,924,False
Colinus virginianus,320.5,5632,False
Colinus virginianus,320.5,9977,False
Colinus virginianus,320.5,922,False
Colinus virginianus,320.5,12124,False
Colius striatus,320.5,4221,False
Colius striatus,320.5,8903,False
Colius striatus,320.5,3638,False
Colius striatus,320.5,5129,True
Colius striatus,320.5,926,False
Colius striatus,320.5,13913,False
Colius striatus,320.5,3627,False
Colius striatus,320.5,5558,False
Colius striatus,320.5,924,False
Colius striatus,320.5,5632,False
Colius striatus,320.5,9977,False
Colius striatus,320.5,922,False
Colius striatus,320.5,12124,False
Columba livia,320.5,4221,True
Columba livia,320.5,8903,False
Columba livia,320.5,3638,True
Columba livia,320.5,5129,False
Columba livia,320.5,926,True
Columba livia,320.5,13913,True
Columba livia,320.5,3627,False
Columba livia,320.5,5558,False
Columba livia,320.5,924,False
Columba livia,320.5,5632,False
Columba livia,320.5,9977,False
Columba livia,320.5,922,False
Columba livia,320.5,12124,False
Corvus brachyrhynchos,320.5,4221,True
Corvus brachyrhynchos,320.5,8903,False
Corvus brachyrhynchos,320.5,3638,True
Corvus brachyrhynchos,320.5,5129,True
Corvus brachyrhynchos,320.5,926,False
