Species,timeFromHuman_MY,cluster,present
Latimeria chalumnae,411.9,4221,False
Latimeria chalumnae,411.9,8903,False
Latimeria chalumnae,411.9,1046,False
Latimeria chalumnae,411.9,11467,False
Latimeria chalumnae,411.9,1454,False
Latimeria chalumnae,411.9,14844,False
Latimeria chalumnae,411.9,4796,False
Latimeria chalumnae,411.9,2342,False
Latimeria chalumnae,411.9,2706,False
Latimeria chalumnae,411.9,11627,False
Latimeria chalumnae,411.9,13149,False
Latimeria chalumnae,411.9,1045,False
Latimeria chalumnae,411.9,1231,False
Latimeria chalumnae,411.9,1960,False
Latimeria chalumnae,411.9,5476,False
Latimeria chalumnae,411.9,9981,False
Latimeria chalumnae,411.9,14847,False
Latimeria chalumnae,411.9,14929,False
Latimeria chalumnae,411.9,2093,False
Latimeria chalumnae,411.9,5264,False
Latimeria chalumnae,411.9,6052,False
Latimeria chalumnae,411.9,13075,False
Latimeria chalumnae,411.9,14861,False
Latimeria chalumnae,411.9,1034,False
Latimeria chalumnae,411.9,1270,False
Latimeria chalumnae,411.9,3321,False
Latimeria chalumnae,411.9,5215,False
Latimeria chalumnae,411.9,10007,False
Latimeria chalumnae,411.9,10013,False
Latimeria chalumnae,411.9,11439,False
Latimeria chalumnae,411.9,12502,False
Latimeria chalumnae,411.9,13094,False
Latimeria chalumnae,411.9,1156,False
Latimeria chalumnae,411.9,3268,False
Latimeria chalumnae,411.9,6024,False
Latimeria chalumnae,411.9,13307,False
Latimeria chalumnae,411.9,1026,False
Latimeria chalumnae,411.9,5798,False
Latimeria chalumnae,411.9,6931,False
Latimeria chalumnae,411.9,6963,False
Latimeria chalumnae,411.9,7404,False
Latimeria chalumnae,411.9,7569,False
Latimeria chalumnae,411.9,13937,False
Latimeria chalumnae,411.9,14667,False
Latimeria chalumnae,411.9,1401,False
Latimeria chalumnae,411.9,2021,False
Latimeria chalumnae,411.9,5263,False
Latimeria chalumnae,411.9,5406,False
Latimeria chalumnae,411.9,8774,False
Latimeria chalumnae,411.9,236,False
Latimeria chalumnae,411.9,967,False
Latimeria chalumnae,411.9,3511,False
Latimeria chalumnae,411.9,12788,False
Latimeria chalumnae,411.9,14920,False
Latimeria chalumnae,411.9,14935,False
Latimeria chalumnae,411.9,1271,False
Latimeria chalumnae,411.9,4358,False
Latimeria chalumnae,411.9,5070,False
Latimeria chalumnae,411.9,7045,False
Latimeria chalumnae,411.9,11907,False
Latimeria chalumnae,411.9,13297,False
Latimeria chalumnae,411.9,13967,False
Latimeria chalumnae,411.9,14891,False
Latimeria chalumnae,411.9,14926,False
Latimeria chalumnae,411.9,6294,False
Latimeria chalumnae,411.9,6701,False
Latimeria chalumnae,411.9,10131,False
Latimeria chalumnae,411.9,2137,False
Latimeria chalumnae,411.9,3239,False
Latimeria chalumnae,411.9,4455,False
Latimeria chalumnae,411.9,11202,False
Latimeria chalumnae,411.9,6926,False
Latimeria chalumnae,411.9,6969,False
Latimeria chalumnae,411.9,11639,False
Latimeria chalumnae,411.9,11661,False
Latimeria chalumnae,411.9,1216,False
Latimeria chalumnae,411.9,1458,False
Latimeria chalumnae,411.9,3238,False
Latimeria chalumnae,411.9,5762,False
Latimeria chalumnae,411.9,1004,False
Latimeria chalumnae,411.9,1036,False
Latimeria chalumnae,411.9,2492,False
Latimeria chalumnae,411.9,12528,False
Latimeria chalumnae,411.9,1572,False
Latimeria chalumnae,411.9,3288,False
Latimeria chalumnae,411.9,6017,False
Latimeria chalumnae,411.9,13337,False
Latimeria chalumnae,411.9,11201,False
Latimeria chalumnae,411.9,14896,False
Latimeria chalumnae,411.9,954,False
Latimeria chalumnae,411.9,12672,False
Latimeria chalumnae,411.9,754,False
Latimeria chalumnae,411.9,6978,False
Latimeria chalumnae,411.9,11616,False
Latimeria chalumnae,411.9,3803,False
Latimeria chalumnae,411.9,11446,False
Latimeria chalumnae,411.9,13786,False
Latimeria chalumnae,411.9,7051,False
Latimeria chalumnae,411.9,3529,False
Latimeria chalumnae,411.9,4609,False
Latimeria chalumnae,411.9,6677,False
Latimeria chalumnae,411.9,6649,False
Latimeria chalumnae,411.9,10890,False
Latimeria chalumnae,411.9,8380,False
Latimeria chalumnae,411.9,215,False
Latimeria chalumnae,411.9,2090,False
Latimeria chalumnae,411.9,13933,False
Latimeria chalumnae,411.9,5894,False
Latimeria chalumnae,411.9,6630,False
Latimeria chalumnae,411.9,6036,False
Latimeria chalumnae,411.9,13030,False
Latimeria chalumnae,411.9,13260,False
Latimeria chalumnae,411.9,3256,False
Latimeria chalumnae,411.9,11970,False
Latimeria chalumnae,411.9,4661,False
Latimeria chalumnae,411.9,5075,False
Latimeria chalumnae,411.9,13250,False
Latimeria chalumnae,411.9,6147,False
Latimeria chalumnae,411.9,11642,False
Latimeria chalumnae,411.9,6170,False
Latimeria chalumnae,411.9,3590,False
Latimeria chalumnae,411.9,11060,False
Latimeria chalumnae,411.9,11063,False
Latimeria chalumnae,411.9,11081,False
Latimeria chalumnae,411.9,11086,False
Latimeria chalumnae,411.9,11088,False
Latimeria chalumnae,411.9,11100,False
Latimeria chalumnae,411.9,11103,False
Latimeria chalumnae,411.9,11117,False
Latimeria chalumnae,411.9,11134,False
Latimeria chalumnae,411.9,11148,False
Latimeria chalumnae,411.9,14493,False
Latimeria chalumnae,411.9,10031,False
Latimeria chalumnae,411.9,10032,False
Latimeria chalumnae,411.9,10033,False
Latimeria chalumnae,411.9,10034,False
Latimeria chalumnae,411.9,10035,False
Latimeria chalumnae,411.9,10036,False
Latimeria chalumnae,411.9,10037,False
Latimeria chalumnae,411.9,10038,False
Latimeria chalumnae,411.9,10039,False
Latimeria chalumnae,411.9,10040,False
Latimeria chalumnae,411.9,10041,False
Latimeria chalumnae,411.9,10042,False
Latimeria chalumnae,411.9,10043,False
Latimeria chalumnae,411.9,10044,False
Latimeria chalumnae,411.9,10045,False
Latimeria chalumnae,411.9,10046,False
Latimeria chalumnae,411.9,10047,False
Latimeria chalumnae,411.9,10048,False
Latimeria chalumnae,411.9,10049,False
Latimeria chalumnae,411.9,10050,False
Latimeria chalumnae,411.9,10051,False
Latimeria chalumnae,411.9,10052,False
Latimeria chalumnae,411.9,10053,False
Latimeria chalumnae,411.9,10054,False
Latimeria chalumnae,411.9,10055,False
Latimeria chalumnae,411.9,10056,False
Latimeria chalumnae,411.9,10057,False
Latimeria chalumnae,411.9,10058,False
Latimeria chalumnae,411.9,10059,False
Latimeria chalumnae,411.9,10060,False
Latimeria chalumnae,411.9,10061,False
Latimeria chalumnae,411.9,10062,False
Latimeria chalumnae,411.9,10063,False
Latimeria chalumnae,411.9,10064,False
Latimeria chalumnae,411.9,10065,False
Latimeria chalumnae,411.9,10066,False
Latimeria chalumnae,411.9,10067,False
Latimeria chalumnae,411.9,10068,False
Latimeria chalumnae,411.9,10069,False
Latimeria chalumnae,411.9,10070,False
Latimeria chalumnae,411.9,10071,False
Latimeria chalumnae,411.9,10072,False
Latimeria chalumnae,411.9,10073,False
Latimeria chalumnae,411.9,10074,False
Latimeria chalumnae,411.9,10075,False
Latimeria chalumnae,411.9,10076,False
Latimeria chalumnae,411.9,10077,False
Latimeria chalumnae,411.9,10078,False
Latimeria chalumnae,411.9,10079,False
Latimeria chalumnae,411.9,10080,False
Latimeria chalumnae,411.9,10081,False
Latimeria chalumnae,411.9,10082,False
Latimeria chalumnae,411.9,10083,False
Latimeria chalumnae,411.9,10084,False
Latimeria chalumnae,411.9,10085,False
Latimeria chalumnae,411.9,10086,False
Latimeria chalumnae,411.9,10087,False
Latimeria chalumnae,411.9,10088,False
Latimeria chalumnae,411.9,10089,False
Latimeria chalumnae,411.9,10090,False
Latimeria chalumnae,411.9,10091,False
Latimeria chalumnae,411.9,10092,False
Latimeria chalumnae,411.9,10093,False
Latimeria chalumnae,411.9,10094,False
Latimeria chalumnae,411.9,10095,False
Nanorana parkeri,355.7,4221,False
Nanorana parkeri,355.7,8903,False
Nanorana parkeri,355.7,1046,False
Nanorana parkeri,355.7,11467,False
Nanorana parkeri,355.7,1454,False
Nanorana parkeri,355.7,14844,False
Nanorana parkeri,355.7,4796,False
Nanorana parkeri,355.7,2342,False
Nanorana parkeri,355.7,2706,False
Nanorana parkeri,355.7,11627,False
Nanorana parkeri,355.7,13149,False
Nanorana parkeri,355.7,1045,False
Nanorana parkeri,355.7,1231,False
Nanorana parkeri,355.7,1960,False
Nanorana parkeri,355.7,5476,False
Nanorana parkeri,355.7,9981,False
Nanorana parkeri,355.7,14847,False
Nanorana parkeri,355.7,14929,False
Nanorana parkeri,355.7,2093,False
Nanorana parkeri,355.7,5264,False
Nanorana parkeri,355.7,6052,False
Nanorana parkeri,355.7,13075,False
Nanorana parkeri,355.7,14861,False
Nanorana parkeri,355.7,1034,False
Nanorana parkeri,355.7,1270,False
Nanorana parkeri,355.7,3321,False
Nanorana parkeri,355.7,5215,False
Nanorana parkeri,355.7,10007,False
Nanorana parkeri,355.7,10013,False
Nanorana parkeri,355.7,11439,False
Nanorana parkeri,355.7,12502,False
Nanorana parkeri,355.7,13094,False
Nanorana parkeri,355.7,1156,False
Nanorana parkeri,355.7,3268,False
Nanorana parkeri,355.7,6024,False
Nanorana parkeri,355.7,13307,False
Nanorana parkeri,355.7,1026,False
Nanorana parkeri,355.7,5798,False
Nanorana parkeri,355.7,6931,False
Nanorana parkeri,355.7,6963,False
Nanorana parkeri,355.7,7404,False
Nanorana parkeri,355.7,7569,False
Nanorana parkeri,355.7,13937,False
Nanorana parkeri,355.7,14667,False
Nanorana parkeri,355.7,1401,False
Nanorana parkeri,355.7,2021,False
Nanorana parkeri,355.7,5263,False
Nanorana parkeri,355.7,5406,False
Nanorana parkeri,355.7,8774,False
Nanorana parkeri,355.7,236,False
Nanorana parkeri,355.7,967,False
Nanorana parkeri,355.7,3511,False
Nanorana parkeri,355.7,12788,False
Nanorana parkeri,355.7,14920,False
Nanorana parkeri,355.7,14935,False
Nanorana parkeri,355.7,1271,False
Nanorana parkeri,355.7,4358,False
Nanorana parkeri,355.7,5070,False
Nanorana parkeri,355.7,7045,False
Nanorana parkeri,355.7,11907,False
Nanorana parkeri,355.7,13297,False
Nanorana parkeri,355.7,13967,False
Nanorana parkeri,355.7,14891,False
Nanorana parkeri,355.7,14926,False
Nanorana parkeri,355.7,6294,False
Nanorana parkeri,355.7,6701,False
Nanorana parkeri,355.7,10131,False
Nanorana parkeri,355.7,2137,False
Nanorana parkeri,355.7,3239,False
Nanorana parkeri,355.7,4455,False
Nanorana parkeri,355.7,11202,False
Nanorana parkeri,355.7,6926,False
Nanorana parkeri,355.7,6969,False
Nanorana parkeri,355.7,11639,False
Nanorana parkeri,355.7,11661,False
Nanorana parkeri,355.7,1216,False
Nanorana parkeri,355.7,1458,False
Nanorana parkeri,355.7,3238,False
Nanorana parkeri,355.7,5762,False
Nanorana parkeri,355.7,1004,False
Nanorana parkeri,355.7,1036,False
Nanorana parkeri,355.7,2492,False
Nanorana parkeri,355.7,12528,False
Nanorana parkeri,355.7,1572,False
Nanorana parkeri,355.7,3288,False
Nanorana parkeri,355.7,6017,False
Nanorana parkeri,355.7,13337,False
Nanorana parkeri,355.7,11201,False
Nanorana parkeri,355.7,14896,False
Nanorana parkeri,355.7,954,False
Nanorana parkeri,355.7,12672,False
Nanorana parkeri,355.7,754,False
Nanorana parkeri,355.7,6978,False
Nanorana parkeri,355.7,11616,False
Nanorana parkeri,355.7,3803,False
Nanorana parkeri,355.7,11446,False
Nanorana parkeri,355.7,13786,False
Nanorana parkeri,355.7,7051,False
Nanorana parkeri,355.7,3529,False
Nanorana parkeri,355.7,4609,False
Nanorana parkeri,355.7,6677,False
Nanorana parkeri,355.7,6649,False
Nanorana parkeri,355.7,10890,False
Nanorana parkeri,355.7,8380,False
Nanorana parkeri,355.7,215,False
Nanorana parkeri,355.7,2090,False
Nanorana parkeri,355.7,13933,False
Nanorana parkeri,355.7,5894,False
Nanorana parkeri,355.7,6630,False
Nanorana parkeri,355.7,6036,False
Nanorana parkeri,355.7,13030,False
Nanorana parkeri,355.7,13260,False
Nanorana parkeri,355.7,3256,False
Nanorana parkeri,355.7,11970,False
Nanorana parkeri,355.7,4661,False
Nanorana parkeri,355.7,5075,False
Nanorana parkeri,355.7,13250,False
Nanorana parkeri,355.7,6147,False
Nanorana parkeri,355.7,11642,False
Nanorana parkeri,355.7,6170,False
Nanorana parkeri,355.7,3590,False
Nanorana parkeri,355.7,11060,False
Nanorana parkeri,355.7,11063,False
Nanorana parkeri,355.7,11081,False
Nanorana parkeri,355.7,11086,False
Nanorana parkeri,355.7,11088,False
Nanorana parkeri,355.7,11100,False
Nanorana parkeri,355.7,11103,False
Nanorana parkeri,355.7,11117,False
Nanorana parkeri,355.7,11134,False
Nanorana parkeri,355.7,11148,False
Nanorana parkeri,355.7,14493,False
Nanorana parkeri,355.7,10031,False
Nanorana parkeri,355.7,10032,False
Nanorana parkeri,355.7,10033,False
Nanorana parkeri,355.7,10034,False
Nanorana parkeri,355.7,10035,False
Nanorana parkeri,355.7,10036,False
Nanorana parkeri,355.7,10037,False
Nanorana parkeri,355.7,10038,False
Nanorana parkeri,355.7,10039,False
Nanorana parkeri,355.7,10040,False
Nanorana parkeri,355.7,10041,False
Nanorana parkeri,355.7,10042,False
Nanorana parkeri,355.7,10043,False
Nanorana parkeri,355.7,10044,False
Nanorana parkeri,355.7,10045,False
Nanorana parkeri,355.7,10046,False
Nanorana parkeri,355.7,10047,False
Nanorana parkeri,355.7,10048,False
Nanorana parkeri,355.7,10049,False
Nanorana parkeri,355.7,10050,False
Nanorana parkeri,355.7,10051,False
Nanorana parkeri,355.7,10052,False
Nanorana parkeri,355.7,10053,False
Nanorana parkeri,355.7,10054,False
Nanorana parkeri,355.7,10055,False
Nanorana parkeri,355.7,10056,False
Nanorana parkeri,355.7,10057,False
Nanorana parkeri,355.7,10058,False
Nanorana parkeri,355.7,10059,False
Nanorana parkeri,355.7,10060,False
Nanorana parkeri,355.7,10061,False
Nanorana parkeri,355.7,10062,False
Nanorana parkeri,355.7,10063,False
Nanorana parkeri,355.7,10064,False
Nanorana parkeri,355.7,10065,False
Nanorana parkeri,355.7,10066,False
Nanorana parkeri,355.7,10067,False
Nanorana parkeri,355.7,10068,False
Nanorana parkeri,355.7,10069,False
Nanorana parkeri,355.7,10070,False
Nanorana parkeri,355.7,10071,False
Nanorana parkeri,355.7,10072,False
Nanorana parkeri,355.7,10073,False
Nanorana parkeri,355.7,10074,False
Nanorana parkeri,355.7,10075,False
Nanorana parkeri,355.7,10076,False
Nanorana parkeri,355.7,10077,False
Nanorana parkeri,355.7,10078,False
Nanorana parkeri,355.7,10079,False
Nanorana parkeri,355.7,10080,False
Nanorana parkeri,355.7,10081,False
Nanorana parkeri,355.7,10082,False
Nanorana parkeri,355.7,10083,False
Nanorana parkeri,355.7,10084,False
