Species,timeFromHuman_MY,cluster,present
Latimeria chalumnae,411.9,4221,False
Latimeria chalumnae,411.9,8903,False
Latimeria chalumnae,411.9,1046,False
Latimeria chalumnae,411.9,11467,False
Latimeria chalumnae,411.9,1454,False
Latimeria chalumnae,411.9,14844,False
Latimeria chalumnae,411.9,4796,False
Latimeria chalumnae,411.9,2342,False
Latimeria chalumnae,411.9,2706,False
Latimeria chalumnae,411.9,11627,False
Latimeria chalumnae,411.9,13149,False
Latimeria chalumnae,411.9,1045,False
Latimeria chalumnae,411.9,1231,False
Latimeria chalumnae,411.9,1960,False
Latimeria chalumnae,411.9,5476,False
Latimeria chalumnae,411.9,9981,False
Latimeria chalumnae,411.9,14847,False
Latimeria chalumnae,411.9,14929,False
Latimeria chalumnae,411.9,2093,False
Latimeria chalumnae,411.9,5264,False
Latimeria chalumnae,411.9,6052,False
Latimeria chalumnae,411.9,13075,False
Latimeria chalumnae,411.9,14861,False
Latimeria chalumnae,411.9,1034,False
Latimeria chalumnae,411.9,1270,False
Latimeria chalumnae,411.9,3321,False
Latimeria chalumnae,411.9,5215,False
Latimeria chalumnae,411.9,10007,False
Latimeria chalumnae,411.9,10013,False
Latimeria chalumnae,411.9,11439,False
Latimeria chalumnae,411.9,12502,False
Latimeria chalumnae,411.9,13094,False
Latimeria chalumnae,411.9,1156,False
Latimeria chalumnae,411.9,3268,False
Latimeria chalumnae,411.9,6024,False
Latimeria chalumnae,411.9,13307,False
Latimeria chalumnae,411.9,1026,False
Latimeria chalumnae,411.9,3254,False
Latimeria chalumnae,411.9,3956,False
Latimeria chalumnae,411.9,5798,False
Latimeria chalumnae,411.9,6963,False
Latimeria chalumnae,411.9,7404,False
Latimeria chalumnae,411.9,7569,False
Latimeria chalumnae,411.9,13937,False
Latimeria chalumnae,411.9,14667,False
Latimeria chalumnae,411.9,1401,False
Latimeria chalumnae,411.9,2021,False
Latimeria chalumnae,411.9,5263,False
Latimeria chalumnae,411.9,5406,False
Latimeria chalumnae,411.9,8774,False
Latimeria chalumnae,411.9,236,False
Latimeria chalumnae,411.9,967,False
Latimeria chalumnae,411.9,3511,False
Latimeria chalumnae,411.9,12788,False
Latimeria chalumnae,411.9,14920,False
Latimeria chalumnae,411.9,14935,False
Latimeria chalumnae,411.9,1271,False
Latimeria chalumnae,411.9,4358,False
Latimeria chalumnae,411.9,5070,False
Latimeria chalumnae,411.9,7045,False
Latimeria chalumnae,411.9,10886,False
Latimeria chalumnae,411.9,11907,False
Latimeria chalumnae,411.9,13297,False
Latimeria chalumnae,411.9,13967,False
Latimeria chalumnae,411.9,14891,False
Latimeria chalumnae,411.9,14926,False
Latimeria chalumnae,411.9,6294,False
Latimeria chalumnae,411.9,6701,False
Latimeria chalumnae,411.9,10131,False
Latimeria chalumnae,411.9,2137,False
Latimeria chalumnae,411.9,3239,False
Latimeria chalumnae,411.9,4455,False
Latimeria chalumnae,411.9,11202,False
Latimeria chalumnae,411.9,6926,False
Latimeria chalumnae,411.9,6969,False
Latimeria chalumnae,411.9,11639,False
Latimeria chalumnae,411.9,11661,False
Latimeria chalumnae,411.9,1216,False
Latimeria chalumnae,411.9,1458,False
Latimeria chalumnae,411.9,931,False
Latimeria chalumnae,411.9,3238,False
Latimeria chalumnae,411.9,5762,False
Latimeria chalumnae,411.9,1004,False
Latimeria chalumnae,411.9,1036,False
Latimeria chalumnae,411.9,2492,False
Latimeria chalumnae,411.9,6307,False
Latimeria chalumnae,411.9,6916,False
Latimeria chalumnae,411.9,12528,False
Latimeria chalumnae,411.9,1572,False
Latimeria chalumnae,411.9,3288,False
Latimeria chalumnae,411.9,6059,False
Latimeria chalumnae,411.9,7049,False
Latimeria chalumnae,411.9,13337,False
Latimeria chalumnae,411.9,11201,False
Latimeria chalumnae,411.9,14068,False
Latimeria chalumnae,411.9,954,False
Latimeria chalumnae,411.9,6774,False
Latimeria chalumnae,411.9,11225,False
Latimeria chalumnae,411.9,12672,False
Latimeria chalumnae,411.9,754,False
Latimeria chalumnae,411.9,6694,False
Latimeria chalumnae,411.9,6978,False
Latimeria chalumnae,411.9,13331,False
Latimeria chalumnae,411.9,235,False
Latimeria chalumnae,411.9,1303,False
Latimeria chalumnae,411.9,3803,False
Latimeria chalumnae,411.9,1056,False
Latimeria chalumnae,411.9,11446,False
Latimeria chalumnae,411.9,12106,False
Latimeria chalumnae,411.9,13786,False
Latimeria chalumnae,411.9,1943,False
Latimeria chalumnae,411.9,7051,False
Latimeria chalumnae,411.9,1517,False
Latimeria chalumnae,411.9,11445,False
Latimeria chalumnae,411.9,1843,False
Latimeria chalumnae,411.9,3265,False
Latimeria chalumnae,411.9,6918,False
Latimeria chalumnae,411.9,11442,False
Latimeria chalumnae,411.9,12469,False
Latimeria chalumnae,411.9,6016,False
Latimeria chalumnae,411.9,14840,False
Latimeria chalumnae,411.9,211,False
Latimeria chalumnae,411.9,1239,False
Latimeria chalumnae,411.9,10890,False
Latimeria chalumnae,411.9,8380,False
Latimeria chalumnae,411.9,8808,False
Latimeria chalumnae,411.9,215,False
Latimeria chalumnae,411.9,13933,False
Latimeria chalumnae,411.9,6036,False
Latimeria chalumnae,411.9,2513,False
Latimeria chalumnae,411.9,5460,False
Latimeria chalumnae,411.9,6047,False
Latimeria chalumnae,411.9,7008,False
Latimeria chalumnae,411.9,5851,False
Latimeria chalumnae,411.9,13030,False
Latimeria chalumnae,411.9,13260,False
Latimeria chalumnae,411.9,3256,False
Latimeria chalumnae,411.9,5871,False
Latimeria chalumnae,411.9,1430,False
Latimeria chalumnae,411.9,5274,False
Latimeria chalumnae,411.9,1368,False
Latimeria chalumnae,411.9,13287,False
Latimeria chalumnae,411.9,6170,False
Latimeria chalumnae,411.9,5945,False
Latimeria chalumnae,411.9,1707,False
Latimeria chalumnae,411.9,6119,False
Latimeria chalumnae,411.9,6121,False
Latimeria chalumnae,411.9,10123,False
Latimeria chalumnae,411.9,225,False
Latimeria chalumnae,411.9,1897,False
Latimeria chalumnae,411.9,6123,False
Latimeria chalumnae,411.9,5262,False
Latimeria chalumnae,411.9,1611,False
Latimeria chalumnae,411.9,6122,False
Latimeria chalumnae,411.9,6124,False
Latimeria chalumnae,411.9,3770,False
Latimeria chalumnae,411.9,11932,False
Latimeria chalumnae,411.9,1614,False
Latimeria chalumnae,411.9,1816,False
Latimeria chalumnae,411.9,1914,False
Latimeria chalumnae,411.9,1917,False
Latimeria chalumnae,411.9,2329,False
Latimeria chalumnae,411.9,2393,False
Latimeria chalumnae,411.9,2435,False
Latimeria chalumnae,411.9,2437,False
Latimeria chalumnae,411.9,5217,False
Latimeria chalumnae,411.9,5233,False
Latimeria chalumnae,411.9,5261,False
Latimeria chalumnae,411.9,5266,False
Latimeria chalumnae,411.9,5867,False
Latimeria chalumnae,411.9,2339,False
Latimeria chalumnae,411.9,5293,False
Latimeria chalumnae,411.9,1603,False
Latimeria chalumnae,411.9,1852,False
Latimeria chalumnae,411.9,1871,False
Latimeria chalumnae,411.9,1899,False
Latimeria chalumnae,411.9,2309,False
Latimeria chalumnae,411.9,2316,False
Latimeria chalumnae,411.9,2321,False
Latimeria chalumnae,411.9,2394,False
Latimeria chalumnae,411.9,2413,False
Latimeria chalumnae,411.9,3990,False
Latimeria chalumnae,411.9,5963,False
Latimeria chalumnae,411.9,6120,False
Latimeria chalumnae,411.9,1724,False
Latimeria chalumnae,411.9,2390,False
Latimeria chalumnae,411.9,2405,False
Latimeria chalumnae,411.9,2407,False
Latimeria chalumnae,411.9,2419,False
Latimeria chalumnae,411.9,2420,False
Latimeria chalumnae,411.9,5806,False
Latimeria chalumnae,411.9,10141,False
Latimeria chalumnae,411.9,1767,False
Latimeria chalumnae,411.9,1860,False
Latimeria chalumnae,411.9,1915,False
Latimeria chalumnae,411.9,1927,False
Latimeria chalumnae,411.9,2320,False
Latimeria chalumnae,411.9,2325,False
Latimeria chalumnae,411.9,2327,False
Latimeria chalumnae,411.9,2336,False
Latimeria chalumnae,411.9,2340,False
Latimeria chalumnae,411.9,2360,False
Latimeria chalumnae,411.9,2364,False
Latimeria chalumnae,411.9,2378,False
Latimeria chalumnae,411.9,2379,False
Latimeria chalumnae,411.9,2380,False
Latimeria chalumnae,411.9,2410,False
Latimeria chalumnae,411.9,2414,False
Latimeria chalumnae,411.9,2418,False
Latimeria chalumnae,411.9,2421,False
Latimeria chalumnae,411.9,2423,False
Latimeria chalumnae,411.9,2424,False
Latimeria chalumnae,411.9,2426,False
Latimeria chalumnae,411.9,10144,False
Latimeria chalumnae,411.9,10175,False
Latimeria chalumnae,411.9,10179,False
Latimeria chalumnae,411.9,10096,False
Latimeria chalumnae,411.9,10097,False
Latimeria chalumnae,411.9,10098,False
Latimeria chalumnae,411.9,10099,False
Latimeria chalumnae,411.9,10100,False
Latimeria chalumnae,411.9,10101,False
Latimeria chalumnae,411.9,10102,False
Latimeria chalumnae,411.9,10103,False
Latimeria chalumnae,411.9,10104,False
Latimeria chalumnae,411.9,10105,False
Latimeria chalumnae,411.9,10106,False
Latimeria chalumnae,411.9,10107,False
Latimeria chalumnae,411.9,10108,False
Latimeria chalumnae,411.9,10109,False
Latimeria chalumnae,411.9,10110,False
Latimeria chalumnae,411.9,10111,False
Latimeria chalumnae,411.9,10112,False
Latimeria chalumnae,411.9,10113,False
Latimeria chalumnae,411.9,10114,False
Latimeria chalumnae,411.9,10115,False
Latimeria chalumnae,411.9,10116,False
Latimeria chalumnae,411.9,10117,False
Latimeria chalumnae,411.9,10118,False
Latimeria chalumnae,411.9,10119,False
Latimeria chalumnae,411.9,10120,False
Latimeria chalumnae,411.9,10121,False
Latimeria chalumnae,411.9,10122,False
Latimeria chalumnae,411.9,10124,False
Latimeria chalumnae,411.9,10125,False
Latimeria chalumnae,411.9,10126,False
Latimeria chalumnae,411.9,10127,False
Latimeria chalumnae,411.9,10128,False
Latimeria chalumnae,411.9,10129,False
Latimeria chalumnae,411.9,10130,False
Latimeria chalumnae,411.9,10132,False
Latimeria chalumnae,411.9,10133,False
Latimeria chalumnae,411.9,10134,False
Latimeria chalumnae,411.9,10135,False
Latimeria chalumnae,411.9,10136,False
Latimeria chalumnae,411.9,10137,False
Latimeria chalumnae,411.9,10138,False
Latimeria chalumnae,411.9,10139,False
Latimeria chalumnae,411.9,10140,False
Latimeria chalumnae,411.9,10142,False
Latimeria chalumnae,411.9,10143,False
Latimeria chalumnae,411.9,10145,False
Latimeria chalumnae,411.9,10146,False
Latimeria chalumnae,411.9,10147,False
Latimeria chalumnae,411.9,10148,False
Latimeria chalumnae,411.9,10149,False
Latimeria chalumnae,411.9,10150,False
Latimeria chalumnae,411.9,10151,False
Latimeria chalumnae,411.9,10152,False
Latimeria chalumnae,411.9,10153,False
Latimeria chalumnae,411.9,10154,False
Latimeria chalumnae,411.9,10155,False
Latimeria chalumnae,411.9,10156,False
Latimeria chalumnae,411.9,10157,False
Latimeria chalumnae,411.9,10158,False
Latimeria chalumnae,411.9,10159,False
Latimeria chalumnae,411.9,10160,False
Latimeria chalumnae,411.9,10161,False
Latimeria chalumnae,411.9,10162,False
Latimeria chalumnae,411.9,10163,False
Latimeria chalumnae,411.9,10164,False
Latimeria chalumnae,411.9,10165,False
Latimeria chalumnae,411.9,10166,False
Latimeria chalumnae,411.9,10167,False
Latimeria chalumnae,411.9,10168,False
Latimeria chalumnae,411.9,10169,False
Latimeria chalumnae,411.9,10170,False
Latimeria chalumnae,411.9,10171,False
Latimeria chalumnae,411.9,10172,False
Latimeria chalumnae,411.9,10173,False
Latimeria chalumnae,411.9,10174,False
Latimeria chalumnae,411.9,10176,False
Latimeria chalumnae,411.9,10177,False
Latimeria chalumnae,411.9,10178,False
Latimeria chalumnae,411.9,10180,False
Latimeria chalumnae,411.9,10181,False
Latimeria chalumnae,411.9,10182,False
Latimeria chalumnae,411.9,10183,False
Latimeria chalumnae,411.9,10184,False
Latimeria chalumnae,411.9,10185,False
Latimeria chalumnae,411.9,10186,False
Latimeria chalumnae,411.9,10187,False
Latimeria chalumnae,411.9,10188,False
Latimeria chalumnae,411.9,10189,False
Latimeria chalumnae,411.9,10190,False
Latimeria chalumnae,411.9,10191,False
Latimeria chalumnae,411.9,10192,False
Latimeria chalumnae,411.9,10193,False
Latimeria chalumnae,411.9,10194,False
Latimeria chalumnae,411.9,10195,False
Latimeria chalumnae,411.9,10196,False
Latimeria chalumnae,411.9,10197,False
Latimeria chalumnae,411.9,10198,False
Latimeria chalumnae,411.9,10199,False
Latimeria chalumnae,411.9,10200,False
Latimeria chalumnae,411.9,10201,False
Latimeria chalumnae,411.9,10202,False
Latimeria chalumnae,411.9,10203,False
Latimeria chalumnae,411.9,10204,False
Latimeria chalumnae,411.9,10205,False
Latimeria chalumnae,411.9,10206,False
Latimeria chalumnae,411.9,10207,False
Latimeria chalumnae,411.9,10208,False
Latimeria chalumnae,411.9,10209,False
Latimeria chalumnae,411.9,10210,False
Latimeria chalumnae,411.9,10211,False
Latimeria chalumnae,411.9,10212,False
Latimeria chalumnae,411.9,10213,False
Latimeria chalumnae,411.9,10214,False
Latimeria chalumnae,411.9,10215,False
Latimeria chalumnae,411.9,10216,False
Latimeria chalumnae,411.9,10217,False
Latimeria chalumnae,411.9,10218,False
Latimeria chalumnae,411.9,10219,False
Latimeria chalumnae,411.9,10220,False
Latimeria chalumnae,411.9,10221,False
Latimeria chalumnae,411.9,10222,False
Latimeria chalumnae,411.9,10223,False
Latimeria chalumnae,411.9,10224,False
Latimeria chalumnae,411.9,10225,False
Latimeria chalumnae,411.9,10226,False
Latimeria chalumnae,411.9,10227,False
Latimeria chalumnae,411.9,10228,False
Nanorana parkeri,355.7,4221,False
Nanorana parkeri,355.7,8903,False
Nanorana parkeri,355.7,1046,False
Nanorana parkeri,355.7,11467,False
Nanorana parkeri,355.7,1454,False
Nanorana parkeri,355.7,14844,False
Nanorana parkeri,355.7,4796,False
Nanorana parkeri,355.7,2342,False
Nanorana parkeri,355.7,2706,False
Nanorana parkeri,355.7,11627,False
Nanorana parkeri,355.7,13149,False
Nanorana parkeri,355.7,1045,False
Nanorana parkeri,355.7,1231,False
Nanorana parkeri,355.7,1960,False
Nanorana parkeri,355.7,5476,False
Nanorana parkeri,355.7,9981,False
Nanorana parkeri,355.7,14847,False
Nanorana parkeri,355.7,14929,False
Nanorana parkeri,355.7,2093,False
Nanorana parkeri,355.7,5264,False
Nanorana parkeri,355.7,6052,False
Nanorana parkeri,355.7,13075,False
Nanorana parkeri,355.7,14861,False
Nanorana parkeri,355.7,1034,False
Nanorana parkeri,355.7,1270,False
Nanorana parkeri,355.7,3321,False
Nanorana parkeri,355.7,5215,False
Nanorana parkeri,355.7,10007,False
Nanorana parkeri,355.7,10013,False
Nanorana parkeri,355.7,11439,False
Nanorana parkeri,355.7,12502,False
Nanorana parkeri,355.7,13094,False
