Species,timeFromHuman_MY,cluster,present
Latimeria chalumnae,411.9,4221,False
Latimeria chalumnae,411.9,8903,False
Latimeria chalumnae,411.9,3638,False
Latimeria chalumnae,411.9,5129,False
Latimeria chalumnae,411.9,926,False
Latimeria chalumnae,411.9,3627,False
Latimeria chalumnae,411.9,15053,False
Latimeria chalumnae,411.9,3602,False
Latimeria chalumnae,411.9,5705,False
Latimeria chalumnae,411.9,396,False
Latimeria chalumnae,411.9,2208,False
Latimeria chalumnae,411.9,15065,False
Latimeria chalumnae,411.9,3393,False
Latimeria chalumnae,411.9,12857,False
Latimeria chalumnae,411.9,14376,False
Latimeria chalumnae,411.9,12866,False
Latimeria chalumnae,411.9,14368,False
Latimeria chalumnae,411.9,15019,False
Latimeria chalumnae,411.9,15068,False
Latimeria chalumnae,411.9,3667,False
Latimeria chalumnae,411.9,12161,False
Latimeria chalumnae,411.9,12906,False
Latimeria chalumnae,411.9,15018,False
Latimeria chalumnae,411.9,15020,False
Latimeria chalumnae,411.9,15022,False
Latimeria chalumnae,411.9,15079,False
Latimeria chalumnae,411.9,3673,False
Latimeria chalumnae,411.9,3678,False
Latimeria chalumnae,411.9,3684,False
Latimeria chalumnae,411.9,3686,False
Latimeria chalumnae,411.9,5565,False
Latimeria chalumnae,411.9,12875,False
Latimeria chalumnae,411.9,12900,False
Latimeria chalumnae,411.9,12902,False
Latimeria chalumnae,411.9,12928,False
Latimeria chalumnae,411.9,12971,False
Latimeria chalumnae,411.9,14308,False
Latimeria chalumnae,411.9,14311,False
Latimeria chalumnae,411.9,14320,False
Latimeria chalumnae,411.9,14321,False
Latimeria chalumnae,411.9,14325,False
Latimeria chalumnae,411.9,14387,False
Latimeria chalumnae,411.9,14392,False
Latimeria chalumnae,411.9,14973,False
Latimeria chalumnae,411.9,14984,False
Latimeria chalumnae,411.9,15005,False
Latimeria chalumnae,411.9,15008,False
Latimeria chalumnae,411.9,15009,False
Latimeria chalumnae,411.9,15010,False
Latimeria chalumnae,411.9,15073,False
Latimeria chalumnae,411.9,15074,False
Latimeria chalumnae,411.9,3674,False
Latimeria chalumnae,411.9,3681,False
Latimeria chalumnae,411.9,3683,False
Latimeria chalumnae,411.9,10862,False
Latimeria chalumnae,411.9,12899,False
Latimeria chalumnae,411.9,12913,False
Latimeria chalumnae,411.9,12969,False
Latimeria chalumnae,411.9,14333,False
Latimeria chalumnae,411.9,14349,False
Latimeria chalumnae,411.9,14377,False
Latimeria chalumnae,411.9,14390,False
Latimeria chalumnae,411.9,14957,False
Latimeria chalumnae,411.9,14986,False
Latimeria chalumnae,411.9,15002,False
Latimeria chalumnae,411.9,15006,False
Latimeria chalumnae,411.9,15014,False
Latimeria chalumnae,411.9,15015,False
Latimeria chalumnae,411.9,15039,False
Latimeria chalumnae,411.9,15040,False
Latimeria chalumnae,411.9,15046,False
Latimeria chalumnae,411.9,15054,False
Latimeria chalumnae,411.9,15056,False
Latimeria chalumnae,411.9,433,False
Latimeria chalumnae,411.9,12863,False
Latimeria chalumnae,411.9,12892,False
Latimeria chalumnae,411.9,12926,False
Latimeria chalumnae,411.9,12927,False
Latimeria chalumnae,411.9,12949,False
Latimeria chalumnae,411.9,12977,False
Latimeria chalumnae,411.9,12997,False
Latimeria chalumnae,411.9,14303,False
Latimeria chalumnae,411.9,14305,False
Latimeria chalumnae,411.9,14323,False
Latimeria chalumnae,411.9,14327,False
Latimeria chalumnae,411.9,14336,False
Latimeria chalumnae,411.9,14338,False
Latimeria chalumnae,411.9,14340,False
Latimeria chalumnae,411.9,14362,False
Latimeria chalumnae,411.9,14386,False
Latimeria chalumnae,411.9,14958,False
Latimeria chalumnae,411.9,14961,False
Latimeria chalumnae,411.9,15000,False
Latimeria chalumnae,411.9,15001,False
Latimeria chalumnae,411.9,15021,False
Latimeria chalumnae,411.9,15033,False
Latimeria chalumnae,411.9,15047,False
Latimeria chalumnae,411.9,15050,False
Latimeria chalumnae,411.9,15058,False
Latimeria chalumnae,411.9,15066,False
Latimeria chalumnae,411.9,15070,False
Latimeria chalumnae,411.9,15075,False
Latimeria chalumnae,411.9,15078,False
Latimeria chalumnae,411.9,10259,False
Latimeria chalumnae,411.9,10260,False
Latimeria chalumnae,411.9,10261,False
Latimeria chalumnae,411.9,10262,False
Latimeria chalumnae,411.9,10263,False
Latimeria chalumnae,411.9,10264,False
Latimeria chalumnae,411.9,10265,False
Latimeria chalumnae,411.9,10266,False
Latimeria chalumnae,411.9,10267,False
Latimeria chalumnae,411.9,10268,False
Latimeria chalumnae,411.9,10269,False
Latimeria chalumnae,411.9,10270,False
Latimeria chalumnae,411.9,10271,False
Latimeria chalumnae,411.9,10272,False
Latimeria chalumnae,411.9,10273,False
Latimeria chalumnae,411.9,10274,False
Latimeria chalumnae,411.9,10275,False
Latimeria chalumnae,411.9,10276,False
Latimeria chalumnae,411.9,10277,False
Latimeria chalumnae,411.9,10278,False
Latimeria chalumnae,411.9,10279,False
Latimeria chalumnae,411.9,10280,False
Latimeria chalumnae,411.9,10281,False
Latimeria chalumnae,411.9,10282,False
Latimeria chalumnae,411.9,10283,False
Latimeria chalumnae,411.9,10284,False
Latimeria chalumnae,411.9,10285,False
Latimeria chalumnae,411.9,10286,False
Latimeria chalumnae,411.9,10287,False
Latimeria chalumnae,411.9,10288,False
Latimeria chalumnae,411.9,10289,False
Latimeria chalumnae,411.9,10290,False
Latimeria chalumnae,411.9,10291,False
Latimeria chalumnae,411.9,10292,False
Latimeria chalumnae,411.9,10293,False
Latimeria chalumnae,411.9,10294,False
Latimeria chalumnae,411.9,10295,False
Latimeria chalumnae,411.9,10296,False
Latimeria chalumnae,411.9,10297,False
Latimeria chalumnae,411.9,10298,False
Latimeria chalumnae,411.9,10299,False
Latimeria chalumnae,411.9,10300,False
Latimeria chalumnae,411.9,10301,False
Latimeria chalumnae,411.9,10302,False
Latimeria chalumnae,411.9,10303,False
Latimeria chalumnae,411.9,10304,False
Latimeria chalumnae,411.9,10305,False
Latimeria chalumnae,411.9,10306,False
Latimeria chalumnae,411.9,10307,False
Latimeria chalumnae,411.9,10308,False
Latimeria chalumnae,411.9,10309,False
Latimeria chalumnae,411.9,10310,False
Latimeria chalumnae,411.9,10311,False
Latimeria chalumnae,411.9,10312,False
Latimeria chalumnae,411.9,10313,False
Latimeria chalumnae,411.9,10314,False
Latimeria chalumnae,411.9,10315,False
Latimeria chalumnae,411.9,10316,False
Latimeria chalumnae,411.9,10317,False
Latimeria chalumnae,411.9,10318,False
Latimeria chalumnae,411.9,10319,False
Latimeria chalumnae,411.9,10320,False
Latimeria chalumnae,411.9,10321,False
Latimeria chalumnae,411.9,10322,False
Latimeria chalumnae,411.9,10323,False
Latimeria chalumnae,411.9,10324,False
Latimeria chalumnae,411.9,10325,False
Latimeria chalumnae,411.9,10326,False
Latimeria chalumnae,411.9,10327,False
Latimeria chalumnae,411.9,10328,False
Latimeria chalumnae,411.9,10329,False
Latimeria chalumnae,411.9,10330,False
Latimeria chalumnae,411.9,10331,False
Latimeria chalumnae,411.9,10332,False
Latimeria chalumnae,411.9,10333,False
Latimeria chalumnae,411.9,10334,False
Latimeria chalumnae,411.9,10335,False
Latimeria chalumnae,411.9,10336,False
Latimeria chalumnae,411.9,10337,False
Latimeria chalumnae,411.9,10338,False
Latimeria chalumnae,411.9,10339,False
Latimeria chalumnae,411.9,10340,False
Latimeria chalumnae,411.9,10341,False
Latimeria chalumnae,411.9,10342,False
Latimeria chalumnae,411.9,10343,False
Latimeria chalumnae,411.9,10344,False
Latimeria chalumnae,411.9,10345,False
Latimeria chalumnae,411.9,10346,False
Latimeria chalumnae,411.9,10347,False
Latimeria chalumnae,411.9,10348,False
Latimeria chalumnae,411.9,10349,False
Latimeria chalumnae,411.9,10350,False
Latimeria chalumnae,411.9,10351,False
Latimeria chalumnae,411.9,10352,False
Latimeria chalumnae,411.9,10353,False
Latimeria chalumnae,411.9,10354,False
Latimeria chalumnae,411.9,10355,False
Nanorana parkeri,355.7,4221,False
Nanorana parkeri,355.7,8903,False
Nanorana parkeri,355.7,3638,False
Nanorana parkeri,355.7,5129,False
Nanorana parkeri,355.7,926,False
Nanorana parkeri,355.7,3627,False
Nanorana parkeri,355.7,15053,False
Nanorana parkeri,355.7,3602,False
Nanorana parkeri,355.7,5705,False
Nanorana parkeri,355.7,396,False
Nanorana parkeri,355.7,2208,False
Nanorana parkeri,355.7,15065,False
Nanorana parkeri,355.7,3393,False
Nanorana parkeri,355.7,12857,False
Nanorana parkeri,355.7,14376,False
Nanorana parkeri,355.7,12866,False
Nanorana parkeri,355.7,14368,False
Nanorana parkeri,355.7,15019,False
Nanorana parkeri,355.7,15068,False
Nanorana parkeri,355.7,3667,False
Nanorana parkeri,355.7,12161,False
Nanorana parkeri,355.7,12906,False
Nanorana parkeri,355.7,15018,False
Nanorana parkeri,355.7,15020,False
Nanorana parkeri,355.7,15022,False
Nanorana parkeri,355.7,15079,False
Nanorana parkeri,355.7,3673,False
Nanorana parkeri,355.7,3678,False
Nanorana parkeri,355.7,3684,False
Nanorana parkeri,355.7,3686,False
Nanorana parkeri,355.7,5565,False
Nanorana parkeri,355.7,12875,False
Nanorana parkeri,355.7,12900,False
Nanorana parkeri,355.7,12902,False
Nanorana parkeri,355.7,12928,False
Nanorana parkeri,355.7,12971,False
Nanorana parkeri,355.7,14308,False
Nanorana parkeri,355.7,14311,False
Nanorana parkeri,355.7,14320,False
Nanorana parkeri,355.7,14321,False
Nanorana parkeri,355.7,14325,False
Nanorana parkeri,355.7,14387,False
Nanorana parkeri,355.7,14392,False
Nanorana parkeri,355.7,14973,False
Nanorana parkeri,355.7,14984,False
Nanorana parkeri,355.7,15005,False
Nanorana parkeri,355.7,15008,False
Nanorana parkeri,355.7,15009,False
Nanorana parkeri,355.7,15010,False
Nanorana parkeri,355.7,15073,False
Nanorana parkeri,355.7,15074,False
Nanorana parkeri,355.7,3674,False
Nanorana parkeri,355.7,3681,False
Nanorana parkeri,355.7,3683,False
Nanorana parkeri,355.7,10862,False
Nanorana parkeri,355.7,12899,False
Nanorana parkeri,355.7,12913,False
Nanorana parkeri,355.7,12969,False
Nanorana parkeri,355.7,14333,False
Nanorana parkeri,355.7,14349,False
Nanorana parkeri,355.7,14377,False
Nanorana parkeri,355.7,14390,False
Nanorana parkeri,355.7,14957,False
Nanorana parkeri,355.7,14986,False
Nanorana parkeri,355.7,15002,False
Nanorana parkeri,355.7,15006,False
Nanorana parkeri,355.7,15014,False
Nanorana parkeri,355.7,15015,False
Nanorana parkeri,355.7,15039,False
Nanorana parkeri,355.7,15040,False
Nanorana parkeri,355.7,15046,False
Nanorana parkeri,355.7,15054,False
Nanorana parkeri,355.7,15056,False
Nanorana parkeri,355.7,433,False
Nanorana parkeri,355.7,12863,False
Nanorana parkeri,355.7,12892,False
Nanorana parkeri,355.7,12926,False
Nanorana parkeri,355.7,12927,False
Nanorana parkeri,355.7,12949,False
Nanorana parkeri,355.7,12977,False
Nanorana parkeri,355.7,12997,False
Nanorana parkeri,355.7,14303,False
Nanorana parkeri,355.7,14305,False
Nanorana parkeri,355.7,14323,False
Nanorana parkeri,355.7,14327,False
Nanorana parkeri,355.7,14336,False
Nanorana parkeri,355.7,14338,False
Nanorana parkeri,355.7,14340,False
Nanorana parkeri,355.7,14362,False
Nanorana parkeri,355.7,14386,False
Nanorana parkeri,355.7,14958,False
Nanorana parkeri,355.7,14961,False
Nanorana parkeri,355.7,15000,False
Nanorana parkeri,355.7,15001,False
Nanorana parkeri,355.7,15021,False
Nanorana parkeri,355.7,15033,False
Nanorana parkeri,355.7,15047,False
Nanorana parkeri,355.7,15050,False
Nanorana parkeri,355.7,15058,False
Nanorana parkeri,355.7,15066,False
Nanorana parkeri,355.7,15070,False
Nanorana parkeri,355.7,15075,False
Nanorana parkeri,355.7,15078,False
Nanorana parkeri,355.7,10259,False
Nanorana parkeri,355.7,10260,False
Nanorana parkeri,355.7,10261,False
Nanorana parkeri,355.7,10262,False
Nanorana parkeri,355.7,10263,False
Nanorana parkeri,355.7,10264,False
Nanorana parkeri,355.7,10265,False
Nanorana parkeri,355.7,10266,False
Nanorana parkeri,355.7,10267,False
Nanorana parkeri,355.7,10268,False
Nanorana parkeri,355.7,10269,False
Nanorana parkeri,355.7,10270,False
Nanorana parkeri,355.7,10271,False
Nanorana parkeri,355.7,10272,False
Nanorana parkeri,355.7,10273,False
Nanorana parkeri,355.7,10274,False
Nanorana parkeri,355.7,10275,False
Nanorana parkeri,355.7,10276,False
Nanorana parkeri,355.7,10277,False
Nanorana parkeri,355.7,10278,False
Nanorana parkeri,355.7,10279,False
Nanorana parkeri,355.7,10280,False
Nanorana parkeri,355.7,10281,False
Nanorana parkeri,355.7,10282,False
Nanorana parkeri,355.7,10283,False
Nanorana parkeri,355.7,10284,False
Nanorana parkeri,355.7,10285,False
Nanorana parkeri,355.7,10286,False
Nanorana parkeri,355.7,10287,False
Nanorana parkeri,355.7,10288,False
Nanorana parkeri,355.7,10289,False
Nanorana parkeri,355.7,10290,False
Nanorana parkeri,355.7,10291,False
Nanorana parkeri,355.7,10292,False
Nanorana parkeri,355.7,10293,False
Nanorana parkeri,355.7,10294,False
Nanorana parkeri,355.7,10295,False
Nanorana parkeri,355.7,10296,False
Nanorana parkeri,355.7,10297,False
Nanorana parkeri,355.7,10298,False
Nanorana parkeri,355.7,10299,False
Nanorana parkeri,355.7,10300,False
Nanorana parkeri,355.7,10301,False
Nanorana parkeri,355.7,10302,False
Nanorana parkeri,355.7,10303,False
Nanorana parkeri,355.7,10304,False
Nanorana parkeri,355.7,10305,False
Nanorana parkeri,355.7,10306,False
Nanorana parkeri,355.7,10307,False
Nanorana parkeri,355.7,10308,False
Nanorana parkeri,355.7,10309,False
Nanorana parkeri,355.7,10310,False
Nanorana parkeri,355.7,10311,False
Nanorana parkeri,355.7,10312,False
Nanorana parkeri,355.7,10313,False
Nanorana parkeri,355.7,10314,False
Nanorana parkeri,355.7,10315,False
Nanorana parkeri,355.7,10316,False
Nanorana parkeri,355.7,10317,False
Nanorana parkeri,355.7,10318,False
Nanorana parkeri,355.7,10319,False
Nanorana parkeri,355.7,10320,False
Nanorana parkeri,355.7,10321,False
Nanorana parkeri,355.7,10322,False
Nanorana parkeri,355.7,10323,False
Nanorana parkeri,355.7,10324,False
Nanorana parkeri,355.7,10325,False
Nanorana parkeri,355.7,10326,False
Nanorana parkeri,355.7,10327,False
Nanorana parkeri,355.7,10328,False
Nanorana parkeri,355.7,10329,False
Nanorana parkeri,355.7,10330,False
Nanorana parkeri,355.7,10331,False
Nanorana parkeri,355.7,10332,False
Nanorana parkeri,355.7,10333,False
Nanorana parkeri,355.7,10334,False
Nanorana parkeri,355.7,10335,False
Nanorana parkeri,355.7,10336,False
Nanorana parkeri,355.7,10337,False
Nanorana parkeri,355.7,10338,False
