Species,timeFromHuman_MY,cluster,present
Latimeria chalumnae,411.9,4221,False
Latimeria chalumnae,411.9,8903,False
Latimeria chalumnae,411.9,3638,False
Latimeria chalumnae,411.9,5129,False
Latimeria chalumnae,411.9,926,False
Latimeria chalumnae,411.9,3627,False
Latimeria chalumnae,411.9,5558,False
Latimeria chalumnae,411.9,924,False
Latimeria chalumnae,411.9,5632,False
Latimeria chalumnae,411.9,15053,False
Latimeria chalumnae,411.9,3602,False
Latimeria chalumnae,411.9,5705,False
Latimeria chalumnae,411.9,396,False
Latimeria chalumnae,411.9,2208,False
Latimeria chalumnae,411.9,15065,False
Latimeria chalumnae,411.9,392,False
Latimeria chalumnae,411.9,5604,False
Latimeria chalumnae,411.9,12857,False
Latimeria chalumnae,411.9,14376,False
Latimeria chalumnae,411.9,12866,False
Latimeria chalumnae,411.9,14368,False
Latimeria chalumnae,411.9,15019,False
Latimeria chalumnae,411.9,15068,False
Latimeria chalumnae,411.9,454,False
Latimeria chalumnae,411.9,12161,False
Latimeria chalumnae,411.9,12407,False
Latimeria chalumnae,411.9,12851,False
Latimeria chalumnae,411.9,12906,False
Latimeria chalumnae,411.9,15018,False
Latimeria chalumnae,411.9,2683,False
Latimeria chalumnae,411.9,12133,False
Latimeria chalumnae,411.9,12158,False
Latimeria chalumnae,411.9,12159,False
Latimeria chalumnae,411.9,12404,False
Latimeria chalumnae,411.9,12957,False
Latimeria chalumnae,411.9,480,False
Latimeria chalumnae,411.9,10862,False
Latimeria chalumnae,411.9,12181,False
Latimeria chalumnae,411.9,12190,False
Latimeria chalumnae,411.9,12250,False
Latimeria chalumnae,411.9,12850,False
Latimeria chalumnae,411.9,12853,False
Latimeria chalumnae,411.9,12896,False
Latimeria chalumnae,411.9,12960,False
Latimeria chalumnae,411.9,12983,False
Latimeria chalumnae,411.9,12992,False
Latimeria chalumnae,411.9,437,False
Latimeria chalumnae,411.9,621,False
Latimeria chalumnae,411.9,691,False
Latimeria chalumnae,411.9,12145,False
Latimeria chalumnae,411.9,12182,False
Latimeria chalumnae,411.9,12248,False
Latimeria chalumnae,411.9,12267,False
Latimeria chalumnae,411.9,12268,False
Latimeria chalumnae,411.9,12403,False
Latimeria chalumnae,411.9,12405,False
Latimeria chalumnae,411.9,12889,False
Latimeria chalumnae,411.9,12942,False
Latimeria chalumnae,411.9,12946,False
Latimeria chalumnae,411.9,12954,False
Latimeria chalumnae,411.9,12961,False
Latimeria chalumnae,411.9,10356,False
Latimeria chalumnae,411.9,10357,False
Latimeria chalumnae,411.9,10358,False
Latimeria chalumnae,411.9,10359,False
Latimeria chalumnae,411.9,10360,False
Latimeria chalumnae,411.9,10361,False
Latimeria chalumnae,411.9,10362,False
Latimeria chalumnae,411.9,10363,False
Latimeria chalumnae,411.9,10364,False
Latimeria chalumnae,411.9,10365,False
Latimeria chalumnae,411.9,10366,False
Latimeria chalumnae,411.9,10367,False
Latimeria chalumnae,411.9,10368,False
Latimeria chalumnae,411.9,10369,False
Latimeria chalumnae,411.9,10370,False
Latimeria chalumnae,411.9,10371,False
Latimeria chalumnae,411.9,10372,False
Latimeria chalumnae,411.9,10373,False
Latimeria chalumnae,411.9,10374,False
Latimeria chalumnae,411.9,10375,False
Latimeria chalumnae,411.9,10376,False
Latimeria chalumnae,411.9,10377,False
Latimeria chalumnae,411.9,10378,False
Latimeria chalumnae,411.9,10379,False
Latimeria chalumnae,411.9,10380,False
Latimeria chalumnae,411.9,10381,False
Latimeria chalumnae,411.9,10382,False
Latimeria chalumnae,411.9,10383,False
Latimeria chalumnae,411.9,10384,False
Latimeria chalumnae,411.9,10385,False
Latimeria chalumnae,411.9,10386,False
Latimeria chalumnae,411.9,10387,False
Latimeria chalumnae,411.9,10388,False
Latimeria chalumnae,411.9,10389,False
Latimeria chalumnae,411.9,10390,False
Latimeria chalumnae,411.9,10391,False
Latimeria chalumnae,411.9,10392,False
Latimeria chalumnae,411.9,10393,False
Latimeria chalumnae,411.9,10394,False
Latimeria chalumnae,411.9,10395,False
Latimeria chalumnae,411.9,10396,False
Latimeria chalumnae,411.9,10397,False
Latimeria chalumnae,411.9,10398,False
Latimeria chalumnae,411.9,10399,False
Latimeria chalumnae,411.9,10400,False
Latimeria chalumnae,411.9,10401,False
Latimeria chalumnae,411.9,10402,False
Latimeria chalumnae,411.9,10403,False
Latimeria chalumnae,411.9,10404,False
Latimeria chalumnae,411.9,10405,False
Latimeria chalumnae,411.9,10406,False
Latimeria chalumnae,411.9,10407,False
Latimeria chalumnae,411.9,10408,False
Latimeria chalumnae,411.9,10409,False
Latimeria chalumnae,411.9,10410,False
Latimeria chalumnae,411.9,10411,False
Latimeria chalumnae,411.9,10412,False
Latimeria chalumnae,411.9,10413,False
Latimeria chalumnae,411.9,10414,False
Latimeria chalumnae,411.9,10415,False
Latimeria chalumnae,411.9,10416,False
Latimeria chalumnae,411.9,10417,False
Latimeria chalumnae,411.9,10418,False
Latimeria chalumnae,411.9,10419,False
Latimeria chalumnae,411.9,10420,False
Latimeria chalumnae,411.9,10421,False
Latimeria chalumnae,411.9,10422,False
Latimeria chalumnae,411.9,10423,False
Latimeria chalumnae,411.9,10424,False
Latimeria chalumnae,411.9,10425,False
Latimeria chalumnae,411.9,10426,False
Latimeria chalumnae,411.9,10427,False
Latimeria chalumnae,411.9,10428,False
Latimeria chalumnae,411.9,10429,False
Latimeria chalumnae,411.9,10430,False
Latimeria chalumnae,411.9,10431,False
Latimeria chalumnae,411.9,10432,False
Latimeria chalumnae,411.9,10433,False
Latimeria chalumnae,411.9,10434,False
Latimeria chalumnae,411.9,10435,False
Latimeria chalumnae,411.9,10436,False
Latimeria chalumnae,411.9,10437,False
Latimeria chalumnae,411.9,10438,False
Latimeria chalumnae,411.9,10439,False
Latimeria chalumnae,411.9,10440,False
Latimeria chalumnae,411.9,10441,False
Latimeria chalumnae,411.9,10442,False
Latimeria chalumnae,411.9,10443,False
Latimeria chalumnae,411.9,10444,False
Latimeria chalumnae,411.9,10445,False
Latimeria chalumnae,411.9,10446,False
Latimeria chalumnae,411.9,10447,False
Latimeria chalumnae,411.9,10448,False
Latimeria chalumnae,411.9,10449,False
Latimeria chalumnae,411.9,10450,False
Latimeria chalumnae,411.9,10451,False
Latimeria chalumnae,411.9,10452,False
Latimeria chalumnae,411.9,10453,False
Latimeria chalumnae,411.9,10454,False
Latimeria chalumnae,411.9,10455,False
Latimeria chalumnae,411.9,10456,False
Latimeria chalumnae,411.9,10457,False
Latimeria chalumnae,411.9,10458,False
Latimeria chalumnae,411.9,10459,False
Latimeria chalumnae,411.9,10460,False
Latimeria chalumnae,411.9,10461,False
Latimeria chalumnae,411.9,10462,False
Latimeria chalumnae,411.9,10463,False
Latimeria chalumnae,411.9,10464,False
Latimeria chalumnae,411.9,10465,False
Latimeria chalumnae,411.9,10466,False
Latimeria chalumnae,411.9,10467,False
Latimeria chalumnae,411.9,10468,False
Latimeria chalumnae,411.9,10469,False
Latimeria chalumnae,411.9,10470,False
Latimeria chalumnae,411.9,10471,False
Latimeria chalumnae,411.9,10472,False
Latimeria chalumnae,411.9,10473,False
Latimeria chalumnae,411.9,10474,False
Latimeria chalumnae,411.9,10475,False
Latimeria chalumnae,411.9,10476,False
Latimeria chalumnae,411.9,10477,False
Latimeria chalumnae,411.9,10478,False
Latimeria chalumnae,411.9,10479,False
Latimeria chalumnae,411.9,10480,False
Latimeria chalumnae,411.9,10481,False
Latimeria chalumnae,411.9,10482,False
Latimeria chalumnae,411.9,10483,False
Latimeria chalumnae,411.9,10484,False
Latimeria chalumnae,411.9,10485,False
Latimeria chalumnae,411.9,10486,False
Latimeria chalumnae,411.9,10487,False
Latimeria chalumnae,411.9,10488,False
Latimeria chalumnae,411.9,10489,False
Latimeria chalumnae,411.9,10490,False
Latimeria chalumnae,411.9,10491,False
Latimeria chalumnae,411.9,10492,False
Latimeria chalumnae,411.9,10493,False
Latimeria chalumnae,411.9,10494,False
Latimeria chalumnae,411.9,10495,False
Latimeria chalumnae,411.9,10496,False
Latimeria chalumnae,411.9,10497,False
Latimeria chalumnae,411.9,10498,False
Latimeria chalumnae,411.9,10499,False
Latimeria chalumnae,411.9,10500,False
Latimeria chalumnae,411.9,10501,False
Latimeria chalumnae,411.9,10502,False
Latimeria chalumnae,411.9,10503,False
Latimeria chalumnae,411.9,10504,False
Latimeria chalumnae,411.9,10505,False
Latimeria chalumnae,411.9,10506,False
Latimeria chalumnae,411.9,10507,False
Latimeria chalumnae,411.9,10508,False
Latimeria chalumnae,411.9,10509,False
Latimeria chalumnae,411.9,10510,False
Latimeria chalumnae,411.9,10511,False
Latimeria chalumnae,411.9,10512,False
Latimeria chalumnae,411.9,10513,False
Latimeria chalumnae,411.9,10514,False
Latimeria chalumnae,411.9,10515,False
Latimeria chalumnae,411.9,10516,False
Latimeria chalumnae,411.9,10517,False
Latimeria chalumnae,411.9,10518,False
Latimeria chalumnae,411.9,10519,False
Latimeria chalumnae,411.9,10520,False
Latimeria chalumnae,411.9,10521,False
Latimeria chalumnae,411.9,10522,False
Latimeria chalumnae,411.9,10523,False
Latimeria chalumnae,411.9,10524,False
Latimeria chalumnae,411.9,10525,False
Latimeria chalumnae,411.9,10526,False
Latimeria chalumnae,411.9,10527,False
Latimeria chalumnae,411.9,10528,False
Latimeria chalumnae,411.9,10529,False
Latimeria chalumnae,411.9,10530,False
Latimeria chalumnae,411.9,10531,False
Latimeria chalumnae,411.9,10532,False
Latimeria chalumnae,411.9,10533,False
Latimeria chalumnae,411.9,10534,False
Latimeria chalumnae,411.9,10535,False
Latimeria chalumnae,411.9,10536,False
Latimeria chalumnae,411.9,10537,False
Latimeria chalumnae,411.9,10538,False
Latimeria chalumnae,411.9,10539,False
Latimeria chalumnae,411.9,10540,False
Latimeria chalumnae,411.9,10541,False
Latimeria chalumnae,411.9,10542,False
Latimeria chalumnae,411.9,10543,False
Latimeria chalumnae,411.9,10544,False
Latimeria chalumnae,411.9,10545,False
Latimeria chalumnae,411.9,10546,False
Latimeria chalumnae,411.9,10547,False
Latimeria chalumnae,411.9,10548,False
Latimeria chalumnae,411.9,10549,False
Latimeria chalumnae,411.9,10550,False
Latimeria chalumnae,411.9,10551,False
Latimeria chalumnae,411.9,10552,False
Latimeria chalumnae,411.9,10553,False
Latimeria chalumnae,411.9,10554,False
Latimeria chalumnae,411.9,10555,False
Latimeria chalumnae,411.9,10556,False
Latimeria chalumnae,411.9,10557,False
Latimeria chalumnae,411.9,10558,False
Latimeria chalumnae,411.9,10559,False
Latimeria chalumnae,411.9,10560,False
Latimeria chalumnae,411.9,10561,False
Latimeria chalumnae,411.9,10562,False
Latimeria chalumnae,411.9,10563,False
Latimeria chalumnae,411.9,10564,False
Latimeria chalumnae,411.9,10565,False
Latimeria chalumnae,411.9,10566,False
Latimeria chalumnae,411.9,10567,False
Latimeria chalumnae,411.9,10568,False
Latimeria chalumnae,411.9,10569,False
Latimeria chalumnae,411.9,10570,False
Latimeria chalumnae,411.9,10571,False
Latimeria chalumnae,411.9,10572,False
Latimeria chalumnae,411.9,10573,False
Latimeria chalumnae,411.9,10574,False
Latimeria chalumnae,411.9,10575,False
Latimeria chalumnae,411.9,10576,False
Latimeria chalumnae,411.9,10577,False
Latimeria chalumnae,411.9,10578,False
Latimeria chalumnae,411.9,10579,False
Latimeria chalumnae,411.9,10580,False
Latimeria chalumnae,411.9,10581,False
Latimeria chalumnae,411.9,10582,False
Latimeria chalumnae,411.9,10583,False
Latimeria chalumnae,411.9,10584,False
Latimeria chalumnae,411.9,10585,False
Latimeria chalumnae,411.9,10586,False
Latimeria chalumnae,411.9,10587,False
Latimeria chalumnae,411.9,10588,False
Latimeria chalumnae,411.9,10589,False
Latimeria chalumnae,411.9,10590,False
Latimeria chalumnae,411.9,10591,False
Latimeria chalumnae,411.9,10592,False
Latimeria chalumnae,411.9,10593,False
Latimeria chalumnae,411.9,10594,False
Latimeria chalumnae,411.9,10595,False
Latimeria chalumnae,411.9,10596,False
Latimeria chalumnae,411.9,10597,False
Latimeria chalumnae,411.9,10598,False
Latimeria chalumnae,411.9,10599,False
Latimeria chalumnae,411.9,10600,False
Latimeria chalumnae,411.9,10601,False
Latimeria chalumnae,411.9,10602,False
Latimeria chalumnae,411.9,10603,False
Latimeria chalumnae,411.9,10604,False
Latimeria chalumnae,411.9,10605,False
Latimeria chalumnae,411.9,10606,False
Latimeria chalumnae,411.9,10607,False
Latimeria chalumnae,411.9,10608,False
Latimeria chalumnae,411.9,10609,False
Latimeria chalumnae,411.9,10610,False
Latimeria chalumnae,411.9,10611,False
Latimeria chalumnae,411.9,10612,False
Latimeria chalumnae,411.9,10613,False
Latimeria chalumnae,411.9,10614,False
Latimeria chalumnae,411.9,10615,False
Latimeria chalumnae,411.9,10616,False
Latimeria chalumnae,411.9,10617,False
Latimeria chalumnae,411.9,10618,False
Latimeria chalumnae,411.9,10619,False
Latimeria chalumnae,411.9,10620,False
Latimeria chalumnae,411.9,10621,False
Latimeria chalumnae,411.9,10622,False
Latimeria chalumnae,411.9,10623,False
Latimeria chalumnae,411.9,10624,False
Latimeria chalumnae,411.9,10625,False
Latimeria chalumnae,411.9,10626,False
Latimeria chalumnae,411.9,10627,False
Latimeria chalumnae,411.9,10628,False
Latimeria chalumnae,411.9,10629,False
Latimeria chalumnae,411.9,10630,False
Latimeria chalumnae,411.9,10631,False
Latimeria chalumnae,411.9,10632,False
Latimeria chalumnae,411.9,10633,False
Latimeria chalumnae,411.9,10634,False
Latimeria chalumnae,411.9,10635,False
Latimeria chalumnae,411.9,10636,False
Latimeria chalumnae,411.9,10637,False
Latimeria chalumnae,411.9,10638,False
Latimeria chalumnae,411.9,10639,False
Latimeria chalumnae,411.9,10640,False
Latimeria chalumnae,411.9,10641,False
Latimeria chalumnae,411.9,10642,False
Latimeria chalumnae,411.9,10643,False
Latimeria chalumnae,411.9,10644,False
Latimeria chalumnae,411.9,10645,False
Latimeria chalumnae,411.9,10646,False
Latimeria chalumnae,411.9,10647,False
Latimeria chalumnae,411.9,10648,False
Latimeria chalumnae,411.9,10649,False
Latimeria chalumnae,411.9,10650,False
Latimeria chalumnae,411.9,10651,False
Latimeria chalumnae,411.9,10652,False
Latimeria chalumnae,411.9,10653,False
Latimeria chalumnae,411.9,10654,False
Latimeria chalumnae,411.9,10655,False
Latimeria chalumnae,411.9,10656,False
Latimeria chalumnae,411.9,10657,False
Latimeria chalumnae,411.9,10658,False
Latimeria chalumnae,411.9,10659,False
Latimeria chalumnae,411.9,10660,False
Latimeria chalumnae,411.9,10661,False
Latimeria chalumnae,411.9,10662,False
Latimeria chalumnae,411.9,10663,False
Latimeria chalumnae,411.9,10664,False
Latimeria chalumnae,411.9,10665,False
Latimeria chalumnae,411.9,10666,False
Latimeria chalumnae,411.9,10667,False
Latimeria chalumnae,411.9,10668,False
