Species,timeFromHuman_MY,cluster,present
Latimeria chalumnae,411.9,4221,False
Latimeria chalumnae,411.9,3638,False
Latimeria chalumnae,411.9,706,False
Latimeria chalumnae,411.9,1007,False
Latimeria chalumnae,411.9,5129,False
Latimeria chalumnae,411.9,10877,False
Latimeria chalumnae,411.9,10878,False
Latimeria chalumnae,411.9,10879,False
Latimeria chalumnae,411.9,10880,False
Nanorana parkeri,355.7,4221,False
Nanorana parkeri,355.7,3638,False
Nanorana parkeri,355.7,706,False
Nanorana parkeri,355.7,1007,False
Nanorana parkeri,355.7,5129,False
Nanorana parkeri,355.7,10877,False
Nanorana parkeri,355.7,10878,False
Nanorana parkeri,355.7,10879,False
Nanorana parkeri,355.7,10880,False
Xenopus laevi,355.7,4221,False
Xenopus laevi,355.7,3638,False
Xenopus laevi,355.7,706,False
Xenopus laevi,355.7,1007,False
Xenopus laevi,355.7,5129,False
Xenopus laevi,355.7,10877,False
Xenopus laevi,355.7,10878,False
Xenopus laevi,355.7,10879,False
Xenopus laevi,355.7,10880,False
Xenopus tropicalis,355.7,4221,False
Xenopus tropicalis,355.7,3638,False
Xenopus tropicalis,355.7,706,False
Xenopus tropicalis,355.7,1007,False
Xenopus tropicalis,355.7,5129,False
Xenopus tropicalis,355.7,10877,False
Xenopus tropicalis,355.7,10878,False
Xenopus tropicalis,355.7,10879,False
Xenopus tropicalis,355.7,10880,False
Acanthisitta chloris,320.5,4221,False
Acanthisitta chloris,320.5,3638,True
Acanthisitta chloris,320.5,706,True
Acanthisitta chloris,320.5,1007,False
Acanthisitta chloris,320.5,5129,False
Acanthisitta chloris,320.5,10877,False
Acanthisitta chloris,320.5,10878,False
Acanthisitta chloris,320.5,10879,False
Acanthisitta chloris,320.5,10880,False
Alligator mississippiensis,320.5,4221,True
Alligator mississippiensis,320.5,3638,True
Alligator mississippiensis,320.5,706,False
Alligator mississippiensis,320.5,1007,False
Alligator mississippiensis,320.5,5129,True
Alligator mississippiensis,320.5,10877,False
Alligator mississippiensis,320.5,10878,False
Alligator mississippiensis,320.5,10879,False
Alligator mississippiensis,320.5,10880,False
Alligator sinensis,320.5,4221,True
Alligator sinensis,320.5,3638,True
Alligator sinensis,320.5,706,False
Alligator sinensis,320.5,1007,False
Alligator sinensis,320.5,5129,True
Alligator sinensis,320.5,10877,False
Alligator sinensis,320.5,10878,False
Alligator sinensis,320.5,10879,False
Alligator sinensis,320.5,10880,False
Amazona vittata,320.5,4221,True
Amazona vittata,320.5,3638,True
Amazona vittata,320.5,706,True
Amazona vittata,320.5,1007,False
Amazona vittata,320.5,5129,False
Amazona vittata,320.5,10877,False
Amazona vittata,320.5,10878,False
Amazona vittata,320.5,10879,False
Amazona vittata,320.5,10880,False
Anas platyrhynchos,320.5,4221,True
Anas platyrhynchos,320.5,3638,True
