Species,timeFromHuman_MY,cluster,present
Latimeria chalumnae,411.9,4221,False
Latimeria chalumnae,411.9,2706,False
Latimeria chalumnae,411.9,3638,False
Latimeria chalumnae,411.9,706,False
Latimeria chalumnae,411.9,926,False
Latimeria chalumnae,411.9,250,False
Latimeria chalumnae,411.9,3602,False
Latimeria chalumnae,411.9,396,False
Latimeria chalumnae,411.9,2208,False
Latimeria chalumnae,411.9,3591,False
Latimeria chalumnae,411.9,254,False
Latimeria chalumnae,411.9,2210,False
Latimeria chalumnae,411.9,2218,False
Latimeria chalumnae,411.9,2696,False
Latimeria chalumnae,411.9,2846,False
Latimeria chalumnae,411.9,320,False
Latimeria chalumnae,411.9,2703,False
Latimeria chalumnae,411.9,814,False
Latimeria chalumnae,411.9,853,False
Latimeria chalumnae,411.9,869,False
Latimeria chalumnae,411.9,900,False
Latimeria chalumnae,411.9,919,False
Latimeria chalumnae,411.9,2228,False
Latimeria chalumnae,411.9,2766,False
Latimeria chalumnae,411.9,812,False
Latimeria chalumnae,411.9,2162,False
Latimeria chalumnae,411.9,2207,False
Latimeria chalumnae,411.9,2219,False
Latimeria chalumnae,411.9,2224,False
Latimeria chalumnae,411.9,2236,False
Latimeria chalumnae,411.9,2659,False
Latimeria chalumnae,411.9,2682,False
Latimeria chalumnae,411.9,2695,False
Latimeria chalumnae,411.9,2698,False
Latimeria chalumnae,411.9,2699,False
Latimeria chalumnae,411.9,2742,False
Latimeria chalumnae,411.9,2745,False
Latimeria chalumnae,411.9,2767,False
Latimeria chalumnae,411.9,2799,False
Latimeria chalumnae,411.9,2804,False
Latimeria chalumnae,411.9,2877,False
Latimeria chalumnae,411.9,2957,False
Latimeria chalumnae,411.9,3617,False
Latimeria chalumnae,411.9,7902,False
Latimeria chalumnae,411.9,807,False
Latimeria chalumnae,411.9,808,False
Latimeria chalumnae,411.9,809,False
Latimeria chalumnae,411.9,810,False
Latimeria chalumnae,411.9,811,False
Latimeria chalumnae,411.9,815,False
Latimeria chalumnae,411.9,822,False
Latimeria chalumnae,411.9,824,False
Latimeria chalumnae,411.9,825,False
Latimeria chalumnae,411.9,826,False
Latimeria chalumnae,411.9,827,False
Latimeria chalumnae,411.9,828,False
Latimeria chalumnae,411.9,829,False
Latimeria chalumnae,411.9,830,False
Latimeria chalumnae,411.9,831,False
Latimeria chalumnae,411.9,835,False
Latimeria chalumnae,411.9,841,False
Latimeria chalumnae,411.9,842,False
Latimeria chalumnae,411.9,845,False
Latimeria chalumnae,411.9,846,False
Latimeria chalumnae,411.9,847,False
Latimeria chalumnae,411.9,849,False
Latimeria chalumnae,411.9,850,False
Latimeria chalumnae,411.9,852,False
Latimeria chalumnae,411.9,854,False
Latimeria chalumnae,411.9,855,False
Latimeria chalumnae,411.9,859,False
Latimeria chalumnae,411.9,860,False
Latimeria chalumnae,411.9,861,False
Latimeria chalumnae,411.9,862,False
Latimeria chalumnae,411.9,865,False
Latimeria chalumnae,411.9,866,False
Latimeria chalumnae,411.9,867,False
Latimeria chalumnae,411.9,870,False
Latimeria chalumnae,411.9,875,False
Latimeria chalumnae,411.9,876,False
Latimeria chalumnae,411.9,878,False
Latimeria chalumnae,411.9,880,False
Latimeria chalumnae,411.9,881,False
Latimeria chalumnae,411.9,882,False
Latimeria chalumnae,411.9,883,False
Latimeria chalumnae,411.9,884,False
Latimeria chalumnae,411.9,887,False
Latimeria chalumnae,411.9,888,False
Latimeria chalumnae,411.9,889,False
Latimeria chalumnae,411.9,891,False
Latimeria chalumnae,411.9,892,False
Latimeria chalumnae,411.9,893,False
Latimeria chalumnae,411.9,894,False
Latimeria chalumnae,411.9,897,False
Latimeria chalumnae,411.9,898,False
Latimeria chalumnae,411.9,899,False
Latimeria chalumnae,411.9,901,False
Latimeria chalumnae,411.9,902,False
Latimeria chalumnae,411.9,903,False
Latimeria chalumnae,411.9,904,False
Latimeria chalumnae,411.9,905,False
Latimeria chalumnae,411.9,907,False
Latimeria chalumnae,411.9,908,False
Latimeria chalumnae,411.9,909,False
Latimeria chalumnae,411.9,911,False
Latimeria chalumnae,411.9,913,False
Latimeria chalumnae,411.9,917,False
Latimeria chalumnae,411.9,918,False
Latimeria chalumnae,411.9,920,False
Latimeria chalumnae,411.9,2177,False
Latimeria chalumnae,411.9,2182,False
Latimeria chalumnae,411.9,2229,False
Latimeria chalumnae,411.9,2266,False
Latimeria chalumnae,411.9,2283,False
Latimeria chalumnae,411.9,2286,False
Latimeria chalumnae,411.9,2691,False
Latimeria chalumnae,411.9,2707,False
Latimeria chalumnae,411.9,2762,False
Latimeria chalumnae,411.9,2787,False
Latimeria chalumnae,411.9,2816,False
Latimeria chalumnae,411.9,2841,False
Latimeria chalumnae,411.9,2854,False
Latimeria chalumnae,411.9,2866,False
Latimeria chalumnae,411.9,2985,False
Latimeria chalumnae,411.9,9669,False
Latimeria chalumnae,411.9,11667,False
Latimeria chalumnae,411.9,11668,False
Latimeria chalumnae,411.9,11669,False
Latimeria chalumnae,411.9,11670,False
Latimeria chalumnae,411.9,11671,False
Latimeria chalumnae,411.9,11672,False
Latimeria chalumnae,411.9,11673,False
Latimeria chalumnae,411.9,11674,False
Latimeria chalumnae,411.9,11675,False
Latimeria chalumnae,411.9,11676,False
Latimeria chalumnae,411.9,11677,False
Latimeria chalumnae,411.9,11678,False
Latimeria chalumnae,411.9,11679,False
Latimeria chalumnae,411.9,11680,False
Latimeria chalumnae,411.9,11681,False
Latimeria chalumnae,411.9,11682,False
Latimeria chalumnae,411.9,11683,False
Latimeria chalumnae,411.9,11684,False
Latimeria chalumnae,411.9,11685,False
Latimeria chalumnae,411.9,11686,False
Latimeria chalumnae,411.9,11687,False
Latimeria chalumnae,411.9,11688,False
Latimeria chalumnae,411.9,11689,False
Latimeria chalumnae,411.9,11690,False
Latimeria chalumnae,411.9,11691,False
Latimeria chalumnae,411.9,11692,False
Latimeria chalumnae,411.9,11693,False
Latimeria chalumnae,411.9,11694,False
Latimeria chalumnae,411.9,11695,False
Latimeria chalumnae,411.9,11696,False
Latimeria chalumnae,411.9,11697,False
Latimeria chalumnae,411.9,11698,False
