Species,timeFromHuman_MY,cluster,present
Latimeria chalumnae,411.9,250,False
Latimeria chalumnae,411.9,12092,False
Latimeria chalumnae,411.9,9977,False
Nanorana parkeri,355.7,250,False
Nanorana parkeri,355.7,12092,False
Nanorana parkeri,355.7,9977,False
Xenopus laevi,355.7,250,False
Xenopus laevi,355.7,12092,False
Xenopus laevi,355.7,9977,False
Xenopus tropicalis,355.7,250,False
Xenopus tropicalis,355.7,12092,False
Xenopus tropicalis,355.7,9977,False
Acanthisitta chloris,320.5,250,False
Acanthisitta chloris,320.5,12092,False
Acanthisitta chloris,320.5,9977,False
Alligator mississippiensis,320.5,250,True
Alligator mississippiensis,320.5,12092,False
Alligator mississippiensis,320.5,9977,False
Alligator sinensis,320.5,250,True
Alligator sinensis,320.5,12092,False
Alligator sinensis,320.5,9977,False
Amazona vittata,320.5,250,False
Amazona vittata,320.5,12092,False
Amazona vittata,320.5,9977,False
Anas platyrhynchos,320.5,250,False
Anas platyrhynchos,320.5,12092,True
Anas platyrhynchos,320.5,9977,False
Anolis carolinensis,320.5,250,False
Anolis carolinensis,320.5,12092,False
Anolis carolinensis,320.5,9977,False
Anser cygnoides domesticus,320.5,250,False
Anser cygnoides domesticus,320.5,12092,True
Anser cygnoides domesticus,320.5,9977,False
Antrostomus carolinensis,320.5,250,False
Antrostomus carolinensis,320.5,12092,False
Antrostomus carolinensis,320.5,9977,False
Apalone spinifera,320.5,250,True
Apalone spinifera,320.5,12092,False
Apalone spinifera,320.5,9977,False
Aptenodytes forsteri,320.5,250,True
Aptenodytes forsteri,320.5,12092,False
Aptenodytes forsteri,320.5,9977,True
Apteryx australis mantelli,320.5,250,True
Apteryx australis mantelli,320.5,12092,False
Apteryx australis mantelli,320.5,9977,True
Aquila chrysaetos,320.5,250,True
Aquila chrysaetos,320.5,12092,True
Aquila chrysaetos,320.5,9977,False
Ara macao,320.5,250,False
Ara macao,320.5,12092,False
Ara macao,320.5,9977,False
Balearica regulorum gibbericeps,320.5,250,False
Balearica regulorum gibbericeps,320.5,12092,True
Balearica regulorum gibbericeps,320.5,9977,True
Calypte anna,320.5,250,False
Calypte anna,320.5,12092,False
Calypte anna,320.5,9977,False
Caprimulgus carolinensis,320.5,250,False
Caprimulgus carolinensis,320.5,12092,False
Caprimulgus carolinensis,320.5,9977,False
Cariama cristata,320.5,250,True
Cariama cristata,320.5,12092,True
Cariama cristata,320.5,9977,False
Cathartes aura,320.5,250,True
Cathartes aura,320.5,12092,True
Cathartes aura,320.5,9977,False
Chaetura pelagica,320.5,250,False
Chaetura pelagica,320.5,12092,False
Chaetura pelagica,320.5,9977,False
Charadrius vociferus,320.5,250,True
Charadrius vociferus,320.5,12092,False
Charadrius vociferus,320.5,9977,True
Chelonia mydas,320.5,250,True
Chelonia mydas,320.5,12092,False
Chelonia mydas,320.5,9977,False
Chlamydotis macqueenii,320.5,250,False
Chlamydotis macqueenii,320.5,12092,False
Chlamydotis macqueenii,320.5,9977,False
Chrysemys picta bellii,320.5,250,True
Chrysemys picta bellii,320.5,12092,False
Chrysemys picta bellii,320.5,9977,False
Colinus virginianus,320.5,250,False
Colinus virginianus,320.5,12092,False
Colinus virginianus,320.5,9977,False
Colius striatus,320.5,250,False
Colius striatus,320.5,12092,False
Colius striatus,320.5,9977,False
Columba livia,320.5,250,False
Columba livia,320.5,12092,False
Columba livia,320.5,9977,False
Corvus brachyrhynchos,320.5,250,False
Corvus brachyrhynchos,320.5,12092,False
Corvus brachyrhynchos,320.5,9977,False
Corvus cornix cornix,320.5,250,False
Corvus cornix cornix,320.5,12092,False
Corvus cornix cornix,320.5,9977,False
Crocodylus porosus,320.5,250,True
Crocodylus porosus,320.5,12092,False
Crocodylus porosus,320.5,9977,False
Crotalus mitchellii,320.5,250,False
Crotalus mitchellii,320.5,12092,False
Crotalus mitchellii,320.5,9977,False
Cuculus canorus,320.5,250,False
Cuculus canorus,320.5,12092,False
Cuculus canorus,320.5,9977,False
Egretta garzetta,320.5,250,False
Egretta garzetta,320.5,12092,False
Egretta garzetta,320.5,9977,False
Eurypyga helias,320.5,250,False
Eurypyga helias,320.5,12092,False
Eurypyga helias,320.5,9977,False
Falco cherrug,320.5,250,False
Falco cherrug,320.5,12092,False
Falco cherrug,320.5,9977,False
Falco peregrinus,320.5,250,False
Falco peregrinus,320.5,12092,False
Falco peregrinus,320.5,9977,False
Ficedula albicollis,320.5,250,False
Ficedula albicollis,320.5,12092,False
Ficedula albicollis,320.5,9977,False
Fulmarus glacialis,320.5,250,True
Fulmarus glacialis,320.5,12092,True
Fulmarus glacialis,320.5,9977,True
Gallus gallus,320.5,250,False
Gallus gallus,320.5,12092,False
Gallus gallus,320.5,9977,False
Gavia stellata,320.5,250,True
Gavia stellata,320.5,12092,False
Gavia stellata,320.5,9977,True
Gavialis gangeticus,320.5,250,True
Gavialis gangeticus,320.5,12092,False
Gavialis gangeticus,320.5,9977,False
Geospiza fortis,320.5,250,False
Geospiza fortis,320.5,12092,False
Geospiza fortis,320.5,9977,False
Haliaeetus albicilla,320.5,250,True
Haliaeetus albicilla,320.5,12092,True
Haliaeetus albicilla,320.5,9977,False
Haliaeetus leucocephalus,320.5,250,False
Haliaeetus leucocephalus,320.5,12092,False
Haliaeetus leucocephalus,320.5,9977,False
Leptosomus discolor,320.5,250,False
Leptosomus discolor,320.5,12092,False
Leptosomus discolor,320.5,9977,False
Manacus vitellinus,320.5,250,False
Manacus vitellinus,320.5,12092,False
Manacus vitellinus,320.5,9977,False
Meleagris gallopavo,320.5,250,False
Meleagris gallopavo,320.5,12092,False
Meleagris gallopavo,320.5,9977,False
Melopsittacus undulatus,320.5,250,False
Melopsittacus undulatus,320.5,12092,False
Melopsittacus undulatus,320.5,9977,False
Mesitornis unicolor,320.5,250,False
Mesitornis unicolor,320.5,12092,False
Mesitornis unicolor,320.5,9977,False
Nestor notabilis,320.5,250,False
Nestor notabilis,320.5,12092,False
Nestor notabilis,320.5,9977,True
Nipponia nippon,320.5,250,False
Nipponia nippon,320.5,12092,False
Nipponia nippon,320.5,9977,True
Ophiophagus hannah,320.5,250,False
Ophiophagus hannah,320.5,12092,False
Ophiophagus hannah,320.5,9977,False
Ophisaurus gracilis,320.5,250,False
Ophisaurus gracilis,320.5,12092,False
Ophisaurus gracilis,320.5,9977,False
Opisthocomus hoazin,320.5,250,False
Opisthocomus hoazin,320.5,12092,False
Opisthocomus hoazin,320.5,9977,False
Pelecanus crispus,320.5,250,False
Pelecanus crispus,320.5,12092,True
Pelecanus crispus,320.5,9977,True
Pelodiscus sinensis,320.5,250,True
Pelodiscus sinensis,320.5,12092,False
Pelodiscus sinensis,320.5,9977,False
Phaethon lepturus,320.5,250,True
Phaethon lepturus,320.5,12092,False
Phaethon lepturus,320.5,9977,True
Phalacrocorax carbo,320.5,250,True
Phalacrocorax carbo,320.5,12092,True
Phalacrocorax carbo,320.5,9977,True
Phoenicopterus ruber ruber,320.5,250,True
Phoenicopterus ruber ruber,320.5,12092,True
Phoenicopterus ruber ruber,320.5,9977,True
Picoides pubescens,320.5,250,False
Picoides pubescens,320.5,12092,False
Picoides pubescens,320.5,9977,False
Podiceps cristatus,320.5,250,True
Podiceps cristatus,320.5,12092,True
Podiceps cristatus,320.5,9977,False
Pogona vitticeps,320.5,250,False
Pogona vitticeps,320.5,12092,False
Pogona vitticeps,320.5,9977,False
Pseudopoces humilis,320.5,250,False
Pseudopoces humilis,320.5,12092,False
Pseudopoces humilis,320.5,9977,False
Pseudopodoces humilis,320.5,250,False
Pseudopodoces humilis,320.5,12092,False
Pseudopodoces humilis,320.5,9977,False
Pterocles gutturalis,320.5,250,False
Pterocles gutturalis,320.5,12092,False
Pterocles gutturalis,320.5,9977,False
Pygoscelis adeliae,320.5,250,True
Pygoscelis adeliae,320.5,12092,True
Pygoscelis adeliae,320.5,9977,False
Python molurus bivittatus,320.5,250,False
Python molurus bivittatus,320.5,12092,False
Python molurus bivittatus,320.5,9977,False
Serinus canaria,320.5,250,False
Serinus canaria,320.5,12092,False
Serinus canaria,320.5,9977,False
Struthio camelus australis,320.5,250,True
Struthio camelus australis,320.5,12092,True
Struthio camelus australis,320.5,9977,True
Taeniopygia guttata,320.5,250,False
Taeniopygia guttata,320.5,12092,False
Taeniopygia guttata,320.5,9977,False
Tauraco erythrolophus,320.5,250,False
Tauraco erythrolophus,320.5,12092,False
Tauraco erythrolophus,320.5,9977,False
Thamnophis sirtalis,320.5,250,False
Thamnophis sirtalis,320.5,12092,False
Thamnophis sirtalis,320.5,9977,False
Tinamus guttatus,320.5,250,False
Tinamus guttatus,320.5,12092,False
Tinamus guttatus,320.5,9977,False
Tyto alba,320.5,250,False
Tyto alba,320.5,12092,False
Tyto alba,320.5,9977,False
Vipera berus berus,320.5,250,False
Vipera berus berus,320.5,12092,False
Vipera berus berus,320.5,9977,False
Zonotrichia albicollis,320.5,250,False
Zonotrichia albicollis,320.5,12092,False
Zonotrichia albicollis,320.5,9977,False
Ornithorhynchus anatinus,179.2,250,False
Ornithorhynchus anatinus,179.2,12092,False
Ornithorhynchus anatinus,179.2,9977,False
Macropus eugenii,163.7,250,False
Macropus eugenii,163.7,12092,False
Macropus eugenii,163.7,9977,False
Monodelphis domestica,163.7,250,False
Monodelphis domestica,163.7,12092,False
Monodelphis domestica,163.7,9977,False
Sarcophilus harrisii,163.7,250,False
Sarcophilus harrisii,163.7,12092,False
Sarcophilus harrisii,163.7,9977,False
Choloepus hoffmanni,105.0,250,False
Choloepus hoffmanni,105.0,12092,False
Choloepus hoffmanni,105.0,9977,False
Chrysochloris asiatica,105.0,250,False
Chrysochloris asiatica,105.0,12092,False
Chrysochloris asiatica,105.0,9977,False
Dasypus novemcinctus,105.0,250,False
Dasypus novemcinctus,105.0,12092,False
Dasypus novemcinctus,105.0,9977,False
Echinops telfairi,105.0,250,False
Echinops telfairi,105.0,12092,False
Echinops telfairi,105.0,9977,False
Elephantulus edwardii,105.0,250,False
Elephantulus edwardii,105.0,12092,False
Elephantulus edwardii,105.0,9977,False
Loxodonta africana,105.0,250,False
Loxodonta africana,105.0,12092,False
Loxodonta africana,105.0,9977,False
Orycteropus afer,105.0,250,False
Orycteropus afer,105.0,12092,False
Orycteropus afer,105.0,9977,False
Procavia capensis,105.0,250,False
Procavia capensis,105.0,12092,False
Procavia capensis,105.0,9977,False
Trichechus manatus latirostris,105.0,250,False
Trichechus manatus latirostris,105.0,12092,False
Trichechus manatus latirostris,105.0,9977,False
Ailuropoda melanoleuca,97.5,250,False
Ailuropoda melanoleuca,97.5,12092,False
Ailuropoda melanoleuca,97.5,9977,False
Balaenoptera acutorostrata scammoni,97.5,250,False
Balaenoptera acutorostrata scammoni,97.5,12092,False
Balaenoptera acutorostrata scammoni,97.5,9977,False
Balaenoptera bonaerensis,97.5,250,False
Balaenoptera bonaerensis,97.5,12092,False
Balaenoptera bonaerensis,97.5,9977,False
Bison bison bison,97.5,250,False
Bison bison bison,97.5,12092,False
Bison bison bison,97.5,9977,False
Bos indicus,97.5,250,False
Bos indicus,97.5,12092,False
Bos indicus,97.5,9977,False
Bos mutus,97.5,250,False
Bos mutus,97.5,12092,False
Bos mutus,97.5,9977,False
Bos taurus,97.5,250,False
Bos taurus,97.5,12092,False
Bos taurus,97.5,9977,False
Bubalus bubalis,97.5,250,False
Bubalus bubalis,97.5,12092,False
Bubalus bubalis,97.5,9977,False
Camelus bactrianus,97.5,250,False
Camelus bactrianus,97.5,12092,False
Camelus bactrianus,97.5,9977,False
Camelus dromedarius,97.5,250,False
Camelus dromedarius,97.5,12092,False
Camelus dromedarius,97.5,9977,False
Camelus ferus,97.5,250,False
Camelus ferus,97.5,12092,False
Camelus ferus,97.5,9977,False
Canis familiaris,97.5,250,False
Canis familiaris,97.5,12092,False
Canis familiaris,97.5,9977,False
Capra aegagrus,97.5,250,False
Capra aegagrus,97.5,12092,False
Capra aegagrus,97.5,9977,False
Capra hircus,97.5,250,False
Capra hircus,97.5,12092,False
Capra hircus,97.5,9977,False
Capreolus capreolus,97.5,250,False
Capreolus capreolus,97.5,12092,False
Capreolus capreolus,97.5,9977,False
Ceratotherium simum,97.5,250,False
Ceratotherium simum,97.5,12092,False
Ceratotherium simum,97.5,9977,False
Condylura cristata,97.5,250,False
