Species,timeFromHuman_MY,cluster,present
Latimeria chalumnae,411.9,3638,False
Latimeria chalumnae,411.9,1007,False
Latimeria chalumnae,411.9,250,False
Latimeria chalumnae,411.9,12092,False
Latimeria chalumnae,411.9,9977,False
Latimeria chalumnae,411.9,1519,False
Nanorana parkeri,355.7,3638,False
Nanorana parkeri,355.7,1007,False
Nanorana parkeri,355.7,250,False
Nanorana parkeri,355.7,12092,False
Nanorana parkeri,355.7,9977,False
Nanorana parkeri,355.7,1519,False
Xenopus laevi,355.7,3638,False
Xenopus laevi,355.7,1007,False
Xenopus laevi,355.7,250,False
Xenopus laevi,355.7,12092,False
Xenopus laevi,355.7,9977,False
Xenopus laevi,355.7,1519,False
Xenopus tropicalis,355.7,3638,False
Xenopus tropicalis,355.7,1007,False
Xenopus tropicalis,355.7,250,False
Xenopus tropicalis,355.7,12092,False
Xenopus tropicalis,355.7,9977,False
Xenopus tropicalis,355.7,1519,False
Acanthisitta chloris,320.5,3638,True
Acanthisitta chloris,320.5,1007,False
Acanthisitta chloris,320.5,250,False
Acanthisitta chloris,320.5,12092,False
Acanthisitta chloris,320.5,9977,False
Acanthisitta chloris,320.5,1519,False
Alligator mississippiensis,320.5,3638,True
Alligator mississippiensis,320.5,1007,False
Alligator mississippiensis,320.5,250,True
Alligator mississippiensis,320.5,12092,False
Alligator mississippiensis,320.5,9977,False
Alligator mississippiensis,320.5,1519,False
Alligator sinensis,320.5,3638,True
Alligator sinensis,320.5,1007,False
Alligator sinensis,320.5,250,True
Alligator sinensis,320.5,12092,False
Alligator sinensis,320.5,9977,False
Alligator sinensis,320.5,1519,False
Amazona vittata,320.5,3638,True
Amazona vittata,320.5,1007,False
Amazona vittata,320.5,250,False
Amazona vittata,320.5,12092,False
Amazona vittata,320.5,9977,False
Amazona vittata,320.5,1519,False
Anas platyrhynchos,320.5,3638,True
Anas platyrhynchos,320.5,1007,True
Anas platyrhynchos,320.5,250,False
Anas platyrhynchos,320.5,12092,True
Anas platyrhynchos,320.5,9977,False
Anas platyrhynchos,320.5,1519,False
Anolis carolinensis,320.5,3638,True
Anolis carolinensis,320.5,1007,False
Anolis carolinensis,320.5,250,False
Anolis carolinensis,320.5,12092,False
Anolis carolinensis,320.5,9977,False
Anolis carolinensis,320.5,1519,False
Anser cygnoides domesticus,320.5,3638,False
Anser cygnoides domesticus,320.5,1007,True
Anser cygnoides domesticus,320.5,250,False
Anser cygnoides domesticus,320.5,12092,True
Anser cygnoides domesticus,320.5,9977,False
Anser cygnoides domesticus,320.5,1519,False
Antrostomus carolinensis,320.5,3638,False
Antrostomus carolinensis,320.5,1007,True
Antrostomus carolinensis,320.5,250,False
Antrostomus carolinensis,320.5,12092,False
Antrostomus carolinensis,320.5,9977,False
Antrostomus carolinensis,320.5,1519,False
Apalone spinifera,320.5,3638,True
Apalone spinifera,320.5,1007,False
Apalone spinifera,320.5,250,True
Apalone spinifera,320.5,12092,False
Apalone spinifera,320.5,9977,False
Apalone spinifera,320.5,1519,False
