Species,timeFromHuman_MY,cluster,present
Latimeria chalumnae,411.9,4221,False
Latimeria chalumnae,411.9,8903,False
Latimeria chalumnae,411.9,3638,False
Latimeria chalumnae,411.9,5129,False
Latimeria chalumnae,411.9,926,False
Latimeria chalumnae,411.9,6061,False
Latimeria chalumnae,411.9,3627,False
Latimeria chalumnae,411.9,5558,False
Latimeria chalumnae,411.9,15053,False
Latimeria chalumnae,411.9,3602,False
Latimeria chalumnae,411.9,5705,False
Latimeria chalumnae,411.9,396,False
Latimeria chalumnae,411.9,2208,False
Latimeria chalumnae,411.9,15065,False
Latimeria chalumnae,411.9,392,False
Latimeria chalumnae,411.9,3770,False
Latimeria chalumnae,411.9,12857,False
Latimeria chalumnae,411.9,14376,False
Latimeria chalumnae,411.9,14368,False
Latimeria chalumnae,411.9,15019,False
Latimeria chalumnae,411.9,454,False
Latimeria chalumnae,411.9,12161,False
Latimeria chalumnae,411.9,12407,False
Latimeria chalumnae,411.9,12851,False
Latimeria chalumnae,411.9,12906,False
Latimeria chalumnae,411.9,15018,False
Latimeria chalumnae,411.9,15022,False
Latimeria chalumnae,411.9,12133,False
Latimeria chalumnae,411.9,12158,False
Latimeria chalumnae,411.9,12159,False
Latimeria chalumnae,411.9,12404,False
Latimeria chalumnae,411.9,12957,False
Latimeria chalumnae,411.9,15073,False
Latimeria chalumnae,411.9,480,False
Latimeria chalumnae,411.9,12181,False
Latimeria chalumnae,411.9,12190,False
Latimeria chalumnae,411.9,12250,False
Latimeria chalumnae,411.9,12850,False
Latimeria chalumnae,411.9,12853,False
Latimeria chalumnae,411.9,12896,False
Latimeria chalumnae,411.9,12983,False
Latimeria chalumnae,411.9,12992,False
Latimeria chalumnae,411.9,439,False
Latimeria chalumnae,411.9,473,False
Latimeria chalumnae,411.9,536,False
Latimeria chalumnae,411.9,622,False
Latimeria chalumnae,411.9,9546,False
Latimeria chalumnae,411.9,12145,False
Latimeria chalumnae,411.9,12148,False
Latimeria chalumnae,411.9,12182,False
Latimeria chalumnae,411.9,12248,False
Latimeria chalumnae,411.9,12267,False
Latimeria chalumnae,411.9,12268,False
Latimeria chalumnae,411.9,12403,False
Latimeria chalumnae,411.9,12405,False
Latimeria chalumnae,411.9,12915,False
Latimeria chalumnae,411.9,14343,False
Latimeria chalumnae,411.9,12127,False
Latimeria chalumnae,411.9,12128,False
Latimeria chalumnae,411.9,12129,False
Latimeria chalumnae,411.9,12130,False
Latimeria chalumnae,411.9,12131,False
Latimeria chalumnae,411.9,12132,False
Latimeria chalumnae,411.9,12134,False
Latimeria chalumnae,411.9,12135,False
Latimeria chalumnae,411.9,12136,False
Latimeria chalumnae,411.9,12137,False
Latimeria chalumnae,411.9,12138,False
Latimeria chalumnae,411.9,12139,False
Latimeria chalumnae,411.9,12140,False
Latimeria chalumnae,411.9,12141,False
Latimeria chalumnae,411.9,12142,False
Latimeria chalumnae,411.9,12143,False
Latimeria chalumnae,411.9,12144,False
Latimeria chalumnae,411.9,12146,False
Latimeria chalumnae,411.9,12147,False
Latimeria chalumnae,411.9,12149,False
Latimeria chalumnae,411.9,12150,False
Latimeria chalumnae,411.9,12151,False
Latimeria chalumnae,411.9,12152,False
Latimeria chalumnae,411.9,12153,False
Latimeria chalumnae,411.9,12154,False
Latimeria chalumnae,411.9,12155,False
Latimeria chalumnae,411.9,12156,False
Latimeria chalumnae,411.9,12157,False
Latimeria chalumnae,411.9,12160,False
Latimeria chalumnae,411.9,12162,False
Latimeria chalumnae,411.9,12163,False
Latimeria chalumnae,411.9,12164,False
Latimeria chalumnae,411.9,12165,False
Latimeria chalumnae,411.9,12166,False
Latimeria chalumnae,411.9,12167,False
Latimeria chalumnae,411.9,12168,False
Latimeria chalumnae,411.9,12169,False
Latimeria chalumnae,411.9,12170,False
Latimeria chalumnae,411.9,12171,False
Latimeria chalumnae,411.9,12172,False
Latimeria chalumnae,411.9,12173,False
Latimeria chalumnae,411.9,12174,False
Latimeria chalumnae,411.9,12175,False
Latimeria chalumnae,411.9,12176,False
Latimeria chalumnae,411.9,12177,False
Latimeria chalumnae,411.9,12178,False
Latimeria chalumnae,411.9,12179,False
Latimeria chalumnae,411.9,12180,False
Latimeria chalumnae,411.9,12183,False
Latimeria chalumnae,411.9,12184,False
Latimeria chalumnae,411.9,12185,False
Latimeria chalumnae,411.9,12186,False
Latimeria chalumnae,411.9,12187,False
Latimeria chalumnae,411.9,12188,False
Latimeria chalumnae,411.9,12189,False
Latimeria chalumnae,411.9,12191,False
Latimeria chalumnae,411.9,12192,False
Latimeria chalumnae,411.9,12193,False
Latimeria chalumnae,411.9,12194,False
Latimeria chalumnae,411.9,12195,False
Latimeria chalumnae,411.9,12196,False
Latimeria chalumnae,411.9,12197,False
Latimeria chalumnae,411.9,12198,False
Latimeria chalumnae,411.9,12199,False
Latimeria chalumnae,411.9,12200,False
Latimeria chalumnae,411.9,12201,False
Latimeria chalumnae,411.9,12202,False
Latimeria chalumnae,411.9,12203,False
Latimeria chalumnae,411.9,12204,False
Latimeria chalumnae,411.9,12205,False
Latimeria chalumnae,411.9,12206,False
Latimeria chalumnae,411.9,12207,False
Latimeria chalumnae,411.9,12208,False
Latimeria chalumnae,411.9,12209,False
Latimeria chalumnae,411.9,12210,False
Latimeria chalumnae,411.9,12211,False
Latimeria chalumnae,411.9,12212,False
Latimeria chalumnae,411.9,12213,False
Latimeria chalumnae,411.9,12214,False
Latimeria chalumnae,411.9,12215,False
Latimeria chalumnae,411.9,12216,False
Latimeria chalumnae,411.9,12217,False
Latimeria chalumnae,411.9,12218,False
Latimeria chalumnae,411.9,12219,False
Latimeria chalumnae,411.9,12220,False
Latimeria chalumnae,411.9,12221,False
Latimeria chalumnae,411.9,12222,False
Latimeria chalumnae,411.9,12223,False
Latimeria chalumnae,411.9,12224,False
Latimeria chalumnae,411.9,12225,False
Latimeria chalumnae,411.9,12226,False
Latimeria chalumnae,411.9,12227,False
Latimeria chalumnae,411.9,12228,False
Latimeria chalumnae,411.9,12229,False
Latimeria chalumnae,411.9,12230,False
Latimeria chalumnae,411.9,12231,False
Latimeria chalumnae,411.9,12232,False
Latimeria chalumnae,411.9,12233,False
Latimeria chalumnae,411.9,12234,False
Latimeria chalumnae,411.9,12235,False
Latimeria chalumnae,411.9,12236,False
Latimeria chalumnae,411.9,12237,False
Latimeria chalumnae,411.9,12238,False
Latimeria chalumnae,411.9,12239,False
Latimeria chalumnae,411.9,12240,False
Latimeria chalumnae,411.9,12241,False
Latimeria chalumnae,411.9,12242,False
Latimeria chalumnae,411.9,12243,False
Latimeria chalumnae,411.9,12244,False
Latimeria chalumnae,411.9,12245,False
Latimeria chalumnae,411.9,12246,False
Latimeria chalumnae,411.9,12247,False
Latimeria chalumnae,411.9,12249,False
Latimeria chalumnae,411.9,12251,False
Latimeria chalumnae,411.9,12252,False
Latimeria chalumnae,411.9,12253,False
Latimeria chalumnae,411.9,12254,False
Latimeria chalumnae,411.9,12255,False
Latimeria chalumnae,411.9,12256,False
Latimeria chalumnae,411.9,12257,False
Latimeria chalumnae,411.9,12258,False
Latimeria chalumnae,411.9,12259,False
Latimeria chalumnae,411.9,12260,False
Latimeria chalumnae,411.9,12261,False
Latimeria chalumnae,411.9,12262,False
Latimeria chalumnae,411.9,12263,False
Latimeria chalumnae,411.9,12264,False
Latimeria chalumnae,411.9,12265,False
Latimeria chalumnae,411.9,12266,False
Latimeria chalumnae,411.9,12269,False
Latimeria chalumnae,411.9,12270,False
Latimeria chalumnae,411.9,12271,False
Latimeria chalumnae,411.9,12272,False
Latimeria chalumnae,411.9,12273,False
Latimeria chalumnae,411.9,12274,False
Latimeria chalumnae,411.9,12275,False
Latimeria chalumnae,411.9,12276,False
Latimeria chalumnae,411.9,12277,False
Latimeria chalumnae,411.9,12278,False
Latimeria chalumnae,411.9,12279,False
Latimeria chalumnae,411.9,12280,False
Latimeria chalumnae,411.9,12281,False
Latimeria chalumnae,411.9,12282,False
Latimeria chalumnae,411.9,12283,False
Latimeria chalumnae,411.9,12284,False
Latimeria chalumnae,411.9,12285,False
Latimeria chalumnae,411.9,12286,False
Latimeria chalumnae,411.9,12287,False
Latimeria chalumnae,411.9,12288,False
Latimeria chalumnae,411.9,12289,False
Latimeria chalumnae,411.9,12290,False
Latimeria chalumnae,411.9,12291,False
Latimeria chalumnae,411.9,12292,False
Latimeria chalumnae,411.9,12293,False
Latimeria chalumnae,411.9,12294,False
Latimeria chalumnae,411.9,12295,False
Latimeria chalumnae,411.9,12296,False
Latimeria chalumnae,411.9,12297,False
Latimeria chalumnae,411.9,12298,False
Latimeria chalumnae,411.9,12299,False
Latimeria chalumnae,411.9,12300,False
Latimeria chalumnae,411.9,12301,False
Latimeria chalumnae,411.9,12302,False
Latimeria chalumnae,411.9,12303,False
Latimeria chalumnae,411.9,12304,False
Latimeria chalumnae,411.9,12305,False
Latimeria chalumnae,411.9,12306,False
Latimeria chalumnae,411.9,12307,False
Latimeria chalumnae,411.9,12308,False
Latimeria chalumnae,411.9,12309,False
Latimeria chalumnae,411.9,12310,False
Latimeria chalumnae,411.9,12311,False
Latimeria chalumnae,411.9,12312,False
Latimeria chalumnae,411.9,12313,False
Latimeria chalumnae,411.9,12314,False
Latimeria chalumnae,411.9,12315,False
Latimeria chalumnae,411.9,12316,False
Latimeria chalumnae,411.9,12317,False
Latimeria chalumnae,411.9,12318,False
Latimeria chalumnae,411.9,12319,False
Latimeria chalumnae,411.9,12320,False
Latimeria chalumnae,411.9,12321,False
Latimeria chalumnae,411.9,12322,False
Latimeria chalumnae,411.9,12323,False
Latimeria chalumnae,411.9,12324,False
Latimeria chalumnae,411.9,12325,False
Latimeria chalumnae,411.9,12326,False
Latimeria chalumnae,411.9,12327,False
Latimeria chalumnae,411.9,12328,False
Latimeria chalumnae,411.9,12329,False
Latimeria chalumnae,411.9,12330,False
Latimeria chalumnae,411.9,12331,False
Latimeria chalumnae,411.9,12332,False
Latimeria chalumnae,411.9,12333,False
Latimeria chalumnae,411.9,12334,False
Latimeria chalumnae,411.9,12335,False
Latimeria chalumnae,411.9,12336,False
Latimeria chalumnae,411.9,12337,False
Latimeria chalumnae,411.9,12338,False
Latimeria chalumnae,411.9,12339,False
Latimeria chalumnae,411.9,12340,False
Latimeria chalumnae,411.9,12341,False
Latimeria chalumnae,411.9,12342,False
Latimeria chalumnae,411.9,12343,False
Latimeria chalumnae,411.9,12344,False
Latimeria chalumnae,411.9,12345,False
Latimeria chalumnae,411.9,12346,False
Latimeria chalumnae,411.9,12347,False
Latimeria chalumnae,411.9,12348,False
Latimeria chalumnae,411.9,12349,False
Latimeria chalumnae,411.9,12350,False
Latimeria chalumnae,411.9,12351,False
Latimeria chalumnae,411.9,12352,False
Latimeria chalumnae,411.9,12353,False
Latimeria chalumnae,411.9,12354,False
Latimeria chalumnae,411.9,12355,False
Latimeria chalumnae,411.9,12356,False
Latimeria chalumnae,411.9,12357,False
Latimeria chalumnae,411.9,12358,False
Latimeria chalumnae,411.9,12359,False
Latimeria chalumnae,411.9,12360,False
Latimeria chalumnae,411.9,12361,False
Latimeria chalumnae,411.9,12362,False
Latimeria chalumnae,411.9,12363,False
Latimeria chalumnae,411.9,12364,False
Latimeria chalumnae,411.9,12365,False
Latimeria chalumnae,411.9,12366,False
Latimeria chalumnae,411.9,12367,False
Latimeria chalumnae,411.9,12368,False
Latimeria chalumnae,411.9,12369,False
Latimeria chalumnae,411.9,12370,False
Latimeria chalumnae,411.9,12371,False
Latimeria chalumnae,411.9,12372,False
Latimeria chalumnae,411.9,12373,False
Latimeria chalumnae,411.9,12374,False
Latimeria chalumnae,411.9,12375,False
Latimeria chalumnae,411.9,12376,False
Latimeria chalumnae,411.9,12377,False
Latimeria chalumnae,411.9,12378,False
Latimeria chalumnae,411.9,12379,False
Latimeria chalumnae,411.9,12380,False
Latimeria chalumnae,411.9,12381,False
Latimeria chalumnae,411.9,12382,False
Latimeria chalumnae,411.9,12383,False
Latimeria chalumnae,411.9,12384,False
Latimeria chalumnae,411.9,12385,False
Latimeria chalumnae,411.9,12386,False
Latimeria chalumnae,411.9,12387,False
Latimeria chalumnae,411.9,12388,False
Latimeria chalumnae,411.9,12389,False
Latimeria chalumnae,411.9,12390,False
Latimeria chalumnae,411.9,12391,False
Latimeria chalumnae,411.9,12392,False
Latimeria chalumnae,411.9,12393,False
Latimeria chalumnae,411.9,12394,False
Latimeria chalumnae,411.9,12395,False
Latimeria chalumnae,411.9,12396,False
Latimeria chalumnae,411.9,12397,False
Latimeria chalumnae,411.9,12398,False
Latimeria chalumnae,411.9,12399,False
Latimeria chalumnae,411.9,12400,False
Latimeria chalumnae,411.9,12401,False
Latimeria chalumnae,411.9,12402,False
Latimeria chalumnae,411.9,12406,False
Latimeria chalumnae,411.9,12408,False
Latimeria chalumnae,411.9,12409,False
Latimeria chalumnae,411.9,12410,False
Latimeria chalumnae,411.9,12411,False
Latimeria chalumnae,411.9,12412,False
Latimeria chalumnae,411.9,12413,False
Latimeria chalumnae,411.9,12414,False
Latimeria chalumnae,411.9,12415,False
Latimeria chalumnae,411.9,12416,False
Latimeria chalumnae,411.9,12417,False
Latimeria chalumnae,411.9,12418,False
Latimeria chalumnae,411.9,12419,False
Latimeria chalumnae,411.9,12420,False
Latimeria chalumnae,411.9,12421,False
Latimeria chalumnae,411.9,12422,False
Latimeria chalumnae,411.9,12423,False
Latimeria chalumnae,411.9,12424,False
Latimeria chalumnae,411.9,12425,False
Latimeria chalumnae,411.9,12426,False
Latimeria chalumnae,411.9,12427,False
Latimeria chalumnae,411.9,12428,False
Latimeria chalumnae,411.9,12429,False
Latimeria chalumnae,411.9,12430,False
Latimeria chalumnae,411.9,12431,False
Latimeria chalumnae,411.9,12432,False
Latimeria chalumnae,411.9,12433,False
Latimeria chalumnae,411.9,12434,False
Latimeria chalumnae,411.9,12435,False
Latimeria chalumnae,411.9,12436,False
Latimeria chalumnae,411.9,12437,False
Latimeria chalumnae,411.9,12438,False
Latimeria chalumnae,411.9,12439,False
Nanorana parkeri,355.7,4221,False
Nanorana parkeri,355.7,8903,False
Nanorana parkeri,355.7,3638,False
Nanorana parkeri,355.7,5129,False
Nanorana parkeri,355.7,926,False
Nanorana parkeri,355.7,6061,False
Nanorana parkeri,355.7,3627,False
Nanorana parkeri,355.7,5558,False
Nanorana parkeri,355.7,15053,False
Nanorana parkeri,355.7,3602,False
Nanorana parkeri,355.7,5705,False
Nanorana parkeri,355.7,396,False
Nanorana parkeri,355.7,2208,False
Nanorana parkeri,355.7,15065,False
Nanorana parkeri,355.7,392,False
Nanorana parkeri,355.7,3770,False
Nanorana parkeri,355.7,12857,False
Nanorana parkeri,355.7,14376,False
Nanorana parkeri,355.7,14368,False
Nanorana parkeri,355.7,15019,False
Nanorana parkeri,355.7,454,False
Nanorana parkeri,355.7,12161,False
