Species,timeFromHuman_MY,cluster,present
Latimeria chalumnae,411.9,4221,False
Latimeria chalumnae,411.9,1046,False
Latimeria chalumnae,411.9,11467,False
Latimeria chalumnae,411.9,1454,False
Latimeria chalumnae,411.9,4796,False
Latimeria chalumnae,411.9,2342,False
Latimeria chalumnae,411.9,11627,False
Latimeria chalumnae,411.9,13149,False
Latimeria chalumnae,411.9,1045,False
Latimeria chalumnae,411.9,1231,False
Latimeria chalumnae,411.9,1960,False
Latimeria chalumnae,411.9,5476,False
Latimeria chalumnae,411.9,14847,False
Latimeria chalumnae,411.9,14929,False
Latimeria chalumnae,411.9,5264,False
Latimeria chalumnae,411.9,6052,False
Latimeria chalumnae,411.9,13075,False
Latimeria chalumnae,411.9,14861,False
Latimeria chalumnae,411.9,1034,False
Latimeria chalumnae,411.9,3321,False
Latimeria chalumnae,411.9,5215,False
Latimeria chalumnae,411.9,10007,False
Latimeria chalumnae,411.9,10013,False
Latimeria chalumnae,411.9,11439,False
Latimeria chalumnae,411.9,13094,False
Latimeria chalumnae,411.9,1156,False
Latimeria chalumnae,411.9,3268,False
Latimeria chalumnae,411.9,6024,False
Latimeria chalumnae,411.9,13307,False
Latimeria chalumnae,411.9,3254,False
Latimeria chalumnae,411.9,3956,False
Latimeria chalumnae,411.9,6931,False
Latimeria chalumnae,411.9,6963,False
Latimeria chalumnae,411.9,7404,False
Latimeria chalumnae,411.9,13937,False
Latimeria chalumnae,411.9,14667,False
Latimeria chalumnae,411.9,1401,False
Latimeria chalumnae,411.9,2021,False
Latimeria chalumnae,411.9,5263,False
Latimeria chalumnae,411.9,236,False
Latimeria chalumnae,411.9,967,False
Latimeria chalumnae,411.9,3511,False
Latimeria chalumnae,411.9,12788,False
Latimeria chalumnae,411.9,14935,False
Latimeria chalumnae,411.9,5070,False
Latimeria chalumnae,411.9,7045,False
Latimeria chalumnae,411.9,10886,False
Latimeria chalumnae,411.9,13297,False
Latimeria chalumnae,411.9,13967,False
Latimeria chalumnae,411.9,14926,False
Latimeria chalumnae,411.9,6294,False
Latimeria chalumnae,411.9,6701,False
Latimeria chalumnae,411.9,2137,False
Latimeria chalumnae,411.9,3239,False
Latimeria chalumnae,411.9,11202,False
Latimeria chalumnae,411.9,6969,False
Latimeria chalumnae,411.9,11639,False
Latimeria chalumnae,411.9,1216,False
Latimeria chalumnae,411.9,931,False
Latimeria chalumnae,411.9,5762,False
Latimeria chalumnae,411.9,1004,False
Latimeria chalumnae,411.9,1036,False
Latimeria chalumnae,411.9,2492,False
Latimeria chalumnae,411.9,6307,False
Latimeria chalumnae,411.9,6916,False
Latimeria chalumnae,411.9,12528,False
Latimeria chalumnae,411.9,1080,False
Latimeria chalumnae,411.9,1572,False
Latimeria chalumnae,411.9,6059,False
Latimeria chalumnae,411.9,7049,False
Latimeria chalumnae,411.9,7332,False
Latimeria chalumnae,411.9,14068,False
Latimeria chalumnae,411.9,14896,False
Latimeria chalumnae,411.9,11225,False
Latimeria chalumnae,411.9,6694,False
Latimeria chalumnae,411.9,11616,False
Latimeria chalumnae,411.9,235,False
Latimeria chalumnae,411.9,12512,False
Latimeria chalumnae,411.9,1056,False
Latimeria chalumnae,411.9,11446,False
Latimeria chalumnae,411.9,11610,False
Latimeria chalumnae,411.9,12106,False
Latimeria chalumnae,411.9,1943,False
Latimeria chalumnae,411.9,7051,False
Latimeria chalumnae,411.9,5151,False
Latimeria chalumnae,411.9,11445,False
Latimeria chalumnae,411.9,3265,False
Latimeria chalumnae,411.9,3529,False
Latimeria chalumnae,411.9,6918,False
Latimeria chalumnae,411.9,12505,False
Latimeria chalumnae,411.9,11442,False
Latimeria chalumnae,411.9,1111,False
Latimeria chalumnae,411.9,1286,False
Latimeria chalumnae,411.9,2100,False
Latimeria chalumnae,411.9,6649,False
Latimeria chalumnae,411.9,1239,False
Latimeria chalumnae,411.9,10890,False
Latimeria chalumnae,411.9,11662,False
Latimeria chalumnae,411.9,4747,False
Latimeria chalumnae,411.9,6913,False
Latimeria chalumnae,411.9,3279,False
Latimeria chalumnae,411.9,6938,False
Latimeria chalumnae,411.9,5069,False
Latimeria chalumnae,411.9,5378,False
Latimeria chalumnae,411.9,10003,False
Latimeria chalumnae,411.9,6036,False
Latimeria chalumnae,411.9,1226,False
Latimeria chalumnae,411.9,7053,False
Latimeria chalumnae,411.9,7457,False
Latimeria chalumnae,411.9,5075,False
Latimeria chalumnae,411.9,14883,False
Latimeria chalumnae,411.9,12568,False
Latimeria chalumnae,411.9,3040,False
Latimeria chalumnae,411.9,3068,False
Latimeria chalumnae,411.9,3070,False
Latimeria chalumnae,411.9,4252,False
Latimeria chalumnae,411.9,4267,False
Latimeria chalumnae,411.9,4546,False
Latimeria chalumnae,411.9,6823,False
Latimeria chalumnae,411.9,6832,False
Latimeria chalumnae,411.9,6862,False
Latimeria chalumnae,411.9,12551,False
Latimeria chalumnae,411.9,14426,False
Latimeria chalumnae,411.9,4487,False
Latimeria chalumnae,411.9,4491,False
Latimeria chalumnae,411.9,6719,False
Latimeria chalumnae,411.9,6822,False
Latimeria chalumnae,411.9,3036,False
Latimeria chalumnae,411.9,3124,False
Latimeria chalumnae,411.9,12556,False
Latimeria chalumnae,411.9,14438,False
Latimeria chalumnae,411.9,3990,False
Latimeria chalumnae,411.9,6797,False
Latimeria chalumnae,411.9,6891,False
Latimeria chalumnae,411.9,13315,False
Latimeria chalumnae,411.9,14420,False
Latimeria chalumnae,411.9,6723,False
Latimeria chalumnae,411.9,6730,False
Latimeria chalumnae,411.9,6736,False
Latimeria chalumnae,411.9,6753,False
Latimeria chalumnae,411.9,6773,False
Latimeria chalumnae,411.9,6796,False
Latimeria chalumnae,411.9,6811,False
Latimeria chalumnae,411.9,14529,False
Latimeria chalumnae,411.9,6784,False
Latimeria chalumnae,411.9,12533,False
Latimeria chalumnae,411.9,12587,False
Latimeria chalumnae,411.9,14458,False
Latimeria chalumnae,411.9,12523,False
Latimeria chalumnae,411.9,12524,False
Latimeria chalumnae,411.9,12525,False
Latimeria chalumnae,411.9,12526,False
Latimeria chalumnae,411.9,12527,False
Latimeria chalumnae,411.9,12529,False
Latimeria chalumnae,411.9,12530,False
Latimeria chalumnae,411.9,12531,False
Latimeria chalumnae,411.9,12532,False
Latimeria chalumnae,411.9,12534,False
Latimeria chalumnae,411.9,12535,False
Latimeria chalumnae,411.9,12536,False
Latimeria chalumnae,411.9,12537,False
Latimeria chalumnae,411.9,12538,False
Latimeria chalumnae,411.9,12539,False
Latimeria chalumnae,411.9,12540,False
Latimeria chalumnae,411.9,12541,False
Latimeria chalumnae,411.9,12542,False
Latimeria chalumnae,411.9,12543,False
Latimeria chalumnae,411.9,12544,False
Latimeria chalumnae,411.9,12545,False
Latimeria chalumnae,411.9,12546,False
Latimeria chalumnae,411.9,12547,False
Latimeria chalumnae,411.9,12548,False
Latimeria chalumnae,411.9,12549,False
Latimeria chalumnae,411.9,12550,False
Latimeria chalumnae,411.9,12552,False
Latimeria chalumnae,411.9,12553,False
