Species,timeFromHuman_MY,cluster,present
Latimeria chalumnae,411.9,3638,False
Latimeria chalumnae,411.9,706,False
Latimeria chalumnae,411.9,250,False
Latimeria chalumnae,411.9,924,False
Latimeria chalumnae,411.9,12092,False
Latimeria chalumnae,411.9,705,False
Latimeria chalumnae,411.9,922,False
Latimeria chalumnae,411.9,5715,False
Nanorana parkeri,355.7,3638,False
Nanorana parkeri,355.7,706,False
Nanorana parkeri,355.7,250,False
Nanorana parkeri,355.7,924,False
Nanorana parkeri,355.7,12092,False
Nanorana parkeri,355.7,705,False
Nanorana parkeri,355.7,922,False
Nanorana parkeri,355.7,5715,False
Xenopus laevi,355.7,3638,False
Xenopus laevi,355.7,706,False
Xenopus laevi,355.7,250,False
Xenopus laevi,355.7,924,False
Xenopus laevi,355.7,12092,False
Xenopus laevi,355.7,705,False
Xenopus laevi,355.7,922,False
Xenopus laevi,355.7,5715,False
Xenopus tropicalis,355.7,3638,False
Xenopus tropicalis,355.7,706,False
Xenopus tropicalis,355.7,250,False
Xenopus tropicalis,355.7,924,False
Xenopus tropicalis,355.7,12092,False
Xenopus tropicalis,355.7,705,False
Xenopus tropicalis,355.7,922,False
Xenopus tropicalis,355.7,5715,False
Acanthisitta chloris,320.5,3638,True
Acanthisitta chloris,320.5,706,True
Acanthisitta chloris,320.5,250,False
Acanthisitta chloris,320.5,924,False
Acanthisitta chloris,320.5,12092,False
Acanthisitta chloris,320.5,705,False
Acanthisitta chloris,320.5,922,False
Acanthisitta chloris,320.5,5715,False
Alligator mississippiensis,320.5,3638,True
Alligator mississippiensis,320.5,706,False
Alligator mississippiensis,320.5,250,True
Alligator mississippiensis,320.5,924,True
Alligator mississippiensis,320.5,12092,False
Alligator mississippiensis,320.5,705,False
Alligator mississippiensis,320.5,922,False
Alligator mississippiensis,320.5,5715,False
Alligator sinensis,320.5,3638,True
Alligator sinensis,320.5,706,False
Alligator sinensis,320.5,250,True
Alligator sinensis,320.5,924,True
Alligator sinensis,320.5,12092,False
Alligator sinensis,320.5,705,False
Alligator sinensis,320.5,922,False
Alligator sinensis,320.5,5715,False
Amazona vittata,320.5,3638,True
Amazona vittata,320.5,706,True
Amazona vittata,320.5,250,False
Amazona vittata,320.5,924,False
Amazona vittata,320.5,12092,False
Amazona vittata,320.5,705,False
Amazona vittata,320.5,922,False
Amazona vittata,320.5,5715,False
Anas platyrhynchos,320.5,3638,True
Anas platyrhynchos,320.5,706,True
Anas platyrhynchos,320.5,250,False
Anas platyrhynchos,320.5,924,False
Anas platyrhynchos,320.5,12092,True
Anas platyrhynchos,320.5,705,True
Anas platyrhynchos,320.5,922,False
Anas platyrhynchos,320.5,5715,False
Anolis carolinensis,320.5,3638,True
Anolis carolinensis,320.5,706,False
Anolis carolinensis,320.5,250,False
Anolis carolinensis,320.5,924,False
Anolis carolinensis,320.5,12092,False
Anolis carolinensis,320.5,705,False
Anolis carolinensis,320.5,922,False
Anolis carolinensis,320.5,5715,False
Anser cygnoides domesticus,320.5,3638,False
Anser cygnoides domesticus,320.5,706,True
Anser cygnoides domesticus,320.5,250,False
Anser cygnoides domesticus,320.5,924,False
Anser cygnoides domesticus,320.5,12092,True
Anser cygnoides domesticus,320.5,705,True
Anser cygnoides domesticus,320.5,922,True
Anser cygnoides domesticus,320.5,5715,False
Antrostomus carolinensis,320.5,3638,False
Antrostomus carolinensis,320.5,706,True
Antrostomus carolinensis,320.5,250,False
Antrostomus carolinensis,320.5,924,False
Antrostomus carolinensis,320.5,12092,False
Antrostomus carolinensis,320.5,705,False
Antrostomus carolinensis,320.5,922,False
Antrostomus carolinensis,320.5,5715,False
Apalone spinifera,320.5,3638,True
Apalone spinifera,320.5,706,True
Apalone spinifera,320.5,250,True
Apalone spinifera,320.5,924,False
Apalone spinifera,320.5,12092,False
Apalone spinifera,320.5,705,False
Apalone spinifera,320.5,922,False
Apalone spinifera,320.5,5715,False
Aptenodytes forsteri,320.5,3638,True
Aptenodytes forsteri,320.5,706,True
Aptenodytes forsteri,320.5,250,True
Aptenodytes forsteri,320.5,924,True
Aptenodytes forsteri,320.5,12092,False
Aptenodytes forsteri,320.5,705,False
Aptenodytes forsteri,320.5,922,True
Aptenodytes forsteri,320.5,5715,False
Apteryx australis mantelli,320.5,3638,True
Apteryx australis mantelli,320.5,706,True
Apteryx australis mantelli,320.5,250,True
Apteryx australis mantelli,320.5,924,True
Apteryx australis mantelli,320.5,12092,False
Apteryx australis mantelli,320.5,705,False
Apteryx australis mantelli,320.5,922,False
Apteryx australis mantelli,320.5,5715,False
Aquila chrysaetos,320.5,3638,True
Aquila chrysaetos,320.5,706,True
Aquila chrysaetos,320.5,250,True
Aquila chrysaetos,320.5,924,True
Aquila chrysaetos,320.5,12092,True
Aquila chrysaetos,320.5,705,False
Aquila chrysaetos,320.5,922,True
Aquila chrysaetos,320.5,5715,False
Ara macao,320.5,3638,True
Ara macao,320.5,706,True
Ara macao,320.5,250,False
Ara macao,320.5,924,False
Ara macao,320.5,12092,False
Ara macao,320.5,705,False
Ara macao,320.5,922,False
Ara macao,320.5,5715,False
Balearica regulorum gibbericeps,320.5,3638,True
Balearica regulorum gibbericeps,320.5,706,True
Balearica regulorum gibbericeps,320.5,250,False
Balearica regulorum gibbericeps,320.5,924,False
Balearica regulorum gibbericeps,320.5,12092,True
Balearica regulorum gibbericeps,320.5,705,False
Balearica regulorum gibbericeps,320.5,922,False
Balearica regulorum gibbericeps,320.5,5715,False
Calypte anna,320.5,3638,True
Calypte anna,320.5,706,False
Calypte anna,320.5,250,False
Calypte anna,320.5,924,False
Calypte anna,320.5,12092,False
Calypte anna,320.5,705,False
Calypte anna,320.5,922,False
Calypte anna,320.5,5715,False
Caprimulgus carolinensis,320.5,3638,True
Caprimulgus carolinensis,320.5,706,True
Caprimulgus carolinensis,320.5,250,False
Caprimulgus carolinensis,320.5,924,False
Caprimulgus carolinensis,320.5,12092,False
Caprimulgus carolinensis,320.5,705,False
Caprimulgus carolinensis,320.5,922,False
Caprimulgus carolinensis,320.5,5715,False
Cariama cristata,320.5,3638,True
Cariama cristata,320.5,706,True
Cariama cristata,320.5,250,True
Cariama cristata,320.5,924,True
Cariama cristata,320.5,12092,True
Cariama cristata,320.5,705,True
Cariama cristata,320.5,922,False
Cariama cristata,320.5,5715,False
Cathartes aura,320.5,3638,True
