Species,timeFromHuman_MY,cluster,present
Latimeria chalumnae,411.9,4221,False
Latimeria chalumnae,411.9,8903,False
Latimeria chalumnae,411.9,3638,False
Latimeria chalumnae,411.9,5129,False
Latimeria chalumnae,411.9,926,False
Latimeria chalumnae,411.9,13913,False
Latimeria chalumnae,411.9,3627,False
Latimeria chalumnae,411.9,3602,False
Latimeria chalumnae,411.9,5705,False
Latimeria chalumnae,411.9,396,False
Latimeria chalumnae,411.9,2208,False
Latimeria chalumnae,411.9,15065,False
Latimeria chalumnae,411.9,392,False
Latimeria chalumnae,411.9,3393,False
Latimeria chalumnae,411.9,3630,False
Latimeria chalumnae,411.9,5604,False
Latimeria chalumnae,411.9,12857,False
Latimeria chalumnae,411.9,14376,False
Latimeria chalumnae,411.9,12866,False
Latimeria chalumnae,411.9,14368,False
Latimeria chalumnae,411.9,15019,False
Latimeria chalumnae,411.9,15068,False
Latimeria chalumnae,411.9,454,False
Latimeria chalumnae,411.9,3667,False
Latimeria chalumnae,411.9,12161,False
Latimeria chalumnae,411.9,12851,False
Latimeria chalumnae,411.9,12906,False
Latimeria chalumnae,411.9,15018,False
Latimeria chalumnae,411.9,15020,False
Latimeria chalumnae,411.9,15022,False
Latimeria chalumnae,411.9,15079,False
Latimeria chalumnae,411.9,3673,False
Latimeria chalumnae,411.9,3678,False
Latimeria chalumnae,411.9,12133,False
Latimeria chalumnae,411.9,12158,False
Latimeria chalumnae,411.9,12159,False
Latimeria chalumnae,411.9,12404,False
Latimeria chalumnae,411.9,12875,False
Latimeria chalumnae,411.9,12900,False
Latimeria chalumnae,411.9,12902,False
Latimeria chalumnae,411.9,12928,False
Latimeria chalumnae,411.9,12957,False
Latimeria chalumnae,411.9,12971,False
Latimeria chalumnae,411.9,14308,False
Latimeria chalumnae,411.9,14311,False
Latimeria chalumnae,411.9,14320,False
Latimeria chalumnae,411.9,14321,False
Latimeria chalumnae,411.9,14325,False
Latimeria chalumnae,411.9,14392,False
Latimeria chalumnae,411.9,14973,False
Latimeria chalumnae,411.9,14984,False
Latimeria chalumnae,411.9,15005,False
Latimeria chalumnae,411.9,15008,False
Latimeria chalumnae,411.9,15009,False
Latimeria chalumnae,411.9,15010,False
Latimeria chalumnae,411.9,15073,False
Latimeria chalumnae,411.9,12250,False
Latimeria chalumnae,411.9,12850,False
Latimeria chalumnae,411.9,12853,False
Latimeria chalumnae,411.9,12896,False
Latimeria chalumnae,411.9,12899,False
Latimeria chalumnae,411.9,12913,False
Latimeria chalumnae,411.9,12960,False
Latimeria chalumnae,411.9,12969,False
Latimeria chalumnae,411.9,12983,False
Latimeria chalumnae,411.9,12992,False
Latimeria chalumnae,411.9,14322,False
Latimeria chalumnae,411.9,14334,False
Latimeria chalumnae,411.9,14390,False
Latimeria chalumnae,411.9,14986,False
Latimeria chalumnae,411.9,15002,False
Latimeria chalumnae,411.9,15056,False
Latimeria chalumnae,411.9,3682,False
Latimeria chalumnae,411.9,12863,False
Latimeria chalumnae,411.9,12889,False
Latimeria chalumnae,411.9,12892,False
Latimeria chalumnae,411.9,12915,False
Latimeria chalumnae,411.9,12926,False
Latimeria chalumnae,411.9,12927,False
Latimeria chalumnae,411.9,12942,False
Latimeria chalumnae,411.9,12946,False
Latimeria chalumnae,411.9,12949,False
Latimeria chalumnae,411.9,12954,False
Latimeria chalumnae,411.9,12961,False
Latimeria chalumnae,411.9,12977,False
Latimeria chalumnae,411.9,12997,False
Latimeria chalumnae,411.9,14309,False
Latimeria chalumnae,411.9,14348,False
Latimeria chalumnae,411.9,14975,False
Latimeria chalumnae,411.9,15067,False
Latimeria chalumnae,411.9,15072,False
Latimeria chalumnae,411.9,15076,False
Latimeria chalumnae,411.9,12848,False
Latimeria chalumnae,411.9,12849,False
Latimeria chalumnae,411.9,12852,False
Latimeria chalumnae,411.9,12854,False
Latimeria chalumnae,411.9,12855,False
Latimeria chalumnae,411.9,12856,False
Latimeria chalumnae,411.9,12858,False
Latimeria chalumnae,411.9,12859,False
Latimeria chalumnae,411.9,12860,False
Latimeria chalumnae,411.9,12861,False
Latimeria chalumnae,411.9,12862,False
Latimeria chalumnae,411.9,12864,False
Latimeria chalumnae,411.9,12865,False
Latimeria chalumnae,411.9,12867,False
Latimeria chalumnae,411.9,12868,False
Latimeria chalumnae,411.9,12869,False
Latimeria chalumnae,411.9,12870,False
Latimeria chalumnae,411.9,12871,False
Latimeria chalumnae,411.9,12872,False
Latimeria chalumnae,411.9,12873,False
Latimeria chalumnae,411.9,12874,False
Latimeria chalumnae,411.9,12876,False
Latimeria chalumnae,411.9,12877,False
Latimeria chalumnae,411.9,12878,False
Latimeria chalumnae,411.9,12879,False
Latimeria chalumnae,411.9,12880,False
Latimeria chalumnae,411.9,12881,False
Latimeria chalumnae,411.9,12882,False
Latimeria chalumnae,411.9,12883,False
Latimeria chalumnae,411.9,12884,False
Latimeria chalumnae,411.9,12885,False
Latimeria chalumnae,411.9,12886,False
Latimeria chalumnae,411.9,12887,False
Latimeria chalumnae,411.9,12888,False
Latimeria chalumnae,411.9,12890,False
Latimeria chalumnae,411.9,12891,False
Latimeria chalumnae,411.9,12893,False
Latimeria chalumnae,411.9,12894,False
Latimeria chalumnae,411.9,12895,False
Latimeria chalumnae,411.9,12897,False
Latimeria chalumnae,411.9,12898,False
Latimeria chalumnae,411.9,12901,False
Latimeria chalumnae,411.9,12903,False
Latimeria chalumnae,411.9,12904,False
Latimeria chalumnae,411.9,12905,False
Latimeria chalumnae,411.9,12907,False
Latimeria chalumnae,411.9,12908,False
Latimeria chalumnae,411.9,12909,False
Latimeria chalumnae,411.9,12910,False
Latimeria chalumnae,411.9,12911,False
Latimeria chalumnae,411.9,12912,False
Latimeria chalumnae,411.9,12914,False
Latimeria chalumnae,411.9,12916,False
Latimeria chalumnae,411.9,12917,False
Latimeria chalumnae,411.9,12918,False
Latimeria chalumnae,411.9,12919,False
Latimeria chalumnae,411.9,12920,False
Latimeria chalumnae,411.9,12921,False
Latimeria chalumnae,411.9,12922,False
Latimeria chalumnae,411.9,12923,False
Latimeria chalumnae,411.9,12924,False
Latimeria chalumnae,411.9,12925,False
Latimeria chalumnae,411.9,12929,False
Latimeria chalumnae,411.9,12930,False
Latimeria chalumnae,411.9,12931,False
Latimeria chalumnae,411.9,12932,False
Latimeria chalumnae,411.9,12933,False
Latimeria chalumnae,411.9,12934,False
Latimeria chalumnae,411.9,12935,False
Latimeria chalumnae,411.9,12936,False
Latimeria chalumnae,411.9,12937,False
Latimeria chalumnae,411.9,12938,False
Latimeria chalumnae,411.9,12939,False
Latimeria chalumnae,411.9,12940,False
Latimeria chalumnae,411.9,12941,False
Latimeria chalumnae,411.9,12943,False
Latimeria chalumnae,411.9,12944,False
Latimeria chalumnae,411.9,12945,False
Latimeria chalumnae,411.9,12947,False
Latimeria chalumnae,411.9,12948,False
Latimeria chalumnae,411.9,12950,False
Latimeria chalumnae,411.9,12951,False
Latimeria chalumnae,411.9,12952,False
Latimeria chalumnae,411.9,12953,False
Latimeria chalumnae,411.9,12955,False
Latimeria chalumnae,411.9,12956,False
Latimeria chalumnae,411.9,12958,False
Latimeria chalumnae,411.9,12959,False
Latimeria chalumnae,411.9,12962,False
Latimeria chalumnae,411.9,12963,False
Latimeria chalumnae,411.9,12964,False
Latimeria chalumnae,411.9,12965,False
Latimeria chalumnae,411.9,12966,False
Latimeria chalumnae,411.9,12967,False
Latimeria chalumnae,411.9,12968,False
Latimeria chalumnae,411.9,12970,False
Latimeria chalumnae,411.9,12972,False
Latimeria chalumnae,411.9,12973,False
Latimeria chalumnae,411.9,12974,False
Latimeria chalumnae,411.9,12975,False
Latimeria chalumnae,411.9,12976,False
Latimeria chalumnae,411.9,12978,False
Latimeria chalumnae,411.9,12979,False
Latimeria chalumnae,411.9,12980,False
Latimeria chalumnae,411.9,12981,False
Latimeria chalumnae,411.9,12982,False
Latimeria chalumnae,411.9,12984,False
Latimeria chalumnae,411.9,12985,False
Latimeria chalumnae,411.9,12986,False
Latimeria chalumnae,411.9,12987,False
Latimeria chalumnae,411.9,12988,False
Latimeria chalumnae,411.9,12989,False
Latimeria chalumnae,411.9,12990,False
Latimeria chalumnae,411.9,12991,False
Latimeria chalumnae,411.9,12993,False
Latimeria chalumnae,411.9,12994,False
Latimeria chalumnae,411.9,12995,False
Latimeria chalumnae,411.9,12996,False
Latimeria chalumnae,411.9,12998,False
Latimeria chalumnae,411.9,12999,False
Latimeria chalumnae,411.9,13000,False
Latimeria chalumnae,411.9,13001,False
Latimeria chalumnae,411.9,13002,False
Latimeria chalumnae,411.9,13003,False
Latimeria chalumnae,411.9,13004,False
Latimeria chalumnae,411.9,13005,False
Latimeria chalumnae,411.9,13006,False
Latimeria chalumnae,411.9,13007,False
Latimeria chalumnae,411.9,13008,False
Latimeria chalumnae,411.9,13009,False
Latimeria chalumnae,411.9,13010,False
Latimeria chalumnae,411.9,13011,False
Latimeria chalumnae,411.9,13012,False
Latimeria chalumnae,411.9,13013,False
Latimeria chalumnae,411.9,13014,False
Latimeria chalumnae,411.9,13015,False
Latimeria chalumnae,411.9,13016,False
Latimeria chalumnae,411.9,13017,False
Latimeria chalumnae,411.9,13018,False
Latimeria chalumnae,411.9,13019,False
Latimeria chalumnae,411.9,13020,False
Latimeria chalumnae,411.9,13021,False
Nanorana parkeri,355.7,4221,False
Nanorana parkeri,355.7,8903,False
Nanorana parkeri,355.7,3638,False
Nanorana parkeri,355.7,5129,False
Nanorana parkeri,355.7,926,False
Nanorana parkeri,355.7,13913,False
Nanorana parkeri,355.7,3627,False
Nanorana parkeri,355.7,3602,False
Nanorana parkeri,355.7,5705,False
Nanorana parkeri,355.7,396,False
Nanorana parkeri,355.7,2208,False
Nanorana parkeri,355.7,15065,False
Nanorana parkeri,355.7,392,False
Nanorana parkeri,355.7,3393,False
Nanorana parkeri,355.7,3630,False
Nanorana parkeri,355.7,5604,False
Nanorana parkeri,355.7,12857,False
Nanorana parkeri,355.7,14376,False
Nanorana parkeri,355.7,12866,False
Nanorana parkeri,355.7,14368,False
Nanorana parkeri,355.7,15019,False
Nanorana parkeri,355.7,15068,False
Nanorana parkeri,355.7,454,False
Nanorana parkeri,355.7,3667,False
Nanorana parkeri,355.7,12161,False
Nanorana parkeri,355.7,12851,False
Nanorana parkeri,355.7,12906,False
Nanorana parkeri,355.7,15018,False
Nanorana parkeri,355.7,15020,False
Nanorana parkeri,355.7,15022,False
Nanorana parkeri,355.7,15079,False
Nanorana parkeri,355.7,3673,False
Nanorana parkeri,355.7,3678,False
Nanorana parkeri,355.7,12133,False
Nanorana parkeri,355.7,12158,False
Nanorana parkeri,355.7,12159,False
Nanorana parkeri,355.7,12404,False
Nanorana parkeri,355.7,12875,False
Nanorana parkeri,355.7,12900,False
Nanorana parkeri,355.7,12902,False
Nanorana parkeri,355.7,12928,False
Nanorana parkeri,355.7,12957,False
Nanorana parkeri,355.7,12971,False
Nanorana parkeri,355.7,14308,False
Nanorana parkeri,355.7,14311,False
Nanorana parkeri,355.7,14320,False
Nanorana parkeri,355.7,14321,False
Nanorana parkeri,355.7,14325,False
Nanorana parkeri,355.7,14392,False
Nanorana parkeri,355.7,14973,False
Nanorana parkeri,355.7,14984,False
Nanorana parkeri,355.7,15005,False
Nanorana parkeri,355.7,15008,False
Nanorana parkeri,355.7,15009,False
Nanorana parkeri,355.7,15010,False
Nanorana parkeri,355.7,15073,False
Nanorana parkeri,355.7,12250,False
Nanorana parkeri,355.7,12850,False
Nanorana parkeri,355.7,12853,False
Nanorana parkeri,355.7,12896,False
Nanorana parkeri,355.7,12899,False
Nanorana parkeri,355.7,12913,False
Nanorana parkeri,355.7,12960,False
Nanorana parkeri,355.7,12969,False
Nanorana parkeri,355.7,12983,False
Nanorana parkeri,355.7,12992,False
Nanorana parkeri,355.7,14322,False
Nanorana parkeri,355.7,14334,False
Nanorana parkeri,355.7,14390,False
Nanorana parkeri,355.7,14986,False
Nanorana parkeri,355.7,15002,False
Nanorana parkeri,355.7,15056,False
Nanorana parkeri,355.7,3682,False
Nanorana parkeri,355.7,12863,False
Nanorana parkeri,355.7,12889,False
Nanorana parkeri,355.7,12892,False
Nanorana parkeri,355.7,12915,False
Nanorana parkeri,355.7,12926,False
Nanorana parkeri,355.7,12927,False
Nanorana parkeri,355.7,12942,False
Nanorana parkeri,355.7,12946,False
Nanorana parkeri,355.7,12949,False
Nanorana parkeri,355.7,12954,False
Nanorana parkeri,355.7,12961,False
Nanorana parkeri,355.7,12977,False
Nanorana parkeri,355.7,12997,False
Nanorana parkeri,355.7,14309,False
Nanorana parkeri,355.7,14348,False
Nanorana parkeri,355.7,14975,False
Nanorana parkeri,355.7,15067,False
Nanorana parkeri,355.7,15072,False
Nanorana parkeri,355.7,15076,False
Nanorana parkeri,355.7,12848,False
Nanorana parkeri,355.7,12849,False
Nanorana parkeri,355.7,12852,False
Nanorana parkeri,355.7,12854,False
Nanorana parkeri,355.7,12855,False
Nanorana parkeri,355.7,12856,False
Nanorana parkeri,355.7,12858,False
Nanorana parkeri,355.7,12859,False
Nanorana parkeri,355.7,12860,False
Nanorana parkeri,355.7,12861,False
Nanorana parkeri,355.7,12862,False
Nanorana parkeri,355.7,12864,False
Nanorana parkeri,355.7,12865,False
Nanorana parkeri,355.7,12867,False
Nanorana parkeri,355.7,12868,False
Nanorana parkeri,355.7,12869,False
Nanorana parkeri,355.7,12870,False
Nanorana parkeri,355.7,12871,False
Nanorana parkeri,355.7,12872,False
Nanorana parkeri,355.7,12873,False
Nanorana parkeri,355.7,12874,False
Nanorana parkeri,355.7,12876,False
Nanorana parkeri,355.7,12877,False
Nanorana parkeri,355.7,12878,False
Nanorana parkeri,355.7,12879,False
Nanorana parkeri,355.7,12880,False
Nanorana parkeri,355.7,12881,False
Nanorana parkeri,355.7,12882,False
Nanorana parkeri,355.7,12883,False
Nanorana parkeri,355.7,12884,False
Nanorana parkeri,355.7,12885,False
Nanorana parkeri,355.7,12886,False
Nanorana parkeri,355.7,12887,False
Nanorana parkeri,355.7,12888,False
Nanorana parkeri,355.7,12890,False
Nanorana parkeri,355.7,12891,False
Nanorana parkeri,355.7,12893,False
Nanorana parkeri,355.7,12894,False
Nanorana parkeri,355.7,12895,False
Nanorana parkeri,355.7,12897,False
Nanorana parkeri,355.7,12898,False
Nanorana parkeri,355.7,12901,False
Nanorana parkeri,355.7,12903,False
Nanorana parkeri,355.7,12904,False
Nanorana parkeri,355.7,12905,False
Nanorana parkeri,355.7,12907,False
Nanorana parkeri,355.7,12908,False
Nanorana parkeri,355.7,12909,False
Nanorana parkeri,355.7,12910,False
Nanorana parkeri,355.7,12911,False
Nanorana parkeri,355.7,12912,False
Nanorana parkeri,355.7,12914,False
Nanorana parkeri,355.7,12916,False
Nanorana parkeri,355.7,12917,False
Nanorana parkeri,355.7,12918,False
