Species,timeFromHuman_MY,cluster,present
Latimeria chalumnae,411.9,4221,False
Latimeria chalumnae,411.9,8903,False
Latimeria chalumnae,411.9,1046,False
Latimeria chalumnae,411.9,11467,False
Latimeria chalumnae,411.9,1454,False
Latimeria chalumnae,411.9,14844,False
Latimeria chalumnae,411.9,4796,False
Latimeria chalumnae,411.9,2342,False
Latimeria chalumnae,411.9,2706,False
Latimeria chalumnae,411.9,11627,False
Latimeria chalumnae,411.9,13149,False
Latimeria chalumnae,411.9,1045,False
Latimeria chalumnae,411.9,1231,False
Latimeria chalumnae,411.9,1960,False
Latimeria chalumnae,411.9,5476,False
Latimeria chalumnae,411.9,9981,False
Latimeria chalumnae,411.9,14847,False
Latimeria chalumnae,411.9,14929,False
Latimeria chalumnae,411.9,2093,False
Latimeria chalumnae,411.9,5264,False
Latimeria chalumnae,411.9,6052,False
Latimeria chalumnae,411.9,13075,False
Latimeria chalumnae,411.9,14861,False
Latimeria chalumnae,411.9,1034,False
Latimeria chalumnae,411.9,1270,False
Latimeria chalumnae,411.9,3321,False
Latimeria chalumnae,411.9,5215,False
Latimeria chalumnae,411.9,10007,False
Latimeria chalumnae,411.9,10013,False
Latimeria chalumnae,411.9,11439,False
Latimeria chalumnae,411.9,12502,False
Latimeria chalumnae,411.9,13094,False
Latimeria chalumnae,411.9,1156,False
Latimeria chalumnae,411.9,3268,False
Latimeria chalumnae,411.9,6024,False
Latimeria chalumnae,411.9,13307,False
Latimeria chalumnae,411.9,1026,False
Latimeria chalumnae,411.9,3254,False
Latimeria chalumnae,411.9,3956,False
Latimeria chalumnae,411.9,5798,False
Latimeria chalumnae,411.9,6931,False
Latimeria chalumnae,411.9,6963,False
Latimeria chalumnae,411.9,7404,False
Latimeria chalumnae,411.9,7569,False
Latimeria chalumnae,411.9,13937,False
Latimeria chalumnae,411.9,14667,False
Latimeria chalumnae,411.9,1401,False
Latimeria chalumnae,411.9,2021,False
Latimeria chalumnae,411.9,5263,False
Latimeria chalumnae,411.9,5406,False
Latimeria chalumnae,411.9,8774,False
Latimeria chalumnae,411.9,236,False
Latimeria chalumnae,411.9,967,False
Latimeria chalumnae,411.9,3511,False
Latimeria chalumnae,411.9,12788,False
Latimeria chalumnae,411.9,14920,False
Latimeria chalumnae,411.9,14935,False
Latimeria chalumnae,411.9,1271,False
Latimeria chalumnae,411.9,4358,False
Latimeria chalumnae,411.9,5070,False
Latimeria chalumnae,411.9,7045,False
Latimeria chalumnae,411.9,10886,False
Latimeria chalumnae,411.9,11907,False
Latimeria chalumnae,411.9,13297,False
Latimeria chalumnae,411.9,13967,False
Latimeria chalumnae,411.9,14891,False
Latimeria chalumnae,411.9,14926,False
Latimeria chalumnae,411.9,6294,False
Latimeria chalumnae,411.9,6701,False
Latimeria chalumnae,411.9,10131,False
Latimeria chalumnae,411.9,2137,False
Latimeria chalumnae,411.9,3239,False
Latimeria chalumnae,411.9,4455,False
Latimeria chalumnae,411.9,11202,False
Latimeria chalumnae,411.9,6926,False
Latimeria chalumnae,411.9,6969,False
Latimeria chalumnae,411.9,11639,False
Latimeria chalumnae,411.9,11661,False
Latimeria chalumnae,411.9,1216,False
Latimeria chalumnae,411.9,1458,False
Latimeria chalumnae,411.9,931,False
Latimeria chalumnae,411.9,3238,False
Latimeria chalumnae,411.9,5762,False
Latimeria chalumnae,411.9,1004,False
Latimeria chalumnae,411.9,1036,False
Latimeria chalumnae,411.9,2492,False
Latimeria chalumnae,411.9,6307,False
Latimeria chalumnae,411.9,6916,False
Latimeria chalumnae,411.9,12528,False
Latimeria chalumnae,411.9,1080,False
Latimeria chalumnae,411.9,1572,False
Latimeria chalumnae,411.9,3288,False
Latimeria chalumnae,411.9,6059,False
Latimeria chalumnae,411.9,7049,False
Latimeria chalumnae,411.9,7332,False
Latimeria chalumnae,411.9,6017,False
Latimeria chalumnae,411.9,13337,False
Latimeria chalumnae,411.9,11201,False
Latimeria chalumnae,411.9,14068,False
Latimeria chalumnae,411.9,14896,False
Latimeria chalumnae,411.9,954,False
Latimeria chalumnae,411.9,6774,False
Latimeria chalumnae,411.9,11225,False
Latimeria chalumnae,411.9,12672,False
Latimeria chalumnae,411.9,754,False
Latimeria chalumnae,411.9,6694,False
Latimeria chalumnae,411.9,6978,False
Latimeria chalumnae,411.9,11616,False
Latimeria chalumnae,411.9,13331,False
Latimeria chalumnae,411.9,235,False
Latimeria chalumnae,411.9,1303,False
Latimeria chalumnae,411.9,2095,False
Latimeria chalumnae,411.9,3010,False
Latimeria chalumnae,411.9,3803,False
Latimeria chalumnae,411.9,12512,False
Latimeria chalumnae,411.9,1056,False
Latimeria chalumnae,411.9,11446,False
Latimeria chalumnae,411.9,11610,False
Latimeria chalumnae,411.9,12106,False
Latimeria chalumnae,411.9,13786,False
Latimeria chalumnae,411.9,1943,False
Latimeria chalumnae,411.9,7051,False
Latimeria chalumnae,411.9,1517,False
Latimeria chalumnae,411.9,5151,False
Latimeria chalumnae,411.9,1843,False
Latimeria chalumnae,411.9,3265,False
Latimeria chalumnae,411.9,6918,False
Latimeria chalumnae,411.9,12505,False
Latimeria chalumnae,411.9,11442,False
Latimeria chalumnae,411.9,12469,False
Latimeria chalumnae,411.9,6016,False
Latimeria chalumnae,411.9,14840,False
Latimeria chalumnae,411.9,1111,False
Latimeria chalumnae,411.9,5212,False
Latimeria chalumnae,411.9,211,False
Latimeria chalumnae,411.9,1373,False
Latimeria chalumnae,411.9,4609,False
Latimeria chalumnae,411.9,1286,False
Latimeria chalumnae,411.9,2100,False
Latimeria chalumnae,411.9,6677,False
Latimeria chalumnae,411.9,2477,False
Latimeria chalumnae,411.9,6649,False
Latimeria chalumnae,411.9,1239,False
Latimeria chalumnae,411.9,11649,False
Latimeria chalumnae,411.9,6641,False
Latimeria chalumnae,411.9,13275,False
Latimeria chalumnae,411.9,721,False
Latimeria chalumnae,411.9,10890,False
Latimeria chalumnae,411.9,12520,False
Latimeria chalumnae,411.9,11662,False
Latimeria chalumnae,411.9,3313,False
Latimeria chalumnae,411.9,4747,False
Latimeria chalumnae,411.9,6913,False
Latimeria chalumnae,411.9,3279,False
Latimeria chalumnae,411.9,5076,False
Latimeria chalumnae,411.9,11498,False
Latimeria chalumnae,411.9,13267,False
Latimeria chalumnae,411.9,2127,False
Latimeria chalumnae,411.9,8808,False
Latimeria chalumnae,411.9,10231,False
Latimeria chalumnae,411.9,750,False
Latimeria chalumnae,411.9,6938,False
Latimeria chalumnae,411.9,14041,False
Latimeria chalumnae,411.9,215,False
Latimeria chalumnae,411.9,2090,False
Latimeria chalumnae,411.9,5069,False
Latimeria chalumnae,411.9,12723,False
Latimeria chalumnae,411.9,1306,False
Latimeria chalumnae,411.9,2089,False
Latimeria chalumnae,411.9,13933,False
Latimeria chalumnae,411.9,5378,False
Latimeria chalumnae,411.9,6927,False
Latimeria chalumnae,411.9,2478,False
Latimeria chalumnae,411.9,6630,False
Latimeria chalumnae,411.9,10003,False
Latimeria chalumnae,411.9,6036,False
Latimeria chalumnae,411.9,1102,False
Latimeria chalumnae,411.9,2513,False
Latimeria chalumnae,411.9,2102,False
Latimeria chalumnae,411.9,7061,False
Latimeria chalumnae,411.9,1226,False
Latimeria chalumnae,411.9,7008,False
Latimeria chalumnae,411.9,2136,False
Latimeria chalumnae,411.9,13030,False
Latimeria chalumnae,411.9,13260,False
Latimeria chalumnae,411.9,1331,False
Latimeria chalumnae,411.9,3256,False
Latimeria chalumnae,411.9,11970,False
Latimeria chalumnae,411.9,3287,False
Latimeria chalumnae,411.9,4661,False
Latimeria chalumnae,411.9,10021,False
Latimeria chalumnae,411.9,13336,False
Latimeria chalumnae,411.9,7050,False
Latimeria chalumnae,411.9,5484,False
Latimeria chalumnae,411.9,7053,False
Latimeria chalumnae,411.9,11468,False
Latimeria chalumnae,411.9,7025,False
Latimeria chalumnae,411.9,11600,False
Latimeria chalumnae,411.9,2113,False
Latimeria chalumnae,411.9,11440,False
Latimeria chalumnae,411.9,1430,False
Latimeria chalumnae,411.9,7038,False
Latimeria chalumnae,411.9,11617,False
Latimeria chalumnae,411.9,7013,False
Latimeria chalumnae,411.9,11486,False
Latimeria chalumnae,411.9,5731,False
Latimeria chalumnae,411.9,13308,False
Latimeria chalumnae,411.9,3271,False
Latimeria chalumnae,411.9,5113,False
Latimeria chalumnae,411.9,13288,False
Latimeria chalumnae,411.9,13344,False
Latimeria chalumnae,411.9,2465,False
Latimeria chalumnae,411.9,6979,False
Latimeria chalumnae,411.9,7690,False
Latimeria chalumnae,411.9,11625,False
Latimeria chalumnae,411.9,759,False
Latimeria chalumnae,411.9,1368,False
Latimeria chalumnae,411.9,6925,False
Latimeria chalumnae,411.9,11481,False
Latimeria chalumnae,411.9,11618,False
Latimeria chalumnae,411.9,13282,False
Latimeria chalumnae,411.9,13366,False
Latimeria chalumnae,411.9,2110,False
Latimeria chalumnae,411.9,11599,False
Latimeria chalumnae,411.9,11642,False
Latimeria chalumnae,411.9,13287,False
Latimeria chalumnae,411.9,2120,False
Latimeria chalumnae,411.9,2114,False
Latimeria chalumnae,411.9,5992,False
Latimeria chalumnae,411.9,6041,False
Latimeria chalumnae,411.9,7052,False
Latimeria chalumnae,411.9,11614,False
Latimeria chalumnae,411.9,11640,False
Latimeria chalumnae,411.9,11657,False
Latimeria chalumnae,411.9,13261,False
Latimeria chalumnae,411.9,13327,False
Latimeria chalumnae,411.9,2117,False
Latimeria chalumnae,411.9,2469,False
Latimeria chalumnae,411.9,2485,False
Latimeria chalumnae,411.9,3255,False
Latimeria chalumnae,411.9,3257,False
Latimeria chalumnae,411.9,5752,False
Latimeria chalumnae,411.9,5754,False
Latimeria chalumnae,411.9,6018,False
Latimeria chalumnae,411.9,6915,False
Latimeria chalumnae,411.9,7014,False
Latimeria chalumnae,411.9,7034,False
Latimeria chalumnae,411.9,7069,False
Latimeria chalumnae,411.9,9963,False
Latimeria chalumnae,411.9,11611,False
Latimeria chalumnae,411.9,11619,False
Latimeria chalumnae,411.9,13272,False
Latimeria chalumnae,411.9,3259,False
Latimeria chalumnae,411.9,6004,False
Latimeria chalumnae,411.9,6014,False
Latimeria chalumnae,411.9,6971,False
Latimeria chalumnae,411.9,7035,False
Latimeria chalumnae,411.9,11495,False
Latimeria chalumnae,411.9,11603,False
Latimeria chalumnae,411.9,11623,False
Latimeria chalumnae,411.9,11666,False
Latimeria chalumnae,411.9,12456,False
Latimeria chalumnae,411.9,13280,False
Latimeria chalumnae,411.9,2099,False
Latimeria chalumnae,411.9,6025,False
Latimeria chalumnae,411.9,6027,False
Latimeria chalumnae,411.9,6970,False
Latimeria chalumnae,411.9,7011,False
Latimeria chalumnae,411.9,11650,False
Latimeria chalumnae,411.9,12509,False
Latimeria chalumnae,411.9,13301,False
Latimeria chalumnae,411.9,2476,False
Latimeria chalumnae,411.9,5091,False
Latimeria chalumnae,411.9,13371,False
Latimeria chalumnae,411.9,2123,False
Latimeria chalumnae,411.9,10006,False
Latimeria chalumnae,411.9,1611,False
Latimeria chalumnae,411.9,4280,False
Latimeria chalumnae,411.9,12655,False
Latimeria chalumnae,411.9,709,False
Latimeria chalumnae,411.9,724,False
Latimeria chalumnae,411.9,779,False
Latimeria chalumnae,411.9,723,False
Latimeria chalumnae,411.9,731,False
Latimeria chalumnae,411.9,736,False
Latimeria chalumnae,411.9,773,False
Latimeria chalumnae,411.9,774,False
Latimeria chalumnae,411.9,781,False
Latimeria chalumnae,411.9,784,False
Latimeria chalumnae,411.9,787,False
Latimeria chalumnae,411.9,798,False
Latimeria chalumnae,411.9,806,False
Latimeria chalumnae,411.9,3547,False
Latimeria chalumnae,411.9,13316,False
Latimeria chalumnae,411.9,13317,False
Latimeria chalumnae,411.9,13318,False
Latimeria chalumnae,411.9,13319,False
Latimeria chalumnae,411.9,13320,False
Latimeria chalumnae,411.9,13321,False
Latimeria chalumnae,411.9,13322,False
Latimeria chalumnae,411.9,13323,False
Latimeria chalumnae,411.9,13324,False
Latimeria chalumnae,411.9,13325,False
Latimeria chalumnae,411.9,13326,False
Latimeria chalumnae,411.9,13328,False
Latimeria chalumnae,411.9,13329,False
Latimeria chalumnae,411.9,13330,False
Latimeria chalumnae,411.9,13332,False
Latimeria chalumnae,411.9,13333,False
Latimeria chalumnae,411.9,13334,False
Latimeria chalumnae,411.9,13335,False
Latimeria chalumnae,411.9,13338,False
Latimeria chalumnae,411.9,13339,False
Latimeria chalumnae,411.9,13340,False
Latimeria chalumnae,411.9,13341,False
Latimeria chalumnae,411.9,13342,False
Latimeria chalumnae,411.9,13343,False
Latimeria chalumnae,411.9,13345,False
Latimeria chalumnae,411.9,13346,False
Latimeria chalumnae,411.9,13347,False
Latimeria chalumnae,411.9,13348,False
Latimeria chalumnae,411.9,13349,False
Latimeria chalumnae,411.9,13350,False
Latimeria chalumnae,411.9,13351,False
Latimeria chalumnae,411.9,13352,False
Latimeria chalumnae,411.9,13353,False
Latimeria chalumnae,411.9,13354,False
Latimeria chalumnae,411.9,13355,False
Latimeria chalumnae,411.9,13356,False
Latimeria chalumnae,411.9,13357,False
Latimeria chalumnae,411.9,13358,False
Latimeria chalumnae,411.9,13359,False
Latimeria chalumnae,411.9,13360,False
Latimeria chalumnae,411.9,13361,False
Latimeria chalumnae,411.9,13362,False
Latimeria chalumnae,411.9,13363,False
Latimeria chalumnae,411.9,13364,False
Latimeria chalumnae,411.9,13365,False
Latimeria chalumnae,411.9,13367,False
Latimeria chalumnae,411.9,13368,False
Latimeria chalumnae,411.9,13369,False
Latimeria chalumnae,411.9,13370,False
Nanorana parkeri,355.7,4221,False
Nanorana parkeri,355.7,8903,False
Nanorana parkeri,355.7,1046,False
Nanorana parkeri,355.7,11467,False
Nanorana parkeri,355.7,1454,False
Nanorana parkeri,355.7,14844,False
Nanorana parkeri,355.7,4796,False
Nanorana parkeri,355.7,2342,False
Nanorana parkeri,355.7,2706,False
Nanorana parkeri,355.7,11627,False
Nanorana parkeri,355.7,13149,False
Nanorana parkeri,355.7,1045,False
Nanorana parkeri,355.7,1231,False
Nanorana parkeri,355.7,1960,False
Nanorana parkeri,355.7,5476,False
Nanorana parkeri,355.7,9981,False
Nanorana parkeri,355.7,14847,False
Nanorana parkeri,355.7,14929,False
Nanorana parkeri,355.7,2093,False
Nanorana parkeri,355.7,5264,False
Nanorana parkeri,355.7,6052,False
Nanorana parkeri,355.7,13075,False
Nanorana parkeri,355.7,14861,False
Nanorana parkeri,355.7,1034,False
Nanorana parkeri,355.7,1270,False
Nanorana parkeri,355.7,3321,False
Nanorana parkeri,355.7,5215,False
Nanorana parkeri,355.7,10007,False
Nanorana parkeri,355.7,10013,False
Nanorana parkeri,355.7,11439,False
Nanorana parkeri,355.7,12502,False
Nanorana parkeri,355.7,13094,False
Nanorana parkeri,355.7,1156,False
Nanorana parkeri,355.7,3268,False
