Species,timeFromHuman_MY,cluster,present
Latimeria chalumnae,411.9,1046,False
Latimeria chalumnae,411.9,11467,False
Latimeria chalumnae,411.9,1454,False
Latimeria chalumnae,411.9,14844,False
Latimeria chalumnae,411.9,4796,False
Latimeria chalumnae,411.9,2342,False
Latimeria chalumnae,411.9,2706,False
Latimeria chalumnae,411.9,11627,False
Latimeria chalumnae,411.9,13149,False
Latimeria chalumnae,411.9,1045,False
Latimeria chalumnae,411.9,1231,False
Latimeria chalumnae,411.9,1960,False
Latimeria chalumnae,411.9,5476,False
Latimeria chalumnae,411.9,9981,False
Latimeria chalumnae,411.9,14847,False
Latimeria chalumnae,411.9,14929,False
Latimeria chalumnae,411.9,2093,False
Latimeria chalumnae,411.9,5264,False
Latimeria chalumnae,411.9,6052,False
Latimeria chalumnae,411.9,13075,False
Latimeria chalumnae,411.9,14861,False
Latimeria chalumnae,411.9,1034,False
Latimeria chalumnae,411.9,1270,False
Latimeria chalumnae,411.9,3321,False
Latimeria chalumnae,411.9,5215,False
Latimeria chalumnae,411.9,10007,False
Latimeria chalumnae,411.9,10013,False
Latimeria chalumnae,411.9,11439,False
Latimeria chalumnae,411.9,12502,False
Latimeria chalumnae,411.9,13094,False
Latimeria chalumnae,411.9,1156,False
Latimeria chalumnae,411.9,3268,False
Latimeria chalumnae,411.9,6024,False
Latimeria chalumnae,411.9,13307,False
Latimeria chalumnae,411.9,1026,False
Latimeria chalumnae,411.9,3254,False
Latimeria chalumnae,411.9,3956,False
Latimeria chalumnae,411.9,5798,False
Latimeria chalumnae,411.9,6931,False
Latimeria chalumnae,411.9,6963,False
Latimeria chalumnae,411.9,7404,False
Latimeria chalumnae,411.9,7569,False
Latimeria chalumnae,411.9,13937,False
Latimeria chalumnae,411.9,14667,False
Latimeria chalumnae,411.9,1401,False
Latimeria chalumnae,411.9,2021,False
Latimeria chalumnae,411.9,5263,False
Latimeria chalumnae,411.9,8774,False
Latimeria chalumnae,411.9,236,False
Latimeria chalumnae,411.9,967,False
Latimeria chalumnae,411.9,12788,False
Latimeria chalumnae,411.9,14920,False
Latimeria chalumnae,411.9,14935,False
Latimeria chalumnae,411.9,1271,False
Latimeria chalumnae,411.9,4358,False
Latimeria chalumnae,411.9,5070,False
Latimeria chalumnae,411.9,7045,False
Latimeria chalumnae,411.9,11907,False
Latimeria chalumnae,411.9,13297,False
Latimeria chalumnae,411.9,13967,False
Latimeria chalumnae,411.9,14891,False
Latimeria chalumnae,411.9,6701,False
Latimeria chalumnae,411.9,10131,False
Latimeria chalumnae,411.9,2137,False
Latimeria chalumnae,411.9,3239,False
Latimeria chalumnae,411.9,4455,False
Latimeria chalumnae,411.9,11202,False
Latimeria chalumnae,411.9,6926,False
Latimeria chalumnae,411.9,6969,False
Latimeria chalumnae,411.9,11639,False
