Species,timeFromHuman_MY,cluster,present
Latimeria chalumnae,411.9,3638,False
Latimeria chalumnae,411.9,706,False
Latimeria chalumnae,411.9,1007,False
Latimeria chalumnae,411.9,926,False
Latimeria chalumnae,411.9,13913,False
Latimeria chalumnae,411.9,250,False
Latimeria chalumnae,411.9,3627,False
Latimeria chalumnae,411.9,5632,False
Latimeria chalumnae,411.9,12092,False
Latimeria chalumnae,411.9,5562,False
Latimeria chalumnae,411.9,9977,False
Latimeria chalumnae,411.9,922,False
Latimeria chalumnae,411.9,3591,False
Latimeria chalumnae,411.9,923,False
Latimeria chalumnae,411.9,5138,False
Latimeria chalumnae,411.9,13908,False
Latimeria chalumnae,411.9,13909,False
Latimeria chalumnae,411.9,13910,False
Latimeria chalumnae,411.9,13911,False
Latimeria chalumnae,411.9,13912,False
Nanorana parkeri,355.7,3638,False
Nanorana parkeri,355.7,706,False
Nanorana parkeri,355.7,1007,False
Nanorana parkeri,355.7,926,False
Nanorana parkeri,355.7,13913,False
Nanorana parkeri,355.7,250,False
Nanorana parkeri,355.7,3627,False
Nanorana parkeri,355.7,5632,False
Nanorana parkeri,355.7,12092,False
Nanorana parkeri,355.7,5562,False
Nanorana parkeri,355.7,9977,False
Nanorana parkeri,355.7,922,False
Nanorana parkeri,355.7,3591,False
Nanorana parkeri,355.7,923,False
Nanorana parkeri,355.7,5138,False
Nanorana parkeri,355.7,13908,False
Nanorana parkeri,355.7,13909,False
Nanorana parkeri,355.7,13910,False
Nanorana parkeri,355.7,13911,False
Nanorana parkeri,355.7,13912,False
Xenopus laevi,355.7,3638,False
Xenopus laevi,355.7,706,False
Xenopus laevi,355.7,1007,False
Xenopus laevi,355.7,926,False
Xenopus laevi,355.7,13913,False
Xenopus laevi,355.7,250,False
Xenopus laevi,355.7,3627,False
Xenopus laevi,355.7,5632,False
Xenopus laevi,355.7,12092,False
Xenopus laevi,355.7,5562,False
Xenopus laevi,355.7,9977,False
Xenopus laevi,355.7,922,False
Xenopus laevi,355.7,3591,False
Xenopus laevi,355.7,923,False
Xenopus laevi,355.7,5138,False
Xenopus laevi,355.7,13908,False
Xenopus laevi,355.7,13909,False
Xenopus laevi,355.7,13910,False
Xenopus laevi,355.7,13911,False
Xenopus laevi,355.7,13912,False
Xenopus tropicalis,355.7,3638,False
Xenopus tropicalis,355.7,706,False
Xenopus tropicalis,355.7,1007,False
Xenopus tropicalis,355.7,926,False
Xenopus tropicalis,355.7,13913,False
Xenopus tropicalis,355.7,250,False
Xenopus tropicalis,355.7,3627,False
Xenopus tropicalis,355.7,5632,False
Xenopus tropicalis,355.7,12092,False
Xenopus tropicalis,355.7,5562,False
Xenopus tropicalis,355.7,9977,False
Xenopus tropicalis,355.7,922,False
Xenopus tropicalis,355.7,3591,False
Xenopus tropicalis,355.7,923,False
Xenopus tropicalis,355.7,5138,False
Xenopus tropicalis,355.7,13908,False
Xenopus tropicalis,355.7,13909,False
Xenopus tropicalis,355.7,13910,False
Xenopus tropicalis,355.7,13911,False
Xenopus tropicalis,355.7,13912,False
Acanthisitta chloris,320.5,3638,True
Acanthisitta chloris,320.5,706,True
Acanthisitta chloris,320.5,1007,False
Acanthisitta chloris,320.5,926,False
Acanthisitta chloris,320.5,13913,False
Acanthisitta chloris,320.5,250,False
Acanthisitta chloris,320.5,3627,False
Acanthisitta chloris,320.5,5632,False
Acanthisitta chloris,320.5,12092,False
Acanthisitta chloris,320.5,5562,False
Acanthisitta chloris,320.5,9977,False
Acanthisitta chloris,320.5,922,False
Acanthisitta chloris,320.5,3591,False
Acanthisitta chloris,320.5,923,False
Acanthisitta chloris,320.5,5138,False
Acanthisitta chloris,320.5,13908,False
Acanthisitta chloris,320.5,13909,False
Acanthisitta chloris,320.5,13910,False
Acanthisitta chloris,320.5,13911,False
Acanthisitta chloris,320.5,13912,False
Alligator mississippiensis,320.5,3638,True
Alligator mississippiensis,320.5,706,False
Alligator mississippiensis,320.5,1007,False
Alligator mississippiensis,320.5,926,True
Alligator mississippiensis,320.5,13913,True
Alligator mississippiensis,320.5,250,True
Alligator mississippiensis,320.5,3627,True
Alligator mississippiensis,320.5,5632,True
Alligator mississippiensis,320.5,12092,False
Alligator mississippiensis,320.5,5562,False
Alligator mississippiensis,320.5,9977,False
Alligator mississippiensis,320.5,922,False
Alligator mississippiensis,320.5,3591,True
Alligator mississippiensis,320.5,923,False
Alligator mississippiensis,320.5,5138,False
Alligator mississippiensis,320.5,13908,False
Alligator mississippiensis,320.5,13909,False
Alligator mississippiensis,320.5,13910,False
Alligator mississippiensis,320.5,13911,False
Alligator mississippiensis,320.5,13912,False
Alligator sinensis,320.5,3638,True
Alligator sinensis,320.5,706,False
Alligator sinensis,320.5,1007,False
Alligator sinensis,320.5,926,True
Alligator sinensis,320.5,13913,True
Alligator sinensis,320.5,250,True
Alligator sinensis,320.5,3627,True
Alligator sinensis,320.5,5632,True
Alligator sinensis,320.5,12092,False
Alligator sinensis,320.5,5562,False
Alligator sinensis,320.5,9977,False
Alligator sinensis,320.5,922,False
Alligator sinensis,320.5,3591,True
Alligator sinensis,320.5,923,False
Alligator sinensis,320.5,5138,False
Alligator sinensis,320.5,13908,False
Alligator sinensis,320.5,13909,False
Alligator sinensis,320.5,13910,False
Alligator sinensis,320.5,13911,False
Alligator sinensis,320.5,13912,False
Amazona vittata,320.5,3638,True
Amazona vittata,320.5,706,True
Amazona vittata,320.5,1007,False
Amazona vittata,320.5,926,True
Amazona vittata,320.5,13913,False
Amazona vittata,320.5,250,False
Amazona vittata,320.5,3627,False
Amazona vittata,320.5,5632,False
Amazona vittata,320.5,12092,False
Amazona vittata,320.5,5562,False
Amazona vittata,320.5,9977,False
Amazona vittata,320.5,922,False
Amazona vittata,320.5,3591,False
Amazona vittata,320.5,923,False
Amazona vittata,320.5,5138,False
Amazona vittata,320.5,13908,False
Amazona vittata,320.5,13909,False
Amazona vittata,320.5,13910,False
Amazona vittata,320.5,13911,False
Amazona vittata,320.5,13912,False
Anas platyrhynchos,320.5,3638,True
Anas platyrhynchos,320.5,706,True
Anas platyrhynchos,320.5,1007,True
Anas platyrhynchos,320.5,926,True
Anas platyrhynchos,320.5,13913,False
Anas platyrhynchos,320.5,250,False
Anas platyrhynchos,320.5,3627,False
Anas platyrhynchos,320.5,5632,False
Anas platyrhynchos,320.5,12092,True
