Species,timeFromHuman_MY,cluster,present
Latimeria chalumnae,411.9,4221,False
Latimeria chalumnae,411.9,8903,False
Latimeria chalumnae,411.9,1046,False
Latimeria chalumnae,411.9,11467,False
Latimeria chalumnae,411.9,1454,False
Latimeria chalumnae,411.9,14844,False
Latimeria chalumnae,411.9,4796,False
Latimeria chalumnae,411.9,2342,False
Latimeria chalumnae,411.9,2706,False
Latimeria chalumnae,411.9,11627,False
Latimeria chalumnae,411.9,13149,False
Latimeria chalumnae,411.9,1045,False
Latimeria chalumnae,411.9,1231,False
Latimeria chalumnae,411.9,1960,False
Latimeria chalumnae,411.9,5476,False
Latimeria chalumnae,411.9,9981,False
Latimeria chalumnae,411.9,14847,False
Latimeria chalumnae,411.9,14929,False
Latimeria chalumnae,411.9,2093,False
Latimeria chalumnae,411.9,5264,False
Latimeria chalumnae,411.9,13075,False
Latimeria chalumnae,411.9,14861,False
Latimeria chalumnae,411.9,1034,False
Latimeria chalumnae,411.9,1270,False
Latimeria chalumnae,411.9,3321,False
Latimeria chalumnae,411.9,5215,False
Latimeria chalumnae,411.9,10007,False
Latimeria chalumnae,411.9,10013,False
Latimeria chalumnae,411.9,11439,False
Latimeria chalumnae,411.9,12502,False
Latimeria chalumnae,411.9,1156,False
Latimeria chalumnae,411.9,3268,False
Latimeria chalumnae,411.9,6024,False
Latimeria chalumnae,411.9,13307,False
Latimeria chalumnae,411.9,1026,False
Latimeria chalumnae,411.9,3254,False
Latimeria chalumnae,411.9,3956,False
Latimeria chalumnae,411.9,5798,False
Latimeria chalumnae,411.9,6931,False
Latimeria chalumnae,411.9,6963,False
Latimeria chalumnae,411.9,7404,False
Latimeria chalumnae,411.9,7569,False
Latimeria chalumnae,411.9,13937,False
Latimeria chalumnae,411.9,14667,False
Latimeria chalumnae,411.9,1401,False
Latimeria chalumnae,411.9,2021,False
Latimeria chalumnae,411.9,5406,False
Latimeria chalumnae,411.9,8774,False
Latimeria chalumnae,411.9,236,False
Latimeria chalumnae,411.9,967,False
Latimeria chalumnae,411.9,3511,False
Latimeria chalumnae,411.9,12788,False
Latimeria chalumnae,411.9,14920,False
Latimeria chalumnae,411.9,14935,False
Latimeria chalumnae,411.9,1271,False
Latimeria chalumnae,411.9,4358,False
Latimeria chalumnae,411.9,5070,False
Latimeria chalumnae,411.9,10886,False
Latimeria chalumnae,411.9,11907,False
Latimeria chalumnae,411.9,13297,False
Latimeria chalumnae,411.9,13967,False
Latimeria chalumnae,411.9,14891,False
Latimeria chalumnae,411.9,14926,False
Latimeria chalumnae,411.9,6294,False
Latimeria chalumnae,411.9,6701,False
Latimeria chalumnae,411.9,10131,False
Latimeria chalumnae,411.9,2137,False
Latimeria chalumnae,411.9,3239,False
Latimeria chalumnae,411.9,4455,False
Latimeria chalumnae,411.9,11202,False
Latimeria chalumnae,411.9,6926,False
Latimeria chalumnae,411.9,11639,False
Latimeria chalumnae,411.9,11661,False
Latimeria chalumnae,411.9,1216,False
Latimeria chalumnae,411.9,1458,False
Latimeria chalumnae,411.9,931,False
Latimeria chalumnae,411.9,3238,False
Latimeria chalumnae,411.9,5762,False
Latimeria chalumnae,411.9,1004,False
Latimeria chalumnae,411.9,1036,False
Latimeria chalumnae,411.9,2492,False
Latimeria chalumnae,411.9,6307,False
Latimeria chalumnae,411.9,6916,False
Latimeria chalumnae,411.9,1572,False
Latimeria chalumnae,411.9,6059,False
Latimeria chalumnae,411.9,7049,False
Latimeria chalumnae,411.9,7332,False
Latimeria chalumnae,411.9,6017,False
Latimeria chalumnae,411.9,11201,False
Latimeria chalumnae,411.9,14068,False
Latimeria chalumnae,411.9,14896,False
Latimeria chalumnae,411.9,954,False
Latimeria chalumnae,411.9,6774,False
Latimeria chalumnae,411.9,12672,False
Latimeria chalumnae,411.9,754,False
Latimeria chalumnae,411.9,6694,False
Latimeria chalumnae,411.9,6978,False
Latimeria chalumnae,411.9,13331,False
Latimeria chalumnae,411.9,235,False
Latimeria chalumnae,411.9,1303,False
Latimeria chalumnae,411.9,3010,False
Latimeria chalumnae,411.9,3803,False
Latimeria chalumnae,411.9,12512,False
Latimeria chalumnae,411.9,1056,False
Latimeria chalumnae,411.9,11446,False
Latimeria chalumnae,411.9,11610,False
Latimeria chalumnae,411.9,12106,False
Latimeria chalumnae,411.9,13786,False
Latimeria chalumnae,411.9,1943,False
Latimeria chalumnae,411.9,7051,False
Latimeria chalumnae,411.9,1517,False
Latimeria chalumnae,411.9,11445,False
Latimeria chalumnae,411.9,1843,False
Latimeria chalumnae,411.9,3265,False
Latimeria chalumnae,411.9,3529,False
Latimeria chalumnae,411.9,6918,False
Latimeria chalumnae,411.9,12505,False
Latimeria chalumnae,411.9,11442,False
Latimeria chalumnae,411.9,6016,False
Latimeria chalumnae,411.9,14840,False
Latimeria chalumnae,411.9,1111,False
Latimeria chalumnae,411.9,211,False
Latimeria chalumnae,411.9,1373,False
Latimeria chalumnae,411.9,1286,False
Latimeria chalumnae,411.9,2477,False
Latimeria chalumnae,411.9,6649,False
Latimeria chalumnae,411.9,1239,False
Latimeria chalumnae,411.9,721,False
Latimeria chalumnae,411.9,8380,False
Latimeria chalumnae,411.9,12520,False
Latimeria chalumnae,411.9,3313,False
Latimeria chalumnae,411.9,6913,False
Latimeria chalumnae,411.9,5076,False
Latimeria chalumnae,411.9,11498,False
Latimeria chalumnae,411.9,13267,False
Latimeria chalumnae,411.9,2127,False
Latimeria chalumnae,411.9,10231,False
Latimeria chalumnae,411.9,6938,False
Latimeria chalumnae,411.9,12789,False
Latimeria chalumnae,411.9,2090,False
Latimeria chalumnae,411.9,5069,False
Latimeria chalumnae,411.9,12723,False
Latimeria chalumnae,411.9,1306,False
Latimeria chalumnae,411.9,2089,False
Latimeria chalumnae,411.9,4715,False
Latimeria chalumnae,411.9,13933,False
Latimeria chalumnae,411.9,5378,False
Latimeria chalumnae,411.9,6630,False
Latimeria chalumnae,411.9,1102,False
Latimeria chalumnae,411.9,936,False
Latimeria chalumnae,411.9,2102,False
Latimeria chalumnae,411.9,1346,False
Latimeria chalumnae,411.9,2136,False
Latimeria chalumnae,411.9,4853,False
Latimeria chalumnae,411.9,5851,False
Latimeria chalumnae,411.9,11531,False
Latimeria chalumnae,411.9,14889,False
Latimeria chalumnae,411.9,1005,False
Latimeria chalumnae,411.9,14856,False
Latimeria chalumnae,411.9,10892,False
Latimeria chalumnae,411.9,1513,False
Latimeria chalumnae,411.9,4798,False
Latimeria chalumnae,411.9,5871,False
Latimeria chalumnae,411.9,1367,False
Latimeria chalumnae,411.9,14873,False
Latimeria chalumnae,411.9,1061,False
Latimeria chalumnae,411.9,1472,False
Latimeria chalumnae,411.9,5189,False
Latimeria chalumnae,411.9,223,False
Latimeria chalumnae,411.9,5113,False
Latimeria chalumnae,411.9,14886,False
Latimeria chalumnae,411.9,1059,False
Latimeria chalumnae,411.9,14832,False
Latimeria chalumnae,411.9,14841,False
Latimeria chalumnae,411.9,11349,False
Latimeria chalumnae,411.9,13948,False
Latimeria chalumnae,411.9,14852,False
Latimeria chalumnae,411.9,14895,False
Latimeria chalumnae,411.9,1300,False
Latimeria chalumnae,411.9,1369,False
Latimeria chalumnae,411.9,1516,False
Latimeria chalumnae,411.9,6687,False
Latimeria chalumnae,411.9,990,False
Latimeria chalumnae,411.9,980,False
Latimeria chalumnae,411.9,13923,False
Latimeria chalumnae,411.9,13924,False
Latimeria chalumnae,411.9,13914,False
Latimeria chalumnae,411.9,13915,False
Latimeria chalumnae,411.9,13916,False
Latimeria chalumnae,411.9,13917,False
Latimeria chalumnae,411.9,13918,False
Latimeria chalumnae,411.9,13919,False
Latimeria chalumnae,411.9,13920,False
Latimeria chalumnae,411.9,13921,False
Latimeria chalumnae,411.9,13922,False
Latimeria chalumnae,411.9,13925,False
Latimeria chalumnae,411.9,13926,False
Latimeria chalumnae,411.9,13927,False
Latimeria chalumnae,411.9,13928,False
Latimeria chalumnae,411.9,13929,False
Latimeria chalumnae,411.9,13930,False
Latimeria chalumnae,411.9,13931,False
Latimeria chalumnae,411.9,13932,False
Latimeria chalumnae,411.9,13934,False
Latimeria chalumnae,411.9,13935,False
Latimeria chalumnae,411.9,13936,False
Latimeria chalumnae,411.9,13938,False
Latimeria chalumnae,411.9,13939,False
Latimeria chalumnae,411.9,13940,False
Latimeria chalumnae,411.9,13941,False
Latimeria chalumnae,411.9,13942,False
Latimeria chalumnae,411.9,13943,False
Latimeria chalumnae,411.9,13944,False
Latimeria chalumnae,411.9,13945,False
Latimeria chalumnae,411.9,13946,False
Latimeria chalumnae,411.9,13947,False
Latimeria chalumnae,411.9,13949,False
Latimeria chalumnae,411.9,13950,False
Latimeria chalumnae,411.9,13951,False
Latimeria chalumnae,411.9,13952,False
Latimeria chalumnae,411.9,13953,False
Latimeria chalumnae,411.9,13954,False
Latimeria chalumnae,411.9,13955,False
Nanorana parkeri,355.7,4221,False
Nanorana parkeri,355.7,8903,False
Nanorana parkeri,355.7,1046,False
Nanorana parkeri,355.7,11467,False
Nanorana parkeri,355.7,1454,False
Nanorana parkeri,355.7,14844,False
Nanorana parkeri,355.7,4796,False
Nanorana parkeri,355.7,2342,False
Nanorana parkeri,355.7,2706,False
Nanorana parkeri,355.7,11627,False
Nanorana parkeri,355.7,13149,False
Nanorana parkeri,355.7,1045,False
Nanorana parkeri,355.7,1231,False
Nanorana parkeri,355.7,1960,False
Nanorana parkeri,355.7,5476,False
Nanorana parkeri,355.7,9981,False
Nanorana parkeri,355.7,14847,False
Nanorana parkeri,355.7,14929,False
Nanorana parkeri,355.7,2093,False
Nanorana parkeri,355.7,5264,False
Nanorana parkeri,355.7,13075,False
Nanorana parkeri,355.7,14861,False
Nanorana parkeri,355.7,1034,False
Nanorana parkeri,355.7,1270,False
Nanorana parkeri,355.7,3321,False
Nanorana parkeri,355.7,5215,False
Nanorana parkeri,355.7,10007,False
Nanorana parkeri,355.7,10013,False
Nanorana parkeri,355.7,11439,False
Nanorana parkeri,355.7,12502,False
Nanorana parkeri,355.7,1156,False
Nanorana parkeri,355.7,3268,False
Nanorana parkeri,355.7,6024,False
Nanorana parkeri,355.7,13307,False
Nanorana parkeri,355.7,1026,False
Nanorana parkeri,355.7,3254,False
Nanorana parkeri,355.7,3956,False
Nanorana parkeri,355.7,5798,False
Nanorana parkeri,355.7,6931,False
Nanorana parkeri,355.7,6963,False
Nanorana parkeri,355.7,7404,False
Nanorana parkeri,355.7,7569,False
Nanorana parkeri,355.7,13937,False
Nanorana parkeri,355.7,14667,False
Nanorana parkeri,355.7,1401,False
Nanorana parkeri,355.7,2021,False
Nanorana parkeri,355.7,5406,False
Nanorana parkeri,355.7,8774,False
Nanorana parkeri,355.7,236,False
Nanorana parkeri,355.7,967,False
Nanorana parkeri,355.7,3511,False
Nanorana parkeri,355.7,12788,False
Nanorana parkeri,355.7,14920,False
Nanorana parkeri,355.7,14935,False
Nanorana parkeri,355.7,1271,False
Nanorana parkeri,355.7,4358,False
Nanorana parkeri,355.7,5070,False
Nanorana parkeri,355.7,10886,False
Nanorana parkeri,355.7,11907,False
Nanorana parkeri,355.7,13297,False
Nanorana parkeri,355.7,13967,False
Nanorana parkeri,355.7,14891,False
Nanorana parkeri,355.7,14926,False
Nanorana parkeri,355.7,6294,False
Nanorana parkeri,355.7,6701,False
Nanorana parkeri,355.7,10131,False
Nanorana parkeri,355.7,2137,False
Nanorana parkeri,355.7,3239,False
Nanorana parkeri,355.7,4455,False
Nanorana parkeri,355.7,11202,False
Nanorana parkeri,355.7,6926,False
Nanorana parkeri,355.7,11639,False
Nanorana parkeri,355.7,11661,False
Nanorana parkeri,355.7,1216,False
Nanorana parkeri,355.7,1458,False
Nanorana parkeri,355.7,931,False
Nanorana parkeri,355.7,3238,False
Nanorana parkeri,355.7,5762,False
Nanorana parkeri,355.7,1004,False
Nanorana parkeri,355.7,1036,False
Nanorana parkeri,355.7,2492,False
Nanorana parkeri,355.7,6307,False
Nanorana parkeri,355.7,6916,False
Nanorana parkeri,355.7,1572,False
Nanorana parkeri,355.7,6059,False
Nanorana parkeri,355.7,7049,False
Nanorana parkeri,355.7,7332,False
Nanorana parkeri,355.7,6017,False
Nanorana parkeri,355.7,11201,False
Nanorana parkeri,355.7,14068,False
Nanorana parkeri,355.7,14896,False
Nanorana parkeri,355.7,954,False
Nanorana parkeri,355.7,6774,False
Nanorana parkeri,355.7,12672,False
Nanorana parkeri,355.7,754,False
Nanorana parkeri,355.7,6694,False
Nanorana parkeri,355.7,6978,False
Nanorana parkeri,355.7,13331,False
Nanorana parkeri,355.7,235,False
Nanorana parkeri,355.7,1303,False
Nanorana parkeri,355.7,3010,False
Nanorana parkeri,355.7,3803,False
Nanorana parkeri,355.7,12512,False
Nanorana parkeri,355.7,1056,False
Nanorana parkeri,355.7,11446,False
Nanorana parkeri,355.7,11610,False
Nanorana parkeri,355.7,12106,False
Nanorana parkeri,355.7,13786,False
Nanorana parkeri,355.7,1943,False
Nanorana parkeri,355.7,7051,False
Nanorana parkeri,355.7,1517,False
Nanorana parkeri,355.7,11445,False
Nanorana parkeri,355.7,1843,False
Nanorana parkeri,355.7,3265,False
Nanorana parkeri,355.7,3529,False
Nanorana parkeri,355.7,6918,False
Nanorana parkeri,355.7,12505,False
Nanorana parkeri,355.7,11442,False
Nanorana parkeri,355.7,6016,False
Nanorana parkeri,355.7,14840,False
Nanorana parkeri,355.7,1111,False
Nanorana parkeri,355.7,211,False
Nanorana parkeri,355.7,1373,False
Nanorana parkeri,355.7,1286,False
Nanorana parkeri,355.7,2477,False
Nanorana parkeri,355.7,6649,False
Nanorana parkeri,355.7,1239,False
Nanorana parkeri,355.7,721,False
Nanorana parkeri,355.7,8380,False
Nanorana parkeri,355.7,12520,False
Nanorana parkeri,355.7,3313,False
Nanorana parkeri,355.7,6913,False
Nanorana parkeri,355.7,5076,False
Nanorana parkeri,355.7,11498,False
Nanorana parkeri,355.7,13267,False
Nanorana parkeri,355.7,2127,False
Nanorana parkeri,355.7,10231,False
Nanorana parkeri,355.7,6938,False
Nanorana parkeri,355.7,12789,False
Nanorana parkeri,355.7,2090,False
Nanorana parkeri,355.7,5069,False
Nanorana parkeri,355.7,12723,False
Nanorana parkeri,355.7,1306,False
Nanorana parkeri,355.7,2089,False
Nanorana parkeri,355.7,4715,False
Nanorana parkeri,355.7,13933,False
Nanorana parkeri,355.7,5378,False
Nanorana parkeri,355.7,6630,False
Nanorana parkeri,355.7,1102,False
Nanorana parkeri,355.7,936,False
Nanorana parkeri,355.7,2102,False
Nanorana parkeri,355.7,1346,False
Nanorana parkeri,355.7,2136,False
Nanorana parkeri,355.7,4853,False
Nanorana parkeri,355.7,5851,False
Nanorana parkeri,355.7,11531,False
Nanorana parkeri,355.7,14889,False
Nanorana parkeri,355.7,1005,False
Nanorana parkeri,355.7,14856,False
