Species,timeFromHuman_MY,cluster,present
Latimeria chalumnae,411.9,8903,False
Latimeria chalumnae,411.9,3638,False
Latimeria chalumnae,411.9,926,False
Latimeria chalumnae,411.9,3627,False
Latimeria chalumnae,411.9,15053,False
Latimeria chalumnae,411.9,3602,False
Latimeria chalumnae,411.9,2208,False
Latimeria chalumnae,411.9,15065,False
Latimeria chalumnae,411.9,3393,False
Latimeria chalumnae,411.9,14376,False
Latimeria chalumnae,411.9,12866,False
Latimeria chalumnae,411.9,14368,False
Latimeria chalumnae,411.9,15068,False
Latimeria chalumnae,411.9,3667,False
Latimeria chalumnae,411.9,12407,False
Latimeria chalumnae,411.9,15020,False
Latimeria chalumnae,411.9,15079,False
Latimeria chalumnae,411.9,3684,False
Latimeria chalumnae,411.9,3686,False
Latimeria chalumnae,411.9,5565,False
Latimeria chalumnae,411.9,12133,False
Latimeria chalumnae,411.9,12875,False
Latimeria chalumnae,411.9,12900,False
Latimeria chalumnae,411.9,12902,False
Latimeria chalumnae,411.9,12928,False
Latimeria chalumnae,411.9,12971,False
Latimeria chalumnae,411.9,14308,False
Latimeria chalumnae,411.9,14311,False
Latimeria chalumnae,411.9,14320,False
Latimeria chalumnae,411.9,14321,False
Latimeria chalumnae,411.9,14325,False
Latimeria chalumnae,411.9,14387,False
Latimeria chalumnae,411.9,14392,False
Latimeria chalumnae,411.9,14973,False
Latimeria chalumnae,411.9,14984,False
Latimeria chalumnae,411.9,15005,False
Latimeria chalumnae,411.9,15008,False
Latimeria chalumnae,411.9,15009,False
Latimeria chalumnae,411.9,15010,False
Latimeria chalumnae,411.9,15074,False
Latimeria chalumnae,411.9,3674,False
Latimeria chalumnae,411.9,3681,False
Latimeria chalumnae,411.9,12913,False
Latimeria chalumnae,411.9,14322,False
Latimeria chalumnae,411.9,14333,False
Latimeria chalumnae,411.9,14334,False
Latimeria chalumnae,411.9,14349,False
Latimeria chalumnae,411.9,14377,False
Latimeria chalumnae,411.9,14390,False
Latimeria chalumnae,411.9,14957,False
Latimeria chalumnae,411.9,15006,False
Latimeria chalumnae,411.9,15014,False
