Species,timeFromHuman_MY,cluster,present
Latimeria chalumnae,411.9,1007,False
Nanorana parkeri,355.7,1007,False
Xenopus laevi,355.7,1007,False
Xenopus tropicalis,355.7,1007,False
Acanthisitta chloris,320.5,1007,False
Alligator mississippiensis,320.5,1007,False
Alligator sinensis,320.5,1007,False
Amazona vittata,320.5,1007,False
Anas platyrhynchos,320.5,1007,True
Anolis carolinensis,320.5,1007,False
Anser cygnoides domesticus,320.5,1007,True
Antrostomus carolinensis,320.5,1007,True
Apalone spinifera,320.5,1007,False
Aptenodytes forsteri,320.5,1007,True
Apteryx australis mantelli,320.5,1007,True
Aquila chrysaetos,320.5,1007,True
Ara macao,320.5,1007,False
Balearica regulorum gibbericeps,320.5,1007,True
Calypte anna,320.5,1007,False
Caprimulgus carolinensis,320.5,1007,True
Cariama cristata,320.5,1007,True
Cathartes aura,320.5,1007,True
Chaetura pelagica,320.5,1007,True
Charadrius vociferus,320.5,1007,True
Chelonia mydas,320.5,1007,True
Chlamydotis macqueenii,320.5,1007,False
Chrysemys picta bellii,320.5,1007,True
Colinus virginianus,320.5,1007,True
Colius striatus,320.5,1007,False
Columba livia,320.5,1007,True
Corvus brachyrhynchos,320.5,1007,True
Corvus cornix cornix,320.5,1007,False
Crocodylus porosus,320.5,1007,False
Crotalus mitchellii,320.5,1007,False
Cuculus canorus,320.5,1007,True
Egretta garzetta,320.5,1007,True
Eurypyga helias,320.5,1007,False
Falco cherrug,320.5,1007,True
Falco peregrinus,320.5,1007,False
Ficedula albicollis,320.5,1007,True
Fulmarus glacialis,320.5,1007,False
Gallus gallus,320.5,1007,True
Gavia stellata,320.5,1007,False
Gavialis gangeticus,320.5,1007,False
Geospiza fortis,320.5,1007,True
Haliaeetus albicilla,320.5,1007,True
Haliaeetus leucocephalus,320.5,1007,True
Leptosomus discolor,320.5,1007,False
Manacus vitellinus,320.5,1007,False
Meleagris gallopavo,320.5,1007,True
Melopsittacus undulatus,320.5,1007,False
Mesitornis unicolor,320.5,1007,False
Nestor notabilis,320.5,1007,True
Nipponia nippon,320.5,1007,False
Ophiophagus hannah,320.5,1007,False
Ophisaurus gracilis,320.5,1007,False
Opisthocomus hoazin,320.5,1007,True
Pelecanus crispus,320.5,1007,True
Pelodiscus sinensis,320.5,1007,False
Phaethon lepturus,320.5,1007,True
Phalacrocorax carbo,320.5,1007,False
Phoenicopterus ruber ruber,320.5,1007,True
Picoides pubescens,320.5,1007,False
Podiceps cristatus,320.5,1007,True
Pogona vitticeps,320.5,1007,False
Pseudopoces humilis,320.5,1007,True
Pseudopodoces humilis,320.5,1007,True
Pterocles gutturalis,320.5,1007,False
Pygoscelis adeliae,320.5,1007,False
Python molurus bivittatus,320.5,1007,False
Serinus canaria,320.5,1007,True
Struthio camelus australis,320.5,1007,True
Taeniopygia guttata,320.5,1007,False
Tauraco erythrolophus,320.5,1007,False
Thamnophis sirtalis,320.5,1007,False
Tinamus guttatus,320.5,1007,True
Tyto alba,320.5,1007,False
Vipera berus berus,320.5,1007,False
Zonotrichia albicollis,320.5,1007,True
Ornithorhynchus anatinus,179.2,1007,False
Macropus eugenii,163.7,1007,False
Monodelphis domestica,163.7,1007,False
Sarcophilus harrisii,163.7,1007,False
Choloepus hoffmanni,105.0,1007,False
Chrysochloris asiatica,105.0,1007,False
Dasypus novemcinctus,105.0,1007,False
Echinops telfairi,105.0,1007,False
Elephantulus edwardii,105.0,1007,False
Loxodonta africana,105.0,1007,False
Orycteropus afer,105.0,1007,False
Procavia capensis,105.0,1007,False
Trichechus manatus latirostris,105.0,1007,False
Ailuropoda melanoleuca,97.5,1007,False
Balaenoptera acutorostrata scammoni,97.5,1007,False
Balaenoptera bonaerensis,97.5,1007,False
Bison bison bison,97.5,1007,False
Bos indicus,97.5,1007,False
Bos mutus,97.5,1007,False
Bos taurus,97.5,1007,False
Bubalus bubalis,97.5,1007,False
Camelus bactrianus,97.5,1007,False
Camelus dromedarius,97.5,1007,False
Camelus ferus,97.5,1007,False
Canis familiaris,97.5,1007,False
Capra aegagrus,97.5,1007,False
Capra hircus,97.5,1007,False
Capreolus capreolus,97.5,1007,False
Ceratotherium simum,97.5,1007,False
Condylura cristata,97.5,1007,False
Eidolon helvum,97.5,1007,False
Eptesicus fuscus,97.5,1007,False
