Species,timeFromHuman_MY,cluster,present
Latimeria chalumnae,411.9,4221,False
Latimeria chalumnae,411.9,8903,False
Latimeria chalumnae,411.9,1046,False
Latimeria chalumnae,411.9,11467,False
Latimeria chalumnae,411.9,1454,False
Latimeria chalumnae,411.9,14844,False
Latimeria chalumnae,411.9,4796,False
Latimeria chalumnae,411.9,2706,False
Latimeria chalumnae,411.9,11627,False
Latimeria chalumnae,411.9,13149,False
Latimeria chalumnae,411.9,1045,False
Latimeria chalumnae,411.9,1231,False
Latimeria chalumnae,411.9,1960,False
Latimeria chalumnae,411.9,5476,False
Latimeria chalumnae,411.9,9981,False
Latimeria chalumnae,411.9,14847,False
Latimeria chalumnae,411.9,14929,False
Latimeria chalumnae,411.9,5264,False
Latimeria chalumnae,411.9,6052,False
Latimeria chalumnae,411.9,14861,False
Latimeria chalumnae,411.9,1034,False
Latimeria chalumnae,411.9,3321,False
Latimeria chalumnae,411.9,5215,False
Latimeria chalumnae,411.9,10007,False
Latimeria chalumnae,411.9,10013,False
Latimeria chalumnae,411.9,11439,False
Latimeria chalumnae,411.9,12502,False
Latimeria chalumnae,411.9,13094,False
Latimeria chalumnae,411.9,1156,False
Latimeria chalumnae,411.9,6024,False
Latimeria chalumnae,411.9,13307,False
Latimeria chalumnae,411.9,1026,False
Latimeria chalumnae,411.9,3254,False
Latimeria chalumnae,411.9,3956,False
Latimeria chalumnae,411.9,5798,False
Latimeria chalumnae,411.9,7569,False
Latimeria chalumnae,411.9,13937,False
Latimeria chalumnae,411.9,14667,False
Latimeria chalumnae,411.9,1401,False
Latimeria chalumnae,411.9,2021,False
Latimeria chalumnae,411.9,5406,False
Latimeria chalumnae,411.9,236,False
Latimeria chalumnae,411.9,967,False
Latimeria chalumnae,411.9,3511,False
Latimeria chalumnae,411.9,12788,False
Latimeria chalumnae,411.9,1271,False
Latimeria chalumnae,411.9,4358,False
Latimeria chalumnae,411.9,5070,False
Latimeria chalumnae,411.9,7045,False
Latimeria chalumnae,411.9,10886,False
Latimeria chalumnae,411.9,13297,False
Latimeria chalumnae,411.9,13967,False
Latimeria chalumnae,411.9,14891,False
Latimeria chalumnae,411.9,14926,False
Latimeria chalumnae,411.9,6701,False
Latimeria chalumnae,411.9,10131,False
Latimeria chalumnae,411.9,2137,False
Latimeria chalumnae,411.9,11202,False
Latimeria chalumnae,411.9,6969,False
Latimeria chalumnae,411.9,11661,False
Latimeria chalumnae,411.9,1458,False
Latimeria chalumnae,411.9,931,False
Latimeria chalumnae,411.9,3238,False
Latimeria chalumnae,411.9,5762,False
Latimeria chalumnae,411.9,1004,False
Latimeria chalumnae,411.9,2492,False
Latimeria chalumnae,411.9,3288,False
Latimeria chalumnae,411.9,6059,False
Latimeria chalumnae,411.9,7049,False
Latimeria chalumnae,411.9,7332,False
Latimeria chalumnae,411.9,11201,False
Latimeria chalumnae,411.9,14896,False
Latimeria chalumnae,411.9,954,False
Latimeria chalumnae,411.9,6774,False
Latimeria chalumnae,411.9,11225,False
Latimeria chalumnae,411.9,12672,False
Latimeria chalumnae,411.9,6694,False
Latimeria chalumnae,411.9,6978,False
Latimeria chalumnae,411.9,11616,False
Latimeria chalumnae,411.9,235,False
Latimeria chalumnae,411.9,1303,False
Latimeria chalumnae,411.9,2095,False
Latimeria chalumnae,411.9,3010,False
Latimeria chalumnae,411.9,12512,False
Latimeria chalumnae,411.9,1056,False
Latimeria chalumnae,411.9,11446,False
Latimeria chalumnae,411.9,11610,False
Latimeria chalumnae,411.9,13786,False
Latimeria chalumnae,411.9,1943,False
Latimeria chalumnae,411.9,7051,False
Latimeria chalumnae,411.9,1517,False
Latimeria chalumnae,411.9,5151,False
Latimeria chalumnae,411.9,11445,False
Latimeria chalumnae,411.9,1843,False
Latimeria chalumnae,411.9,12505,False
Latimeria chalumnae,411.9,12469,False
Latimeria chalumnae,411.9,1111,False
Latimeria chalumnae,411.9,5212,False
Latimeria chalumnae,411.9,4609,False
Latimeria chalumnae,411.9,1286,False
Latimeria chalumnae,411.9,11649,False
Latimeria chalumnae,411.9,8380,False
Latimeria chalumnae,411.9,3313,False
Latimeria chalumnae,411.9,215,False
Latimeria chalumnae,411.9,5069,False
Latimeria chalumnae,411.9,12723,False
Latimeria chalumnae,411.9,5894,False
Latimeria chalumnae,411.9,6036,False
Latimeria chalumnae,411.9,1102,False
Latimeria chalumnae,411.9,2513,False
Latimeria chalumnae,411.9,7008,False
Latimeria chalumnae,411.9,1005,False
Latimeria chalumnae,411.9,3245,False
Latimeria chalumnae,411.9,3256,False
Latimeria chalumnae,411.9,7038,False
Latimeria chalumnae,411.9,13308,False
Latimeria chalumnae,411.9,14886,False
Latimeria chalumnae,411.9,5274,False
Latimeria chalumnae,411.9,12092,False
Latimeria chalumnae,411.9,5262,False
Latimeria chalumnae,411.9,1611,False
Latimeria chalumnae,411.9,3798,False
Latimeria chalumnae,411.9,14618,False
Latimeria chalumnae,411.9,14633,False
Latimeria chalumnae,411.9,14636,False
Latimeria chalumnae,411.9,14648,False
Latimeria chalumnae,411.9,14651,False
Latimeria chalumnae,411.9,14653,False
Latimeria chalumnae,411.9,14654,False
Latimeria chalumnae,411.9,14655,False
Latimeria chalumnae,411.9,14658,False
Latimeria chalumnae,411.9,14660,False
Latimeria chalumnae,411.9,14663,False
Latimeria chalumnae,411.9,14670,False
Latimeria chalumnae,411.9,14684,False
Latimeria chalumnae,411.9,14685,False
Latimeria chalumnae,411.9,14689,False
Latimeria chalumnae,411.9,14690,False
Latimeria chalumnae,411.9,14695,False
Latimeria chalumnae,411.9,14700,False
Latimeria chalumnae,411.9,14707,False
Latimeria chalumnae,411.9,14709,False
Latimeria chalumnae,411.9,14712,False
Latimeria chalumnae,411.9,14714,False
Latimeria chalumnae,411.9,14716,False
Latimeria chalumnae,411.9,14717,False
Latimeria chalumnae,411.9,14720,False
Latimeria chalumnae,411.9,14721,False
Latimeria chalumnae,411.9,14723,False
Latimeria chalumnae,411.9,14732,False
Latimeria chalumnae,411.9,14733,False
Latimeria chalumnae,411.9,14746,False
Latimeria chalumnae,411.9,14747,False
Latimeria chalumnae,411.9,14750,False
Latimeria chalumnae,411.9,14753,False
Latimeria chalumnae,411.9,14757,False
Latimeria chalumnae,411.9,14760,False
Latimeria chalumnae,411.9,14766,False
Latimeria chalumnae,411.9,14778,False
Latimeria chalumnae,411.9,14781,False
Latimeria chalumnae,411.9,14789,False
Latimeria chalumnae,411.9,14798,False
Latimeria chalumnae,411.9,14808,False
Latimeria chalumnae,411.9,14812,False
Latimeria chalumnae,411.9,14538,False
Latimeria chalumnae,411.9,14539,False
Latimeria chalumnae,411.9,14540,False
Latimeria chalumnae,411.9,14541,False
Latimeria chalumnae,411.9,14542,False
Latimeria chalumnae,411.9,14543,False
Latimeria chalumnae,411.9,14544,False
Latimeria chalumnae,411.9,14545,False
Latimeria chalumnae,411.9,14546,False
Latimeria chalumnae,411.9,14547,False
Latimeria chalumnae,411.9,14548,False
Latimeria chalumnae,411.9,14549,False
Latimeria chalumnae,411.9,14550,False
Latimeria chalumnae,411.9,14551,False
Latimeria chalumnae,411.9,14552,False
Latimeria chalumnae,411.9,14553,False
Latimeria chalumnae,411.9,14554,False
Latimeria chalumnae,411.9,14555,False
Latimeria chalumnae,411.9,14556,False
Latimeria chalumnae,411.9,14557,False
Latimeria chalumnae,411.9,14558,False
Latimeria chalumnae,411.9,14559,False
Latimeria chalumnae,411.9,14560,False
Latimeria chalumnae,411.9,14561,False
Latimeria chalumnae,411.9,14562,False
Latimeria chalumnae,411.9,14563,False
Latimeria chalumnae,411.9,14564,False
Latimeria chalumnae,411.9,14565,False
Latimeria chalumnae,411.9,14566,False
Latimeria chalumnae,411.9,14567,False
Latimeria chalumnae,411.9,14568,False
Latimeria chalumnae,411.9,14569,False
Latimeria chalumnae,411.9,14570,False
Latimeria chalumnae,411.9,14571,False
Latimeria chalumnae,411.9,14572,False
Latimeria chalumnae,411.9,14573,False
Latimeria chalumnae,411.9,14574,False
Latimeria chalumnae,411.9,14575,False
Latimeria chalumnae,411.9,14576,False
Latimeria chalumnae,411.9,14577,False
Latimeria chalumnae,411.9,14578,False
Latimeria chalumnae,411.9,14579,False
Latimeria chalumnae,411.9,14580,False
Latimeria chalumnae,411.9,14581,False
Latimeria chalumnae,411.9,14582,False
Latimeria chalumnae,411.9,14583,False
Latimeria chalumnae,411.9,14584,False
Latimeria chalumnae,411.9,14585,False
Latimeria chalumnae,411.9,14586,False
Latimeria chalumnae,411.9,14587,False
Latimeria chalumnae,411.9,14588,False
Latimeria chalumnae,411.9,14589,False
Latimeria chalumnae,411.9,14590,False
Latimeria chalumnae,411.9,14591,False
Latimeria chalumnae,411.9,14592,False
Latimeria chalumnae,411.9,14593,False
Latimeria chalumnae,411.9,14594,False
Latimeria chalumnae,411.9,14595,False
Latimeria chalumnae,411.9,14596,False
Latimeria chalumnae,411.9,14597,False
Latimeria chalumnae,411.9,14598,False
Latimeria chalumnae,411.9,14599,False
Latimeria chalumnae,411.9,14600,False
Latimeria chalumnae,411.9,14601,False
Latimeria chalumnae,411.9,14602,False
Latimeria chalumnae,411.9,14603,False
Latimeria chalumnae,411.9,14604,False
Latimeria chalumnae,411.9,14605,False
Latimeria chalumnae,411.9,14606,False
Latimeria chalumnae,411.9,14607,False
Latimeria chalumnae,411.9,14608,False
Latimeria chalumnae,411.9,14609,False
Latimeria chalumnae,411.9,14610,False
Latimeria chalumnae,411.9,14611,False
Latimeria chalumnae,411.9,14612,False
Latimeria chalumnae,411.9,14613,False
Latimeria chalumnae,411.9,14614,False
Latimeria chalumnae,411.9,14615,False
Latimeria chalumnae,411.9,14616,False
Latimeria chalumnae,411.9,14617,False
Latimeria chalumnae,411.9,14619,False
Latimeria chalumnae,411.9,14620,False
Latimeria chalumnae,411.9,14621,False
Latimeria chalumnae,411.9,14622,False
Latimeria chalumnae,411.9,14623,False
Latimeria chalumnae,411.9,14624,False
Latimeria chalumnae,411.9,14625,False
Latimeria chalumnae,411.9,14626,False
Latimeria chalumnae,411.9,14627,False
Latimeria chalumnae,411.9,14628,False
Latimeria chalumnae,411.9,14629,False
Latimeria chalumnae,411.9,14630,False
Latimeria chalumnae,411.9,14631,False
Latimeria chalumnae,411.9,14632,False
Nanorana parkeri,355.7,4221,False
Nanorana parkeri,355.7,8903,False
Nanorana parkeri,355.7,1046,False
Nanorana parkeri,355.7,11467,False
Nanorana parkeri,355.7,1454,False
Nanorana parkeri,355.7,14844,False
Nanorana parkeri,355.7,4796,False
Nanorana parkeri,355.7,2706,False
Nanorana parkeri,355.7,11627,False
Nanorana parkeri,355.7,13149,False
Nanorana parkeri,355.7,1045,False
Nanorana parkeri,355.7,1231,False
Nanorana parkeri,355.7,1960,False
Nanorana parkeri,355.7,5476,False
Nanorana parkeri,355.7,9981,False
Nanorana parkeri,355.7,14847,False
Nanorana parkeri,355.7,14929,False
Nanorana parkeri,355.7,5264,False
Nanorana parkeri,355.7,6052,False
Nanorana parkeri,355.7,14861,False
Nanorana parkeri,355.7,1034,False
Nanorana parkeri,355.7,3321,False
Nanorana parkeri,355.7,5215,False
Nanorana parkeri,355.7,10007,False
Nanorana parkeri,355.7,10013,False
Nanorana parkeri,355.7,11439,False
Nanorana parkeri,355.7,12502,False
Nanorana parkeri,355.7,13094,False
Nanorana parkeri,355.7,1156,False
Nanorana parkeri,355.7,6024,False
Nanorana parkeri,355.7,13307,False
Nanorana parkeri,355.7,1026,False
Nanorana parkeri,355.7,3254,False
Nanorana parkeri,355.7,3956,False
Nanorana parkeri,355.7,5798,False
Nanorana parkeri,355.7,7569,False
Nanorana parkeri,355.7,13937,False
Nanorana parkeri,355.7,14667,False
Nanorana parkeri,355.7,1401,False
Nanorana parkeri,355.7,2021,False
Nanorana parkeri,355.7,5406,False
Nanorana parkeri,355.7,236,False
Nanorana parkeri,355.7,967,False
Nanorana parkeri,355.7,3511,False
Nanorana parkeri,355.7,12788,False
Nanorana parkeri,355.7,1271,False
Nanorana parkeri,355.7,4358,False
Nanorana parkeri,355.7,5070,False
Nanorana parkeri,355.7,7045,False
Nanorana parkeri,355.7,10886,False
Nanorana parkeri,355.7,13297,False
Nanorana parkeri,355.7,13967,False
Nanorana parkeri,355.7,14891,False
Nanorana parkeri,355.7,14926,False
Nanorana parkeri,355.7,6701,False
Nanorana parkeri,355.7,10131,False
Nanorana parkeri,355.7,2137,False
Nanorana parkeri,355.7,11202,False
Nanorana parkeri,355.7,6969,False
Nanorana parkeri,355.7,11661,False
Nanorana parkeri,355.7,1458,False
Nanorana parkeri,355.7,931,False
Nanorana parkeri,355.7,3238,False
Nanorana parkeri,355.7,5762,False
Nanorana parkeri,355.7,1004,False
Nanorana parkeri,355.7,2492,False
Nanorana parkeri,355.7,3288,False
Nanorana parkeri,355.7,6059,False
Nanorana parkeri,355.7,7049,False
Nanorana parkeri,355.7,7332,False
Nanorana parkeri,355.7,11201,False
Nanorana parkeri,355.7,14896,False
Nanorana parkeri,355.7,954,False
Nanorana parkeri,355.7,6774,False
Nanorana parkeri,355.7,11225,False
Nanorana parkeri,355.7,12672,False
Nanorana parkeri,355.7,6694,False
Nanorana parkeri,355.7,6978,False
Nanorana parkeri,355.7,11616,False
Nanorana parkeri,355.7,235,False
Nanorana parkeri,355.7,1303,False
Nanorana parkeri,355.7,2095,False
Nanorana parkeri,355.7,3010,False
Nanorana parkeri,355.7,12512,False
Nanorana parkeri,355.7,1056,False
Nanorana parkeri,355.7,11446,False
Nanorana parkeri,355.7,11610,False
Nanorana parkeri,355.7,13786,False
Nanorana parkeri,355.7,1943,False
Nanorana parkeri,355.7,7051,False
Nanorana parkeri,355.7,1517,False
Nanorana parkeri,355.7,5151,False
Nanorana parkeri,355.7,11445,False
Nanorana parkeri,355.7,1843,False
Nanorana parkeri,355.7,12505,False
Nanorana parkeri,355.7,12469,False
Nanorana parkeri,355.7,1111,False
Nanorana parkeri,355.7,5212,False
Nanorana parkeri,355.7,4609,False
Nanorana parkeri,355.7,1286,False
Nanorana parkeri,355.7,11649,False
Nanorana parkeri,355.7,8380,False
Nanorana parkeri,355.7,3313,False
Nanorana parkeri,355.7,215,False
Nanorana parkeri,355.7,5069,False
Nanorana parkeri,355.7,12723,False
Nanorana parkeri,355.7,5894,False
Nanorana parkeri,355.7,6036,False
Nanorana parkeri,355.7,1102,False
Nanorana parkeri,355.7,2513,False
Nanorana parkeri,355.7,7008,False
Nanorana parkeri,355.7,1005,False
Nanorana parkeri,355.7,3245,False
Nanorana parkeri,355.7,3256,False
Nanorana parkeri,355.7,7038,False
Nanorana parkeri,355.7,13308,False
Nanorana parkeri,355.7,14886,False
Nanorana parkeri,355.7,5274,False
Nanorana parkeri,355.7,12092,False
Nanorana parkeri,355.7,5262,False
Nanorana parkeri,355.7,1611,False
Nanorana parkeri,355.7,3798,False
