Species,timeFromHuman_MY,cluster,present
Latimeria chalumnae,411.9,4221,False
Latimeria chalumnae,411.9,8903,False
Latimeria chalumnae,411.9,3638,False
Latimeria chalumnae,411.9,5129,False
Latimeria chalumnae,411.9,926,False
Latimeria chalumnae,411.9,3627,False
Latimeria chalumnae,411.9,15053,False
Latimeria chalumnae,411.9,3602,False
Latimeria chalumnae,411.9,5705,False
Latimeria chalumnae,411.9,396,False
Latimeria chalumnae,411.9,2208,False
Latimeria chalumnae,411.9,15065,False
Latimeria chalumnae,411.9,3393,False
Latimeria chalumnae,411.9,12857,False
Latimeria chalumnae,411.9,14376,False
Latimeria chalumnae,411.9,12866,False
Latimeria chalumnae,411.9,14368,False
Latimeria chalumnae,411.9,15019,False
Latimeria chalumnae,411.9,15068,False
Latimeria chalumnae,411.9,454,False
Latimeria chalumnae,411.9,3667,False
Latimeria chalumnae,411.9,12161,False
Latimeria chalumnae,411.9,12407,False
Latimeria chalumnae,411.9,12851,False
Latimeria chalumnae,411.9,15018,False
Latimeria chalumnae,411.9,15020,False
Latimeria chalumnae,411.9,15022,False
Latimeria chalumnae,411.9,15079,False
Latimeria chalumnae,411.9,3673,False
Latimeria chalumnae,411.9,3678,False
Latimeria chalumnae,411.9,3684,False
Latimeria chalumnae,411.9,3686,False
Latimeria chalumnae,411.9,5565,False
Latimeria chalumnae,411.9,12158,False
Latimeria chalumnae,411.9,12404,False
Latimeria chalumnae,411.9,12875,False
Latimeria chalumnae,411.9,12900,False
Latimeria chalumnae,411.9,12902,False
Latimeria chalumnae,411.9,12928,False
Latimeria chalumnae,411.9,12971,False
Latimeria chalumnae,411.9,14308,False
Latimeria chalumnae,411.9,14320,False
Latimeria chalumnae,411.9,14321,False
Latimeria chalumnae,411.9,14325,False
Latimeria chalumnae,411.9,14387,False
Latimeria chalumnae,411.9,14392,False
Latimeria chalumnae,411.9,14973,False
Latimeria chalumnae,411.9,14984,False
Latimeria chalumnae,411.9,15005,False
Latimeria chalumnae,411.9,15008,False
Latimeria chalumnae,411.9,15009,False
Latimeria chalumnae,411.9,15010,False
Latimeria chalumnae,411.9,15073,False
Latimeria chalumnae,411.9,15074,False
Latimeria chalumnae,411.9,3683,False
Latimeria chalumnae,411.9,12899,False
Latimeria chalumnae,411.9,12969,False
Latimeria chalumnae,411.9,14333,False
Latimeria chalumnae,411.9,14334,False
Latimeria chalumnae,411.9,14349,False
Latimeria chalumnae,411.9,14377,False
Latimeria chalumnae,411.9,14957,False
Latimeria chalumnae,411.9,14986,False
Latimeria chalumnae,411.9,15002,False
Latimeria chalumnae,411.9,15006,False
Latimeria chalumnae,411.9,15014,False
Latimeria chalumnae,411.9,15015,False
Latimeria chalumnae,411.9,15039,False
Latimeria chalumnae,411.9,15040,False
Latimeria chalumnae,411.9,15046,False
Latimeria chalumnae,411.9,15054,False
Latimeria chalumnae,411.9,15056,False
Latimeria chalumnae,411.9,3670,False
Latimeria chalumnae,411.9,3671,False
Latimeria chalumnae,411.9,3679,False
Latimeria chalumnae,411.9,3692,False
Latimeria chalumnae,411.9,14958,False
Latimeria chalumnae,411.9,14961,False
Latimeria chalumnae,411.9,14975,False
Latimeria chalumnae,411.9,15000,False
Latimeria chalumnae,411.9,15001,False
Latimeria chalumnae,411.9,15021,False
Latimeria chalumnae,411.9,15033,False
Latimeria chalumnae,411.9,15047,False
Latimeria chalumnae,411.9,15050,False
Latimeria chalumnae,411.9,15058,False
Latimeria chalumnae,411.9,15066,False
Latimeria chalumnae,411.9,15067,False
Latimeria chalumnae,411.9,15070,False
Latimeria chalumnae,411.9,15072,False
Latimeria chalumnae,411.9,15075,False
Latimeria chalumnae,411.9,15076,False
Latimeria chalumnae,411.9,15078,False
Latimeria chalumnae,411.9,14951,False
Latimeria chalumnae,411.9,14952,False
Latimeria chalumnae,411.9,14953,False
Latimeria chalumnae,411.9,14954,False
Latimeria chalumnae,411.9,14955,False
Latimeria chalumnae,411.9,14956,False
Latimeria chalumnae,411.9,14959,False
Latimeria chalumnae,411.9,14960,False
Latimeria chalumnae,411.9,14962,False
Latimeria chalumnae,411.9,14963,False
Latimeria chalumnae,411.9,14964,False
Latimeria chalumnae,411.9,14965,False
Latimeria chalumnae,411.9,14966,False
Latimeria chalumnae,411.9,14967,False
Latimeria chalumnae,411.9,14968,False
Latimeria chalumnae,411.9,14969,False
Latimeria chalumnae,411.9,14970,False
Latimeria chalumnae,411.9,14971,False
Latimeria chalumnae,411.9,14972,False
Latimeria chalumnae,411.9,14974,False
Latimeria chalumnae,411.9,14976,False
Latimeria chalumnae,411.9,14977,False
Latimeria chalumnae,411.9,14978,False
Latimeria chalumnae,411.9,14979,False
Latimeria chalumnae,411.9,14980,False
Latimeria chalumnae,411.9,14981,False
Latimeria chalumnae,411.9,14982,False
Latimeria chalumnae,411.9,14983,False
Latimeria chalumnae,411.9,14985,False
Latimeria chalumnae,411.9,14987,False
Latimeria chalumnae,411.9,14988,False
Latimeria chalumnae,411.9,14989,False
Latimeria chalumnae,411.9,14990,False
Latimeria chalumnae,411.9,14991,False
Latimeria chalumnae,411.9,14992,False
Latimeria chalumnae,411.9,14993,False
Latimeria chalumnae,411.9,14994,False
Latimeria chalumnae,411.9,14995,False
Latimeria chalumnae,411.9,14996,False
Latimeria chalumnae,411.9,14997,False
Latimeria chalumnae,411.9,14998,False
Latimeria chalumnae,411.9,14999,False
Latimeria chalumnae,411.9,15003,False
Latimeria chalumnae,411.9,15004,False
Latimeria chalumnae,411.9,15007,False
Latimeria chalumnae,411.9,15011,False
Latimeria chalumnae,411.9,15012,False
Latimeria chalumnae,411.9,15013,False
Latimeria chalumnae,411.9,15016,False
Latimeria chalumnae,411.9,15017,False
Latimeria chalumnae,411.9,15023,False
Latimeria chalumnae,411.9,15024,False
Latimeria chalumnae,411.9,15025,False
Latimeria chalumnae,411.9,15026,False
Latimeria chalumnae,411.9,15027,False
Latimeria chalumnae,411.9,15028,False
Latimeria chalumnae,411.9,15029,False
Latimeria chalumnae,411.9,15030,False
Latimeria chalumnae,411.9,15031,False
Latimeria chalumnae,411.9,15032,False
Latimeria chalumnae,411.9,15034,False
Latimeria chalumnae,411.9,15035,False
Latimeria chalumnae,411.9,15036,False
Latimeria chalumnae,411.9,15037,False
Latimeria chalumnae,411.9,15038,False
Latimeria chalumnae,411.9,15041,False
Latimeria chalumnae,411.9,15042,False
Latimeria chalumnae,411.9,15043,False
Latimeria chalumnae,411.9,15044,False
Latimeria chalumnae,411.9,15045,False
Latimeria chalumnae,411.9,15048,False
Latimeria chalumnae,411.9,15049,False
Latimeria chalumnae,411.9,15051,False
Latimeria chalumnae,411.9,15052,False
Latimeria chalumnae,411.9,15055,False
Latimeria chalumnae,411.9,15057,False
Latimeria chalumnae,411.9,15059,False
Latimeria chalumnae,411.9,15060,False
Latimeria chalumnae,411.9,15061,False
Latimeria chalumnae,411.9,15062,False
Latimeria chalumnae,411.9,15063,False
Latimeria chalumnae,411.9,15064,False
Latimeria chalumnae,411.9,15069,False
Latimeria chalumnae,411.9,15071,False
Latimeria chalumnae,411.9,15077,False
Latimeria chalumnae,411.9,15080,False
Nanorana parkeri,355.7,4221,False
Nanorana parkeri,355.7,8903,False
Nanorana parkeri,355.7,3638,False
Nanorana parkeri,355.7,5129,False
Nanorana parkeri,355.7,926,False
Nanorana parkeri,355.7,3627,False
Nanorana parkeri,355.7,15053,False
Nanorana parkeri,355.7,3602,False
Nanorana parkeri,355.7,5705,False
Nanorana parkeri,355.7,396,False
Nanorana parkeri,355.7,2208,False
Nanorana parkeri,355.7,15065,False
Nanorana parkeri,355.7,3393,False
Nanorana parkeri,355.7,12857,False
Nanorana parkeri,355.7,14376,False
Nanorana parkeri,355.7,12866,False
Nanorana parkeri,355.7,14368,False
Nanorana parkeri,355.7,15019,False
Nanorana parkeri,355.7,15068,False
Nanorana parkeri,355.7,454,False
Nanorana parkeri,355.7,3667,False
Nanorana parkeri,355.7,12161,False
Nanorana parkeri,355.7,12407,False
Nanorana parkeri,355.7,12851,False
Nanorana parkeri,355.7,15018,False
Nanorana parkeri,355.7,15020,False
Nanorana parkeri,355.7,15022,False
Nanorana parkeri,355.7,15079,False
Nanorana parkeri,355.7,3673,False
Nanorana parkeri,355.7,3678,False
Nanorana parkeri,355.7,3684,False
Nanorana parkeri,355.7,3686,False
Nanorana parkeri,355.7,5565,False
Nanorana parkeri,355.7,12158,False
Nanorana parkeri,355.7,12404,False
Nanorana parkeri,355.7,12875,False
Nanorana parkeri,355.7,12900,False
Nanorana parkeri,355.7,12902,False
Nanorana parkeri,355.7,12928,False
Nanorana parkeri,355.7,12971,False
Nanorana parkeri,355.7,14308,False
Nanorana parkeri,355.7,14320,False
Nanorana parkeri,355.7,14321,False
Nanorana parkeri,355.7,14325,False
Nanorana parkeri,355.7,14387,False
Nanorana parkeri,355.7,14392,False
Nanorana parkeri,355.7,14973,False
Nanorana parkeri,355.7,14984,False
Nanorana parkeri,355.7,15005,False
Nanorana parkeri,355.7,15008,False
Nanorana parkeri,355.7,15009,False
Nanorana parkeri,355.7,15010,False
Nanorana parkeri,355.7,15073,False
Nanorana parkeri,355.7,15074,False
Nanorana parkeri,355.7,3683,False
Nanorana parkeri,355.7,12899,False
Nanorana parkeri,355.7,12969,False
Nanorana parkeri,355.7,14333,False
Nanorana parkeri,355.7,14334,False
Nanorana parkeri,355.7,14349,False
Nanorana parkeri,355.7,14377,False
Nanorana parkeri,355.7,14957,False
Nanorana parkeri,355.7,14986,False
Nanorana parkeri,355.7,15002,False
Nanorana parkeri,355.7,15006,False
Nanorana parkeri,355.7,15014,False
Nanorana parkeri,355.7,15015,False
Nanorana parkeri,355.7,15039,False
Nanorana parkeri,355.7,15040,False
Nanorana parkeri,355.7,15046,False
Nanorana parkeri,355.7,15054,False
Nanorana parkeri,355.7,15056,False
Nanorana parkeri,355.7,3670,False
Nanorana parkeri,355.7,3671,False
Nanorana parkeri,355.7,3679,False
Nanorana parkeri,355.7,3692,False
Nanorana parkeri,355.7,14958,False
Nanorana parkeri,355.7,14961,False
Nanorana parkeri,355.7,14975,False
Nanorana parkeri,355.7,15000,False
Nanorana parkeri,355.7,15001,False
Nanorana parkeri,355.7,15021,False
Nanorana parkeri,355.7,15033,False
Nanorana parkeri,355.7,15047,False
Nanorana parkeri,355.7,15050,False
Nanorana parkeri,355.7,15058,False
Nanorana parkeri,355.7,15066,False
Nanorana parkeri,355.7,15067,False
Nanorana parkeri,355.7,15070,False
Nanorana parkeri,355.7,15072,False
Nanorana parkeri,355.7,15075,False
Nanorana parkeri,355.7,15076,False
Nanorana parkeri,355.7,15078,False
Nanorana parkeri,355.7,14951,False
Nanorana parkeri,355.7,14952,False
Nanorana parkeri,355.7,14953,False
Nanorana parkeri,355.7,14954,False
Nanorana parkeri,355.7,14955,False
Nanorana parkeri,355.7,14956,False
Nanorana parkeri,355.7,14959,False
Nanorana parkeri,355.7,14960,False
Nanorana parkeri,355.7,14962,False
Nanorana parkeri,355.7,14963,False
Nanorana parkeri,355.7,14964,False
Nanorana parkeri,355.7,14965,False
Nanorana parkeri,355.7,14966,False
Nanorana parkeri,355.7,14967,False
Nanorana parkeri,355.7,14968,False
Nanorana parkeri,355.7,14969,False
Nanorana parkeri,355.7,14970,False
Nanorana parkeri,355.7,14971,False
Nanorana parkeri,355.7,14972,False
Nanorana parkeri,355.7,14974,False
Nanorana parkeri,355.7,14976,False
Nanorana parkeri,355.7,14977,False
Nanorana parkeri,355.7,14978,False
Nanorana parkeri,355.7,14979,False
Nanorana parkeri,355.7,14980,False
Nanorana parkeri,355.7,14981,False
Nanorana parkeri,355.7,14982,False
Nanorana parkeri,355.7,14983,False
Nanorana parkeri,355.7,14985,False
Nanorana parkeri,355.7,14987,False
Nanorana parkeri,355.7,14988,False
Nanorana parkeri,355.7,14989,False
Nanorana parkeri,355.7,14990,False
Nanorana parkeri,355.7,14991,False
Nanorana parkeri,355.7,14992,False
Nanorana parkeri,355.7,14993,False
Nanorana parkeri,355.7,14994,False
Nanorana parkeri,355.7,14995,False
Nanorana parkeri,355.7,14996,False
Nanorana parkeri,355.7,14997,False
Nanorana parkeri,355.7,14998,False
Nanorana parkeri,355.7,14999,False
Nanorana parkeri,355.7,15003,False
Nanorana parkeri,355.7,15004,False
Nanorana parkeri,355.7,15007,False
Nanorana parkeri,355.7,15011,False
Nanorana parkeri,355.7,15012,False
Nanorana parkeri,355.7,15013,False
Nanorana parkeri,355.7,15016,False
Nanorana parkeri,355.7,15017,False
Nanorana parkeri,355.7,15023,False
Nanorana parkeri,355.7,15024,False
Nanorana parkeri,355.7,15025,False
Nanorana parkeri,355.7,15026,False
Nanorana parkeri,355.7,15027,False
Nanorana parkeri,355.7,15028,False
Nanorana parkeri,355.7,15029,False
Nanorana parkeri,355.7,15030,False
Nanorana parkeri,355.7,15031,False
Nanorana parkeri,355.7,15032,False
Nanorana parkeri,355.7,15034,False
Nanorana parkeri,355.7,15035,False
Nanorana parkeri,355.7,15036,False
Nanorana parkeri,355.7,15037,False
Nanorana parkeri,355.7,15038,False
Nanorana parkeri,355.7,15041,False
Nanorana parkeri,355.7,15042,False
Nanorana parkeri,355.7,15043,False
Nanorana parkeri,355.7,15044,False
Nanorana parkeri,355.7,15045,False
Nanorana parkeri,355.7,15048,False
Nanorana parkeri,355.7,15049,False
Nanorana parkeri,355.7,15051,False
Nanorana parkeri,355.7,15052,False
Nanorana parkeri,355.7,15055,False
Nanorana parkeri,355.7,15057,False
Nanorana parkeri,355.7,15059,False
Nanorana parkeri,355.7,15060,False
Nanorana parkeri,355.7,15061,False
Nanorana parkeri,355.7,15062,False
Nanorana parkeri,355.7,15063,False
Nanorana parkeri,355.7,15064,False
Nanorana parkeri,355.7,15069,False
Nanorana parkeri,355.7,15071,False
Nanorana parkeri,355.7,15077,False
Nanorana parkeri,355.7,15080,False
Xenopus laevi,355.7,4221,False
Xenopus laevi,355.7,8903,False
Xenopus laevi,355.7,3638,False
Xenopus laevi,355.7,5129,False
Xenopus laevi,355.7,926,False
Xenopus laevi,355.7,3627,False
Xenopus laevi,355.7,15053,False
Xenopus laevi,355.7,3602,False
Xenopus laevi,355.7,5705,False
Xenopus laevi,355.7,396,False
Xenopus laevi,355.7,2208,False
Xenopus laevi,355.7,15065,False
Xenopus laevi,355.7,3393,False
Xenopus laevi,355.7,12857,False
Xenopus laevi,355.7,14376,False
Xenopus laevi,355.7,12866,False
Xenopus laevi,355.7,14368,False
Xenopus laevi,355.7,15019,False
Xenopus laevi,355.7,15068,False
Xenopus laevi,355.7,454,False
Xenopus laevi,355.7,3667,False
Xenopus laevi,355.7,12161,False
Xenopus laevi,355.7,12407,False
Xenopus laevi,355.7,12851,False
Xenopus laevi,355.7,15018,False
Xenopus laevi,355.7,15020,False
Xenopus laevi,355.7,15022,False
