Species,timeFromHuman_MY,cluster,present
Latimeria chalumnae,411.9,15137,False
Latimeria chalumnae,411.9,15138,False
Latimeria chalumnae,411.9,15146,False
Latimeria chalumnae,411.9,15151,False
Latimeria chalumnae,411.9,15154,False
Latimeria chalumnae,411.9,15156,False
Latimeria chalumnae,411.9,15287,False
Latimeria chalumnae,411.9,15290,False
Latimeria chalumnae,411.9,15295,False
Latimeria chalumnae,411.9,15091,False
Latimeria chalumnae,411.9,15098,False
Latimeria chalumnae,411.9,15099,False
Latimeria chalumnae,411.9,15100,False
Latimeria chalumnae,411.9,15101,False
Latimeria chalumnae,411.9,15123,False
Latimeria chalumnae,411.9,15124,False
Latimeria chalumnae,411.9,15139,False
Latimeria chalumnae,411.9,15142,False
Latimeria chalumnae,411.9,15143,False
Latimeria chalumnae,411.9,15144,False
Latimeria chalumnae,411.9,15145,False
Latimeria chalumnae,411.9,15147,False
Latimeria chalumnae,411.9,15148,False
Latimeria chalumnae,411.9,15152,False
Latimeria chalumnae,411.9,15153,False
Latimeria chalumnae,411.9,15155,False
Latimeria chalumnae,411.9,15159,False
Latimeria chalumnae,411.9,15161,False
Latimeria chalumnae,411.9,15162,False
Latimeria chalumnae,411.9,15163,False
Latimeria chalumnae,411.9,15164,False
Latimeria chalumnae,411.9,15168,False
Latimeria chalumnae,411.9,15186,False
Latimeria chalumnae,411.9,15187,False
Latimeria chalumnae,411.9,15191,False
Latimeria chalumnae,411.9,15194,False
Latimeria chalumnae,411.9,15196,False
Latimeria chalumnae,411.9,15197,False
Latimeria chalumnae,411.9,15199,False
Latimeria chalumnae,411.9,15201,False
Latimeria chalumnae,411.9,15203,False
Latimeria chalumnae,411.9,15205,False
Latimeria chalumnae,411.9,15236,False
Latimeria chalumnae,411.9,15276,False
Latimeria chalumnae,411.9,15278,False
Latimeria chalumnae,411.9,15285,False
Latimeria chalumnae,411.9,15286,False
Latimeria chalumnae,411.9,15288,False
Latimeria chalumnae,411.9,15289,False
Latimeria chalumnae,411.9,15291,False
Latimeria chalumnae,411.9,15297,False
Latimeria chalumnae,411.9,15299,False
Latimeria chalumnae,411.9,15081,False
Latimeria chalumnae,411.9,15082,False
Latimeria chalumnae,411.9,15083,False
Latimeria chalumnae,411.9,15084,False
Latimeria chalumnae,411.9,15085,False
Latimeria chalumnae,411.9,15086,False
Latimeria chalumnae,411.9,15087,False
Latimeria chalumnae,411.9,15088,False
Latimeria chalumnae,411.9,15089,False
Latimeria chalumnae,411.9,15090,False
Latimeria chalumnae,411.9,15092,False
Latimeria chalumnae,411.9,15093,False
Latimeria chalumnae,411.9,15094,False
Latimeria chalumnae,411.9,15095,False
Latimeria chalumnae,411.9,15096,False
Latimeria chalumnae,411.9,15097,False
Latimeria chalumnae,411.9,15102,False
Latimeria chalumnae,411.9,15103,False
Latimeria chalumnae,411.9,15104,False
Latimeria chalumnae,411.9,15105,False
Latimeria chalumnae,411.9,15106,False
Latimeria chalumnae,411.9,15107,False
Latimeria chalumnae,411.9,15108,False
Latimeria chalumnae,411.9,15109,False
Latimeria chalumnae,411.9,15110,False
Latimeria chalumnae,411.9,15111,False
Latimeria chalumnae,411.9,15112,False
Latimeria chalumnae,411.9,15113,False
Latimeria chalumnae,411.9,15114,False
Latimeria chalumnae,411.9,15115,False
Latimeria chalumnae,411.9,15116,False
Latimeria chalumnae,411.9,15117,False
Latimeria chalumnae,411.9,15118,False
Latimeria chalumnae,411.9,15119,False
Latimeria chalumnae,411.9,15120,False
Latimeria chalumnae,411.9,15121,False
Latimeria chalumnae,411.9,15122,False
Latimeria chalumnae,411.9,15125,False
Latimeria chalumnae,411.9,15126,False
Latimeria chalumnae,411.9,15127,False
Latimeria chalumnae,411.9,15128,False
Latimeria chalumnae,411.9,15129,False
Latimeria chalumnae,411.9,15130,False
Latimeria chalumnae,411.9,15131,False
Latimeria chalumnae,411.9,15132,False
Latimeria chalumnae,411.9,15133,False
