Species,timeFromHuman_MY,cluster,present
Latimeria chalumnae,411.9,15137,False
Latimeria chalumnae,411.9,15138,False
Latimeria chalumnae,411.9,15146,False
Latimeria chalumnae,411.9,15151,False
Latimeria chalumnae,411.9,15154,False
Latimeria chalumnae,411.9,15156,False
Latimeria chalumnae,411.9,15287,False
Latimeria chalumnae,411.9,15290,False
Latimeria chalumnae,411.9,15295,False
Latimeria chalumnae,411.9,15123,False
Latimeria chalumnae,411.9,15124,False
Latimeria chalumnae,411.9,15139,False
Latimeria chalumnae,411.9,15142,False
Latimeria chalumnae,411.9,15143,False
Latimeria chalumnae,411.9,15144,False
Latimeria chalumnae,411.9,15145,False
Latimeria chalumnae,411.9,15147,False
Latimeria chalumnae,411.9,15148,False
Latimeria chalumnae,411.9,15152,False
Latimeria chalumnae,411.9,15153,False
Latimeria chalumnae,411.9,15155,False
Latimeria chalumnae,411.9,15159,False
Latimeria chalumnae,411.9,15161,False
Latimeria chalumnae,411.9,15162,False
Latimeria chalumnae,411.9,15163,False
Latimeria chalumnae,411.9,15164,False
Latimeria chalumnae,411.9,15168,False
Latimeria chalumnae,411.9,15186,False
Latimeria chalumnae,411.9,15187,False
Latimeria chalumnae,411.9,15191,False
Latimeria chalumnae,411.9,15194,False
Latimeria chalumnae,411.9,15196,False
Latimeria chalumnae,411.9,15197,False
Latimeria chalumnae,411.9,15199,False
Latimeria chalumnae,411.9,15201,False
Latimeria chalumnae,411.9,15203,False
Latimeria chalumnae,411.9,15205,False
Latimeria chalumnae,411.9,15236,False
Latimeria chalumnae,411.9,15276,False
Latimeria chalumnae,411.9,15278,False
Latimeria chalumnae,411.9,15285,False
Latimeria chalumnae,411.9,15286,False
Latimeria chalumnae,411.9,15288,False
Latimeria chalumnae,411.9,15289,False
Latimeria chalumnae,411.9,15291,False
Latimeria chalumnae,411.9,15297,False
Latimeria chalumnae,411.9,15299,False
Latimeria chalumnae,411.9,15140,False
Latimeria chalumnae,411.9,15141,False
Latimeria chalumnae,411.9,15149,False
Latimeria chalumnae,411.9,15150,False
Latimeria chalumnae,411.9,15157,False
Latimeria chalumnae,411.9,15158,False
Latimeria chalumnae,411.9,15160,False
Latimeria chalumnae,411.9,15165,False
Latimeria chalumnae,411.9,15166,False
Latimeria chalumnae,411.9,15167,False
Latimeria chalumnae,411.9,15169,False
Latimeria chalumnae,411.9,15170,False
Latimeria chalumnae,411.9,15171,False
Latimeria chalumnae,411.9,15172,False
Latimeria chalumnae,411.9,15173,False
Latimeria chalumnae,411.9,15174,False
Latimeria chalumnae,411.9,15175,False
Latimeria chalumnae,411.9,15176,False
Latimeria chalumnae,411.9,15177,False
Latimeria chalumnae,411.9,15178,False
Latimeria chalumnae,411.9,15179,False
Latimeria chalumnae,411.9,15180,False
Latimeria chalumnae,411.9,15181,False
Latimeria chalumnae,411.9,15182,False
Latimeria chalumnae,411.9,15183,False
Latimeria chalumnae,411.9,15184,False
Latimeria chalumnae,411.9,15185,False
Latimeria chalumnae,411.9,15188,False
Latimeria chalumnae,411.9,15189,False
Latimeria chalumnae,411.9,15190,False
Latimeria chalumnae,411.9,15192,False
Latimeria chalumnae,411.9,15193,False
Latimeria chalumnae,411.9,15195,False
Latimeria chalumnae,411.9,15198,False
Latimeria chalumnae,411.9,15200,False
Latimeria chalumnae,411.9,15202,False
Latimeria chalumnae,411.9,15204,False
Latimeria chalumnae,411.9,15206,False
Latimeria chalumnae,411.9,15207,False
Latimeria chalumnae,411.9,15208,False
Latimeria chalumnae,411.9,15209,False
Latimeria chalumnae,411.9,15210,False
Latimeria chalumnae,411.9,15211,False
Latimeria chalumnae,411.9,15212,False
Latimeria chalumnae,411.9,15213,False
Latimeria chalumnae,411.9,15214,False
Latimeria chalumnae,411.9,15215,False
Latimeria chalumnae,411.9,15216,False
Latimeria chalumnae,411.9,15217,False
Latimeria chalumnae,411.9,15218,False
Latimeria chalumnae,411.9,15219,False
